6. ЖИЛЫЕ ПОМЕЩЕНИЯ2) ПО ИХ ТИПАМ И ЧИСЛУ ПРОЖИВАЮЩИХ В НИХ ЧАСТНЫХ ДОМОХОЗЯЙСТВ
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
	Всего жилых помещений	в них проживает								
		одно домохозяйство	в том числе состоящее из					два домохозяйства	три домохозяйства	четыре домохозяйства и более
			1 человека 	2 человек	3 человек	4 человек	5 и более человек			
Российская Федерация										
Городские и сельские населенные пункты										
индивидуальные дома	74784.0	74534.0	4538.0	7726.0	7722.0	14716.0	39832.0	238.0	10.0	2.0
отдельные квартиры	6907.0	6720.0	1046.0	1233.0	1222.0	1632.0	1587.0	173.0	9.0	5.0
коммунальные квартиры	126.0	11.0	1.0	2.0	-	3.0	5.0	95.0	12.0	8.0
Республика Калмыкия										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	85580.0	84467.0	11842.0	19125.0	19055.0	18047.0	16398.0	949.0	138.0	26.0
в том числе:										
индивидуальные дома	41997.0	41700.0	5408.0	9040.0	8628.0	8966.0	9658.0	265.0	25.0	7.0
отдельные квартиры	43365.0	42749.0	6431.0	10080.0	10422.0	9078.0	6738.0	518.0	84.0	14.0
коммунальные квартиры	218.0	18.0	3.0	5.0	5.0	3.0	2.0	166.0	29.0	5.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	36980.0	36307.0	4903.0	8186.0	8699.0	7914.0	6605.0	577.0	86.0	10.0
в том числе:										
индивидуальные дома	13431.0	13251.0	1448.0	2636.0	2800.0	3051.0	3316.0	166.0	11.0	3.0
отдельные квартиры	23419.0	23052.0	3455.0	5550.0	5895.0	4863.0	3289.0	303.0	58.0	6.0
коммунальные квартиры	130.0	4.0	-	-	4.0	-	-	108.0	17.0	1.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	48600.0	48160.0	6939.0	10939.0	10356.0	10133.0	9793.0	372.0	52.0	16.0
в том числе:										
индивидуальные дома	28566.0	28449.0	3960.0	6404.0	5828.0	5915.0	6342.0	99.0	14.0	4.0
отдельные квартиры	19946.0	19697.0	2976.0	4530.0	4527.0	4215.0	3449.0	215.0	26.0	8.0
коммунальные квартиры	88.0	14.0	3.0	5.0	1.0	3.0	2.0	58.0	12.0	4.0
Карачаево-Черкесская Республика										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	122862.0	122185.0	19124.0	24507.0	23036.0	24451.0	31067.0	590.0	65.0	22.0
в том числе:										
индивидуальные дома	73742.0	73344.0	10009.0	12599.0	11355.0	14239.0	25142.0	353.0	36.0	9.0
отдельные квартиры	48894.0	48712.0	9076.0	11875.0	11654.0	10194.0	5913.0	161.0	15.0	6.0
коммунальные квартиры	226.0	129.0	39.0	33.0	27.0	18.0	12.0	76.0	14.0	7.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	58812.0	58428.0	9937.0	13440.0	13040.0	12331.0	9680.0	339.0	33.0	12.0
в том числе:										
индивидуальные дома	18663.0	18422.0	2477.0	3534.0	3301.0	3961.0	5149.0	218.0	19.0	4.0
отдельные квартиры	39976.0	39885.0	7422.0	9875.0	9715.0	8354.0	4519.0	82.0	6.0	3.0
коммунальные квартиры	173.0	121.0	38.0	31.0	24.0	16.0	12.0	39.0	8.0	5.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	64050.0	63757.0	9187.0	11067.0	9996.0	12120.0	21387.0	251.0	32.0	10.0
в том числе:										
индивидуальные дома	55079.0	54922.0	7532.0	9065.0	8054.0	10278.0	19993.0	135.0	17.0	5.0
отдельные квартиры	8918.0	8827.0	1654.0	2000.0	1939.0	1840.0	1394.0	79.0	9.0	3.0
коммунальные квартиры	53.0	8.0	1.0	2.0	3.0	2.0	-	37.0	6.0	2.0
Республика Северная Осетия – Алания										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	192003.0	191021.0	31689.0	37138.0	35930.0	37189.0	49075.0	860.0	78.0	44.0
в том числе:										
индивидуальные дома	85609.0	85282.0	10064.0	13282.0	13081.0	15707.0	33148.0	303.0	20.0	4.0
отдельные квартиры	105906.0	105501.0	21582.0	23801.0	22810.0	21423.0	15885.0	358.0	27.0	20.0
коммунальные квартиры	488.0	238.0	43.0	55.0	39.0	59.0	42.0	199.0	31.0	20.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	137050.0	136320.0	25705.0	29288.0	27960.0	27575.0	25792.0	629.0	63.0	38.0
в том числе:										
индивидуальные дома	37893.0	37653.0	4965.0	6667.0	6437.0	7650.0	11934.0	219.0	18.0	3.0
отдельные квартиры	98761.0	98450.0	20699.0	22569.0	21486.0	19871.0	13825.0	270.0	23.0	18.0
коммунальные квартиры	396.0	217.0	41.0	52.0	37.0	54.0	33.0	140.0	22.0	17.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	54953.0	54701.0	5984.0	7850.0	7970.0	9614.0	23283.0	231.0	15.0	6.0
в том числе:										
индивидуальные дома	47716.0	47629.0	5099.0	6615.0	6644.0	8057.0	21214.0	84.0	2.0	1.0
отдельные квартиры	7145.0	7051.0	883.0	1232.0	1324.0	1552.0	2060.0	88.0	4.0	2.0
коммунальные квартиры	92.0	21.0	2.0	3.0	2.0	5.0	9.0	59.0	9.0	3.0
Чеченская Республика										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	176064.0	171324.0	6088.0	12243.0	14886.0	28666.0	109441.0	3442.0	967.0	331.0
в том числе:										
индивидуальные дома	136042.0	135561.0	4251.0	8990.0	10975.0	20691.0	90654.0	390.0	74.0	17.0
отдельные квартиры	38905.0	35509.0	1822.0	3233.0	3898.0	7946.0	18610.0	2410.0	738.0	248.0
коммунальные квартиры	1117.0	254.0	15.0	20.0	13.0	29.0	177.0	642.0	155.0	66.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	58132.0	57776.0	1581.0	3883.0	4676.0	11402.0	36234.0	275.0	49.0	32.0
в том числе:										
индивидуальные дома	32621.0	32611.0	565.0	1908.0	2193.0	5576.0	22369.0	10.0	-	-
отдельные квартиры	25267.0	25010.0	1011.0	1967.0	2477.0	5805.0	13750.0	204.0	32.0	21.0
коммунальные квартиры	244.0	155.0	5.0	8.0	6.0	21.0	115.0	61.0	17.0	11.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	117932.0	113548.0	4507.0	8360.0	10210.0	17264.0	73207.0	3167.0	918.0	299.0
в том числе:										
индивидуальные дома	103421.0	102950.0	3686.0	7082.0	8782.0	15115.0	68285.0	380.0	74.0	17.0
отдельные квартиры	13638.0	10499.0	811.0	1266.0	1421.0	2141.0	4860.0	2206.0	706.0	227.0
коммунальные квартиры	873.0	99.0	10.0	12.0	7.0	8.0	62.0	581.0	138.0	55.0
Краснодарский край										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	1646922.0	1621109.0	293615.0	434003.0	366980.0	310322.0	216189.0	22094.0	2830.0	889.0
в том числе:										
индивидуальные дома	931077.0	926155.0	162376.0	240980.0	193494.0	181105.0	148200.0	4295.0	473.0	154.0
отдельные квартиры	709559.0	691765.0	130524.0	192148.0	172742.0	128675.0	67676.0	15399.0	1897.0	498.0
коммунальные квартиры	6286.0	3189.0	715.0	875.0	744.0	542.0	313.0	2400.0	460.0	237.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	862844.0	842749.0	150952.0	228188.0	200414.0	159424.0	103771.0	16988.0	2382.0	725.0
в том числе:										
индивидуальные дома	319588.0	316217.0	50129.0	79194.0	68342.0	64014.0	54538.0	2920.0	361.0	90.0
отдельные квартиры	537855.0	523673.0	100176.0	148208.0	131420.0	94922.0	48947.0	12128.0	1627.0	427.0
коммунальные квартиры	5401.0	2859.0	647.0	786.0	652.0	488.0	286.0	1940.0	394.0	208.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	784078.0	778360.0	142663.0	205815.0	166566.0	150898.0	112418.0	5106.0	448.0	164.0
в том числе:										
индивидуальные дома	611489.0	609938.0	112247.0	161786.0	125152.0	117091.0	93662.0	1375.0	112.0	64.0
отдельные квартиры	171704.0	168092.0	30348.0	43940.0	41322.0	33753.0	18729.0	3271.0	270.0	71.0
коммунальные квартиры	885.0	330.0	68.0	89.0	92.0	54.0	27.0	460.0	66.0	29.0
Ставропольский край										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	844118.0	832793.0	150635.0	215164.0	181914.0	162222.0	122858.0	10017.0	1042.0	266.0
в том числе:										
индивидуальные дома	444113.0	439136.0	74363.0	106751.0	85136.0	88516.0	84370.0	4481.0	402.0	94.0
отдельные квартиры	396542.0	391959.0	75864.0	107912.0	96365.0	73438.0	38380.0	4103.0	383.0	97.0
коммунальные квартиры	3463.0	1698.0	408.0	501.0	413.0	268.0	108.0	1433.0	257.0	75.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	475333.0	466910.0	89187.0	126194.0	110638.0	86804.0	54087.0	7383.0	844.0	196.0
в том числе:										
индивидуальные дома	164539.0	161271.0	26829.0	38847.0	33619.0	32512.0	29464.0	2919.0	298.0	51.0
отдельные квартиры	307808.0	304019.0	61966.0	86864.0	76620.0	54042.0	24527.0	3365.0	341.0	83.0
коммунальные квартиры	2986.0	1620.0	392.0	483.0	399.0	250.0	96.0	1099.0	205.0	62.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	368785.0	365883.0	61448.0	88970.0	71276.0	75418.0	68771.0	2634.0	198.0	70.0
в том числе:										
индивидуальные дома	279574.0	277865.0	47534.0	67904.0	51517.0	56004.0	54906.0	1562.0	104.0	43.0
отдельные квартиры	88734.0	87940.0	13898.0	21048.0	19745.0	19396.0	13853.0	738.0	42.0	14.0
коммунальные квартиры	477.0	78.0	16.0	18.0	14.0	18.0	12.0	334.0	52.0	13.0
Астраханская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	322888.0	321111.0	57317.0	84548.0	76307.0	63668.0	39271.0	1534.0	188.0	55.0
в том числе:										
индивидуальные дома	124086.0	123888.0	21397.0	30195.0	24865.0	25930.0	21501.0	182.0	14.0	2.0
отдельные квартиры	197593.0	196432.0	35701.0	54142.0	51255.0	37617.0	17717.0	1025.0	110.0	26.0
коммунальные квартиры	1209.0	791.0	219.0	211.0	187.0	121.0	53.0	327.0	64.0	27.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	223078.0	221684.0	41129.0	61040.0	55811.0	42041.0	21663.0	1182.0	162.0	50.0
в том числе:										
индивидуальные дома	52924.0	52776.0	9438.0	13104.0	11197.0	10908.0	8129.0	134.0	13.0	1.0
отдельные квартиры	169063.0	168179.0	31481.0	47738.0	44447.0	31024.0	13489.0	771.0	90.0	23.0
коммунальные квартиры	1091.0	729.0	210.0	198.0	167.0	109.0	45.0	277.0	59.0	26.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	99810.0	99427.0	16188.0	23508.0	20496.0	21627.0	17608.0	352.0	26.0	5.0
в том числе:										
индивидуальные дома	71162.0	71112.0	11959.0	17091.0	13668.0	15022.0	13372.0	48.0	1.0	1.0
отдельные квартиры	28530.0	28253.0	4220.0	6404.0	6808.0	6593.0	4228.0	254.0	20.0	3.0
коммунальные квартиры	118.0	62.0	9.0	13.0	20.0	12.0	8.0	50.0	5.0	1.0
Волгоградская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	917799.0	904317.0	172599.0	262872.0	219589.0	164817.0	84440.0	11214.0	1943.0	325.0
в том числе:										
индивидуальные дома	335832.0	333466.0	65075.0	96564.0	71183.0	61368.0	39276.0	2110.0	198.0	58.0
отдельные квартиры	575242.0	569307.0	107171.0	165932.0	147989.0	103220.0	44995.0	5240.0	603.0	92.0
коммунальные квартиры	6725.0	1544.0	353.0	376.0	417.0	229.0	169.0	3864.0	1142.0	175.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	684120.0	671580.0	126493.0	195953.0	170120.0	121319.0	57695.0	10323.0	1906.0	311.0
в том числе:										
индивидуальные дома	158088.0	156161.0	29502.0	43956.0	34956.0	29075.0	18672.0	1692.0	180.0	55.0
отдельные квартиры	519532.0	513949.0	96651.0	151645.0	134767.0	92025.0	38861.0	4905.0	592.0	86.0
коммунальные квартиры	6500.0	1470.0	340.0	352.0	397.0	219.0	162.0	3726.0	1134.0	170.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	233679.0	232737.0	46106.0	66919.0	49469.0	43498.0	26745.0	891.0	37.0	14.0
в том числе:										
индивидуальные дома	177744.0	177305.0	35573.0	52608.0	36227.0	32293.0	20604.0	418.0	18.0	3.0
отдельные квартиры	55710.0	55358.0	10520.0	14287.0	13222.0	11195.0	6134.0	335.0	11.0	6.0
коммунальные квартиры	225.0	74.0	13.0	24.0	20.0	10.0	7.0	138.0	8.0	5.0
Ростовская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	1475514.0	1451725.0	267813.0	411839.0	346897.0	267999.0	157177.0	19047.0	3082.0	1660.0
в том числе:										
индивидуальные дома	640631.0	638335.0	115582.0	174199.0	134848.0	120772.0	92934.0	1891.0	258.0	147.0
отдельные квартиры	824432.0	810992.0	151682.0	236985.0	211470.0	146795.0	64060.0	11471.0	1545.0	424.0
коммунальные квартиры	10451.0	2398.0	549.0	655.0	579.0	432.0	183.0	5685.0	1279.0	1089.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	995874.0	974060.0	179570.0	279619.0	244118.0	177863.0	92890.0	17325.0	2926.0	1563.0
в том числе:										
индивидуальные дома	291407.0	289535.0	47260.0	75728.0	63986.0	58321.0	44240.0	1526.0	226.0	120.0
отдельные квартиры	694431.0	682250.0	131782.0	203270.0	179584.0	119130.0	48484.0	10361.0	1439.0	381.0
коммунальные квартиры	10036.0	2275.0	528.0	621.0	548.0	412.0	166.0	5438.0	1261.0	1062.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	479640.0	477665.0	88243.0	132220.0	102779.0	90136.0	64287.0	1722.0	156.0	97.0
в том числе:										
индивидуальные дома	349224.0	348800.0	68322.0	98471.0	70862.0	62451.0	48694.0	365.0	32.0	27.0
отдельные квартиры	130001.0	128742.0	19900.0	33715.0	31886.0	27665.0	15576.0	1110.0	106.0	43.0
коммунальные квартиры	415.0	123.0	21.0	34.0	31.0	20.0	17.0	247.0	18.0	27.0
Приволжский федеральный округ										
Республика Башкортостан										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	1329328.0	1315757.0	234064.0	343810.0	309030.0	277780.0	151073.0	10696.0	2236.0	639.0
в том числе:										
индивидуальные дома	513610.0	512742.0	99507.0	137937.0	99718.0	100985.0	74595.0	788.0	65.0	15.0
отдельные квартиры	806513.0	801207.0	134213.0	205405.0	208866.0	176418.0	76305.0	4694.0	540.0	72.0
коммунальные квартиры	9205.0	1808.0	344.0	468.0	446.0	377.0	173.0	5214.0	1631.0	552.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	843111.0	830741.0	145376.0	218192.0	211763.0	177857.0	77553.0	9650.0	2115.0	605.0
в том числе:										
индивидуальные дома	127816.0	127226.0	23823.0	33854.0	27322.0	26809.0	15418.0	532.0	48.0	10.0
отдельные квартиры	706919.0	702071.0	121255.0	183956.0	184089.0	150757.0	62014.0	4270.0	509.0	69.0
коммунальные квартиры	8376.0	1444.0	298.0	382.0	352.0	291.0	121.0	4848.0	1558.0	526.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	486217.0	485016.0	88688.0	125618.0	97267.0	99923.0	73520.0	1046.0	121.0	34.0
в том числе:										
индивидуальные дома	385794.0	385516.0	75684.0	104083.0	72396.0	74176.0	59177.0	256.0	17.0	5.0
отдельные квартиры	99594.0	99136.0	12958.0	21449.0	24777.0	25661.0	14291.0	424.0	31.0	3.0
коммунальные квартиры	829.0	364.0	46.0	86.0	94.0	86.0	52.0	366.0	73.0	26.0
Республика Марий Эл										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	243591.0	240887.0	47248.0	64096.0	57777.0	46068.0	25698.0	2167.0	378.0	159.0
в том числе:										
индивидуальные дома	75614.0	75489.0	17146.0	19279.0	13671.0	13331.0	12062.0	110.0	9.0	6.0
отдельные квартиры	166836.0	165242.0	30055.0	44775.0	44071.0	32715.0	13626.0	1353.0	193.0	48.0
коммунальные квартиры	1141.0	156.0	47.0	42.0	35.0	22.0	10.0	704.0	176.0	105.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	155852.0	153558.0	28990.0	43121.0	40611.0	29046.0	11790.0	1823.0	318.0	153.0
в том числе:										
индивидуальные дома	16855.0	16754.0	3630.0	4844.0	3503.0	2960.0	1817.0	89.0	7.0	5.0
отдельные квартиры	138045.0	136667.0	25318.0	38239.0	37076.0	26068.0	9966.0	1170.0	162.0	46.0
коммунальные квартиры	952.0	137.0	42.0	38.0	32.0	18.0	7.0	564.0	149.0	102.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	87739.0	87329.0	18258.0	20975.0	17166.0	17022.0	13908.0	344.0	60.0	6.0
в том числе:										
индивидуальные дома	58759.0	58735.0	13516.0	14435.0	10168.0	10371.0	10245.0	21.0	2.0	1.0
отдельные квартиры	28791.0	28575.0	4737.0	6536.0	6995.0	6647.0	3660.0	183.0	31.0	2.0
коммунальные квартиры	189.0	19.0	5.0	4.0	3.0	4.0	3.0	140.0	27.0	3.0
Республика Мордовия										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	312353.0	308334.0	69464.0	83152.0	75012.0	56216.0	24490.0	3268.0	585.0	166.0
в том числе:										
индивидуальные дома	138979.0	138442.0	40616.0	40272.0	25789.0	20371.0	11394.0	389.0	92.0	56.0
отдельные квартиры	172263.0	169721.0	28816.0	42840.0	49172.0	35815.0	13078.0	2133.0	344.0	65.0
коммунальные квартиры	1111.0	171.0	32.0	40.0	51.0	30.0	18.0	746.0	149.0	45.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	178575.0	174972.0	32489.0	45830.0	48613.0	34595.0	13445.0	2932.0	532.0	139.0
в том числе:										
индивидуальные дома	31786.0	31369.0	7599.0	8785.0	6906.0	5458.0	2621.0	309.0	72.0	36.0
отдельные квартиры	145881.0	143449.0	24861.0	37008.0	41661.0	29111.0	10808.0	2034.0	333.0	65.0
коммунальные квартиры	908.0	154.0	29.0	37.0	46.0	26.0	16.0	589.0	127.0	38.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	133778.0	133362.0	36975.0	37322.0	26399.0	21621.0	11045.0	336.0	53.0	27.0
в том числе:										
индивидуальные дома	107193.0	107073.0	33017.0	31487.0	18883.0	14913.0	8773.0	80.0	20.0	20.0
отдельные квартиры	26382.0	26272.0	3955.0	5832.0	7511.0	6704.0	2270.0	99.0	11.0	-
коммунальные квартиры	203.0	17.0	3.0	3.0	5.0	4.0	2.0	157.0	22.0	7.0
Республика Татарстан										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	1220834.0	1205983.0	211277.0	307850.0	282498.0	260818.0	143540.0	12740.0	1565.0	546.0
в том числе:										
индивидуальные дома	374342.0	373032.0	77815.0	98334.0	66878.0	68376.0	61629.0	1186.0	107.0	17.0
отдельные квартиры	834242.0	828660.0	132431.0	208557.0	214558.0	191545.0	81569.0	5049.0	457.0	76.0
коммунальные квартиры	12250.0	4291.0	1031.0	959.0	1062.0	897.0	342.0	6505.0	1001.0	453.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	889314.0	875065.0	142836.0	222839.0	222075.0	197788.0	89527.0	12218.0	1502.0	529.0
в том числе:										
индивидуальные дома	106427.0	105362.0	18234.0	26704.0	21626.0	22434.0	16364.0	961.0	88.0	16.0
отдельные квартиры	771131.0	765734.0	123627.0	195231.0	199469.0	174551.0	72856.0	4876.0	447.0	74.0
коммунальные квартиры	11756.0	3969.0	975.0	904.0	980.0	803.0	307.0	6381.0	967.0	439.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	331520.0	330918.0	68441.0	85011.0	60423.0	63030.0	54013.0	522.0	63.0	17.0
в том числе:										
индивидуальные дома	267915.0	267670.0	59581.0	71630.0	45252.0	45942.0	45265.0	225.0	19.0	1.0
отдельные квартиры	63111.0	62926.0	8804.0	13326.0	15089.0	16994.0	8713.0	173.0	10.0	2.0
коммунальные квартиры	494.0	322.0	56.0	55.0	82.0	94.0	35.0	124.0	34.0	14.0
Удмуртская Республика										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	515626.0	508462.0	91413.0	134124.0	124159.0	102262.0	56504.0	5718.0	1005.0	441.0
в том числе:										
индивидуальные дома	143472.0	143121.0	29333.0	38597.0	28150.0	26970.0	20071.0	318.0	24.0	9.0
отдельные квартиры	368604.0	364910.0	61985.0	95417.0	95909.0	75214.0	36385.0	3288.0	359.0	47.0
коммунальные квартиры	3550.0	431.0	95.0	110.0	100.0	78.0	48.0	2112.0	622.0	385.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	360329.0	353730.0	62878.0	95154.0	91583.0	70440.0	33675.0	5216.0	951.0	432.0
в том числе:										
индивидуальные дома	51881.0	51598.0	10215.0	14072.0	11189.0	10188.0	5934.0	253.0	21.0	9.0
отдельные квартиры	305135.0	301753.0	52580.0	80989.0	80306.0	60181.0	27697.0	3001.0	336.0	45.0
коммунальные квартиры	3313.0	379.0	83.0	93.0	88.0	71.0	44.0	1962.0	594.0	378.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	155297.0	154732.0	28535.0	38970.0	32576.0	31822.0	22829.0	502.0	54.0	9.0
в том числе:										
индивидуальные дома	91591.0	91523.0	19118.0	24525.0	16961.0	16782.0	14137.0	65.0	3.0	-
отдельные квартиры	63469.0	63157.0	9405.0	14428.0	15603.0	15033.0	8688.0	287.0	23.0	2.0
коммунальные квартиры	237.0	52.0	12.0	17.0	12.0	7.0	4.0	150.0	28.0	7.0
Чувашская Республика										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	427421.0	423738.0	87413.0	104504.0	95008.0	83966.0	52847.0	2863.0	530.0	290.0
в том числе:										
индивидуальные дома	187881.0	187726.0	48452.0	47138.0	31530.0	30644.0	29962.0	142.0	9.0	4.0
отдельные квартиры	237676.0	235664.0	38877.0	57300.0	63384.0	53244.0	22859.0	1767.0	206.0	39.0
коммунальные квартиры	1864.0	348.0	84.0	66.0	94.0	78.0	26.0	954.0	315.0	247.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	248704.0	245316.0	42873.0	61356.0	64633.0	53056.0	23398.0	2596.0	506.0	286.0
в том числе:										
индивидуальные дома	29509.0	29398.0	6778.0	7954.0	6233.0	5342.0	3091.0	101.0	7.0	3.0
отдельные квартиры	217493.0	215631.0	36023.0	53344.0	58329.0	47648.0	20287.0	1631.0	194.0	37.0
коммунальные квартиры	1702.0	287.0	72.0	58.0	71.0	66.0	20.0	864.0	305.0	246.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	178717.0	178422.0	44540.0	43148.0	30375.0	30910.0	29449.0	267.0	24.0	4.0
в том числе:										
индивидуальные дома	158372.0	158328.0	41674.0	39184.0	25297.0	25302.0	26871.0	41.0	2.0	1.0
отдельные квартиры	20183.0	20033.0	2854.0	3956.0	5055.0	5596.0	2572.0	136.0	12.0	2.0
коммунальные квартиры	162.0	61.0	12.0	8.0	23.0	12.0	6.0	90.0	10.0	1.0
Кировская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	550066.0	540604.0	123989.0	164065.0	131453.0	86330.0	34767.0	6987.0	1731.0	744.0
в том числе:										
индивидуальные дома	125486.0	125198.0	35740.0	41315.0	23206.0	16142.0	8795.0	242.0	30.0	16.0
отдельные квартиры	418872.0	414649.0	88020.0	122538.0	108083.0	70075.0	25933.0	3615.0	488.0	120.0
коммунальные квартиры	5708.0	757.0	229.0	212.0	164.0	113.0	39.0	3130.0	1213.0	608.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	385925.0	377013.0	81911.0	114430.0	97752.0	60836.0	22084.0	6497.0	1679.0	736.0
в том числе:										
индивидуальные дома	49339.0	49103.0	13172.0	16154.0	10183.0	6591.0	3003.0	197.0	26.0	13.0
отдельные квартиры	331103.0	327187.0	68516.0	98075.0	87411.0	54139.0	19046.0	3324.0	473.0	119.0
коммунальные квартиры	5483.0	723.0	223.0	201.0	158.0	106.0	35.0	2976.0	1180.0	604.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	164141.0	163591.0	42078.0	49635.0	33701.0	25494.0	12683.0	490.0	52.0	8.0
в том числе:										
индивидуальные дома	76147.0	76095.0	22568.0	25161.0	13023.0	9551.0	5792.0	45.0	4.0	3.0
отдельные квартиры	87769.0	87462.0	19504.0	24463.0	20672.0	15936.0	6887.0	291.0	15.0	1.0
коммунальные квартиры	225.0	34.0	6.0	11.0	6.0	7.0	4.0	154.0	33.0	4.0
Нижегородская область										
Городские и сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	1296667.0	1281520.0	299722.0	372688.0	313891.0	207910.0	87309.0	12782.0	1743.0	622.0
в том числе:										
индивидуальные дома	328107.0	327426.0	108519.0	102351.0	54789.0	40047.0	21720.0	626.0	48.0	7.0
отдельные квартиры	959928.0	952167.0	190697.0	269843.0	258594.0	167571.0	65462.0	7058.0	634.0	69.0
коммунальные квартиры	8632.0	1927.0	506.0	494.0	508.0	292.0	127.0	5098.0	1061.0	546.0
Городские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	989760.0	975640.0	207088.0	281257.0	256153.0	163921.0	67221.0	11840.0	1668.0	612.0
в том числе:										
индивидуальные дома	130878.0	130341.0	34141.0	37950.0	27198.0	20344.0	10708.0	492.0	39.0	6.0
отдельные квартиры	850802.0	843553.0	172485.0	242851.0	228509.0	143312.0	56396.0	6583.0	601.0	65.0
коммунальные квартиры	8080.0	1746.0	462.0	456.0	446.0	265.0	117.0	4765.0	1028.0	541.0
Сельские населенные пункты										
Все жилые помещения (включая арендуемые домохозяйствами у отдельных граждан)	306907.0	305880.0	92634.0	91431.0	57738.0	43989.0	20088.0	942.0	75.0	10.0
в том числе:										
