6. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ И УРОВНЮ ОБРАЗОВАНИЯ												
												
	Численность населения соответству-ющей националь-ности	в том числе  имеют образование								Не имеют
начального
общего
образова-ния
	из них неграмотные	Не указавшие уровень образова-ния
		профессиональное					общее					
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
Городское и сельское население КМН в возрасте 15 лет и более												
20 – 24	470.0	-	31.0	39.0	107.0	119.0	115.0	44.0	12.0	3.0	3.0	-
25 – 29	446.0	-	53.0	9.0	108.0	138.0	80.0	48.0	9.0	1.0	1.0	-
30 – 39	1081.0	1.0	95.0	28.0	340.0	324.0	239.0	36.0	13.0	5.0	5.0	-
40 – 49	1857.0	1.0	236.0	18.0	530.0	580.0	379.0	83.0	26.0	4.0	4.0	-
50 – 59	965.0	-	130.0	11.0	224.0	224.0	145.0	139.0	89.0	3.0	3.0	-
60 и более	2170.0	-	69.0	6.0	131.0	154.0	74.0	368.0	1203.0	165.0	95.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Нанайцы	8738.0	10.0	594.0	161.0	1652.0	1606.0	1486.0	2474.0	680.0	59.0	43.0	16.0
в том числе в возрасте, лет:												
15 – 19	1387.0	-	-	2.0	33.0	88.0	280.0	823.0	148.0	6.0	4.0	7.0
20 – 24	1156.0	-	34.0	54.0	201.0	217.0	248.0	341.0	51.0	8.0	8.0	2.0
25 – 29	909.0	1.0	63.0	20.0	181.0	166.0	154.0	290.0	30.0	3.0	3.0	1.0
30 – 39	1712.0	2.0	147.0	40.0	406.0	357.0	342.0	379.0	33.0	5.0	5.0	1.0
40 – 49	1860.0	6.0	171.0	27.0	486.0	525.0	279.0	299.0	58.0	5.0	5.0	4.0
50 – 59	854.0	1.0	101.0	12.0	207.0	168.0	127.0	184.0	49.0	4.0	4.0	1.0
60 и более	860.0	-	78.0	6.0	138.0	85.0	56.0	158.0	311.0	28.0	14.0	-
Возраст не указан	1.0	-	-	-	-	-	-	-	-	-	-	1.0
Нганасаны	538.0	-	13.0	3.0	70.0	42.0	168.0	171.0	59.0	12.0	9.0	-
в том числе в возрасте, лет:												
15 – 19	96.0	-	-	-	3.0	2.0	17.0	56.0	17.0	1.0	-	-
20 – 24	65.0	-	-	-	6.0	9.0	21.0	22.0	6.0	1.0	-	-
25 – 29	66.0	-	3.0	-	6.0	9.0	18.0	26.0	3.0	1.0	1.0	-
30 – 39	126.0	-	3.0	1.0	22.0	11.0	61.0	26.0	2.0	-	-	-
40 – 49	93.0	-	4.0	1.0	17.0	10.0	37.0	22.0	2.0	-	-	-
50 – 59	56.0	-	2.0	1.0	14.0	1.0	10.0	18.0	7.0	3.0	3.0	-
60 и более	36.0	-	1.0	-	2.0	-	4.0	1.0	22.0	6.0	5.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
