6. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ И УРОВНЮ ОБРАЗОВАНИЯ												
												
	Численность населения соответству-ющей националь-ности	в том числе  имеют образование								Не имеют
начального
общего
образова-ния
	из них неграмотные	Не указавшие уровень образова-ния
		профессиональное					общее					
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
Городское и сельское население КМН в возрасте 15 лет и более												
в том числе в возрасте, лет:												
15 – 19	280.0	-	-	2.0	12.0	11.0	49.0	179.0	27.0	-	-	-
20 – 24	230.0	-	4.0	8.0	35.0	46.0	45.0	78.0	12.0	2.0	1.0	-
25 – 29	199.0	-	16.0	2.0	45.0	28.0	38.0	62.0	7.0	1.0	1.0	-
30 – 39	383.0	1.0	27.0	10.0	101.0	96.0	82.0	56.0	6.0	4.0	3.0	-
40 – 49	372.0	1.0	18.0	7.0	111.0	92.0	73.0	56.0	12.0	1.0	-	1.0
50 – 59	162.0	-	15.0	1.0	46.0	28.0	28.0	28.0	12.0	3.0	1.0	1.0
60 и более	112.0	-	12.0	-	9.0	10.0	-	22.0	47.0	12.0	2.0	-
Возраст не указан	3.0	-	-	-	-	-	1.0	2.0	-	-	-	-
Орочи	106.0	-	9.0	3.0	18.0	18.0	24.0	31.0	2.0	1.0	-	-
в том числе в возрасте, лет:												
15 – 19	21.0	-	-	-	1.0	1.0	7.0	11.0	1.0	-	-	-
20 – 24	12.0	-	1.0	1.0	1.0	1.0	3.0	4.0	1.0	-	-	-
25 – 29	12.0	-	1.0	-	2.0	2.0	4.0	3.0	-	-	-	-
30 – 39	21.0	-	2.0	-	6.0	4.0	3.0	6.0	-	-	-	-
40 – 49	21.0	-	2.0	1.0	1.0	6.0	6.0	5.0	-	-	-	-
50 – 59	7.0	-	1.0	-	3.0	3.0	-	-	-	-	-	-
60 и более	12.0	-	2.0	1.0	4.0	1.0	1.0	2.0	-	1.0	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Саамы	548.0	1.0	59.0	17.0	113.0	108.0	115.0	85.0	39.0	11.0	4.0	-
в том числе в возрасте, лет:												
15 – 19	70.0	-	-	1.0	-	4.0	21.0	36.0	8.0	-	-	-
20 – 24	84.0	-	6.0	7.0	20.0	22.0	18.0	8.0	1.0	2.0	1.0	-
25 – 29	58.0	1.0	9.0	4.0	13.0	16.0	7.0	6.0	1.0	1.0	-	-
30 – 39	94.0	-	14.0	3.0	27.0	24.0	17.0	5.0	2.0	2.0	-	-
40 – 49	109.0	-	17.0	1.0	28.0	28.0	29.0	5.0	1.0	-	-	-
50 – 59	62.0	-	6.0	-	14.0	10.0	18.0	12.0	1.0	1.0	-	-
60 и более	71.0	-	7.0	1.0	11.0	4.0	5.0	13.0	25.0	5.0	3.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Селькупы	550.0	1.0	62.0	18.0	132.0	83.0	110.0	103.0	35.0	6.0	4.0	-
в том числе в возрасте, лет:												
15 – 19	99.0	-	-	1.0	1.0	8.0	34.0	46.0	7.0	2.0	2.0	-
20 – 24	73.0	-	6.0	11.0	12.0	12.0	18.0	13.0	1.0	-	-	-
25 – 29	56.0	-	9.0	-	17.0	15.0	5.0	7.0	3.0	-	-	-
30 – 39	101.0	1.0	20.0	2.0	39.0	12.0	18.0	7.0	1.0	1.0	1.0	-
40 – 49	97.0	-	6.0	3.0	29.0	21.0	23.0	12.0	3.0	-	-	-
50 – 59	57.0	-	12.0	1.0	16.0	9.0	10.0	7.0	2.0	-	-	-
60 и более	67.0	-	9.0	-	18.0	6.0	2.0	11.0	18.0	3.0	1.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Сойоты	202.0	-	50.0	27.0	32.0	7.0	66.0	16.0	4.0	-	-	-
в том числе в возрасте, лет:												
15 – 19	72.0	-	-	8.0	3.0	2.0	43.0	14.0	2.0	-	-	-
20 – 24	45.0	-	9.0	15.0	10.0	-	11.0	-	-	-	-	-
25 – 29	27.0	-	11.0	2.0	8.0	-	5.0	1.0	-	-	-	-
30 – 39	22.0	-	13.0	1.0	1.0	3.0	4.0	-	-	-	-	-
40 – 49	16.0	-	11.0	-	5.0	-	-	-	-	-	-	-
50 – 59	16.0	-	6.0	1.0	4.0	2.0	3.0	-	-	-	-	-
60 и более	4.0	-	-	-	1.0	-	-	1.0	2.0	-	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Тазы	79.0	-	14.0	2.0	22.0	8.0	16.0	9.0	7.0	1.0	1.0	-
в том числе в возрасте, лет:												
15 – 19	9.0	-	-	-	-	1.0	3.0	5.0	-	-	-	-
20 – 24	10.0	-	1.0	2.0	2.0	1.0	4.0	-	-	-	-	-
25 – 29	11.0	-	2.0	-	4.0	3.0	1.0	-	1.0	-	-	-
30 – 39	12.0	-	2.0	-	6.0	2.0	1.0	1.0	-	-	-	-
40 – 49	14.0	-	4.0	-	5.0	1.0	3.0	1.0	-	-	-	-
50 – 59	9.0	-	4.0	-	3.0	-	2.0	-	-	-	-	-
60 и более	14.0	-	1.0	-	2.0	-	2.0	2.0	6.0	1.0	1.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Теленгиты	74.0	-	14.0	5.0	14.0	4.0	25.0	12.0	-	-	-	-
в том числе в возрасте, лет:												
15 – 19	28.0	-	-	-	1.0	1.0	15.0	11.0	-	-	-	-
20 – 24	15.0	-	2.0	3.0	3.0	-	6.0	1.0	-	-	-	-
25 – 29	5.0	-	1.0	-	1.0	-	3.0	-	-	-	-	-
30 – 39	11.0	-	3.0	1.0	4.0	2.0	1.0	-	-	-	-	-
40 – 49	9.0	-	4.0	1.0	4.0	-	-	-	-	-	-	-
50 – 59	3.0	-	2.0	-	1.0	-	-	-	-	-	-	-
60 и более	3.0	-	2.0	-	-	1.0	-	-	-	-	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Телеуты	842.0	-	69.0	17.0	205.0	155.0	188.0	126.0	54.0	28.0	19.0	-
в том числе в возрасте, лет:												
15 – 19	120.0	-	-	2.0	7.0	11.0	53.0	41.0	6.0	-	-	-
20 – 24	106.0	-	8.0	6.0	22.0	35.0	23.0	11.0	1.0	-	-	-
25 – 29	87.0	-	13.0	2.0	26.0	18.0	19.0	9.0	-	-	-	-
30 – 39	133.0	-	13.0	3.0	46.0	41.0	20.0	8.0	2.0	-	-	-
40 – 49	201.0	-	24.0	3.0	62.0	34.0	52.0	23.0	3.0	-	-	-
50 – 59	83.0	-	5.0	1.0	31.0	13.0	17.0	14.0	2.0	-	-	-
60 и более	112.0	-	6.0	-	11.0	3.0	4.0	20.0	40.0	28.0	19.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Тофалары	34.0	-	4.0	1.0	9.0	5.0	9.0	5.0	1.0	-	-	-
в том числе в возрасте, лет:												
15 – 19	5.0	-	-	-	-	-	3.0	2.0	-	-	-	-
20 – 24	4.0	-	-	1.0	1.0	-	1.0	1.0	-	-	-	-
25 – 29	7.0	-	1.0	-	2.0	2.0	1.0	1.0	-	-	-	-
30 – 39	7.0	-	2.0	-	2.0	2.0	1.0	-	-	-	-	-
40 – 49	8.0	-	1.0	-	3.0	1.0	1.0	1.0	1.0	-	-	-
50 – 59	3.0	-	-	-	1.0	-	2.0	-	-	-	-	-
60 и более	-	-	-	-	-	-	-	-	-	-	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Тубалары	101.0	2.0	30.0	8.0	27.0	5.0	14.0	10.0	3.0	2.0	2.0	-
в том числе в возрасте, лет:												
15 – 19	15.0	-	-	1.0	-	-	6.0	8.0	-	-	-	-
20 – 24	13.0	-	-	3.0	8.0	1.0	-	-	1.0	-	-	-
25 – 29	9.0	-	3.0	2.0	2.0	-	1.0	1.0	-	-	-	-
30 – 39	19.0	-	6.0	2.0	7.0	1.0	2.0	1.0	-	-	-	-
40 – 49	20.0	1.0	8.0	-	5.0	3.0	3.0	-	-	-	-	-
50 – 59	12.0	-	7.0	-	3.0	-	2.0	-	-	-	-	-
60 и более	13.0	1.0	6.0	-	2.0	-	-	-	2.0	2.0	2.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Тувинцы-тоджинцы	2.0	-	2.0	-	-	-	-	-	-	-	-	-
в том числе в возрасте, лет:												
15 – 19	-	-	-	-	-	-	-	-	-	-	-	-
20 – 24	-	-	-	-	-	-	-	-	-	-	-	-
25 – 29	-	-	-	-	-	-	-	-	-	-	-	-
30 – 39	1.0	-	1.0	-	-	-	-	-	-	-	-	-
40 – 49	-	-	-	-	-	-	-	-	-	-	-	-
50 – 59	1.0	-	1.0	-	-	-	-	-	-	-	-	-
60 и более	-	-	-	-	-	-	-	-	-	-	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Удэгейцы	276.0	-	41.0	10.0	51.0	41.0	72.0	50.0	9.0	2.0	1.0	-
в том числе в возрасте, лет:												
15 – 19	50.0	-	-	2.0	1.0	3.0	24.0	18.0	2.0	-	-	-
20 – 24	38.0	-	2.0	5.0	10.0	6.0	12.0	2.0	1.0	-	-	-
25 – 29	27.0	-	5.0	-	3.0	5.0	8.0	5.0	-	1.0	-	-
30 – 39	64.0	-	12.0	2.0	18.0	12.0	9.0	11.0	-	-	-	-
40 – 49	52.0	-	14.0	1.0	9.0	11.0	12.0	5.0	-	-	-	-
50 – 59	27.0	-	6.0	-	9.0	3.0	5.0	4.0	-	-	-	-
60 и более	18.0	-	2.0	-	1.0	1.0	2.0	5.0	6.0	1.0	1.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Ульта (oроки)	130.0	-	6.0	2.0	20.0	15.0	33.0	38.0	11.0	4.0	2.0	1.0
в том числе в возрасте, лет:												
15 – 19	20.0	-	-	-	-	1.0	4.0	13.0	1.0	-	-	1.0
20 – 24	23.0	-	2.0	-	1.0	6.0	8.0	6.0	-	-	-	-
25 – 29	12.0	-	-	-	1.0	-	2.0	6.0	1.0	2.0	1.0	-
30 – 39	35.0	-	2.0	1.0	13.0	3.0	8.0	7.0	-	1.0	-	-
40 – 49	24.0	-	1.0	1.0	3.0	5.0	11.0	2.0	1.0	-	-	-
50 – 59	8.0	-	1.0	-	2.0	-	-	3.0	2.0	-	-	-
60 и более	8.0	-	-	-	-	-	-	1.0	6.0	1.0	1.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Ульчи	352.0	-	44.0	11.0	96.0	44.0	69.0	69.0	16.0	3.0	3.0	-
в том числе в возрасте, лет:												
15 – 19	62.0	-	-	1.0	-	3.0	25.0	27.0	6.0	-	-	-
20 – 24	62.0	-	3.0	7.0	14.0	9.0	9.0	19.0	1.0	-	-	-
25 – 29	32.0	-	3.0	-	6.0	5.0	14.0	3.0	1.0	-	-	-
30 – 39	54.0	-	9.0	1.0	21.0	10.0	6.0	5.0	2.0	-	-	-
40 – 49	62.0	-	12.0	-	27.0	10.0	7.0	6.0	-	-	-	-
50 – 59	45.0	-	11.0	2.0	17.0	5.0	5.0	4.0	-	1.0	1.0	-
60 и более	35.0	-	6.0	-	11.0	2.0	3.0	5.0	6.0	2.0	2.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Ханты	6682.0	23.0	753.0	235.0	1884.0	684.0	1367.0	1219.0	426.0	74.0	53.0	17.0
в том числе в возрасте, лет:												
15 – 19	1314.0	-	-	35.0	60.0	41.0	455.0	610.0	97.0	11.0	7.0	5.0
20 – 24	1006.0	1.0	62.0	98.0	241.0	99.0	299.0	162.0	36.0	7.0	7.0	1.0
25 – 29	754.0	2.0	150.0	31.0	222.0	79.0	127.0	103.0	34.0	3.0	2.0	3.0
30 – 39	1431.0	7.0	219.0	40.0	557.0	202.0	217.0	112.0	66.0	9.0	5.0	2.0
40 – 49	1206.0	8.0	179.0	18.0	493.0	163.0	189.0	100.0	44.0	9.0	4.0	3.0
50 – 59	502.0	2.0	80.0	5.0	180.0	68.0	54.0	68.0	37.0	8.0	5.0	-
60 и более	469.0	3.0	63.0	8.0	131.0	32.0	26.0	64.0	112.0	27.0	23.0	3.0
Возраст не указан	1.0	-	-	-	1.0	-	-	-	-	-	-	-
Челканцы	94.0	2.0	30.0	6.0	18.0	6.0	16.0	12.0	4.0	-	-	-
в том числе в возрасте, лет:												
15 – 19	26.0	-	-	-	1.0	1.0	11.0	11.0	2.0	-	-	-
20 – 24	9.0	-	2.0	2.0	2.0	1.0	2.0	-	-	-	-	-
25 – 29	5.0	-	2.0	1.0	1.0	1.0	-	-	-	-	-	-
30 – 39	13.0	1.0	5.0	1.0	4.0	1.0	1.0	-	-	-	-	-
40 – 49	25.0	-	15.0	2.0	7.0	1.0	-	-	-	-	-	-
50 – 59	9.0	-	4.0	-	2.0	1.0	2.0	-	-	-	-	-
60 и более	7.0	1.0	2.0	-	1.0	-	-	1.0	2.0	-	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Чуванцы	228.0	1.0	52.0	6.0	56.0	24.0	47.0	30.0	9.0	1.0	1.0	2.0
в том числе в возрасте, лет:												
15 – 19	39.0	-	-	-	1.0	3.0	14.0	17.0	4.0	-	-	-
20 – 24	28.0	1.0	3.0	1.0	6.0	5.0	7.0	4.0	-	-	-	1.0
25 – 29	21.0	-	5.0	-	4.0	3.0	6.0	2.0	-	-	-	1.0
30 – 39	49.0	-	19.0	1.0	15.0	6.0	5.0	3.0	-	-	-	-
40 – 49	43.0	-	16.0	2.0	13.0	3.0	8.0	-	1.0	-	-	-
50 – 59	30.0	-	5.0	1.0	13.0	4.0	4.0	3.0	-	-	-	-
60 и более	18.0	-	4.0	1.0	4.0	-	3.0	1.0	4.0	1.0	1.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Чукчи	1706.0	1.0	155.0	19.0	328.0	202.0	464.0	420.0	88.0	17.0	11.0	12.0
в том числе в возрасте, лет:												
15 – 19	441.0	-	-	-	11.0	30.0	144.0	197.0	47.0	1.0	1.0	11.0
20 – 24	291.0	-	11.0	1.0	52.0	49.0	95.0	75.0	7.0	1.0	-	-
25 – 29	190.0	1.0	14.0	-	49.0	24.0	54.0	45.0	3.0	-	-	-
30 – 39	342.0	-	49.0	8.0	90.0	52.0	79.0	52.0	7.0	4.0	4.0	1.0
40 – 49	289.0	-	52.0	6.0	90.0	32.0	73.0	27.0	7.0	2.0	1.0	-
50 – 59	102.0	-	22.0	4.0	28.0	11.0	16.0	16.0	4.0	1.0	1.0	-
60 и более	51.0	-	7.0	-	8.0	4.0	3.0	8.0	13.0	8.0	4.0	-
Возраст не указан	1.0	-	1.0	-	-	-	-	-	-	-	-	-
Чулымцы	40.0	-	2.0	1.0	14.0	7.0	6.0	5.0	5.0	-	-	-
в том числе в возрасте, лет:												
15 – 19	4.0	-	-	-	-	-	3.0	1.0	-	-	-	-
20 – 24	5.0	-	-	1.0	3.0	-	1.0	-	-	-	-	-
25 – 29	2.0	-	-	-	1.0	1.0	-	-	-	-	-	-
30 – 39	10.0	-	1.0	-	5.0	2.0	2.0	-	-	-	-	-
40 – 49	5.0	-	-	-	2.0	3.0	-	-	-	-	-	-
50 – 59	6.0	-	1.0	-	3.0	1.0	-	1.0	-	-	-	-
60 и более	8.0	-	-	-	-	-	-	3.0	5.0	-	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Шапсуги	662.0	1.0	147.0	33.0	200.0	54.0	116.0	75.0	35.0	1.0	1.0	-
в том числе в возрасте, лет:												
15 – 19	77.0	-	-	8.0	5.0	1.0	23.0	36.0	4.0	-	-	-
20 – 24	54.0	-	19.0	8.0	8.0	2.0	15.0	1.0	-	1.0	1.0	-
25 – 29	50.0	-	22.0	6.0	13.0	3.0	4.0	2.0	-	-	-	-
30 – 39	102.0	-	22.0	4.0	46.0	12.0	18.0	-	-	-	-	-
40 – 49	143.0	-	28.0	2.0	65.0	12.0	33.0	3.0	-	-	-	-
50 – 59	80.0	-	25.0	4.0	24.0	13.0	10.0	4.0	-	-	-	-
60 и более	156.0	1.0	31.0	1.0	39.0	11.0	13.0	29.0	31.0	-	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Шорцы	7286.0	6.0	439.0	107.0	1724.0	1541.0	1350.0	1253.0	742.0	123.0	73.0	1.0
в том числе в возрасте, лет:												
15 – 19	887.0	-	-	4.0	36.0	52.0	245.0	447.0	99.0	4.0	4.0	-
20 – 24	764.0	-	41.0	31.0	165.0	167.0	217.0	125.0	12.0	5.0	3.0	1.0
25 – 29	690.0	-	67.0	19.0	168.0	167.0	150.0	104.0	12.0	3.0	2.0	-
30 – 39	1473.0	3.0	86.0	26.0	512.0	463.0	238.0	122.0	22.0	1.0	1.0	-
40 – 49	1688.0	3.0	123.0	15.0	563.0	468.0	327.0	151.0	34.0	4.0	2.0	-
50 – 59	721.0	-	61.0	7.0	173.0	143.0	116.0	140.0	76.0	5.0	1.0	-
60 и более	1063.0	-	61.0	5.0	107.0	81.0	57.0	164.0	487.0	101.0	60.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Эвенки	6022.0	15.0	969.0	272.0	1433.0	540.0	1640.0	882.0	214.0	54.0	42.0	3.0
в том числе в возрасте, лет:												
15 – 19	1223.0	-	-	39.0	45.0	40.0	579.0	462.0	55.0	2.0	1.0	1.0
20 – 24	921.0	-	71.0	82.0	201.0	85.0	361.0	101.0	14.0	6.0	4.0	-
25 – 29	715.0	2.0	142.0	51.0	200.0	81.0	169.0	60.0	6.0	4.0	3.0	-
30 – 39	1289.0	4.0	300.0	54.0	448.0	152.0	254.0	62.0	9.0	6.0	5.0	-
40 – 49	936.0	3.0	216.0	25.0	323.0	118.0	165.0	73.0	10.0	2.0	1.0	1.0
50 – 59	479.0	4.0	137.0	14.0	133.0	45.0	79.0	48.0	17.0	2.0	2.0	-
60 и более	459.0	2.0	103.0	7.0	83.0	19.0	33.0	76.0	103.0	32.0	26.0	1.0
Возраст не указан	1.0	-	-	-	-	-	-	-	-	-	-	1.0
Эвены	4386.0	13.0	561.0	190.0	1073.0	409.0	1087.0	756.0	232.0	60.0	50.0	5.0
в том числе в возрасте, лет:												
15 – 19	794.0	-	-	23.0	20.0	26.0	316.0	337.0	68.0	3.0	3.0	1.0
20 – 24	671.0	1.0	43.0	67.0	147.0	73.0	224.0	94.0	17.0	4.0	4.0	1.0
25 – 29	562.0	2.0	91.0	33.0	143.0	66.0	128.0	87.0	7.0	5.0	5.0	-
30 – 39	914.0	3.0	171.0	43.0	328.0	103.0	188.0	69.0	5.0	3.0	3.0	1.0
40 – 49	690.0	4.0	130.0	18.0	235.0	93.0	130.0	66.0	9.0	4.0	4.0	1.0
50 – 59	393.0	2.0	75.0	6.0	129.0	35.0	75.0	46.0	23.0	2.0	1.0	-
60 и более	362.0	1.0	51.0	-	71.0	13.0	26.0	57.0	103.0	39.0	30.0	1.0
Возраст не указан	1.0	-	-	-	1.0	-	-	-	-	-	-	-
Энцы	20.0	-	9.0	-	4.0	2.0	3.0	2.0	-	-	-	-
в том числе в возрасте, лет:												
15 – 19	5.0	-	-	-	1.0	-	2.0	2.0	-	-	-	-
20 – 24	2.0	-	1.0	-	-	1.0	-	-	-	-	-	-
25 – 29	1.0	-	-	-	-	1.0	-	-	-	-	-	-
30 – 39	3.0	-	1.0	-	1.0	-	1.0	-	-	-	-	-
40 – 49	6.0	-	5.0	-	1.0	-	-	-	-	-	-	-
50 – 59	3.0	-	2.0	-	1.0	-	-	-	-	-	-	-
60 и более	-	-	-	-	-	-	-	-	-	-	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Эскимосы	294.0	-	23.0	6.0	61.0	52.0	73.0	65.0	10.0	-	-	4.0
в том числе в возрасте, лет:												
15 – 19	67.0	-	-	1.0	-	6.0	21.0	36.0	3.0	-	-	-
20 – 24	46.0	-	1.0	-	9.0	11.0	15.0	8.0	2.0	-	-	-
25 – 29	36.0	-	1.0	-	14.0	10.0	4.0	6.0	-	-	-	1.0
30 – 39	58.0	-	8.0	4.0	17.0	11.0	13.0	4.0	-	-	-	1.0
40 – 49	50.0	-	5.0	-	15.0	9.0	11.0	6.0	3.0	-	-	1.0
50 – 59	29.0	-	5.0	1.0	5.0	5.0	8.0	2.0	2.0	-	-	1.0
60 и более	8.0	-	3.0	-	1.0	-	1.0	3.0	-	-	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Юкагиры	357.0	4.0	72.0	17.0	88.0	24.0	95.0	40.0	13.0	3.0	3.0	1.0
в том числе в возрасте, лет:												
15 – 19	59.0	-	-	1.0	2.0	2.0	30.0	23.0	1.0	-	-	-
20 – 24	42.0	1.0	2.0	7.0	9.0	2.0	19.0	1.0	-	-	-	1.0
25 – 29	59.0	-	17.0	2.0	16.0	4.0	19.0	1.0	-	-	-	-
30 – 39	79.0	1.0	21.0	4.0	27.0	7.0	15.0	3.0	1.0	-	-	-
40 – 49	49.0	-	14.0	3.0	17.0	4.0	8.0	2.0	1.0	-	-	-
50 – 59	36.0	-	13.0	-	14.0	2.0	2.0	4.0	1.0	-	-	-
60 и более	33.0	2.0	5.0	-	3.0	3.0	2.0	6.0	9.0	3.0	3.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Cельское население КМН в возрасте 15 лет и более												
Абазины	16008.0	36.0	1541.0	550.0	3471.0	1649.0	4203.0	2328.0	1944.0	286.0	235.0	-
в том числе в возрасте, лет:												
15 – 19	2001.0	-	-	129.0	145.0	51.0	656.0	946.0	71.0	3.0	3.0	-
20 – 24	1455.0	4.0	185.0	267.0	350.0	150.0	433.0	58.0	5.0	3.0	3.0	-
25 – 29	1296.0	3.0	222.0	36.0	385.0	181.0	402.0	53.0	13.0	1.0	1.0	-
30 – 39	2924.0	9.0	336.0	58.0	913.0	478.0	973.0	122.0	30.0	5.0	4.0	-
40 – 49	3039.0	10.0	368.0	36.0	971.0	424.0	993.0	200.0	31.0	6.0	6.0	-
50 – 59	1369.0	5.0	192.0	11.0	350.0	180.0	355.0	199.0	72.0	5.0	5.0	-
60 и более	3924.0	5.0	238.0	13.0	357.0	185.0	391.0	750.0	1722.0	263.0	213.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Алеуты	265.0	-	14.0	6.0	29.0	48.0	53.0	94.0	19.0	1.0	-	1.0
в том числе в возрасте, лет:												
15 – 19	29.0	-	-	-	1.0	1.0	4.0	19.0	3.0	-	-	1.0
20 – 24	24.0	-	-	2.0	2.0	2.0	8.0	8.0	2.0	-	-	-
25 – 29	35.0	-	2.0	1.0	3.0	1.0	11.0	14.0	3.0	-	-	-
30 – 39	44.0	-	5.0	3.0	9.0	13.0	6.0	8.0	-	-	-	-
40 – 49	53.0	-	3.0	-	4.0	18.0	7.0	19.0	2.0	-	-	-
50 – 59	53.0	-	4.0	-	7.0	12.0	12.0	16.0	2.0	-	-	-
60 и более	27.0	-	-	-	3.0	1.0	5.0	10.0	7.0	1.0	-	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Бесермяне	1914.0	-	91.0	13.0	311.0	307.0	383.0	373.0	352.0	84.0	51.0	-
в том числе в возрасте, лет:												
15 – 19	139.0	-	-	-	6.0	8.0	22.0	82.0	19.0	2.0	1.0	-
20 – 24	98.0	-	7.0	3.0	23.0	13.0	27.0	21.0	3.0	1.0	-	-
25 – 29	113.0	-	5.0	2.0	28.0	18.0	34.0	16.0	7.0	3.0	3.0	-
30 – 39	379.0	-	18.0	3.0	93.0	87.0	143.0	30.0	2.0	3.0	3.0	-
40 – 49	410.0	-	30.0	-	87.0	112.0	117.0	58.0	4.0	2.0	2.0	-
50 – 59	204.0	-	22.0	4.0	44.0	37.0	30.0	58.0	6.0	3.0	2.0	-
60 и более	571.0	-	9.0	1.0	30.0	32.0	10.0	108.0	311.0	70.0	40.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Вепсы	2933.0	-	126.0	24.0	501.0	569.0	310.0	526.0	802.0	75.0	56.0	-
в том числе в возрасте, лет:												
15 – 19	109.0	-	-	-	2.0	6.0	20.0	63.0	17.0	1.0	1.0	-
20 – 24	91.0	-	5.0	10.0	16.0	21.0	23.0	14.0	2.0	-	-	-
25 – 29	91.0	-	5.0	4.0	11.0	29.0	29.0	13.0	-	-	-	-
30 – 39	281.0	-	21.0	1.0	95.0	78.0	61.0	24.0	1.0	-	-	-
40 – 49	572.0	-	37.0	6.0	156.0	211.0	97.0	50.0	15.0	-	-	-
50 – 59	304.0	-	26.0	1.0	77.0	94.0	32.0	59.0	15.0	-	-	-
60 и более	1485.0	-	32.0	2.0	144.0	130.0	48.0	303.0	752.0	74.0	55.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Долганы	3824.0	1.0	139.0	44.0	684.0	343.0	973.0	1024.0	533.0	81.0	64.0	2.0
в том числе в возрасте, лет:												
15 – 19	590.0	-	-	1.0	2.0	6.0	67.0	344.0	162.0	8.0	6.0	-
20 – 24	453.0	-	12.0	6.0	47.0	41.0	121.0	164.0	62.0	-	-	-
25 – 29	402.0	-	19.0	6.0	46.0	28.0	143.0	135.0	23.0	2.0	1.0	-
30 – 39	918.0	-	41.0	17.0	218.0	123.0	345.0	143.0	30.0	1.0	1.0	-
40 – 49	739.0	1.0	24.0	8.0	214.0	102.0	227.0	130.0	26.0	7.0	6.0	-
50 – 59	365.0	-	21.0	5.0	103.0	34.0	55.0	77.0	67.0	3.0	3.0	-
60 и более	357.0	-	22.0	1.0	54.0	9.0	15.0	31.0	163.0	60.0	47.0	2.0
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Ижорцы	128.0	-	6.0	-	15.0	15.0	11.0	28.0	48.0	4.0	1.0	1.0
в том числе в возрасте, лет:												
15 – 19	-	-	-	-	-	-	-	-	-	-	-	-
20 – 24	2.0	-	-	-	-	1.0	1.0	-	-	-	-	-
25 – 29	2.0	-	1.0	-	1.0	-	-	-	-	-	-	-
30 – 39	1.0	-	-	-	1.0	-	-	-	-	-	-	-
40 – 49	12.0	-	-	-	5.0	3.0	2.0	2.0	-	-	-	-
50 – 59	10.0	-	2.0	-	1.0	3.0	3.0	1.0	-	-	-	-
60 и более	101.0	-	3.0	-	7.0	8.0	5.0	25.0	48.0	4.0	1.0	1.0
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Ительмены	1438.0	1.0	64.0	19.0	348.0	198.0	342.0	361.0	98.0	7.0	5.0	-
в том числе в возрасте, лет:												
15 – 19	203.0	-	-	-	5.0	2.0	38.0	119.0	38.0	1.0	1.0	-
20 – 24	172.0	-	4.0	9.0	20.0	21.0	42.0	62.0	12.0	2.0	1.0	-
25 – 29	142.0	-	4.0	2.0	27.0	25.0	40.0	41.0	2.0	1.0	1.0	-
30 – 39	273.0	1.0	16.0	4.0	95.0	58.0	61.0	35.0	3.0	-	-	-
40 – 49	304.0	-	24.0	2.0	104.0	48.0	88.0	31.0	7.0	-	-	-
50 – 59	186.0	-	7.0	2.0	62.0	26.0	51.0	32.0	6.0	-	-	-
60 и более	158.0	-	9.0	-	35.0	18.0	22.0	41.0	30.0	3.0	2.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Камчадалы	659.0	-	31.0	10.0	144.0	145.0	117.0	146.0	65.0	1.0	1.0	-
в том числе в возрасте, лет:												
15 – 19	90.0	-	-	-	3.0	5.0	11.0	53.0	18.0	-	-	-
20 – 24	54.0	-	5.0	2.0	11.0	19.0	7.0	9.0	1.0	-	-	-
