4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудо-способном возрасте	Средний возраст
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64		
Центральный федеральный округ													
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	37842.0	668.0	4810.0	5912.0	5682.0	5643.0	5910.0	4474.0	3072.0	1130.0	541.0	36681.0	37.1
образование	44945.0	663.0	3608.0	4737.0	5460.0	6014.0	6935.0	6912.0	5789.0	2910.0	1917.0	40819.0	40.9
здравоохранение и предоставление социальных услуг	36245.0	420.0	3053.0	3908.0	4361.0	4813.0	5618.0	5568.0	4889.0	1890.0	1725.0	32964.0	40.9
предоставление прочих коммунальных, социальных и персональных услуг	17972.0	568.0	1766.0	2042.0	1997.0	2215.0	2847.0	2629.0	2353.0	850.0	705.0	16785.0	39.8
предоставление услуг по ведению домашнего хозяйства	168.0	24.0	8.0	36.0	12.0	16.0	28.0	20.0	12.0	8.0	4.0	156.0	36.1
деятельность экстерриториальных организаций	16.0	-	4.0	-	-	-	4.0	4.0	4.0	-	-	16.0	41.3
не распределенные по видам деятельности и неточно указавшие вид деятельности	30426.0	837.0	3181.0	3406.0	3308.0	3674.0	5008.0	4641.0	3881.0	1548.0	942.0	28911.0	39.8
Воронежская область													
Все население в возрасте 15-64 лет, занятое в экономике	895008.0	16599.0	85573.0	108494.0	108558.0	121047.0	152334.0	138948.0	110032.0	36000.0	17423.0	863281.0	39.4
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	126427.0	2954.0	9909.0	12648.0	14866.0	18300.0	23750.0	21319.0	16306.0	4986.0	1389.0	124301.0	39.9
