4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудо-способном возрасте	Средний возраст
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64		
Центральный федеральный округ													
производство и распределение электроэнергии, газа и воды	14572.0	80.0	912.0	1454.0	1400.0	1680.0	2751.0	2781.0	2299.0	839.0	376.0	14003.0	42.0
строительство	33786.0	857.0	3633.0	3908.0	3280.0	3980.0	6143.0	5940.0	4284.0	1296.0	465.0	33106.0	39.4
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	84370.0	3808.0	13690.0	13360.0	11315.0	11040.0	12746.0	9868.0	6506.0	1459.0	578.0	82966.0	35.5
гостиницы и рестораны	14731.0	867.0	2324.0	2052.0	1412.0	1735.0	2173.0	2104.0	1505.0	388.0	171.0	14251.0	36.6
транспорт и связь	49949.0	727.0	3928.0	5860.0	6015.0	6272.0	9239.0	8856.0	6443.0	1950.0	659.0	48754.0	40.0
финансовая деятельность	6855.0	67.0	537.0	795.0	753.0	875.0	1290.0	1197.0	971.0	265.0	105.0	6573.0	40.4
операции с недвижимым имуществом, аренда и предоставление услуг	23369.0	513.0	2547.0	2504.0	2133.0	2628.0	3868.0	3759.0	3608.0	1199.0	610.0	22304.0	40.3
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	44612.0	536.0	5905.0	7594.0	6244.0	6138.0	6947.0	5140.0	4277.0	1375.0	456.0	43416.0	37.1
образование	61239.0	990.0	5182.0	7107.0	7505.0	8254.0	10307.0	9351.0	7527.0	3279.0	1737.0	57165.0	40.1
здравоохранение и предоставление социальных услуг	51805.0	683.0	5126.0	7300.0	6156.0	6290.0	8264.0	7747.0	6388.0	2184.0	1667.0	48396.0	39.5
предоставление прочих коммунальных, социальных и персональных услуг	20307.0	702.0	1916.0	2188.0	2323.0	2612.0	3187.0	3049.0	2858.0	973.0	499.0	19311.0	39.7
предоставление услуг по ведению домашнего хозяйства	197.0	16.0	35.0	20.0	12.0	12.0	23.0	23.0	27.0	15.0	14.0	172.0	39.0
деятельность экстерриториальных организаций	36.0	-	12.0	4.0	-	-	16.0	4.0	-	-	-	36.0	34.7
не распределенные по видам деятельности и неточно указавшие вид деятельности	4601.0	87.0	513.0	481.0	474.0	501.0	772.0	773.0	639.0	258.0	103.0	4405.0	40.2
Нижегородская область													
Все население в возрасте 15-64 лет, занятое в экономике	1570198.0	38257.0	164113.0	193463.0	186932.0	198033.0	255567.0	238994.0	190871.0	69428.0	34540.0	1505132.0	39.2
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	106919.0	2686.0	7720.0	9313.0	10910.0	15315.0	21844.0	19455.0	14234.0	4403.0	1039.0	105022.0	40.4
рыболовство, рыбоводство	369.0	12.0	38.0	32.0	33.0	40.0	92.0	65.0	41.0	4.0	12.0	357.0	39.7
добыча полезных ископаемых	2021.0	21.0	205.0	188.0	197.0	272.0	415.0	392.0	249.0	65.0	17.0	2004.0	40.0
обрабатывающие производства	486189.0	11650.0	51229.0	56221.0	49416.0	54295.0	77389.0	81473.0	69111.0	24287.0	11118.0	466486.0	40.0
производство и распределение электроэнергии, газа и воды	31733.0	220.0	2048.0	3116.0	3388.0	3712.0	5549.0	5637.0	4928.0	2147.0	988.0	30068.0	42.0
строительство	94892.0	2271.0	9983.0	11607.0	10590.0	11983.0	16533.0	15143.0	11213.0	4113.0	1456.0	92501.0	39.2
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	210697.0	8356.0	29147.0	33531.0	31521.0	29416.0	31421.0	24547.0	16382.0	4422.0	1954.0	206145.0	36.0
гостиницы и рестораны	36512.0	1876.0	4761.0	4477.0	4181.0	4308.0	5797.0	5266.0	4089.0	1154.0	603.0	34952.0	37.7
транспорт и связь	128899.0	2088.0	11239.0	15367.0	16601.0	17005.0	23216.0	20987.0	14999.0	5231.0	2166.0	125386.0	39.5
финансовая деятельность	20123.0	209.0	2081.0	3036.0	3119.0	2896.0	3176.0	2902.0	2019.0	529.0	156.0	19615.0	37.9
операции с недвижимым имуществом, аренда и предоставление услуг	97458.0	1885.0	9602.0	10639.0	9731.0	10917.0	15133.0	15610.0	13943.0	6189.0	3809.0	91126.0	40.8
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	92454.0	1424.0	11672.0	14266.0	14249.0	13947.0	14671.0	10711.0	7557.0	2662.0	1295.0	89833.0	37.1
образование	114809.0	2118.0	9726.0	13047.0	14755.0	15178.0	17838.0	16272.0	14488.0	7035.0	4352.0	105430.0	40.3
здравоохранение и предоставление социальных услуг	100526.0	1947.0	9636.0	13002.0	12681.0	12991.0	15354.0	14062.0	12040.0	4854.0	3959.0	92623.0	39.7
предоставление прочих коммунальных, социальных и персональных услуг	42165.0	1325.0	4464.0	5039.0	5107.0	5237.0	6499.0	5786.0	5093.0	2145.0	1470.0	39392.0	39.3
предоставление услуг по ведению домашнего хозяйства	474.0	16.0	50.0	81.0	44.0	32.0	56.0	72.0	91.0	24.0	8.0	442.0	39.5
деятельность экстерриториальных организаций	32.0	-	4.0	-	-	4.0	4.0	16.0	-	4.0	-	32.0	43.8
не распределенные по видам деятельности и неточно указавшие вид деятельности	3926.0	153.0	508.0	501.0	409.0	485.0	580.0	598.0	394.0	160.0	138.0	3718.0	38.4
Оренбургская область													
Все население в возрасте 15-64 лет, занятое в экономике	877206.0	18592.0	97439.0	112283.0	107905.0	121328.0	151261.0	127213.0	95642.0	31680.0	13863.0	851231.0	38.6
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	123178.0	3544.0	10722.0	12597.0	15104.0	19476.0	23273.0	18737.0	13705.0	4654.0	1366.0	121129.0	39.2
рыболовство, рыбоводство	308.0	-	20.0	29.0	33.0	59.0	48.0	41.0	62.0	12.0	4.0	300.0	41.3
добыча полезных ископаемых	46494.0	365.0	4233.0	5994.0	5676.0	6091.0	8104.0	7525.0	6228.0	1914.0	364.0	45934.0	39.6
обрабатывающие производства	132380.0	2662.0	15216.0	15602.0	14083.0	16628.0	22788.0	20580.0	16609.0	5486.0	2726.0	127915.0	39.3
производство и распределение электроэнергии, газа и воды	28530.0	289.0	2438.0	3155.0	3127.0	3673.0	4989.0	4980.0	3886.0	1416.0	577.0	27624.0	40.5
строительство	48484.0	1043.0	5254.0	5751.0	5514.0	6266.0	8776.0	7147.0	5937.0	2009.0	787.0	47350.0	39.1
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	99942.0	3794.0	14828.0	15102.0	13791.0	14291.0	16381.0	12301.0	7154.0	1693.0	607.0	98385.0	35.9
гостиницы и рестораны	16721.0	882.0	2275.0	1884.0	1896.0	2219.0	2868.0	2545.0	1685.0	357.0	110.0	16286.0	37.2
транспорт и связь	85740.0	1253.0	7626.0	9767.0	10297.0	12202.0	16377.0	13955.0	10011.0	3089.0	1163.0	83997.0	39.5
финансовая деятельность	9987.0	110.0	1265.0	1540.0	1372.0	1282.0	1649.0	1432.0	1020.0	233.0	84.0	9770.0	37.6
операции с недвижимым имуществом, аренда и предоставление услуг	37757.0	677.0	4705.0	4942.0	4095.0	4461.0	5889.0	5627.0	4610.0	1761.0	990.0	36088.0	39.1
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	59983.0	829.0	8969.0	10762.0	9237.0	8536.0	8865.0	6486.0	4236.0	1431.0	632.0	58677.0	36.0
образование	87704.0	1196.0	9740.0	11984.0	10908.0	12355.0	14327.0	11504.0	9542.0	4008.0	2140.0	82622.0	38.9
здравоохранение и предоставление социальных услуг	73661.0	1241.0	7443.0	10010.0	9622.0	10392.0	12391.0	10272.0	8081.0	2570.0	1639.0	70009.0	38.8
предоставление прочих коммунальных, социальных и персональных услуг	24046.0	637.0	2477.0	2846.0	2889.0	3092.0	4167.0	3746.0	2654.0	936.0	602.0	22962.0	39.1
предоставление услуг по ведению домашнего хозяйства	213.0	8.0	16.0	36.0	12.0	45.0	16.0	52.0	24.0	4.0	-	213.0	38.5
не распределенные по видам деятельности и неточно указавшие вид деятельности	2078.0	62.0	212.0	282.0	249.0	260.0	353.0	283.0	198.0	107.0	72.0	1970.0	39.0
Пензенская область													
Все население в возрасте 15-64 лет, занятое в экономике	561906.0	8860.0	52913.0	67441.0	68260.0	75932.0	93507.0	87558.0	74074.0	23980.0	9381.0	543511.0	39.6
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	72446.0	1185.0	4640.0	6460.0	7695.0	10525.0	13774.0	13437.0	10896.0	3268.0	566.0	71509.0	40.9
рыболовство, рыбоводство	95.0	-	-	12.0	4.0	22.0	25.0	16.0	16.0	-	-	95.0	41.6
добыча полезных ископаемых	1714.0	-	101.0	179.0	240.0	253.0	373.0	279.0	212.0	64.0	13.0	1697.0	40.4
обрабатывающие производства	128827.0	1849.0	12399.0	14560.0	13024.0	15196.0	20821.0	21739.0	19741.0	6729.0	2769.0	124018.0	40.5
производство и распределение электроэнергии, газа и воды	11957.0	29.0	639.0	1205.0	1131.0	1599.0	2080.0	2194.0	2023.0	777.0	280.0	11532.0	42.3
строительство	34156.0	512.0	3334.0	3812.0	3540.0	4404.0	6026.0	5456.0	4810.0	1607.0	655.0	33258.0	40.1
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	74762.0	2406.0	10743.0	11845.0	11321.0	10656.0	10835.0	9014.0	6029.0	1443.0	470.0	73545.0	36.0
гостиницы и рестораны	11297.0	491.0	1515.0	1357.0	1261.0	1643.0	1746.0	1761.0	1111.0	287.0	125.0	10940.0	37.5
транспорт и связь	45848.0	337.0	3274.0	4871.0	5729.0	6455.0	8689.0	7447.0	6481.0	1937.0	628.0	44767.0	40.5
финансовая деятельность	7415.0	59.0	548.0	1037.0	1021.0	1012.0	1273.0	1259.0	939.0	197.0	70.0	7205.0	39.4
операции с недвижимым имуществом, аренда и предоставление услуг	16974.0	228.0	1958.0	2105.0	1919.0	2026.0	2654.0	2514.0	2286.0	921.0	363.0	16273.0	39.6
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	33821.0	375.0	3857.0	5188.0	5272.0	5025.0	5303.0	4156.0	3336.0	1023.0	286.0	33039.0	37.6
образование	53354.0	518.0	4106.0	6366.0	6906.0	7527.0	8706.0	7882.0	7017.0	2894.0	1432.0	49847.0	40.3
здравоохранение и предоставление социальных услуг	43661.0	304.0	3593.0	5819.0	6406.0	6145.0	7031.0	6279.0	5444.0	1585.0	1055.0	41418.0	39.5
предоставление прочих коммунальных, социальных и персональных услуг	24191.0	541.0	2030.0	2442.0	2635.0	3245.0	3951.0	3930.0	3573.0	1200.0	644.0	23025.0	40.6
предоставление услуг по ведению домашнего хозяйства	81.0	-	25.0	-	8.0	8.0	12.0	8.0	12.0	8.0	-	73.0	38.3
деятельность экстерриториальных организаций	20.0	-	8.0	4.0	-	-	4.0	4.0	-	-	-	20.0	32.5
не распределенные по видам деятельности и неточно указавшие вид деятельности	1287.0	26.0	143.0	179.0	148.0	191.0	204.0	183.0	148.0	40.0	25.0	1250.0	38.5
Пермская область													
Все население в возрасте 15-64 лет, занятое в экономике	1213888.0	31534.0	134491.0	164818.0	149864.0	152628.0	188920.0	176502.0	141951.0	48240.0	24940.0	1167124.0	38.6
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	94941.0	3431.0	9064.0	10417.0	10219.0	13102.0	17490.0	15982.0	11454.0	3149.0	633.0	93669.0	39.0
рыболовство, рыбоводство	288.0	-	25.0	41.0	49.0	29.0	47.0	46.0	44.0	-	7.0	281.0	39.2
добыча полезных ископаемых	24249.0	174.0	2259.0	3326.0	2968.0	3232.0	4164.0	3990.0	3167.0	746.0	223.0	23891.0	39.3
обрабатывающие производства	294307.0	6276.0	31142.0	36787.0	31386.0	32331.0	44972.0	47189.0	41613.0	14817.0	7794.0	281130.0	39.9
производство и распределение электроэнергии, газа и воды	30821.0	281.0	2140.0	3340.0	3569.0	3895.0	5216.0	5492.0	4606.0	1540.0	742.0	29716.0	41.1
строительство	81138.0	2525.0	10242.0	11180.0	9147.0	10064.0	12970.0	11795.0	8968.0	2913.0	1334.0	79233.0	38.1
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	146607.0	7186.0	22547.0	25026.0	22197.0	20017.0	20431.0	15770.0	9955.0	2400.0	1078.0	144049.0	35.1
гостиницы и рестораны	28397.0	1374.0	4319.0	3974.0	3219.0	3398.0	4021.0	3995.0	3064.0	696.0	337.0	27486.0	36.8
транспорт и связь	104135.0	1655.0	8846.0	13000.0	13798.0	14137.0	17866.0	16541.0	12835.0	3914.0	1543.0	101586.0	39.4
финансовая деятельность	14314.0	202.0	1312.0	2346.0	2219.0	1973.0	2251.0	2010.0	1408.0	441.0	152.0	13860.0	38.0
операции с недвижимым имуществом, аренда и предоставление услуг	45577.0	1111.0	6024.0	6818.0	5120.0	5445.0	6364.0	6239.0	5099.0	2196.0	1161.0	43533.0	38.3
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	68387.0	1341.0	9463.0	11838.0	10128.0	9476.0	9845.0	7582.0	5742.0	1993.0	979.0	66311.0	36.6
образование	119014.0	2425.0	11299.0	14963.0	15366.0	15986.0	18645.0	16708.0	13878.0	5997.0	3747.0	110749.0	39.5
здравоохранение и предоставление социальных услуг	90637.0	1281.0	8773.0	12990.0	12120.0	10974.0	14015.0	12791.0	10835.0	3966.0	2892.0	84573.0	39.3
предоставление прочих коммунальных, социальных и персональных услуг	56714.0	1820.0	5412.0	6875.0	6576.0	6937.0	8572.0	8330.0	7562.0	2796.0	1834.0	53489.0	39.7
предоставление услуг по ведению домашнего хозяйства	333.0	16.0	29.0	39.0	33.0	29.0	50.0	64.0	48.0	18.0	7.0	315.0	40.0
деятельность экстерриториальных организаций	47.0	-	8.0	4.0	8.0	-	11.0	4.0	8.0	-	4.0	43.0	39.9
не распределенные по видам деятельности и неточно указавшие вид деятельности	13982.0	436.0	1587.0	1854.0	1742.0	1603.0	1990.0	1974.0	1665.0	658.0	473.0	13210.0	38.9
Коми–Пермяцкий автономный округ													
Все население в возрасте 15-64 лет, занятое в экономике	45469.0	1162.0	4321.0	5571.0	5900.0	6796.0	8251.0	7255.0	4793.0	1102.0	318.0	44703.0	38.4
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	12106.0	355.0	1053.0	1318.0	1431.0	1785.0	2325.0	2209.0	1322.0	272.0	36.0	12037.0	38.9
рыболовство, рыбоводство	15.0	-	1.0	1.0	-	1.0	7.0	4.0	1.0	-	-	15.0	41.8
добыча полезных ископаемых	18.0	1.0	1.0	-	2.0	4.0	5.0	3.0	1.0	-	1.0	17.0	40.3
обрабатывающие производства	2245.0	96.0	269.0	257.0	249.0	281.0	453.0	364.0	225.0	39.0	12.0	2225.0	37.8
производство и распределение электроэнергии, газа и воды	885.0	7.0	43.0	86.0	84.0	125.0	157.0	189.0	151.0	37.0	6.0	875.0	41.8
строительство	2081.0	91.0	223.0	207.0	230.0	273.0	370.0	354.0	252.0	67.0	14.0	2058.0	38.7
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	4835.0	208.0	613.0	661.0	678.0	788.0	819.0	634.0	345.0	76.0	13.0	4780.0	36.3
гостиницы и рестораны	573.0	42.0	73.0	66.0	53.0	75.0	80.0	108.0	65.0	10.0	1.0	566.0	37.2
транспорт и связь	2383.0	23.0	172.0	267.0	326.0	344.0	453.0	406.0	302.0	74.0	16.0	2350.0	39.8
финансовая деятельность	502.0	9.0	48.0	65.0	54.0	73.0	105.0	77.0	52.0	16.0	3.0	490.0	38.8
операции с недвижимым имуществом, аренда и предоставление услуг	493.0	4.0	52.0	104.0	73.0	68.0	68.0	67.0	39.0	13.0	5.0	481.0	36.9
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	4404.0	78.0	469.0	645.0	637.0	628.0	725.0	634.0	449.0	106.0	33.0	4321.0	37.8
образование	7798.0	126.0	610.0	941.0	1097.0	1252.0	1414.0	1195.0	866.0	213.0	84.0	7571.0	39.0
здравоохранение и предоставление социальных услуг	5071.0	65.0	488.0	697.0	702.0	791.0	926.0	712.0	499.0	124.0	67.0	4906.0	38.3
предоставление прочих коммунальных, социальных и персональных услуг	1960.0	56.0	190.0	249.0	272.0	295.0	334.0	275.0	211.0	53.0	25.0	1914.0	38.2
предоставление услуг по ведению домашнего хозяйства	6.0	-	1.0	-	1.0	2.0	-	1.0	1.0	-	-	6.0	38.3
не распределенные по видам деятельности и неточно указавшие вид деятельности	94.0	1.0	15.0	7.0	11.0	11.0	10.0	23.0	12.0	2.0	2.0	91.0	39.4
Самарская область													
Все население в возрасте 15-64 лет, занятое в экономике	1456616.0	33094.0	154702.0	190141.0	179966.0	181852.0	221397.0	209967.0	180304.0	68508.0	36685.0	1390776.0	39.2
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	74843.0	1889.0	5439.0	6970.0	8435.0	10874.0	13765.0	12663.0	9950.0	3845.0	1013.0	73154.0	40.4
рыболовство, рыбоводство	714.0	12.0	36.0	92.0	100.0	77.0	121.0	119.0	114.0	31.0	12.0	702.0	40.6
добыча полезных ископаемых	25136.0	136.0	2011.0	2784.0	2830.0	3185.0	4425.0	4341.0	3915.0	1157.0	352.0	24636.0	40.7
обрабатывающие производства	404000.0	8918.0	43114.0	50324.0	43074.0	43558.0	57861.0	61780.0	58790.0	23615.0	12966.0	382436.0	40.1
производство и распределение электроэнергии, газа и воды	31116.0	131.0	1919.0	3093.0	3386.0	3692.0	5267.0	5740.0	4925.0	1937.0	1026.0	29550.0	42.1
строительство	101378.0	2279.0	10508.0	13070.0	12058.0	12497.0	16028.0	15053.0	12561.0	4927.0	2397.0	97899.0	39.3
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	193520.0	7679.0	27341.0	32388.0	29936.0	27154.0	27302.0	21607.0	14741.0	3645.0	1727.0	189584.0	35.7
гостиницы и рестораны	32290.0	1706.0	3941.0	4396.0	3647.0	4094.0	5032.0	4535.0	3722.0	888.0	329.0	31231.0	37.4
транспорт и связь	139053.0	1891.0	12369.0	16740.0	17349.0	18758.0	22938.0	21515.0	17814.0	6759.0	2920.0	134399.0	39.9
финансовая деятельность	19425.0	178.0	2578.0	3223.0	3205.0	2504.0	2727.0	2410.0	1879.0	511.0	210.0	18872.0	37.0
операции с недвижимым имуществом, аренда и предоставление услуг	76869.0	1767.0	9390.0	10476.0	9444.0	8730.0	10802.0	10338.0	9287.0	4203.0	2432.0	72571.0	39.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	74442.0	1345.0	10317.0	12603.0	11416.0	10696.0	10955.0	8085.0	5734.0	2245.0	1046.0	72257.0	36.5
образование	108379.0	1891.0	9995.0	13097.0	13477.0	13437.0	16866.0	15771.0	13649.0	6016.0	4180.0	99706.0	40.1
здравоохранение и предоставление социальных услуг	95393.0	984.0	7689.0	11188.0	12345.0	12571.0	15320.0	14410.0	12836.0	4581.0	3469.0	88274.0	40.5
предоставление прочих коммунальных, социальных и персональных услуг	54098.0	1687.0	5348.0	6468.0	6284.0	6852.0	8081.0	7845.0	6948.0	2749.0	1836.0	50935.0	39.6
предоставление услуг по ведению домашнего хозяйства	500.0	21.0	52.0	44.0	64.0	52.0	72.0	91.0	62.0	38.0	4.0	462.0	39.7
деятельность экстерриториальных организаций	48.0	8.0	4.0	8.0	4.0	8.0	4.0	12.0	-	-	-	48.0	33.8
не распределенные по видам деятельности и неточно указавшие вид деятельности	25412.0	572.0	2651.0	3177.0	2912.0	3113.0	3831.0	3652.0	3377.0	1361.0	766.0	24060.0	39.7
Саратовская область													
Все население в возрасте 15-64 лет, занятое в экономике	1050813.0	20275.0	105332.0	131512.0	131705.0	143778.0	169645.0	154717.0	126432.0	46690.0	20727.0	1012334.0	39.2
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	113532.0	2938.0	9111.0	11805.0	12904.0	16457.0	21089.0	18935.0	14092.0	5131.0	1070.0	111725.0	39.8
рыболовство, рыбоводство	800.0	13.0	52.0	112.0	75.0	153.0	109.0	142.0	103.0	33.0	8.0	788.0	39.8
добыча полезных ископаемых	11490.0	35.0	790.0	1265.0	1332.0	1500.0	1944.0	1992.0	1742.0	636.0	254.0	11096.0	41.2
обрабатывающие производства	199461.0	3541.0	20012.0	23256.0	20502.0	23009.0	30460.0	31594.0	29184.0	11905.0	5998.0	189555.0	40.4
производство и распределение электроэнергии, газа и воды	31911.0	241.0	1999.0	2814.0	3269.0	4266.0	5624.0	5824.0	5061.0	1977.0	836.0	30617.0	42.0
строительство	69963.0	1599.0	7536.0	8595.0	7999.0	9145.0	11356.0	10252.0	8826.0	3373.0	1282.0	68168.0	39.2
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	141877.0	4613.0	18912.0	21405.0	21669.0	21300.0	22122.0	16942.0	11199.0	2800.0	915.0	139538.0	36.3
гостиницы и рестораны	19316.0	1052.0	2372.0	2583.0	2479.0	2456.0	2936.0	2683.0	1974.0	547.0	234.0	18676.0	37.1
транспорт и связь	103419.0	1198.0	8337.0	12151.0	13123.0	15267.0	18014.0	16494.0	13084.0	4154.0	1597.0	100952.0	39.8
финансовая деятельность	13670.0	154.0	1521.0	2130.0	1855.0	2021.0	2239.0	1877.0	1331.0	375.0	167.0	13276.0	37.9
операции с недвижимым имуществом, аренда и предоставление услуг	48700.0	780.0	5320.0	5825.0	5530.0	6130.0	7220.0	7146.0	6767.0	2778.0	1204.0	46486.0	39.8
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	68361.0	726.0	8388.0	11426.0	11221.0	10585.0	10499.0	7480.0	5283.0	2022.0	731.0	66733.0	36.8
образование	97038.0	1269.0	8187.0	11293.0	12814.0	13759.0	15735.0	14485.0	11521.0	5071.0	2904.0	90677.0	40.0
здравоохранение и предоставление социальных услуг	84676.0	789.0	8071.0	11271.0	11432.0	11992.0	13266.0	12031.0	10268.0	3448.0	2108.0	79932.0	39.3
предоставление прочих коммунальных, социальных и персональных услуг	40609.0	1149.0	4082.0	4807.0	4785.0	4995.0	6137.0	5902.0	5321.0	2183.0	1248.0	38388.0	39.7
предоставление услуг по ведению домашнего хозяйства	448.0	12.0	46.0	63.0	38.0	37.0	78.0	81.0	69.0	20.0	4.0	440.0	39.7
деятельность экстерриториальных организаций	44.0	12.0	-	8.0	-	8.0	4.0	4.0	8.0	-	-	44.0	34.3
не распределенные по видам деятельности и неточно указавшие вид деятельности	5498.0	154.0	596.0	703.0	678.0	698.0	813.0	853.0	599.0	237.0	167.0	5243.0	39.0
Ульяновская область													
Все население в возрасте 15-64 лет, занятое в экономике	577150.0	12041.0	56933.0	67507.0	69149.0	80889.0	98416.0	89131.0	69423.0	23629.0	10032.0	558087.0	39.3
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	58995.0	1318.0	3719.0	5223.0	6506.0	8853.0	11419.0	10791.0	8014.0	2613.0	539.0	58104.0	40.6
рыболовство, рыбоводство	562.0	-	51.0	50.0	59.0	82.0	93.0	110.0	80.0	25.0	12.0	550.0	41.1
добыча полезных ископаемых	4457.0	22.0	308.0	511.0	423.0	819.0	1022.0	683.0	480.0	157.0	32.0	4405.0	39.9
обрабатывающие производства	163043.0	3877.0	17306.0	18379.0	17723.0	20668.0	26609.0	26079.0	22004.0	7372.0	3026.0	157705.0	39.6
производство и распределение электроэнергии, газа и воды	12856.0	71.0	798.0	1197.0	1250.0	1568.0	2280.0	2495.0	1958.0	916.0	323.0	12298.0	42.2
строительство	34499.0	646.0	3250.0	3290.0	3349.0	4874.0	6450.0	6201.0	4302.0	1531.0	606.0	33602.0	40.2
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	74033.0	2630.0	10112.0	10999.0	10713.0	11278.0	11816.0	8838.0	5737.0	1433.0	477.0	72794.0	36.2
гостиницы и рестораны	11715.0	484.0	1326.0	1314.0	1418.0	1648.0	2052.0	1827.0	1275.0	282.0	89.0	11393.0	38.0
транспорт и связь	43683.0	522.0	3196.0	4741.0	5082.0	6528.0	8339.0	7388.0	5392.0	1897.0	598.0	42577.0	40.2
финансовая деятельность	6697.0	76.0	684.0	996.0	936.0	970.0	1185.0	801.0	849.0	165.0	35.0	6545.0	38.2
операции с недвижимым имуществом, аренда и предоставление услуг	27636.0	464.0	2957.0	3235.0	3121.0	3537.0	4337.0	4115.0	3532.0	1422.0	916.0	26276.0	39.9
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	32131.0	417.0	4252.0	4896.0	4922.0	4982.0	4826.0	3723.0	2801.0	901.0	411.0	31281.0	37.1
образование	49143.0	654.0	4157.0	5852.0	6354.0	6962.0	8183.0	7226.0	5888.0	2430.0	1437.0	46024.0	39.9
здравоохранение и предоставление социальных услуг	40775.0	406.0	3298.0	5024.0	5429.0	5834.0	6947.0	6278.0	4904.0	1608.0	1047.0	38515.0	39.8
предоставление прочих коммунальных, социальных и персональных услуг	16176.0	428.0	1447.0	1696.0	1800.0	2217.0	2735.0	2478.0	2092.0	849.0	434.0	15331.0	40.1
предоставление услуг по ведению домашнего хозяйства	131.0	-	12.0	19.0	16.0	16.0	16.0	16.0	20.0	8.0	8.0	119.0	40.9
не распределенные по видам деятельности и неточно указавшие вид деятельности	618.0	26.0	60.0	85.0	48.0	53.0	107.0	82.0	95.0	20.0	42.0	568.0	40.3
Уральский федеральный округ													
Все население в возрасте 15-64 лет, занятое в экономике	5532230.0	126286.0	606892.0	733325.0	674401.0	701047.0	895834.0	823857.0	640805.0	214331.0	115452.0	5322734.0	38.8
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	317218.0	10070.0	28450.0	33388.0	33421.0	41524.0	59057.0	55880.0	40420.0	11892.0	3116.0	311920.0	39.5
рыболовство, рыбоводство	5559.0	213.0	632.0	732.0	738.0	785.0	909.0	936.0	445.0	123.0	46.0	5489.0	37.4
добыча полезных ископаемых	300860.0	2543.0	26189.0	37781.0	36158.0	41881.0	56983.0	51271.0	35039.0	9510.0	3505.0	295143.0	39.5
обрабатывающие производства	1172134.0	25569.0	127695.0	143307.0	121737.0	126874.0	179122.0	187461.0	166609.0	60090.0	33670.0	1117702.0	39.9
производство и распределение электроэнергии, газа и воды	137128.0	1141.0	9620.0	15198.0	14848.0	17258.0	24935.0	23708.0	20055.0	7032.0	3333.0	131905.0	41.1
строительство	410866.0	9144.0	43377.0	52678.0	46862.0	52159.0	70635.0	64961.0	48242.0	15686.0	7122.0	400143.0	39.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	679155.0	29208.0	105079.0	114186.0	102174.0	93727.0	98358.0	74861.0	45412.0	10982.0	5168.0	667266.0	35.2
гостиницы и рестораны	114494.0	5611.0	15937.0	14783.0	13167.0	14256.0	17974.0	16548.0	11859.0	2911.0	1448.0	110601.0	37.2
транспорт и связь	552253.0	7675.0	47658.0	66544.0	69050.0	74919.0	100809.0	91993.0	66620.0	19218.0	7767.0	539561.0	39.5
