4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ЗАНЯТИЯМ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудоспособном возрасте	Средний возраст
		15 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49	50 - 54	55 - 59	60 - 64		
Центральный федеральный округ													
операторы, аппаратчики, машинисты установок и машин	93322.0	1895.0	9286.0	11149.0	11248.0	12933.0	16644.0	15205.0	10096.0	3438.0	1428.0	91151.0	39.1
неквалифицированные рабочие	62081.0	3018.0	6462.0	6305.0	6041.0	6777.0	9444.0	9583.0	8674.0	3134.0	2643.0	57339.0	39.9
занятые на военной службе	5886.0	12.0	694.0	803.0	927.0	1159.0	1313.0	584.0	283.0	80.0	31.0	5823.0	36.8
лица, неточно указавшие или не указавшие  занятия 	17158.0	603.0	1876.0	2060.0	1995.0	2221.0	2838.0	2487.0	1958.0	687.0	433.0	16411.0	38.8
Воронежская область													
Все население в возрасте 15-64 лет, занятое в экономике 	895008.0	16599.0	85573.0	108494.0	108558.0	121047.0	152334.0	138948.0	110032.0	36000.0	17423.0	863281.0	39.4
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	95364.0	311.0	4383.0	8937.0	10429.0	12761.0	17034.0	17536.0	15018.0	5921.0	3034.0	90401.0	42.4
специалисты высшего уровня квалификации	135768.0	971.0	11606.0	17666.0	16611.0	17849.0	21555.0	20094.0	17284.0	7431.0	4701.0	126544.0	40.3
специалисты среднего уровня квалификации	106337.0	1824.0	11250.0	14021.0	14122.0	14303.0	17090.0	15484.0	12776.0	3757.0	1710.0	102404.0	38.8
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	24330.0	887.0	3036.0	2929.0	2669.0	3148.0	3943.0	3888.0	2668.0	769.0	393.0	23316.0	38.2
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	115971.0	3841.0	16150.0	17776.0	16587.0	16152.0	17980.0	14174.0	10147.0	2126.0	1038.0	113516.0	36.4
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	23618.0	480.0	1579.0	2121.0	2830.0	3733.0	4876.0	4112.0	3169.0	571.0	147.0	23272.0	40.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	134877.0	3066.0	13255.0	15540.0	14218.0	16634.0	23607.0	22522.0	17979.0	5727.0	2329.0	131816.0	39.7
операторы, аппаратчики, машинисты установок и машин	133007.0	1923.0	12227.0	15881.0	16802.0	19410.0	24535.0	21080.0	14821.0	4889.0	1439.0	131019.0	39.2
неквалифицированные рабочие	101682.0	2822.0	9448.0	10509.0	11073.0	13336.0	17400.0	16890.0	13892.0	4134.0	2178.0	97707.0	39.9
занятые на военной службе	7531.0	12.0	865.0	1134.0	1260.0	1427.0	1717.0	757.0	274.0	60.0	25.0	7498.0	36.3
лица, неточно указавшие или не указавшие  занятия 	16523.0	462.0	1774.0	1980.0	1957.0	2294.0	2597.0	2411.0	2004.0	615.0	429.0	15788.0	39.0
Ивановская область													
Все население в возрасте 15-64 лет, занятое в экономике 	477036.0	11816.0	50257.0	60663.0	58003.0	61394.0	74175.0	72125.0	59364.0	19778.0	9461.0	458668.0	39.0
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	51048.0	185.0	2047.0	5085.0	6240.0	7298.0	9094.0	8945.0	7915.0	2944.0	1295.0	48501.0	42.0
специалисты высшего уровня квалификации	59716.0	240.0	5035.0	8108.0	7456.0	8045.0	9182.0	8735.0	7778.0	3346.0	1791.0	55831.0	40.2
специалисты среднего уровня квалификации	54984.0	678.0	5779.0	7249.0	7365.0	7346.0	8277.0	8121.0	6975.0	2152.0	1042.0	52490.0	39.1
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	10762.0	340.0	1342.0	1278.0	1211.0	1234.0	1789.0	1632.0	1331.0	364.0	241.0	10177.0	38.7
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	57853.0	2521.0	9332.0	9029.0	8059.0	7330.0	7484.0	6830.0	5103.0	1350.0	815.0	56109.0	35.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6843.0	178.0	490.0	654.0	710.0	1031.0	1368.0	1334.0	839.0	157.0	82.0	6682.0	40.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	99450.0	3808.0	12435.0	13294.0	11087.0	11210.0	14970.0	14886.0	12491.0	3953.0	1316.0	97387.0	38.2
операторы, аппаратчики, машинисты установок и машин	75981.0	1603.0	7382.0	9129.0	9553.0	10684.0	13271.0	12501.0	8447.0	2556.0	855.0	74625.0	38.9
неквалифицированные рабочие	44976.0	1902.0	4483.0	4609.0	4297.0	4739.0	6222.0	7352.0	7087.0	2521.0	1764.0	41887.0	40.4
занятые на военной службе	5950.0	24.0	839.0	991.0	923.0	1277.0	1073.0	438.0	250.0	100.0	35.0	5885.0	35.6
лица, неточно указавшие или не указавшие  занятия 	9473.0	337.0	1093.0	1237.0	1102.0	1200.0	1445.0	1351.0	1148.0	335.0	225.0	9094.0	38.5
Калужская область													
Все население в возрасте 15-64 лет, занятое в экономике 	461716.0	10511.0	46858.0	53983.0	53330.0	59571.0	75838.0	69807.0	56625.0	21257.0	13936.0	438063.0	39.6
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	53962.0	210.0	2337.0	4522.0	5609.0	7378.0	9894.0	9786.0	8434.0	3536.0	2256.0	50406.0	42.8
специалисты высшего уровня квалификации	66423.0	367.0	5266.0	7642.0	7542.0	8594.0	10759.0	10359.0	8415.0	4294.0	3185.0	60516.0	41.2
специалисты среднего уровня квалификации	55209.0	1189.0	6502.0	7270.0	6864.0	7038.0	8362.0	7546.0	6483.0	2408.0	1547.0	52139.0	38.8
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	11375.0	447.0	1385.0	1388.0	1305.0	1408.0	1810.0	1569.0	1335.0	436.0	292.0	10676.0	38.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	55728.0	2377.0	8627.0	8409.0	7786.0	7327.0	8065.0	6408.0	4517.0	1368.0	844.0	53913.0	36.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6855.0	163.0	530.0	658.0	739.0	1041.0	1292.0	1225.0	928.0	195.0	84.0	6640.0	40.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	85362.0	2542.0	9934.0	9609.0	8477.0	9997.0	14061.0	13679.0	11138.0	3747.0	2178.0	82511.0	39.4
операторы, аппаратчики, машинисты установок и машин	63120.0	1012.0	5806.0	7405.0	8213.0	9003.0	11272.0	9779.0	7090.0	2489.0	1051.0	61625.0	39.3
неквалифицированные рабочие	46813.0	1895.0	4593.0	4686.0	4322.0	5312.0	7309.0	7465.0	6741.0	2316.0	2174.0	43289.0	40.4
