4. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ЗАНЯТИЯМ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе в возрасте, лет										В трудоспособном возрасте	Средний возраст
		15 - 19	20 - 24	25 - 29	30 - 34	35 - 39	40 - 44	45 - 49	50 - 54	55 - 59	60 - 64		
Центральный федеральный округ													
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	64661.0	1166.0	6478.0	7824.0	6961.0	8453.0	11522.0	11091.0	8131.0	2413.0	622.0	63717.0	39.4
операторы, аппаратчики, машинисты установок и машин	52176.0	479.0	3830.0	5350.0	6662.0	8713.0	10184.0	8808.0	5992.0	1663.0	495.0	51529.0	39.8
неквалифицированные рабочие	37018.0	610.0	2658.0	3787.0	3706.0	4919.0	6979.0	6600.0	5573.0	1517.0	669.0	35809.0	40.8
занятые на военной службе	556.0	-	48.0	90.0	118.0	130.0	73.0	69.0	20.0	8.0	-	556.0	36.3
лица, неточно указавшие или не указавшие  занятия 	323.0	21.0	42.0	41.0	32.0	78.0	36.0	49.0	16.0	8.0	-	319.0	35.8
Республика Татарстан													
Все население в возрасте 15-64 лет, занятое в экономике 	1685719.0	37385.0	170665.0	214721.0	204574.0	240192.0	291323.0	250799.0	189079.0	60576.0	26405.0	1636689.0	38.8
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	191031.0	725.0	9346.0	20502.0	22143.0	28315.0	35380.0	33741.0	26646.0	9837.0	4396.0	183479.0	41.4
специалисты высшего уровня квалификации	237611.0	2116.0	25858.0	35628.0	30369.0	31459.0	36238.0	32034.0	27003.0	11011.0	5895.0	225019.0	38.9
специалисты среднего уровня квалификации	216040.0	4433.0	26959.0	31506.0	29889.0	30343.0	33389.0	28539.0	21724.0	6698.0	2560.0	209674.0	37.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	48572.0	2109.0	7265.0	6357.0	5180.0	6343.0	7716.0	6900.0	5174.0	1080.0	448.0	47165.0	37.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	192147.0	8743.0	28523.0	29070.0	25665.0	27517.0	29745.0	22690.0	15141.0	3202.0	1851.0	188367.0	35.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	48261.0	1168.0	3027.0	5226.0	6607.0	8286.0	9011.0	7819.0	5559.0	1202.0	356.0	47582.0	39.3
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	289578.0	7804.0	29986.0	33874.0	28671.0	37584.0	53366.0	46977.0	35513.0	11595.0	4208.0	283997.0	39.3
операторы, аппаратчики, машинисты установок и машин	282301.0	3685.0	23830.0	33694.0	36422.0	45037.0	55235.0	43804.0	29216.0	8734.0	2644.0	278737.0	39.1
неквалифицированные рабочие	167450.0	6270.0	14364.0	17204.0	17942.0	23454.0	29207.0	26487.0	21878.0	6764.0	3880.0	160289.0	39.7
занятые на военной службе	1765.0	-	169.0	268.0	357.0	332.0	319.0	232.0	52.0	24.0	12.0	1745.0	36.6
лица, неточно указавшие или не указавшие  занятия 	10963.0	332.0	1338.0	1392.0	1329.0	1522.0	1717.0	1576.0	1173.0	429.0	155.0	10635.0	38.1
Удмуртская Республика													
Все население в возрасте 15-64 лет, занятое в экономике 	724578.0	19974.0	83682.0	95763.0	85087.0	94327.0	121512.0	109198.0	80397.0	24699.0	9939.0	704745.0	38.3
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	77733.0	357.0	4357.0	8237.0	9034.0	10642.0	14052.0	13565.0	11945.0	3931.0	1613.0	74817.0	41.4
специалисты высшего уровня квалификации	105048.0	940.0	11462.0	15602.0	12995.0	13968.0	15796.0	15201.0	11832.0	4778.0	2474.0	99541.0	39.0
специалисты среднего уровня квалификации	92526.0	2108.0	11876.0	13601.0	12557.0	11571.0	14618.0	12887.0	9547.0	2662.0	1099.0	89881.0	37.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	19169.0	1058.0	3257.0	2430.0	1933.0	2051.0	3200.0	2794.0	1822.0	438.0	186.0	18597.0	36.5
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	85551.0	4513.0	15643.0	14327.0	11024.0	10966.0	12219.0	9114.0	5763.0	1361.0	621.0	84025.0	34.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	19756.0	522.0	1401.0	2207.0	2536.0	3221.0	4450.0	3441.0	1664.0	289.0	25.0	19660.0	38.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	131963.0	4869.0	16628.0	16599.0	13167.0	15246.0	22146.0	21213.0	16004.0	4730.0	1361.0	129976.0	38.4
операторы, аппаратчики, машинисты установок и машин	105439.0	1490.0	9646.0	12928.0	13018.0	16073.0	20465.0	17017.0	11062.0	3085.0	655.0	104465.0	38.9
неквалифицированные рабочие	80062.0	3930.0	8550.0	8710.0	7898.0	9601.0	13261.0	13104.0	9993.0	3187.0	1828.0	76647.0	39.0
занятые на военной службе	1416.0	8.0	184.0	256.0	216.0	290.0	299.0	135.0	20.0	4.0	4.0	1412.0	35.2
лица, неточно указавшие или не указавшие  занятия 	5915.0	179.0	678.0	866.0	709.0	698.0	1006.0	727.0	745.0	234.0	73.0	5724.0	38.2
Чувашская Республика													
Все население в возрасте 15-64 лет, занятое в экономике 	548915.0	11078.0	55008.0	70901.0	71393.0	81782.0	92970.0	79865.0	60066.0	18550.0	7302.0	534664.0	38.6
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	55900.0	200.0	2786.0	5639.0	6661.0	8626.0	10575.0	9643.0	7815.0	2733.0	1222.0	53798.0	41.4
специалисты высшего уровня квалификации	71525.0	347.0	7170.0	10614.0	9265.0	10234.0	11358.0	9774.0	7954.0	3083.0	1726.0	67898.0	39.1
специалисты среднего уровня квалификации	64281.0	981.0	6829.0	8531.0	9259.0	10057.0	10285.0	8863.0	6937.0	1864.0	675.0	62511.0	38.2
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	12512.0	488.0	1736.0	1597.0	1600.0	1674.0	1963.0	1746.0	1279.0	309.0	120.0	12119.0	37.2
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	67264.0	2822.0	11091.0	11187.0	9633.0	9683.0	9330.0	7164.0	4896.0	1025.0	433.0	66217.0	35.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	11896.0	155.0	776.0	1190.0	1520.0	1933.0	2334.0	2214.0	1407.0	280.0	87.0	11718.0	39.9
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	104091.0	2549.0	11012.0	12854.0	12298.0	15122.0	18441.0	16093.0	11395.0	3370.0	957.0	102650.0	38.5
операторы, аппаратчики, машинисты установок и машин	72607.0	841.0	5897.0	8772.0	9884.0	11782.0	13873.0	10893.0	7681.0	2382.0	602.0	71733.0	39.1
неквалифицированные рабочие	86247.0	2652.0	7364.0	10145.0	10883.0	12263.0	14394.0	13136.0	10533.0	3440.0	1437.0	83503.0	39.2
занятые на военной службе	753.0	-	132.0	141.0	125.0	140.0	127.0	68.0	12.0	8.0	-	753.0	34.4
лица, неточно указавшие или не указавшие  занятия 	1839.0	43.0	215.0	231.0	265.0	268.0	290.0	271.0	157.0	56.0	43.0	1764.0	38.0
Кировская область													
Все население в возрасте 15-64 лет, занятое в экономике 	667050.0	16418.0	72357.0	82570.0	73474.0	82138.0	113676.0	106892.0	83385.0	25542.0	10598.0	645801.0	39.1
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	66865.0	173.0	2877.0	6173.0	6815.0	8823.0	12923.0	12890.0	11121.0	3652.0	1418.0	64020.0	42.4
специалисты высшего уровня квалификации	79226.0	420.0	7227.0	11003.0	9109.0	9997.0	12812.0	12285.0	10271.0	4147.0	1955.0	74664.0	40.0
специалисты среднего уровня квалификации	92353.0	1498.0	11052.0	12289.0	11320.0	12009.0	15218.0	13282.0	11018.0	3205.0	1462.0	88770.0	38.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	17957.0	730.0	2510.0	2188.0	1660.0	1950.0	3010.0	2702.0	2284.0	654.0	269.0	17105.0	38.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	83224.0	4398.0	14456.0	13645.0	10760.0	10180.0	11836.0	9502.0	6405.0	1329.0	713.0	81478.0	35.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	21695.0	506.0	2029.0	2541.0	2360.0	3047.0	4512.0	4080.0	2294.0	271.0	55.0	21533.0	38.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	118007.0	3491.0	13516.0	14037.0	11821.0	13113.0	19795.0	19702.0	15828.0	5125.0	1579.0	115756.0	39.2
операторы, аппаратчики, машинисты установок и машин	103094.0	1520.0	9192.0	11531.0	11686.0	13604.0	20175.0	18513.0	12443.0	3518.0	912.0	101861.0	39.7
неквалифицированные рабочие	75390.0	3546.0	8200.0	7697.0	6630.0	8122.0	11802.0	12809.0	11025.0	3402.0	2157.0	71549.0	39.8
занятые на военной службе	4406.0	8.0	729.0	844.0	709.0	757.0	844.0	360.0	127.0	25.0	3.0	4396.0	34.6
лица, неточно указавшие или не указавшие  занятия 	4833.0	128.0	569.0	622.0	604.0	536.0	749.0	767.0	569.0	214.0	75.0	4669.0	38.7
Нижегородская область													
Все население в возрасте 15-64 лет, занятое в экономике 	1570198.0	38257.0	164113.0	193463.0	186932.0	198033.0	255567.0	238994.0	190871.0	69428.0	34540.0	1505132.0	39.2
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	186216.0	799.0	9143.0	18899.0	22929.0	25484.0	33369.0	32210.0	27095.0	11201.0	5087.0	177215.0	41.7
специалисты высшего уровня квалификации	223913.0	1534.0	21633.0	29364.0	27731.0	28777.0	33909.0	32437.0	28489.0	12494.0	7545.0	208603.0	40.1
специалисты среднего уровня квалификации	200290.0	4264.0	22677.0	26548.0	26244.0	25760.0	31581.0	28447.0	23085.0	7852.0	3832.0	191706.0	38.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	45111.0	2105.0	6761.0	5561.0	5056.0	5207.0	6952.0	6351.0	4985.0	1358.0	775.0	43085.0	37.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	186604.0	9513.0	28489.0	28614.0	25415.0	23912.0	26611.0	21725.0	15401.0	4345.0	2579.0	180975.0	35.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	23479.0	504.0	1621.0	2224.0	2530.0	3433.0	4867.0	4463.0	3071.0	634.0	132.0	23140.0	40.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	308902.0	9917.0	36018.0	37630.0	31874.0	34561.0	49214.0	49674.0	40285.0	14048.0	5681.0	300891.0	39.1
операторы, аппаратчики, машинисты установок и машин	217543.0	3073.0	20056.0	25640.0	26715.0	29991.0	40831.0	35721.0	24252.0	8337.0	2927.0	212847.0	39.4
неквалифицированные рабочие	157668.0	6183.0	15137.0	15978.0	15458.0	17468.0	24414.0	25658.0	22906.0	8724.0	5742.0	146633.0	40.4
занятые на военной службе	12297.0	37.0	1590.0	1979.0	1996.0	2488.0	2540.0	1108.0	413.0	113.0	33.0	12227.0	35.8
лица, неточно указавшие или не указавшие  занятия 	8175.0	328.0	988.0	1026.0	984.0	952.0	1279.0	1200.0	889.0	322.0	207.0	7810.0	38.3
Оренбургская область													
Все население в возрасте 15-64 лет, занятое в экономике 	877206.0	18592.0	97439.0	112283.0	107905.0	121328.0	151261.0	127213.0	95642.0	31680.0	13863.0	851231.0	38.6
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	89286.0	362.0	4176.0	8022.0	10410.0	12743.0	17417.0	16277.0	13188.0	4669.0	2022.0	85712.0	41.9
специалисты высшего уровня квалификации	110863.0	692.0	11668.0	15842.0	13780.0	15041.0	17823.0	15275.0	12745.0	5208.0	2789.0	104743.0	39.2
специалисты среднего уровня квалификации	116865.0	1982.0	14901.0	16648.0	14996.0	16055.0	18824.0	15736.0	12344.0	3710.0	1669.0	112839.0	37.9
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	25238.0	820.0	3420.0	3045.0	2919.0	3184.0	4487.0	3848.0	2551.0	690.0	274.0	24413.0	37.8
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	114320.0	4774.0	18407.0	17987.0	15434.0	15130.0	17504.0	13542.0	8659.0	1909.0	974.0	112167.0	35.6
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	26990.0	640.0	1813.0	2776.0	3535.0	4675.0	5460.0	4416.0	2760.0	731.0	184.0	26651.0	39.2
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	132348.0	3397.0	15979.0	17051.0	15190.0	16500.0	21948.0	19526.0	15426.0	5363.0	1968.0	129749.0	38.5
операторы, аппаратчики, машинисты установок и машин	158263.0	2345.0	15373.0	19005.0	20280.0	23770.0	30334.0	23897.0	16249.0	5535.0	1475.0	156275.0	38.8
неквалифицированные рабочие	90973.0	3462.0	9667.0	9627.0	9488.0	12327.0	15496.0	13601.0	11259.0	3684.0	2362.0	86833.0	39.2
занятые на военной службе	9247.0	22.0	1711.0	1925.0	1549.0	1539.0	1549.0	673.0	177.0	52.0	50.0	9173.0	33.9
лица, неточно указавшие или не указавшие  занятия 	2813.0	96.0	324.0	355.0	324.0	364.0	419.0	422.0	284.0	129.0	96.0	2676.0	38.8
Пензенская область													
Все население в возрасте 15-64 лет, занятое в экономике 	561906.0	8860.0	52913.0	67441.0	68260.0	75932.0	93507.0	87558.0	74074.0	23980.0	9381.0	543511.0	39.6
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	63258.0	206.0	2850.0	5940.0	7420.0	9342.0	11475.0	10919.0	9808.0	3629.0	1669.0	60342.0	42.0
специалисты высшего уровня квалификации	79349.0	462.0	6985.0	10222.0	9895.0	10723.0	12745.0	11475.0	10483.0	4242.0	2117.0	74644.0	40.1
специалисты среднего уровня квалификации	67012.0	812.0	6972.0	9075.0	9315.0	9294.0	10495.0	9617.0	8169.0	2328.0	935.0	64653.0	38.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	16349.0	517.0	1866.0	1819.0	1980.0	2085.0	2779.0	2495.0	1969.0	575.0	264.0	15584.0	38.7
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	71253.0	2505.0	10633.0	10857.0	10385.0	9444.0	9863.0	9049.0	6538.0	1429.0	550.0	69771.0	36.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	13109.0	196.0	711.0	1180.0	1354.0	1946.0	2659.0	2504.0	2139.0	358.0	62.0	12948.0	41.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	94264.0	1633.0	9756.0	11155.0	10168.0	11482.0	15357.0	15126.0	13443.0	4661.0	1483.0	92202.0	39.8
операторы, аппаратчики, машинисты установок и машин	81964.0	847.0	6517.0	8888.0	9840.0	11912.0	15556.0	13697.0	10346.0	3571.0	790.0	80821.0	40.0
неквалифицированные рабочие	68352.0	1623.0	5890.0	7215.0	6867.0	8486.0	11325.0	11845.0	10631.0	3038.0	1432.0	65676.0	40.5
занятые на военной службе	4436.0	5.0	428.0	749.0	732.0	876.0	843.0	526.0	224.0	49.0	4.0	4424.0	36.7
лица, неточно указавшие или не указавшие  занятия 	2560.0	54.0	305.0	341.0	304.0	342.0	410.0	305.0	324.0	100.0	75.0	2446.0	38.8
Пермская область													
Все население в возрасте 15-64 лет, занятое в экономике 	1213888.0	31534.0	134491.0	164818.0	149864.0	152628.0	188920.0	176502.0	141951.0	48240.0	24940.0	1167124.0	38.6
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	136512.0	665.0	6810.0	14615.0	17022.0	18588.0	23644.0	23282.0	20354.0	7786.0	3746.0	129878.0	41.6
специалисты высшего уровня квалификации	171983.0	1626.0	16584.0	24519.0	21975.0	22304.0	25823.0	24102.0	20453.0	9049.0	5548.0	160340.0	39.6
специалисты среднего уровня квалификации	157121.0	3452.0	19424.0	23135.0	20766.0	19768.0	23910.0	20968.0	17321.0	5575.0	2802.0	150937.0	38.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	32084.0	1425.0	4433.0	4175.0	3757.0	3632.0	4665.0	4651.0	3607.0	1064.0	675.0	30441.0	37.7
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	152184.0	7559.0	25755.0	26176.0	21132.0	18959.0	20462.0	16584.0	11133.0	2855.0	1569.0	148575.0	35.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	19499.0	677.0	1867.0	2556.0	2392.0	2930.0	3700.0	3154.0	1831.0	321.0	71.0	19289.0	37.8
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	213418.0	7079.0	26609.0	28668.0	23568.0	23759.0	32539.0	32129.0	26420.0	8746.0	3901.0	208213.0	38.5
операторы, аппаратчики, машинисты установок и машин	187038.0	2625.0	16984.0	23728.0	24626.0	26746.0	33352.0	29769.0	21212.0	6060.0	1936.0	184135.0	39.0
неквалифицированные рабочие	127144.0	5967.0	13934.0	14815.0	12352.0	13605.0	18341.0	19838.0	17868.0	6159.0	4265.0	119103.0	39.5
занятые на военной службе	3327.0	25.0	439.0	530.0	541.0	739.0	642.0	249.0	108.0	26.0	28.0	3288.0	35.5
лица, неточно указавшие или не указавшие  занятия 	13578.0	434.0	1652.0	1901.0	1733.0	1598.0	1842.0	1776.0	1644.0	599.0	399.0	12925.0	38.4
Коми–Пермяцкий автономный округ													
Все население в возрасте 15-64 лет, занятое в экономике 	45469.0	1162.0	4321.0	5571.0	5900.0	6796.0	8251.0	7255.0	4793.0	1102.0	318.0	44703.0	38.4
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	3950.0	14.0	168.0	319.0	432.0	681.0	786.0	748.0	611.0	139.0	52.0	3836.0	41.7
специалисты высшего уровня квалификации	5665.0	69.0	503.0	722.0	758.0	860.0	941.0	843.0	689.0	193.0	87.0	5448.0	39.2
специалисты среднего уровня квалификации	7021.0	134.0	693.0	894.0	961.0	1057.0	1290.0	1029.0	744.0	164.0	55.0	6862.0	38.3
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1174.0	40.0	135.0	119.0	145.0	179.0	203.0	172.0	123.0	42.0	16.0	1124.0	38.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	5275.0	211.0	656.0	872.0	781.0	768.0	873.0	723.0	328.0	51.0	12.0	5218.0	35.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	1969.0	45.0	209.0	276.0	278.0	290.0	380.0	325.0	146.0	16.0	4.0	1962.0	37.3
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	5045.0	194.0	524.0	546.0	558.0	708.0	935.0	826.0	596.0	137.0	21.0	5017.0	38.5
операторы, аппаратчики, машинисты установок и машин	7052.0	103.0	526.0	808.0	999.0	1172.0	1442.0	1199.0	648.0	136.0	19.0	7032.0	38.8
неквалифицированные рабочие	8201.0	349.0	895.0	999.0	974.0	1065.0	1386.0	1371.0	891.0	221.0	50.0	8089.0	38.0
занятые на военной службе	43.0	-	3.0	4.0	8.0	7.0	4.0	12.0	4.0	-	1.0	42.0	39.8
лица, неточно указавшие или не указавшие  занятия 	74.0	3.0	9.0	12.0	6.0	9.0	11.0	7.0	13.0	3.0	1.0	73.0	38.3
Самарская  область													
Все население в возрасте 15-64 лет, занятое в экономике 	1456616.0	33094.0	154702.0	190141.0	179966.0	181852.0	221397.0	209967.0	180304.0	68508.0	36685.0	1390776.0	39.2
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	173976.0	758.0	8841.0	19067.0	22180.0	24159.0	29707.0	28536.0	24576.0	10441.0	5711.0	164689.0	41.6
специалисты высшего уровня квалификации	216583.0	1517.0	22232.0	29809.0	27605.0	27302.0	31924.0	30318.0	26230.0	12205.0	7441.0	201383.0	39.7
специалисты среднего уровня квалификации	179872.0	3799.0	21092.0	25479.0	24148.0	22647.0	26206.0	24604.0	21266.0	7089.0	3542.0	171900.0	38.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	39735.0	1813.0	5956.0	5293.0	4580.0	4448.0	5730.0	5465.0	4522.0	1309.0	619.0	37936.0	37.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	183432.0	8178.0	28775.0	30239.0	25731.0	23033.0	25192.0	20457.0	15513.0	4045.0	2269.0	178604.0	35.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	13189.0	225.0	725.0	1240.0	1567.0	2085.0	2509.0	2533.0	1772.0	428.0	105.0	12961.0	40.5
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	270622.0	8287.0	32670.0	34701.0	28998.0	29150.0	38140.0	39845.0	37104.0	14717.0	7010.0	261075.0	39.2
операторы, аппаратчики, машинисты установок и машин	221425.0	3053.0	19736.0	27033.0	28108.0	30357.0	37919.0	34521.0	27023.0	9842.0	3833.0	215770.0	39.6
неквалифицированные рабочие	123162.0	4619.0	10702.0	12520.0	12490.0	13786.0	18514.0	19426.0	18492.0	7051.0	5562.0	113007.0	40.8
занятые на военной службе	7545.0	48.0	1072.0	1112.0	1311.0	1399.0	1527.0	723.0	270.0	60.0	23.0	7492.0	35.6
лица, неточно указавшие или не указавшие  занятия 	27075.0	797.0	2901.0	3648.0	3248.0	3486.0	4029.0	3539.0	3536.0	1321.0	570.0	25959.0	38.9
Саратовская область													
Все население в возрасте 15-64 лет, занятое в экономике 	1050813.0	20275.0	105332.0	131512.0	131705.0	143778.0	169645.0	154717.0	126432.0	46690.0	20727.0	1012334.0	39.2
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	121982.0	484.0	6360.0	11993.0	15145.0	17963.0	22172.0	20447.0	16835.0	7199.0	3384.0	116123.0	41.6
специалисты высшего уровня квалификации	161976.0	1091.0	15048.0	21194.0	20494.0	21991.0	25593.0	23532.0	19583.0	8817.0	4633.0	151793.0	39.9
специалисты среднего уровня квалификации	126127.0	2169.0	14676.0	17372.0	17166.0	17641.0	19427.0	17387.0	14046.0	4368.0	1875.0	121937.0	38.2
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	28187.0	970.0	4051.0	3713.0	3191.0	3572.0	4098.0	4102.0	3175.0	953.0	362.0	27012.0	37.6
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	138518.0	4932.0	19513.0	21553.0	20372.0	19323.0	20323.0	16731.0	11846.0	2732.0	1193.0	135605.0	36.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	19546.0	314.0	1203.0	2091.0	2272.0	2995.0	3889.0	3632.0	2493.0	512.0	145.0	19295.0	40.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	157759.0	3846.0	17122.0	19147.0	17315.0	18886.0	24168.0	23498.0	21397.0	8757.0	3623.0	152990.0	39.6
операторы, аппаратчики, машинисты установок и машин	166820.0	2297.0	14216.0	19745.0	21385.0	24734.0	29582.0	25749.0	19518.0	7241.0	2353.0	163399.0	39.5
неквалифицированные рабочие	109428.0	3860.0	10609.0	11549.0	11211.0	13332.0	16832.0	17397.0	16107.0	5591.0	2940.0	104097.0	40.0
занятые на военной службе	10976.0	17.0	1411.0	1889.0	2112.0	2118.0	2136.0	878.0	295.0	83.0	37.0	10919.0	35.3
лица, неточно указавшие или не указавшие  занятия 	9494.0	295.0	1123.0	1266.0	1042.0	1223.0	1425.0	1364.0	1137.0	437.0	182.0	9164.0	38.6
Ульяновская область													
Все население в возрасте 15-64 лет, занятое в экономике 	577150.0	12041.0	56933.0	67507.0	69149.0	80889.0	98416.0	89131.0	69423.0	23629.0	10032.0	558087.0	39.3
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	65319.0	257.0	3128.0	5667.0	7193.0	9755.0	12480.0	11667.0	9816.0	3809.0	1547.0	62530.0	42.0
специалисты высшего уровня квалификации	82033.0	581.0	7733.0	10074.0	9908.0	11302.0	13488.0	12091.0	10374.0	4170.0	2312.0	77085.0	40.0
специалисты среднего уровня квалификации	69975.0	1329.0	7772.0	8900.0	9317.0	9722.0	11344.0	10105.0	8144.0	2377.0	965.0	67757.0	38.5
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	14998.0	445.0	1815.0	1704.0	1933.0	2071.0	2536.0	2221.0	1640.0	461.0	172.0	14409.0	38.2
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	70290.0	2763.0	10663.0	10945.0	9771.0	9887.0	10344.0	8428.0	5631.0	1307.0	551.0	68936.0	35.9
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	11909.0	272.0	657.0	1094.0	1228.0	1830.0	2269.0	2419.0	1689.0	376.0	75.0	11706.0	40.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	110923.0	3111.0	12542.0	12872.0	12231.0	13879.0	18131.0	17539.0	13911.0	4893.0	1814.0	108482.0	39.1
операторы, аппаратчики, машинисты установок и машин	86138.0	1194.0	7239.0	9776.0	10464.0	13507.0	16309.0	13865.0	9461.0	3332.0	991.0	84742.0	39.5
неквалифицированные рабочие	61163.0	1997.0	4986.0	5796.0	6425.0	8155.0	10683.0	10256.0	8505.0	2821.0	1539.0	58135.0	40.3
занятые на военной службе	3011.0	8.0	263.0	514.0	540.0	616.0	567.0	376.0	103.0	20.0	4.0	3003.0	36.4
лица, неточно указавшие или не указавшие  занятия 	1391.0	84.0	135.0	165.0	139.0	165.0	265.0	164.0	149.0	63.0	62.0	1302.0	38.9
Уральский федеральный округ													
Все население в возрасте 15-64 лет, занятое в экономике 	5532230.0	126286.0	606892.0	733325.0	674401.0	701047.0	895834.0	823857.0	640805.0	214331.0	115452.0	5322734.0	38.8
в том числе по группам занятий:													
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	644518.0	2370.0	30984.0	65904.0	77985.0	89933.0	118180.0	111203.0	94049.0	35946.0	17964.0	613599.0	41.7
специалисты высшего уровня квалификации	754008.0	5858.0	77302.0	109126.0	95393.0	96099.0	114233.0	104860.0	90016.0	37646.0	23475.0	705300.0	39.4
