8. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И СОСТОЯНИЮ В БРАКЕ																
																
																
	Мужчины	в том числе							Женщины	в том числе						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошед-шиеся	не указавшие состояние в браке		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошед-шиеся	не указавшие состояние в браке
			в зарегистри-рованном браке	в незарегистри-рованном браке							в зарегистри-рованном браке	в незарегистри-рованном браке				
Все население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке																
55-59	18142.0	15422.0	14139.0	1283.0	606.0	827.0	1281.0	6.0	22135.0	14231.0	13025.0	1206.0	719.0	5019.0	2161.0	5.0
60-64	31128.0	26428.0	24075.0	2353.0	710.0	2425.0	1561.0	4.0	42827.0	24326.0	22350.0	1976.0	1110.0	14466.0	2909.0	16.0
65-69	26650.0	22640.0	20760.0	1880.0	379.0	2818.0	808.0	5.0	39709.0	19450.0	17850.0	1600.0	1011.0	17292.0	1946.0	10.0
70 и более	36365.0	28193.0	26073.0	2120.0	256.0	7323.0	590.0	3.0	80479.0	20674.0	18840.0	1834.0	3311.0	54028.0	2456.0	10.0
возраст не указан	99.0	41.0	35.0	6.0	25.0	3.0	3.0	27.0	108.0	50.0	43.0	7.0	17.0	11.0	4.0	26.0
Чуваши	617508.0	407053.0	373822.0	33231.0	152996.0	23558.0	33495.0	406.0	739281.0	417417.0	381841.0	35576.0	130521.0	136527.0	54477.0	339.0
в том числе в возрасте, лет:																
до 16	3.0	3.0	2.0	1.0		-	-		6.0	6.0	1.0	5.0		-	-	
16-17	26917.0	60.0	27.0	33.0	26801.0	6.0	9.0	41.0	26125.0	303.0	169.0	134.0	25770.0	11.0	6.0	35.0
18-19	24086.0	392.0	283.0	109.0	23663.0	2.0	16.0	13.0	24430.0	2131.0	1580.0	551.0	22244.0	3.0	39.0	13.0
20-24	54207.0	11241.0	9424.0	1817.0	42504.0	14.0	388.0	60.0	53020.0	22038.0	18879.0	3159.0	29680.0	169.0	1099.0	34.0
25-29	54648.0	30827.0	27239.0	3588.0	21614.0	80.0	2089.0	38.0	55108.0	38647.0	34481.0	4166.0	12207.0	656.0	3572.0	26.0
30-34	58244.0	42149.0	37883.0	4266.0	11774.0	147.0	4126.0	48.0	59550.0	45815.0	41645.0	4170.0	6348.0	1544.0	5820.0	23.0
35-39	72798.0	57043.0	52014.0	5029.0	9423.0	339.0	5946.0	47.0	75691.0	59183.0	54670.0	4513.0	5067.0	3186.0	8231.0	24.0
40-44	81507.0	66121.0	60947.0	5174.0	7927.0	801.0	6611.0	47.0	87336.0	67566.0	62797.0	4769.0	4452.0	5626.0	9656.0	36.0
45-49	65188.0	54163.0	50410.0	3753.0	4340.0	1117.0	5544.0	24.0	72220.0	53558.0	49653.0	3905.0	3446.0	7272.0	7907.0	37.0
50-54	50107.0	42172.0	39376.0	2796.0	2487.0	1688.0	3735.0	25.0	58645.0	40576.0	37478.0	3098.0	2728.0	9358.0	5960.0	23.0
55-59	22991.0	19323.0	18018.0	1305.0	779.0	1301.0	1579.0	9.0	29039.0	18273.0	16777.0	1496.0	1282.0	6927.0	2548.0	9.0
60-64	37409.0	31153.0	29053.0	2100.0	799.0	3700.0	1747.0	10.0	52153.0	27615.0	25495.0	2120.0	2504.0	18423.0	3594.0	17.0
65-69	30662.0	24790.0	23161.0	1629.0	474.0	4356.0	1028.0	14.0	48284.0	20847.0	19187.0	1660.0	3267.0	21620.0	2538.0	12.0
70 и более	38682.0	27595.0	25968.0	1627.0	397.0	10005.0	672.0	13.0	97598.0	20828.0	19002.0	1826.0	11512.0	61723.0	3501.0	34.0
возраст не указан	59.0	21.0	17.0	4.0	14.0	2.0	5.0	17.0	76.0	31.0	27.0	4.0	14.0	9.0	6.0	16.0
Чеченцы	405786.0	245640.0	202543.0	43097.0	130343.0	9542.0	12517.0	7744.0	462502.0	248132.0	203920.0	44212.0	113142.0	63083.0	30703.0	7442.0
в том числе в возрасте, лет:																
до 16	26.0	22.0	10.0	12.0		3.0	1.0		292.0	280.0	101.0	179.0		3.0	9.0	
16-17	29645.0	307.0	134.0	173.0	26737.0	16.0	30.0	2555.0	31275.0	2913.0	1252.0	1661.0	25971.0	43.0	173.0	2175.0
18-19	26299.0	1418.0	660.0	758.0	23592.0	15.0	95.0	1179.0	28984.0	6873.0	3915.0	2958.0	20442.0	125.0	593.0	951.0
20-24	57324.0	13167.0	8240.0	4927.0	41302.0	150.0	1012.0	1693.0	65706.0	27788.0	18561.0	9227.0	31866.0	1164.0	3363.0	1525.0
25-29	46359.0	23064.0	16071.0	6993.0	20331.0	279.0	1808.0	877.0	54329.0	31035.0	22344.0	8691.0	15440.0	2226.0	4867.0	761.0
30-34	45170.0	31584.0	23476.0	8108.0	9963.0	515.0	2596.0	512.0	52086.0	34314.0	27484.0	6830.0	8348.0	3475.0	5417.0	532.0
35-39	44398.0	36674.0	29373.0	7301.0	4634.0	587.0	2192.0	311.0	50555.0	36421.0	31256.0	5165.0	4618.0	4190.0	5013.0	313.0
40-44	48058.0	42907.0	37002.0	5905.0	2116.0	874.0	1972.0	189.0	50980.0	37347.0	33306.0	4041.0	3098.0	5688.0	4590.0	257.0
45-49	37516.0	34449.0	30873.0	3576.0	953.0	740.0	1246.0	128.0	39353.0	28182.0	25707.0	2475.0	1772.0	5913.0	3271.0	215.0
50-54	24107.0	22230.0	20307.0	1923.0	342.0	739.0	734.0	62.0	24810.0	16518.0	15292.0	1226.0	706.0	5742.0	1708.0	136.0
55-59	8501.0	7779.0	7201.0	578.0	78.0	379.0	244.0	21.0	9559.0	5720.0	5339.0	381.0	214.0	3094.0	479.0	52.0
60-64	11667.0	10373.0	9586.0	787.0	123.0	848.0	291.0	32.0	15579.0	8037.0	7568.0	469.0	214.0	6689.0	549.0	90.0
65-69	11444.0	10074.0	9211.0	863.0	61.0	1136.0	143.0	30.0	15478.0	6829.0	6409.0	420.0	175.0	8022.0	367.0	85.0
70 и более	15055.0	11525.0	10343.0	1182.0	66.0	3260.0	149.0	55.0	23085.0	5658.0	5216.0	442.0	234.0	16679.0	291.0	223.0
возраст не указан	217.0	67.0	56.0	11.0	45.0	1.0	4.0	100.0	431.0	217.0	170.0	47.0	44.0	30.0	13.0	127.0
Армяне	484502.0	322270.0	290422.0	31848.0	119123.0	13285.0	26999.0	2825.0	389593.0	239530.0	221222.0	18308.0	74220.0	45841.0	28894.0	1108.0
в том числе в возрасте, лет:																
до 16	9.0	8.0	6.0	2.0		-	1.0		16.0	15.0	7.0	8.0		-	1.0	
16-17	21960.0	61.0	28.0	33.0	21633.0	4.0	13.0	249.0	19039.0	433.0	217.0	216.0	18408.0	2.0	10.0	186.0
18-19	20263.0	352.0	220.0	132.0	19767.0	5.0	22.0	117.0	18396.0	2274.0	1535.0	739.0	15978.0	7.0	61.0	76.0
20-24	48303.0	8476.0	6367.0	2109.0	38997.0	20.0	468.0	342.0	41211.0	19007.0	14947.0	4060.0	21077.0	85.0	929.0	113.0
25-29	47589.0	26299.0	21140.0	5159.0	18966.0	50.0	1911.0	363.0	39344.0	29604.0	25694.0	3910.0	7104.0	287.0	2255.0	94.0
30-34	53653.0	40834.0	34766.0	6068.0	8781.0	149.0	3488.0	401.0	40817.0	33662.0	30985.0	2677.0	3141.0	625.0	3279.0	110.0
35-39	59493.0	50063.0	44678.0	5385.0	4607.0	298.0	4194.0	331.0	43438.0	36411.0	34445.0	1966.0	1972.0	1092.0	3860.0	103.0
40-44	66881.0	57999.0	53365.0	4634.0	2860.0	595.0	5095.0	332.0	47008.0	38410.0	36598.0	1812.0	1792.0	1894.0	4818.0	94.0
45-49	49418.0	43137.0	40166.0	2971.0	1507.0	668.0	3898.0	208.0	34502.0	26708.0	25533.0	1175.0	1257.0	2345.0	4135.0	57.0
50-54	34834.0	30061.0	28087.0	1974.0	806.0	921.0	2870.0	176.0	24312.0	17347.0	16636.0	711.0	857.0	2979.0	3065.0	64.0
55-59	16626.0	14167.0	13298.0	869.0	350.0	574.0	1470.0	65.0	12617.0	8069.0	7808.0	261.0	425.0	2585.0	1510.0	28.0
60-64	22985.0	19153.0	18063.0	1090.0	340.0	1747.0	1673.0	72.0	19565.0	11003.0	10682.0	321.0	507.0	6106.0	1910.0	39.0
65-69	17758.0	14435.0	13728.0	707.0	252.0	2044.0	994.0	33.0	16560.0	7992.0	7783.0	209.0	463.0	6758.0	1314.0	33.0
70 и более	24558.0	17163.0	16455.0	708.0	236.0	6208.0	894.0	57.0	32661.0	8542.0	8301.0	241.0	1228.0	21073.0	1744.0	74.0
возраст не указан	172.0	62.0	55.0	7.0	21.0	2.0	8.0	79.0	107.0	53.0	51.0	2.0	11.0	3.0	3.0	37.0
Мордва	338160.0	245398.0	227395.0	18003.0	57322.0	14561.0	20517.0	362.0	416664.0	234926.0	218051.0	16875.0	50475.0	99150.0	31803.0	310.0
в том числе в возрасте, лет:																
до 16	2.0	-	-	-		2.0	-		6.0	6.0	1.0	5.0		-	-	
16-17	9590.0	22.0	7.0	15.0	9527.0	2.0	2.0	37.0	9008.0	111.0	71.0	40.0	8864.0	2.0	4.0	27.0
18-19	9235.0	189.0	143.0	46.0	9015.0	5.0	6.0	20.0	8707.0	890.0	728.0	162.0	7757.0	4.0	41.0	15.0
20-24	21919.0	5943.0	5263.0	680.0	15667.0	9.0	255.0	45.0	19917.0	8951.0	8011.0	940.0	10318.0	63.0	558.0	27.0
25-29	22861.0	14705.0	13304.0	1401.0	6863.0	25.0	1224.0	44.0	21360.0	15540.0	14249.0	1291.0	3854.0	266.0	1683.0	17.0
30-34	26043.0	20149.0	18426.0	1723.0	3665.0	69.0	2119.0	41.0	25452.0	20096.0	18505.0	1591.0	2217.0	561.0	2555.0	23.0
35-39	37168.0	30476.0	27999.0	2477.0	3379.0	154.0	3125.0	34.0	36621.0	29512.0	27546.0	1966.0	1856.0	1399.0	3830.0	24.0
40-44	48003.0	39897.0	36893.0	3004.0	3643.0	406.0	4007.0	50.0	48372.0	38230.0	35814.0	2416.0	1974.0	2930.0	5208.0	30.0
45-49	41886.0	35102.0	32585.0	2517.0	2550.0	638.0	3563.0	33.0	44480.0	33560.0	31227.0	2333.0	1754.0	4365.0	4769.0	32.0
50-54	34870.0	29556.0	27551.0	2005.0	1485.0	950.0	2860.0	19.0	39113.0	27395.0	25392.0	2003.0	1467.0	6142.0	4086.0	23.0
55-59	14545.0	12366.0	11522.0	844.0	521.0	658.0	991.0	9.0	17963.0	11284.0	10475.0	809.0	639.0	4363.0	1667.0	10.0
60-64	25583.0	21715.0	20380.0	1335.0	516.0	2096.0	1251.0	5.0	36794.0	19739.0	18453.0	1286.0	1254.0	13196.0	2590.0	15.0
65-69	19281.0	15987.0	15073.0	914.0	275.0	2361.0	651.0	7.0	31111.0	13555.0	12623.0	932.0	1447.0	14299.0	1795.0	15.0
70 и более	27140.0	19275.0	18234.0	1041.0	210.0	7184.0	462.0	9.0	77726.0	16038.0	14940.0	1098.0	7071.0	51554.0	3015.0	48.0
возраст не указан	34.0	16.0	15.0	1.0	6.0	2.0	1.0	9.0	34.0	19.0	16.0	3.0	3.0	6.0	2.0	4.0
Аварцы	270513.0	165309.0	149068.0	16241.0	91225.0	5804.0	8051.0	124.0	282498.0	158471.0	143009.0	15462.0	68815.0	35279.0	19866.0	67.0
в том числе в возрасте, лет:																
до 16	1.0	1.0	1.0	-		-	-		24.0	24.0	11.0	13.0		-	-	
16-17	18896.0	31.0	19.0	12.0	18834.0	2.0	8.0	21.0	18389.0	405.0	234.0	171.0	17943.0	9.0	18.0	14.0
18-19	19437.0	149.0	91.0	58.0	19265.0	3.0	10.0	10.0	18216.0	2003.0	1440.0	563.0	16079.0	14.0	116.0	4.0
20-24	38523.0	4650.0	3583.0	1067.0	33529.0	33.0	288.0	23.0	37717.0	15112.0	12487.0	2625.0	21015.0	172.0	1397.0	21.0
25-29	31704.0	17239.0	14371.0	2868.0	13257.0	109.0	1078.0	21.0	32474.0	22322.0	19372.0	2950.0	6686.0	556.0	2902.0	8.0
30-34	32300.0	26243.0	22835.0	3408.0	4064.0	206.0	1771.0	16.0	32854.0	25449.0	22830.0	2619.0	2829.0	1019.0	3556.0	1.0
35-39	31641.0	28571.0	25912.0	2659.0	1268.0	246.0	1551.0	5.0	32088.0	25499.0	23426.0	2073.0	1634.0	1512.0	3437.0	6.0
40-44	29661.0	27559.0	25612.0	1947.0	526.0	292.0	1273.0	11.0	28768.0	22563.0	21015.0	1548.0	1068.0	2054.0	3079.0	4.0
45-49	18282.0	17106.0	15955.0	1151.0	196.0	270.0	705.0	5.0	18165.0	13662.0	12843.0	819.0	462.0	2123.0	1916.0	2.0
50-54	12707.0	11843.0	11144.0	699.0	109.0	304.0	447.0	4.0	13078.0	9253.0	8726.0	527.0	223.0	2421.0	1179.0	2.0
55-59	6133.0	5677.0	5349.0	328.0	40.0	225.0	190.0	1.0	6876.0	4568.0	4293.0	275.0	104.0	1750.0	454.0	-
60-64	9443.0	8399.0	7848.0	551.0	54.0	669.0	319.0	2.0	11198.0	6351.0	5941.0	410.0	191.0	4010.0	645.0	1.0
