5. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И УРОВНЮ ОБРАЗОВАНИЯ										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образова-ния	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузов-ское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
Мужчины, занятые в экономике 	23394993.0	5731939.0	799085.0	7958666.0	3652203.0	3873639.0	1180361.0	150573.0	9803.0	38724.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	3423446.0	1942200.0	155586.0	931616.0	149189.0	206949.0	30350.0	3527.0	9.0	4020.0
специалисты высшего уровня квалификации	2430562.0	1867571.0	103505.0	321429.0	47565.0	74570.0	11745.0	186.0	73.0	3918.0
специалисты среднего уровня квалификации	1979873.0	471176.0	113750.0	886481.0	217498.0	240416.0	43769.0	4645.0	298.0	1840.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	121687.0	34630.0	10207.0	41477.0	11219.0	20614.0	3086.0	260.0	1.0	193.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1945263.0	314647.0	95742.0	731931.0	277080.0	411614.0	95517.0	11853.0	2503.0	4376.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	100628.0	9382.0	2062.0	30642.0	22805.0	21777.0	12072.0	1658.0	171.0	59.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	5964809.0	319668.0	134843.0	2344933.0	1394835.0	1279621.0	430475.0	52931.0	1940.0	5563.0
операторы, аппаратчики, машинисты установок и машин	4852810.0	249704.0	100695.0	1896514.0	1129354.0	1115786.0	317089.0	37833.0	1222.0	4613.0
неквалифицированные рабочие	1529042.0	99807.0	42161.0	469770.0	314674.0	363436.0	203043.0	32629.0	1816.0	1706.0
занятые на военной службе	396763.0	230794.0	9038.0	102656.0	20829.0	29766.0	3017.0	226.0	87.0	350.0
лица, неточно указавшие или не указавшие занятия 	650110.0	192360.0	31496.0	201217.0	67155.0	109090.0	30198.0	4825.0	1683.0	12086.0
Женщины, занятые в экономике	23593602.0	6636316.0	814845.0	9426803.0	2632607.0	3246667.0	716950.0	79965.0	7527.0	31922.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	2473968.0	1236717.0	95140.0	862200.0	109566.0	149447.0	16359.0	1916.0	6.0	2617.0
специалисты высшего уровня квалификации	5144694.0	3706515.0	198357.0	992075.0	94668.0	136058.0	11256.0	129.0	27.0	5609.0
специалисты среднего уровня квалификации	4100686.0	622516.0	192247.0	2612323.0	298834.0	330570.0	36813.0	3580.0	456.0	3347.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	1169544.0	191703.0	70656.0	533327.0	123529.0	223877.0	23319.0	2043.0	17.0	1073.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	4381679.0	357604.0	128218.0	1944606.0	783095.0	923520.0	215821.0	21138.0	3013.0	4664.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	69879.0	4119.0	1043.0	24757.0	14569.0	17103.0	7249.0	922.0	58.0	59.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	2003716.0	114773.0	37092.0	807538.0	452186.0	469784.0	109059.0	10609.0	670.0	2005.0
операторы, аппаратчики, машинисты установок и машин	1251635.0	89159.0	26580.0	540144.0	243999.0	291487.0	54237.0	4783.0	308.0	938.0
неквалифицированные рабочие	2346799.0	111109.0	35947.0	867930.0	460044.0	611458.0	225351.0	31916.0	1330.0	1714.0
занятые на военной службе	102855.0	28911.0	3568.0	51402.0	6278.0	11756.0	793.0	65.0	1.0	81.0
лица, неточно указавшие или не указавшие занятия 	548147.0	173190.0	25997.0	190501.0	45839.0	81607.0	16693.0	2864.0	1641.0	9815.0
Сельское население, занятое в экономике 	12663842.0	1603937.0	200798.0	4055020.0	2819897.0	2475065.0	1282165.0	214203.0	8746.0	4011.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	1028462.0	362522.0	27580.0	412313.0	99256.0	100125.0	23666.0	2747.0	3.0	250.0
специалисты высшего уровня квалификации	1295183.0	803219.0	50346.0	315864.0	54880.0	56552.0	13587.0	99.0	13.0	623.0
специалисты среднего уровня квалификации	1498537.0	133789.0	40038.0	961935.0	177408.0	146006.0	35019.0	3939.0	88.0	315.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	288158.0	24783.0	8171.0	145998.0	44317.0	54775.0	9305.0	742.0	12.0	55.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1433647.0	70290.0	21754.0	518861.0	353364.0	336949.0	117543.0	13635.0	824.0	427.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	897042.0	24298.0	5216.0	173256.0	218021.0	240782.0	197675.0	35962.0	1671.0	161.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	1564033.0	42474.0	15516.0	443744.0	479227.0	366957.0	187098.0	27825.0	673.0	519.0
операторы, аппаратчики, машинисты установок и машин	2425370.0	42387.0	16040.0	581039.0	844913.0	614247.0	279613.0	45857.0	736.0	538.0
неквалифицированные рабочие	1961649.0	32915.0	11358.0	415699.0	507935.0	511667.0	397370.0	79769.0	4413.0	523.0
занятые на военной службе	116612.0	49087.0	1860.0	39656.0	10064.0	13527.0	2142.0	192.0	15.0	69.0
лица, неточно указавшие или не указавшие занятия 	155149.0	18173.0	2919.0	46655.0	30512.0	33478.0	19147.0	3436.0	298.0	531.0
Мужчины, занятые в экономике 	6808291.0	716892.0	91329.0	1729206.0	1833677.0	1458109.0	813800.0	156860.0	6042.0	2376.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	531601.0	220395.0	15759.0	176845.0	51780.0	51778.0	12991.0	1905.0	1.0	147.0
специалисты высшего уровня квалификации	401785.0	235380.0	13525.0	88921.0	28335.0	25788.0	9362.0	81.0	6.0	387.0
специалисты среднего уровня квалификации	402902.0	56535.0	12267.0	186021.0	73719.0	55678.0	16149.0	2387.0	42.0	104.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	29507.0	4759.0	976.0	11126.0	5209.0	5756.0	1471.0	197.0	6.0	7.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	387873.0	38503.0	9664.0	123023.0	85647.0	95953.0	30020.0	4635.0	306.0	122.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	394716.0	18090.0	3244.0	72917.0	98975.0	97812.0	82795.0	19846.0	951.0	86.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	1272739.0	34822.0	12999.0	346317.0	398678.0	294553.0	159287.0	25092.0	581.0	410.0
операторы, аппаратчики, машинисты установок и машин	2246542.0	35058.0	13854.0	514167.0	802377.0	570978.0	264450.0	44523.0	671.0	464.0
неквалифицированные рабочие	958913.0	18925.0	6236.0	160072.0	261519.0	229899.0	223169.0	55556.0	3297.0	240.0
занятые на военной службе	92603.0	44315.0	1229.0	26769.0	7938.0	10373.0	1779.0	143.0	10.0	47.0
лица, неточно указавшие или не указавшие занятия 	89110.0	10110.0	1576.0	23028.0	19500.0	19541.0	12327.0	2495.0	171.0	362.0
Женщины, занятые в экономике 	5855551.0	887045.0	109469.0	2325814.0	986220.0	1016956.0	468365.0	57343.0	2704.0	1635.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	496861.0	142127.0	11821.0	235468.0	47476.0	48347.0	10675.0	842.0	2.0	103.0
специалисты высшего уровня квалификации	893398.0	567839.0	36821.0	226943.0	26545.0	30764.0	4225.0	18.0	7.0	236.0
специалисты среднего уровня квалификации	1095635.0	77254.0	27771.0	775914.0	103689.0	90328.0	18870.0	1552.0	46.0	211.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	258651.0	20024.0	7195.0	134872.0	39108.0	49019.0	7834.0	545.0	6.0	48.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1045774.0	31787.0	12090.0	395838.0	267717.0	240996.0	87523.0	9000.0	518.0	305.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	502326.0	6208.0	1972.0	100339.0	119046.0	142970.0	114880.0	16116.0	720.0	75.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	291294.0	7652.0	2517.0	97427.0	80549.0	72404.0	27811.0	2733.0	92.0	109.0
операторы, аппаратчики, машинисты установок и машин	178828.0	7329.0	2186.0	66872.0	42536.0	43269.0	15163.0	1334.0	65.0	74.0
неквалифицированные рабочие	1002736.0	13990.0	5122.0	255627.0	246416.0	281768.0	174201.0	24213.0	1116.0	283.0
занятые на военной службе	24009.0	4772.0	631.0	12887.0	2126.0	3154.0	363.0	49.0	5.0	22.0
лица, неточно указавшие или не указавшие занятия 	66039.0	8063.0	1343.0	23627.0	11012.0	13937.0	6820.0	941.0	127.0	169.0
