5.7. ЗАНЯТОЕ НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ											
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ											
											
	Все занятое в экономике население	в том числе по группам занятий									
		руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	специалисты высшего уровня квалификации	специалисты среднего уровня квалификации	работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	квалифици-рованные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	квалифици-рованные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	операторы, аппаратчики, машинисты установок и машин	неквалифици-рованные рабочие	занятые на военной службе
Приволжский федеральный округ	13255158.0	1474422.0	1862894.0	1679746.0	356338.0	1621561.0	299524.0	2333007.0	2071399.0	1391823.0	65730.0
Республика Башкортостан	1672385.0	180571.0	231083.0	211912.0	39721.0	196566.0	50772.0	283250.0	294990.0	174248.0	1949.0
Республика Марий Эл	299661.0	31665.0	41882.0	37474.0	6564.0	39119.0	8139.0	53221.0	41601.0	33518.0	4046.0
Республика Мордовия	349073.0	34108.0	49819.0	47898.0	10141.0	41089.0	11284.0	64661.0	52176.0	37018.0	556.0
Республика Татарстан	1685719.0	191031.0	237611.0	216040.0	48572.0	192147.0	48261.0	289578.0	282301.0	167450.0	1765.0
Удмуртская Республика	724578.0	77733.0	105048.0	92526.0	19169.0	85551.0	19756.0	131963.0	105439.0	80062.0	1416.0
Чувашская Республика	548915.0	55900.0	71525.0	64281.0	12512.0	67264.0	11896.0	104091.0	72607.0	86247.0	753.0
Кировская область	667050.0	66865.0	79226.0	92353.0	17957.0	83224.0	21695.0	118007.0	103094.0	75390.0	4406.0
Нижегородская область	1570198.0	186216.0	223913.0	200290.0	45111.0	186604.0	23479.0	308902.0	217543.0	157668.0	12297.0
Оренбургская область	877206.0	89286.0	110863.0	116865.0	25238.0	114320.0	26990.0	132348.0	158263.0	90973.0	9247.0
Пензенская область	561906.0	63258.0	79349.0	67012.0	16349.0	71253.0	13109.0	94264.0	81964.0	68352.0	4436.0
Пермская область	1213888.0	136512.0	171983.0	157121.0	32084.0	152184.0	19499.0	213418.0	187038.0	127144.0	3327.0
Коми–Пермяцкий автономный округ	45469.0	3950.0	5665.0	7021.0	1174.0	5275.0	1969.0	5045.0	7052.0	8201.0	43.0
Самарская область	1456616.0	173976.0	216583.0	179872.0	39735.0	183432.0	13189.0	270622.0	221425.0	123162.0	7545.0
Саратовская область	1050813.0	121982.0	161976.0	126127.0	28187.0	138518.0	19546.0	157759.0	166820.0	109428.0	10976.0
Ульяновская область	577150.0	65319.0	82033.0	69975.0	14998.0	70290.0	11909.0	110923.0	86138.0	61163.0	3011.0
Уральский федеральный округ	5532230.0	644518.0	754008.0	704809.0	149310.0	669797.0	62897.0	992707.0	916697.0	531157.0	26227.0
Курганская область	384443.0	43050.0	47573.0	52962.0	10350.0	47976.0	8306.0	62388.0	61066.0	46762.0	1900.0
Свердловская область	2020024.0	241949.0	274403.0	253255.0	52994.0	246632.0	20911.0	394322.0	302458.0	191378.0	11682.0
Тюменская область	1561396.0	186813.0	222425.0	200794.0	42370.0	178337.0	16948.0	214530.0	320959.0	141985.0	1510.0
Ханты-Мансийский автономный округ - Югра	750403.0	87423.0	104161.0	93518.0	21147.0	80427.0	3468.0	102665.0	174596.0	62176.0	270.0
Ямало-Ненецкий автономный округ	272206.0	33150.0	37702.0	36415.0	7746.0	25838.0	3942.0	38410.0	59313.0	25474.0	111.0
Челябинская область	1566367.0	172706.0	209607.0	197798.0	43596.0	196852.0	16732.0	321467.0	232214.0	151032.0	11135.0
Сибирский федеральный округ	8096818.0	906297.0	1105713.0	1058333.0	215889.0	1074430.0	171427.0	1308384.0	1213671.0	872336.0	72805.0
Республика Алтай	67280.0	7977.0	10559.0	10220.0	2191.0	7880.0	3017.0	7545.0	8258.0	8873.0	427.0
Республика Бурятия	345237.0	35777.0	51042.0	45410.0	10330.0	47910.0	7472.0	52739.0	46083.0	36769.0	9232.0
Республика Тыва	82503.0	9452.0	14145.0	15657.0	3191.0	12009.0	1854.0	6895.0	8383.0	10215.0	594.0
Республика Хакасия	213696.0	23289.0	28032.0	27137.0	5277.0	32641.0	3214.0	34702.0	32481.0	23473.0	724.0
Алтайский край	1035034.0	115801.0	122417.0	129493.0	27219.0	135846.0	43514.0	155497.0	163217.0	128512.0	9397.0
Красноярский край	1284174.0	151571.0	167629.0	174045.0	35302.0	163009.0	21852.0	210591.0	196337.0	137904.0	10629.0
Таймырский (Долгано-Ненецкий) автономный округ	19414.0	2315.0	2341.0	2981.0	672.0	1933.0	918.0	2599.0	2722.0	2676.0	54.0
Эвенкийский автономный округ	8453.0	1277.0	1094.0	1546.0	303.0	843.0	196.0	845.0	1337.0	910.0	14.0
Иркутская область	1041054.0	112123.0	152876.0	129085.0	24707.0	135158.0	18654.0	154037.0	168630.0	109094.0	8849.0
Усть-Ордынский Бурятский автономный округ	41434.0	4138.0	5592.0	5690.0	1246.0	4227.0	2075.0	3022.0	7337.0	6745.0	23.0
Кемеровская область	1200097.0	122643.0	143958.0	149399.0	30817.0	165256.0	12409.0	256389.0	193002.0	113416.0	2261.0
Новосибирская область	1159467.0	149080.0	172316.0	151759.0	30101.0	158573.0	24457.0	177595.0	149518.0	123451.0	11277.0
Омская область	827109.0	83910.0	113173.0	116394.0	23513.0	109625.0	21696.0	128351.0	122207.0	95511.0	4775.0
Томская область	430823.0	54247.0	72947.0	55963.0	10455.0	56342.0	5168.0	63759.0	64074.0	40171.0	1891.0
Читинская область	410344.0	40427.0	56619.0	53771.0	12786.0	50181.0	8120.0	60284.0	61481.0	44947.0	12749.0
Агинский Бурятский автономный округ	20965.0	2107.0	3676.0	2896.0	600.0	2323.0	1587.0	1334.0	3325.0	2685.0	322.0
Дальневосточный федеральный округ	2869370.0	331706.0	391742.0	407301.0	82155.0	381532.0	38942.0	421846.0	407433.0	277894.0	90091.0
Республика Саха (Якутия)	418585.0	50747.0	61784.0	63602.0	11739.0	50738.0	9689.0	59711.0	65158.0	42389.0	740.0
Приморский край	868386.0	97807.0	117420.0	125184.0	23227.0	120803.0	8656.0	130993.0	118489.0	80633.0	30895.0
Хабаровский край	629433.0	72586.0	96478.0	79495.0	17918.0	86529.0	7939.0	94188.0	79253.0	60571.0	22619.0
Амурская область	363927.0	37428.0	43932.0	49531.0	11721.0	48794.0	4317.0	57254.0	58251.0	38278.0	11516.0
Камчатская область	158126.0	19119.0	19454.0	26020.0	4471.0	18822.0	2179.0	19908.0	18730.0	12732.0	14316.0
Корякский автономный округ	10930.0	1952.0	1263.0	1792.0	305.0	1145.0	357.0	1234.0	1359.0	1393.0	86.0
Магаданская область	89720.0	12663.0	12089.0	13063.0	2994.0	10256.0	703.0	12374.0	14801.0	8908.0	696.0
Сахалинская область	239851.0	30248.0	28721.0	36752.0	6835.0	33437.0	3675.0	32205.0	37598.0	22718.0	5679.0
Еврейская автономная область	72245.0	7201.0	8010.0	9880.0	2352.0	9516.0	847.0	11304.0	10800.0	8428.0	2837.0
Чукотский автономный округ	29097.0	3907.0	3854.0	3774.0	898.0	2637.0	937.0	3909.0	4353.0	3237.0	793.0
