10. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И УРОВНЮ ОБРАЗОВАНИЯ												
												
												
	Численность населения соответ-ствующей националь-ности	в том числе имеют образование								Не имеют начального общего образования	из них негра-мотные	Не указавшие уровень образования
		профессиональное					общее					
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
Все население в возрасте 15 лет и более												
35-39	13020.0	75.0	4190.0	608.0	3994.0	1446.0	2132.0	413.0	104.0	23.0	19.0	35.0
40-44	13288.0	82.0	4454.0	448.0	4118.0	1466.0	2134.0	451.0	104.0	11.0	7.0	20.0
45-49	10204.0	80.0	3347.0	301.0	3130.0	1048.0	1693.0	459.0	104.0	18.0	14.0	24.0
50-54	8718.0	76.0	3025.0	230.0	2498.0	826.0	1440.0	475.0	120.0	7.0	4.0	21.0
55-59	5014.0	49.0	1727.0	118.0	1394.0	435.0	764.0	381.0	134.0	2.0	1.0	10.0
60-64	8106.0	70.0	2259.0	125.0	2012.0	747.0	1291.0	933.0	638.0	19.0	9.0	12.0
65-69	6371.0	57.0	1498.0	97.0	1426.0	499.0	922.0	931.0	893.0	33.0	14.0	15.0
70 и более	8105.0	70.0	1888.0	109.0	1420.0	485.0	993.0	1325.0	1682.0	120.0	43.0	13.0
Возраст не указан	91.0	1.0	8.0	5.0	4.0	1.0	3.0	3.0	2.0	2.0	-	62.0
Даргинцы	64831.0	335.0	11986.0	5480.0	11216.0	4046.0	20232.0	8779.0	2454.0	263.0	162.0	40.0
в том числе в возрасте, лет:												
15-17	6433.0	-	-	-	128.0	65.0	2271.0	3637.0	316.0	13.0	11.0	3.0
18-19	6063.0	-	1.0	934.0	335.0	162.0	3873.0	657.0	89.0	10.0	7.0	2.0
20-24	10187.0	16.0	1263.0	3147.0	1175.0	472.0	3199.0	734.0	154.0	18.0	14.0	9.0
25-29	7075.0	49.0	1830.0	491.0	1362.0	534.0	2137.0	571.0	83.0	12.0	6.0	6.0
30-34	7351.0	47.0	1769.0	303.0	1889.0	675.0	2108.0	464.0	82.0	6.0	3.0	8.0
35-39	7144.0	47.0	1749.0	224.0	1914.0	629.0	2010.0	470.0	91.0	6.0	2.0	4.0
40-44	6648.0	44.0	1886.0	148.0	1610.0	539.0	1851.0	468.0	86.0	13.0	3.0	3.0
45-49	4326.0	33.0	1324.0	92.0	1056.0	345.0	993.0	369.0	103.0	9.0	4.0	2.0
50-54	2958.0	29.0	920.0	64.0	665.0	270.0	651.0	269.0	83.0	5.0	3.0	2.0
55-59	1366.0	30.0	389.0	30.0	328.0	80.0	302.0	133.0	69.0	4.0	4.0	1.0
60-64	1856.0	18.0	420.0	20.0	360.0	135.0	361.0	318.0	209.0	15.0	11.0	-
65-69	1542.0	10.0	259.0	17.0	219.0	84.0	262.0	317.0	342.0	32.0	18.0	-
70 и более	1882.0	12.0	176.0	10.0	175.0	56.0	214.0	372.0	747.0	120.0	76.0	-
Возраст не указан	5.0	1.0	-	-	-	-	1.0	1.0	-	-	-	2.0
Буряты	70611.0	573.0	19162.0	5099.0	13072.0	5258.0	18320.0	7433.0	1456.0	199.0	121.0	39.0
в том числе в возрасте, лет:												
15-17	6900.0	-	-	3.0	115.0	72.0	2339.0	4042.0	307.0	21.0	16.0	1.0
18-19	6227.0	-	-	653.0	494.0	316.0	4035.0	664.0	47.0	15.0	9.0	3.0
20-24	11032.0	21.0	1644.0	2297.0	1953.0	881.0	3449.0	674.0	81.0	26.0	21.0	6.0
25-29	8063.0	67.0	2645.0	618.0	1760.0	699.0	1832.0	390.0	24.0	23.0	13.0	5.0
30-34	6327.0	45.0	2056.0	403.0	1641.0	611.0	1374.0	159.0	25.0	6.0	4.0	7.0
35-39	6554.0	47.0	2443.0	355.0	1628.0	626.0	1268.0	143.0	29.0	12.0	9.0	3.0
40-44	7045.0	57.0	2699.0	272.0	1695.0	650.0	1464.0	178.0	17.0	9.0	7.0	4.0
45-49	5688.0	60.0	2329.0	201.0	1260.0	484.0	1106.0	201.0	31.0	14.0	12.0	2.0
50-54	4471.0	73.0	1986.0	124.0	1007.0	328.0	703.0	210.0	34.0	5.0	4.0	1.0
55-59	1931.0	54.0	844.0	66.0	398.0	164.0	278.0	89.0	33.0	3.0	2.0	2.0
60-64	2331.0	58.0	1066.0	39.0	419.0	186.0	236.0	204.0	117.0	6.0	4.0	-
65-69	1530.0	39.0	664.0	23.0	260.0	101.0	115.0	153.0	166.0	9.0	5.0	-
70 и более	2512.0	52.0	786.0	45.0	442.0	140.0	121.0	326.0	545.0	50.0	15.0	5.0
Возраст не указан	10.0	-	1.0	1.0	1.0	-	3.0	-	-	1.0	1.0	3.0
Якуты	54206.0	410.0	12735.0	3038.0	11953.0	4758.0	14608.0	4837.0	1381.0	338.0	244.0	148.0
в том числе в возрасте, лет:												
15-17	4935.0	-	-	26.0	36.0	40.0	1800.0	2645.0	342.0	30.0	29.0	16.0
18-19	4702.0	-	6.0	350.0	259.0	201.0	3535.0	316.0	19.0	12.0	10.0	4.0
20-24	8304.0	21.0	888.0	1262.0	1616.0	744.0	3338.0	351.0	38.0	25.0	19.0	21.0
25-29	6295.0	43.0	1599.0	391.0	1822.0	709.0	1413.0	246.0	35.0	22.0	18.0	15.0
30-34	5624.0	34.0	1459.0	331.0	1725.0	689.0	1190.0	135.0	28.0	20.0	16.0	13.0
35-39	5612.0	42.0	1770.0	229.0	1747.0	654.0	999.0	118.0	16.0	28.0	23.0	9.0
40-44	5117.0	43.0	1660.0	150.0	1600.0	596.0	863.0	136.0	30.0	20.0	17.0	19.0
45-49	4071.0	48.0	1497.0	95.0	1110.0	442.0	632.0	169.0	42.0	24.0	22.0	12.0
50-54	2869.0	41.0	1200.0	71.0	708.0	247.0	381.0	146.0	49.0	14.0	13.0	12.0
55-59	1709.0	32.0	781.0	37.0	388.0	140.0	174.0	92.0	43.0	13.0	8.0	9.0
60-64	1560.0	40.0	727.0	32.0	308.0	117.0	92.0	126.0	96.0	17.0	8.0	5.0
65-69	1415.0	28.0	592.0	15.0	283.0	93.0	90.0	126.0	154.0	29.0	10.0	5.0
70 и более	1993.0	38.0	556.0	49.0	351.0	86.0	101.0	231.0	489.0	84.0	51.0	8.0
Возраст не указан	5.0	-	-	-	2.0	-	1.0	1.0	-	-	-	1.0
Кумыки	70341.0	374.0	11776.0	5241.0	14529.0	5224.0	20745.0	9853.0	2288.0	303.0	162.0	8.0
в том числе в возрасте, лет:												
15-17	7441.0	-	-	4.0	139.0	89.0	2341.0	4551.0	301.0	15.0	12.0	1.0
18-19	5970.0	-	-	877.0	467.0	235.0	3667.0	647.0	66.0	10.0	5.0	1.0
20-24	10414.0	27.0	1232.0	2735.0	1611.0	598.0	3374.0	724.0	97.0	16.0	11.0	-
25-29	7623.0	56.0	1907.0	520.0	1810.0	689.0	2041.0	532.0	53.0	15.0	6.0	-
30-34	7242.0	35.0	1551.0	331.0	2070.0	803.0	1924.0	464.0	53.0	10.0	5.0	1.0
35-39	7158.0	39.0	1509.0	224.0	2127.0	727.0	2042.0	429.0	49.0	11.0	6.0	1.0
40-44	7347.0	62.0	1749.0	236.0	2195.0	720.0	1862.0	431.0	74.0	16.0	6.0	2.0
45-49	5130.0	36.0	1242.0	106.0	1537.0	484.0	1206.0	424.0	87.0	7.0	2.0	1.0
50-54	3927.0	33.0	1083.0	86.0	1077.0	337.0	889.0	343.0	75.0	4.0	2.0	-
55-59	1863.0	21.0	462.0	49.0	481.0	178.0	380.0	219.0	65.0	8.0	5.0	-
60-64	2356.0	28.0	497.0	36.0	499.0	168.0	459.0	388.0	258.0	23.0	13.0	-
65-69	1768.0	21.0	288.0	21.0	273.0	115.0	285.0	351.0	378.0	35.0	16.0	1.0
70 и более	2102.0	16.0	256.0	16.0	243.0	81.0	275.0	350.0	732.0	133.0	73.0	-
Возраст не указан	7.0	-	-	2.0	1.0	-	2.0	1.0	-	-	-	1.0
Ингуши	61463.0	246.0	10287.0	4988.0	10019.0	6134.0	17570.0	7732.0	3329.0	1051.0	542.0	107.0
в том числе в возрасте, лет:												
15-17	6153.0	-	-	3.0	150.0	103.0	1494.0	3827.0	545.0	9.0	5.0	22.0
18-19	4553.0	-	2.0	812.0	486.0	258.0	2450.0	420.0	108.0	11.0	5.0	6.0
20-24	9431.0	21.0	1236.0	1996.0	1253.0	763.0	3390.0	593.0	154.0	17.0	8.0	8.0
25-29	7263.0	45.0	1762.0	809.0	1309.0	815.0	2012.0	378.0	118.0	8.0	4.0	7.0
30-34	7124.0	37.0	1678.0	498.0	1546.0	1002.0	1866.0	356.0	110.0	13.0	3.0	18.0
35-39	6303.0	38.0	1532.0	317.0	1388.0	860.0	1717.0	315.0	113.0	14.0	6.0	9.0
40-44	6466.0	40.0	1553.0	255.0	1468.0	916.0	1699.0	346.0	157.0	23.0	7.0	9.0
45-49	4394.0	25.0	958.0	123.0	954.0	602.0	1193.0	324.0	189.0	21.0	8.0	5.0
50-54	2977.0	11.0	613.0	68.0	622.0	331.0	772.0	325.0	187.0	43.0	5.0	5.0
55-59	1540.0	9.0	343.0	48.0	303.0	178.0	292.0	177.0	151.0	38.0	11.0	1.0
60-64	1867.0	14.0	369.0	35.0	248.0	150.0	329.0	243.0	377.0	100.0	42.0	2.0
65-69	1487.0	5.0	160.0	13.0	150.0	92.0	206.0	216.0	453.0	190.0	88.0	2.0
70 и более	1905.0	1.0	81.0	11.0	142.0	64.0	150.0	212.0	667.0	564.0	350.0	13.0
Возраст не указан	94.0	-	2.0	3.0	3.0	1.0	8.0	2.0	3.0	3.0	-	69.0
Лезгины	74907.0	471.0	16502.0	6039.0	16093.0	6039.0	20528.0	7571.0	1436.0	172.0	74.0	56.0
в том числе в возрасте, лет:												
15-17	7534.0	-	-	3.0	194.0	120.0	2645.0	4239.0	311.0	13.0	9.0	9.0
18-19	6799.0	-	2.0	1188.0	496.0	253.0	4347.0	475.0	32.0	5.0	3.0	1.0
20-24	10694.0	21.0	1566.0	3153.0	1635.0	660.0	3099.0	482.0	58.0	12.0	8.0	8.0
25-29	8021.0	66.0	2308.0	569.0	1891.0	766.0	2036.0	324.0	39.0	17.0	2.0	5.0
30-34	8214.0	51.0	2175.0	341.0	2444.0	920.0	1958.0	277.0	32.0	12.0	4.0	4.0
35-39	8501.0	49.0	2369.0	266.0	2641.0	941.0	1915.0	254.0	43.0	13.0	6.0	10.0
40-44	8801.0	55.0	2787.0	211.0	2648.0	978.0	1781.0	276.0	48.0	12.0	1.0	5.0
45-49	5726.0	56.0	1900.0	108.0	1676.0	593.0	1083.0	260.0	33.0	10.0	2.0	7.0
50-54	3851.0	58.0	1376.0	83.0	1102.0	305.0	697.0	189.0	36.0	4.0	1.0	1.0
55-59	1472.0	25.0	572.0	30.0	387.0	134.0	208.0	83.0	32.0	1.0	1.0	-
60-64	2186.0	41.0	745.0	49.0	469.0	184.0	350.0	206.0	128.0	11.0	4.0	3.0
65-69	1518.0	34.0	403.0	24.0	304.0	101.0	194.0	221.0	219.0	18.0	8.0	-
70 и более	1590.0	15.0	299.0	14.0	206.0	84.0	215.0	285.0	425.0	44.0	25.0	3.0
Возраст не указан	10.0	-	-	1.0	4.0	-	1.0	1.0	1.0	-	-	2.0
Коми	49095.0	172.0	6910.0	1326.0	15676.0	8244.0	7372.0	7172.0	1995.0	193.0	134.0	35.0
в том числе в возрасте, лет:												
15-17	3161.0	-	-	-	19.0	44.0	479.0	2167.0	421.0	27.0	21.0	4.0
18-19	2509.0	-	-	60.0	251.0	260.0	1240.0	653.0	29.0	15.0	12.0	1.0
20-24	5420.0	6.0	391.0	503.0	1832.0	1015.0	906.0	670.0	62.0	32.0	26.0	3.0
25-29	5074.0	17.0	718.0	190.0	1923.0	940.0	718.0	515.0	39.0	13.0	8.0	1.0
30-34	3933.0	6.0	552.0	113.0	1703.0	742.0	503.0	276.0	19.0	14.0	13.0	5.0
35-39	4696.0	19.0	710.0	84.0	1995.0	870.0	739.0	244.0	24.0	7.0	7.0	4.0
40-44	5981.0	20.0	937.0	101.0	2375.0	1178.0	920.0	396.0	32.0	16.0	10.0	6.0
45-49	5362.0	16.0	938.0	79.0	1929.0	1107.0	704.0	496.0	83.0	8.0	3.0	2.0
50-54	4337.0	29.0	869.0	74.0	1360.0	829.0	558.0	519.0	92.0	3.0	2.0	4.0
55-59	1879.0	19.0	451.0	28.0	615.0	290.0	201.0	211.0	57.0	7.0	7.0	-
60-64	2474.0	12.0	558.0	43.0	666.0	395.0	187.0	373.0	228.0	10.0	7.0	2.0
65-69	1913.0	17.0	388.0	15.0	488.0	287.0	98.0	266.0	343.0	10.0	4.0	1.0
70 и более	2356.0	11.0	398.0	36.0	520.0	287.0	119.0	386.0	566.0	31.0	14.0	2.0
Возраст не указан	21.0	-	1.0	-	6.0	2.0	4.0	3.0	-	-	-	5.0
Тувинцы	35250.0	55.0	3722.0	981.0	7635.0	4459.0	10180.0	6695.0	1378.0	142.0	87.0	3.0
в том числе в возрасте, лет:												
15-17	4402.0	-	-	-	21.0	57.0	868.0	3048.0	398.0	10.0	9.0	-
18-19	3364.0	-	-	46.0	258.0	300.0	2055.0	638.0	56.0	10.0	9.0	1.0
20-24	5996.0	1.0	258.0	443.0	1164.0	829.0	2363.0	820.0	107.0	10.0	7.0	1.0
25-29	4586.0	7.0	539.0	146.0	1145.0	755.0	1325.0	568.0	88.0	13.0	10.0	-
30-34	4360.0	7.0	522.0	111.0	1316.0	652.0	1229.0	452.0	66.0	5.0	2.0	-
35-39	3996.0	8.0	653.0	113.0	1272.0	637.0	919.0	324.0	62.0	8.0	7.0	-
40-44	3000.0	8.0	506.0	52.0	993.0	466.0	649.0	257.0	57.0	12.0	10.0	-
45-49	1728.0	3.0	312.0	21.0	548.0	286.0	349.0	164.0	39.0	6.0	4.0	-
50-54	1259.0	9.0	268.0	18.0	380.0	203.0	202.0	124.0	51.0	3.0	2.0	1.0
55-59	948.0	5.0	210.0	9.0	256.0	131.0	134.0	112.0	81.0	10.0	7.0	-
60-64	799.0	1.0	233.0	12.0	156.0	89.0	65.0	102.0	135.0	6.0	3.0	-
65-69	389.0	1.0	124.0	4.0	63.0	33.0	11.0	42.0	99.0	12.0	3.0	-
70 и более	423.0	5.0	97.0	6.0	63.0	21.0	11.0	44.0	139.0	37.0	14.0	-
Возраст не указан	4.0	-	-	-	1.0	-	2.0	-	-	-	-	1.0
Евреи	109589.0	3923.0	64682.0	4838.0	16621.0	3593.0	8876.0	4346.0	1800.0	202.0	79.0	708.0
в том числе в возрасте, лет:												
15-17	2113.0	-	-	28.0	24.0	31.0	634.0	1227.0	126.0	10.0	2.0	33.0
18-19	1747.0	-	3.0	408.0	113.0	48.0	1042.0	107.0	11.0	7.0	3.0	8.0
20-24	4261.0	40.0	1160.0	1299.0	506.0	157.0	876.0	147.0	32.0	15.0	7.0	29.0
25-29	4684.0	164.0	2512.0	391.0	605.0	213.0	585.0	139.0	38.0	6.0	3.0	31.0
30-34	5439.0	152.0	2890.0	364.0	973.0	207.0	635.0	124.0	32.0	11.0	6.0	51.0
35-39	5435.0	131.0	3265.0	247.0	886.0	209.0	528.0	83.0	26.0	13.0	8.0	47.0
40-44	7370.0	214.0	4736.0	281.0	1074.0	235.0	604.0	134.0	41.0	11.0	5.0	40.0
45-49	8160.0	269.0	5420.0	223.0	1238.0	271.0	503.0	107.0	44.0	19.0	10.0	66.0
50-54	10438.0	386.0	6988.0	273.0	1501.0	329.0	659.0	180.0	50.0	8.0	6.0	64.0
55-59	9287.0	391.0	6255.0	232.0	1302.0	291.0	505.0	185.0	49.0	10.0	5.0	67.0
60-64	12979.0	565.0	8501.0	297.0	2065.0	375.0	615.0	326.0	144.0	12.0	5.0	79.0
65-69	12477.0	640.0	8193.0	243.0	1930.0	336.0	515.0	337.0	204.0	21.0	6.0	58.0
70 и более	25199.0	971.0	14759.0	552.0	4404.0	891.0	1175.0	1250.0	1003.0	59.0	13.0	135.0
Возраст не указан	47.0	1.0	13.0	1.0	8.0	2.0	4.0	-	-	-	-	18.0
Карачаевцы	27051.0	221.0	7372.0	2284.0	4188.0	1551.0	7632.0	2805.0	908.0	84.0	49.0	6.0
в том числе в возрасте, лет:												
15-17	2377.0	-	-	-	38.0	22.0	836.0	1360.0	117.0	3.0	2.0	1.0
18-19	2109.0	-	-	365.0	105.0	42.0	1443.0	140.0	14.0	-	-	-
20-24	4005.0	11.0	814.0	1212.0	370.0	163.0	1272.0	147.0	11.0	5.0	5.0	-
25-29	2683.0	43.0	1102.0	237.0	402.0	164.0	576.0	142.0	12.0	5.0	5.0	-
30-34	2440.0	30.0	888.0	118.0	541.0	203.0	564.0	88.0	6.0	2.0	2.0	-
35-39	2749.0	28.0	880.0	105.0	652.0	242.0	724.0	105.0	9.0	2.0	2.0	2.0
40-44	2866.0	30.0	952.0	98.0	637.0	235.0	767.0	129.0	15.0	2.0	1.0	1.0
45-49	2419.0	23.0	914.0	54.0	506.0	167.0	622.0	112.0	20.0	1.0	1.0	-
50-54	1604.0	18.0	685.0	33.0	342.0	106.0	294.0	100.0	24.0	-	-	2.0
55-59	587.0	8.0	252.0	14.0	114.0	39.0	99.0	46.0	14.0	1.0	-	-
60-64	1136.0	18.0	461.0	26.0	191.0	60.0	183.0	111.0	82.0	4.0	1.0	-
65-69	1035.0	8.0	288.0	19.0	168.0	58.0	155.0	134.0	188.0	17.0	8.0	-
70 и более	1041.0	4.0	136.0	3.0	122.0	50.0	97.0	191.0	396.0	42.0	22.0	-
Возраст не указан	16.0	-	-	-	-	-	-	-	-	-	-	16.0
Калмыки	31385.0	156.0	6664.0	1928.0	7614.0	2225.0	7816.0	3454.0	1332.0	170.0	84.0	26.0
в том числе в возрасте, лет:												
15-17	3359.0	-	-	4.0	24.0	35.0	1208.0	1981.0	97.0	9.0	8.0	1.0
18-19	2710.0	-	1.0	227.0	346.0	168.0	1726.0	233.0	6.0	1.0	1.0	2.0
20-24	4413.0	11.0	745.0	926.0	1072.0	289.0	1185.0	158.0	15.0	6.0	6.0	6.0
25-29	2948.0	20.0	924.0	204.0	916.0	248.0	505.0	112.0	13.0	3.0	2.0	3.0
30-34	2334.0	10.0	606.0	126.0	823.0	251.0	427.0	80.0	5.0	2.0	1.0	4.0
35-39	3108.0	17.0	851.0	137.0	1036.0	305.0	652.0	83.0	17.0	7.0	7.0	3.0
40-44	3611.0	18.0	990.0	112.0	1205.0	345.0	807.0	109.0	17.0	5.0	3.0	3.0
45-49	3000.0	17.0	901.0	79.0	927.0	253.0	655.0	149.0	14.0	2.0	2.0	3.0
50-54	1977.0	17.0	712.0	54.0	557.0	140.0	363.0	110.0	22.0	2.0	2.0	-
55-59	546.0	11.0	210.0	20.0	144.0	31.0	66.0	42.0	20.0	2.0	1.0	-
60-64	898.0	13.0	294.0	21.0	200.0	55.0	79.0	100.0	125.0	11.0	8.0	-
65-69	1070.0	12.0	272.0	6.0	190.0	65.0	81.0	126.0	290.0	27.0	11.0	1.0
70 и более	1411.0	10.0	158.0	12.0	174.0	40.0	62.0	171.0	691.0	93.0	32.0	-
Возраст не указан	3.0	-	-	-	1.0	-	-	-	2.0	-	-	-
Адыгейцы	22973.0	197.0	5936.0	1337.0	5434.0	1959.0	5401.0	2235.0	427.0	39.0	25.0	8.0
в том числе в возрасте, лет:												
15-17	1988.0	-	-	-	26.0	22.0	710.0	1175.0	52.0	3.0	2.0	-
18-19	1618.0	-	-	170.0	144.0	67.0	1108.0	123.0	5.0	1.0	1.0	-
20-24	2676.0	11.0	536.0	597.0	471.0	159.0	781.0	101.0	14.0	6.0	5.0	-
25-29	2123.0	28.0	770.0	153.0	483.0	190.0	381.0	106.0	9.0	2.0	2.0	1.0
30-34	2067.0	18.0	644.0	108.0	605.0	213.0	398.0	69.0	6.0	4.0	3.0	2.0
35-39	2387.0	17.0	740.0	89.0	748.0	299.0	432.0	51.0	7.0	3.0	2.0	1.0
40-44	2728.0	16.0	774.0	85.0	934.0	322.0	522.0	64.0	10.0	-	-	1.0
45-49	2111.0	19.0	668.0	55.0	691.0	228.0	382.0	63.0	4.0	1.0	1.0	-
50-54	1613.0	16.0	609.0	28.0	509.0	146.0	240.0	59.0	5.0	1.0	1.0	-
55-59	711.0	18.0	299.0	12.0	185.0	65.0	100.0	26.0	6.0	-	-	-
60-64	1187.0	20.0	401.0	20.0	315.0	121.0	149.0	111.0	46.0	2.0	1.0	2.0
65-69	806.0	20.0	264.0	12.0	174.0	51.0	98.0	112.0	71.0	4.0	2.0	-
70 и более	958.0	14.0	231.0	8.0	149.0	76.0	100.0	175.0	192.0	12.0	5.0	1.0
Возраст не указан	3.0	-	-	-	1.0	-	-	-	-	-	-	2.0
Коми-пермяки	18240.0	39.0	1818.0	298.0	5503.0	4092.0	2721.0	2510.0	1178.0	70.0	33.0	11.0
в том числе в возрасте, лет:												
15-17	995.0	-	-	-	9.0	27.0	163.0	722.0	66.0	7.0	6.0	1.0
18-19	665.0	-	-	8.0	126.0	102.0	259.0	151.0	16.0	3.0	3.0	-
20-24	1419.0	2.0	73.0	84.0	485.0	356.0	212.0	184.0	19.0	2.0	2.0	2.0
25-29	1674.0	3.0	152.0	30.0	602.0	400.0	284.0	172.0	27.0	3.0	1.0	1.0
30-34	1593.0	-	146.0	34.0	631.0	351.0	292.0	122.0	11.0	4.0	2.0	2.0
35-39	2011.0	4.0	186.0	30.0	849.0	444.0	369.0	115.0	10.0	3.0	2.0	1.0
40-44	2524.0	4.0	257.0	28.0	954.0	689.0	423.0	139.0	21.0	7.0	3.0	2.0
45-49	2251.0	5.0	272.0	22.0	703.0	689.0	309.0	202.0	47.0	1.0	1.0	1.0
50-54	1896.0	9.0	266.0	30.0	548.0	563.0	229.0	181.0	66.0	4.0	2.0	-
55-59	726.0	4.0	126.0	8.0	194.0	187.0	67.0	98.0	40.0	1.0	1.0	1.0
60-64	1020.0	5.0	163.0	4.0	189.0	173.0	69.0	212.0	201.0	4.0	2.0	-
65-69	604.0	1.0	81.0	10.0	112.0	70.0	24.0	83.0	213.0	10.0	2.0	-
70 и более	862.0	2.0	96.0	10.0	101.0	41.0	21.0	129.0	441.0	21.0	6.0	-
Возраст не указан	1.0	-	-	-	-	-	-	-	-	-	-	1.0
Балкарцы	19558.0	141.0	5109.0	1361.0	4384.0	1725.0	4332.0	1854.0	597.0	50.0	29.0	5.0
в том числе в возрасте, лет:												
15-17	1400.0	-	-	-	10.0	11.0	407.0	920.0	47.0	4.0	3.0	1.0
18-19	1197.0	-	-	119.0	50.0	53.0	895.0	72.0	7.0	1.0	1.0	-
20-24	2939.0	10.0	572.0	757.0	480.0	152.0	867.0	92.0	6.0	2.0	2.0	1.0
25-29	2239.0	17.0	918.0	144.0	570.0	176.0	330.0	77.0	5.0	2.0	2.0	-
30-34	1957.0	21.0	681.0	111.0	541.0	212.0	324.0	57.0	8.0	1.0	1.0	1.0
35-39	1976.0	13.0	589.0	78.0	596.0	255.0	362.0	69.0	12.0	1.0	1.0	1.0
40-44	2091.0	6.0	633.0	53.0	676.0	274.0	370.0	63.0	14.0	2.0	2.0	-
45-49	1812.0	22.0	579.0	53.0	562.0	237.0	261.0	78.0	16.0	3.0	3.0	1.0
50-54	1246.0	13.0	433.0	18.0	374.0	130.0	191.0	76.0	11.0	-	-	-
55-59	623.0	11.0	191.0	7.0	181.0	74.0	94.0	45.0	20.0	-	-	-
60-64	862.0	22.0	299.0	11.0	199.0	69.0	96.0	101.0	63.0	2.0	2.0	-
65-69	504.0	-	121.0	5.0	78.0	40.0	62.0	77.0	110.0	11.0	3.0	-
70 и более	712.0	6.0	93.0	5.0	67.0	42.0	73.0	127.0	278.0	21.0	9.0	-
Возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-
Карелы	19168.0	44.0	2416.0	417.0	5247.0	4490.0	2796.0	2417.0	1284.0	44.0	27.0	13.0
в том числе в возрасте, лет:												
15-17	886.0	-	-	-	3.0	18.0	163.0	618.0	82.0	1.0	1.0	1.0
18-19	591.0	-	-	11.0	72.0	93.0	287.0	120.0	6.0	2.0	2.0	-
20-24	1737.0	-	148.0	145.0	464.0	401.0	318.0	226.0	33.0	2.0	1.0	-
25-29	1695.0	6.0	223.0	67.0	516.0	380.0	286.0	191.0	21.0	3.0	2.0	2.0
30-34	1352.0	3.0	204.0	42.0	476.0	349.0	197.0	69.0	12.0	-	-	-
35-39	1646.0	2.0	211.0	36.0	604.0	474.0	262.0	50.0	3.0	1.0	1.0	3.0
40-44	2399.0	5.0	304.0	32.0	846.0	723.0	383.0	87.0	18.0	1.0	1.0	-
45-49	2353.0	5.0	346.0	21.0	739.0	771.0	323.0	124.0	22.0	1.0	1.0	1.0
50-54	2149.0	9.0	335.0	22.0	655.0	593.0	291.0	200.0	41.0	-	-	3.0
55-59	847.0	3.0	181.0	11.0	227.0	192.0	94.0	94.0	43.0	1.0	-	1.0
60-64	978.0	6.0	174.0	9.0	224.0	187.0	72.0	191.0	114.0	1.0	-	-
65-69	1014.0	2.0	139.0	8.0	196.0	148.0	62.0	182.0	264.0	13.0	8.0	-
70 и более	1521.0	3.0	151.0	13.0	225.0	161.0	58.0	265.0	625.0	18.0	10.0	2.0
Возраст не указан	2.0	-	-	-	1.0	-	1.0	-	-	-	-	-
Хакасы	12028.0	55.0	1962.0	446.0	3034.0	1395.0	2852.0	1725.0	490.0	66.0	34.0	3.0
в том числе в возрасте, лет:												
15-17	1057.0	-	-	-	6.0	14.0	242.0	682.0	110.0	3.0	3.0	-
18-19	837.0	-	-	34.0	84.0	76.0	456.0	172.0	13.0	1.0	1.0	1.0
20-24	1752.0	4.0	157.0	195.0	408.0	248.0	482.0	226.0	28.0	4.0	2.0	-
25-29	1398.0	9.0	213.0	50.0	417.0	165.0	367.0	149.0	25.0	3.0	1.0	-
30-34	1141.0	6.0	199.0	41.0	396.0	144.0	260.0	81.0	10.0	4.0	3.0	-
35-39	1211.0	6.0	272.0	33.0	385.0	171.0	287.0	49.0	3.0	5.0	3.0	-
40-44	1397.0	9.0	280.0	30.0	470.0	211.0	319.0	63.0	8.0	7.0	4.0	-
45-49	1127.0	9.0	263.0	27.0	356.0	166.0	200.0	76.0	22.0	7.0	3.0	1.0
50-54	811.0	6.0	217.0	15.0	247.0	97.0	130.0	75.0	22.0	2.0	1.0	-
55-59	281.0	2.0	80.0	8.0	75.0	30.0	41.0	24.0	18.0	2.0	2.0	1.0
60-64	391.0	1.0	124.0	6.0	91.0	36.0	33.0	49.0	47.0	4.0	2.0	-
65-69	277.0	2.0	78.0	4.0	55.0	20.0	17.0	41.0	57.0	3.0	1.0	-
70 и более	348.0	1.0	79.0	3.0	44.0	17.0	18.0	38.0	127.0	21.0	8.0	-
Возраст не указан	2.0	-	1.0	-	-	-	-	-	-	-	-	1.0
Алтайцы	5117.0	26.0	857.0	275.0	958.0	457.0	1493.0	859.0	171.0	20.0	11.0	1.0
в том числе в возрасте, лет:												
15-17	725.0	-	-	-	4.0	10.0	254.0	418.0	39.0	-	-	-
18-19	827.0	-	-	26.0	63.0	59.0	490.0	172.0	16.0	1.0	1.0	-
20-24	966.0	2.0	66.0	167.0	183.0	85.0	344.0	100.0	17.0	1.0	1.0	1.0
25-29	450.0	3.0	119.0	23.0	112.0	45.0	97.0	45.0	5.0	1.0	1.0	-
30-34	345.0	2.0	86.0	21.0	113.0	49.0	59.0	12.0	2.0	1.0	1.0	-
35-39	358.0	2.0	104.0	10.0	120.0	47.0	61.0	12.0	2.0	-	-	-
40-44	408.0	5.0	128.0	12.0	132.0	40.0	77.0	13.0	1.0	-	-	-
45-49	328.0	4.0	112.0	5.0	82.0	39.0	57.0	25.0	2.0	2.0	1.0	-
