10. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И УРОВНЮ ОБРАЗОВАНИЯ												
												
												
	Численность населения соответ-ствующей националь-ности	в том числе имеют образование								Не имеют начального общего образования	из них негра-мотные	Не указавшие уровень образования
		профессиональное					общее					
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
Все население в возрасте 15 лет и более												
40-44	64087.0	87.0	6290.0	763.0	21504.0	11930.0	15186.0	7010.0	1045.0	234.0	197.0	38.0
45-49	44886.0	86.0	4462.0	465.0	13717.0	8338.0	9155.0	6943.0	1521.0	179.0	147.0	20.0
50-54	30061.0	69.0	3314.0	307.0	8230.0	4747.0	4920.0	6086.0	2189.0	180.0	138.0	19.0
55-59	14099.0	36.0	1386.0	105.0	2627.0	1598.0	1506.0	3008.0	3527.0	301.0	193.0	5.0
60-64	20434.0	34.0	1048.0	82.0	1858.0	1223.0	1211.0	3965.0	9686.0	1317.0	872.0	10.0
65-69	14406.0	9.0	473.0	46.0	899.0	523.0	569.0	1993.0	7887.0	1997.0	1463.0	10.0
70 и более	21386.0	8.0	383.0	48.0	796.0	450.0	497.0	2042.0	11829.0	5315.0	4070.0	18.0
Возраст не указан	58.0	-	6.0	2.0	11.0	4.0	14.0	4.0	2.0	-	-	15.0
Удмурты	547765.0	535.0	46356.0	7364.0	125910.0	98986.0	113153.0	87780.0	59930.0	7620.0	4446.0	131.0
в том числе в возрасте, лет:												
15-17	29638.0	-	-	-	161.0	512.0	5679.0	20587.0	2559.0	136.0	106.0	4.0
18-19	18369.0	-	-	400.0	2827.0	2935.0	9009.0	2964.0	161.0	72.0	64.0	1.0
20-24	42096.0	26.0	2842.0	2857.0	12723.0	8475.0	9922.0	4600.0	418.0	226.0	192.0	7.0
25-29	42052.0	80.0	5315.0	910.0	12654.0	8713.0	9482.0	4360.0	311.0	220.0	183.0	7.0
30-34	41474.0	57.0	4881.0	648.0	14604.0	9308.0	9301.0	2283.0	226.0	147.0	118.0	19.0
35-39	55721.0	63.0	6594.0	579.0	18201.0	12287.0	15361.0	2222.0	217.0	182.0	160.0	15.0
40-44	72919.0	78.0	7572.0	511.0	21705.0	17769.0	20955.0	3767.0	375.0	176.0	151.0	11.0
45-49	62066.0	76.0	6346.0	402.0	16851.0	16435.0	14969.0	6132.0	707.0	135.0	117.0	13.0
50-54	45622.0	42.0	4627.0	294.0	11770.0	10637.0	9032.0	8035.0	1040.0	123.0	95.0	22.0
55-59	19396.0	33.0	2280.0	151.0	4047.0	3581.0	2919.0	4778.0	1531.0	70.0	50.0	6.0
60-64	33578.0	32.0	2604.0	156.0	4396.0	3782.0	3424.0	10636.0	8187.0	353.0	201.0	8.0
65-69	29802.0	21.0	1681.0	104.0	2579.0	2412.0	1594.0	7365.0	13140.0	900.0	448.0	6.0
70 и более	55032.0	27.0	1614.0	352.0	3392.0	2140.0	1506.0	10051.0	31058.0	4880.0	2561.0	12.0
Возраст не указан	37.0	-	1.0	1.0	8.0	2.0	7.0	4.0	6.0	-	-	8.0
Азербайджанцы	452089.0	1441.0	58149.0	12137.0	89186.0	46274.0	155531.0	65533.0	18421.0	3242.0	1934.0	2175.0
в том числе в возрасте, лет:												
