7. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образования	Не указавшие уровень образования
гостиницы и рестораны	7252.0	363.0	112.0	3300.0	1764.0	1155.0	497.0	51.0	-	10.0
транспорт и связь	52493.0	6155.0	1172.0	22793.0	10250.0	8752.0	3092.0	239.0	-	40.0
финансовая деятельность	5457.0	2490.0	239.0	1987.0	283.0	380.0	69.0	4.0	-	5.0
операции с недвижимым имуществом, аренда и предоставление услуг	16756.0	4869.0	528.0	5314.0	2747.0	2252.0	936.0	100.0	-	10.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	34652.0	11413.0	1382.0	13125.0	3672.0	4300.0	651.0	45.0	1.0	63.0
образование	50148.0	18268.0	1481.0	17990.0	5409.0	4587.0	2211.0	152.0	5.0	45.0
здравоохранение и предоставление социальных услуг	37956.0	6455.0	610.0	20135.0	4807.0	3850.0	1914.0	148.0	1.0	36.0
предоставление прочих коммунальных, социальных и персональных услуг	26492.0	3491.0	782.0	10918.0	4894.0	4413.0	1784.0	186.0	12.0	12.0
предоставление услуг по ведению домашнего хозяйства	42.0	16.0	-	-	13.0	4.0	9.0	-	-	-
деятельность экстерриториальных организаций	12.0	12.0	-	-	-	-	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	7136.0	1461.0	249.0	2855.0	1099.0	879.0	394.0	63.0	-	136.0
Архангельская область										
Все население, занятое в экономике	580608.0	103664.0	13184.0	222805.0	123447.0	74639.0	38579.0	4010.0	170.0	110.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	54246.0	3021.0	349.0	13283.0	18800.0	8046.0	9167.0	1479.0	97.0	4.0
рыболовство, рыбоводство	2160.0	145.0	25.0	1174.0	374.0	202.0	214.0	26.0	-	-
добыча полезных ископаемых	4710.0	706.0	112.0	1756.0	1053.0	680.0	381.0	17.0	-	5.0
обрабатывающие производства	116276.0	16950.0	2552.0	41114.0	28768.0	18861.0	7425.0	556.0	34.0	16.0
производство и распределение электроэнергии, газа и воды	15050.0	2071.0	295.0	5599.0	3678.0	2181.0	1104.0	122.0	-	-
строительство	27485.0	3309.0	563.0	9624.0	7840.0	3491.0	2435.0	214.0	4.0	5.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	71816.0	8149.0	1995.0	32423.0	15591.0	9482.0	3919.0	244.0	10.0	3.0
гостиницы и рестораны	11418.0	591.0	211.0	4940.0	3285.0	1618.0	713.0	59.0	1.0	-
транспорт и связь	61425.0	7299.0	1073.0	26823.0	13915.0	8493.0	3522.0	281.0	4.0	15.0
финансовая деятельность	5440.0	2250.0	303.0	2031.0	435.0	354.0	66.0	1.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	28099.0	5227.0	728.0	9986.0	5912.0	3751.0	2230.0	259.0	-	6.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	53757.0	19340.0	1744.0	19345.0	6132.0	6044.0	1062.0	72.0	6.0	12.0
образование	57215.0	21426.0	1739.0	20135.0	6814.0	4463.0	2372.0	260.0	-	6.0
здравоохранение и предоставление социальных услуг	48154.0	9364.0	827.0	25450.0	6242.0	3780.0	2270.0	210.0	1.0	10.0
предоставление прочих коммунальных, социальных и персональных услуг	19810.0	3172.0	565.0	7783.0	3969.0	2700.0	1430.0	179.0	8.0	4.0
предоставление услуг по ведению домашнего хозяйства	107.0	27.0	8.0	23.0	16.0	9.0	24.0	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	3440.0	617.0	95.0	1316.0	623.0	484.0	245.0	31.0	5.0	24.0
Ненецкий автономный округ										
Все население, занятое в экономике	19277.0	2748.0	325.0	7832.0	3135.0	2253.0	2558.0	348.0	59.0	19.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	2256.0	48.0	4.0	473.0	334.0	322.0	840.0	179.0	56.0	-
рыболовство, рыбоводство	164.0	7.0	1.0	41.0	32.0	18.0	49.0	16.0	-	-
добыча полезных ископаемых	2509.0	302.0	53.0	1030.0	522.0	369.0	222.0	9.0	-	2.0
обрабатывающие производства	482.0	39.0	5.0	181.0	96.0	64.0	90.0	7.0	-	-
производство и распределение электроэнергии, газа и воды	327.0	18.0	6.0	167.0	64.0	37.0	30.0	5.0	-	-
строительство	1108.0	98.0	15.0	460.0	265.0	130.0	126.0	12.0	-	2.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	1430.0	102.0	24.0	683.0	268.0	185.0	155.0	13.0	-	-
гостиницы и рестораны	160.0	2.0	3.0	78.0	29.0	19.0	26.0	2.0	1.0	-
транспорт и связь	1754.0	219.0	32.0	900.0	283.0	187.0	123.0	9.0	-	1.0
финансовая деятельность	182.0	63.0	5.0	88.0	12.0	11.0	2.0	1.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	422.0	84.0	14.0	176.0	77.0	51.0	18.0	2.0	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	1802.0	635.0	62.0	723.0	147.0	159.0	70.0	4.0	-	2.0
образование	3157.0	758.0	46.0	1272.0	380.0	306.0	353.0	42.0	-	-
здравоохранение и предоставление социальных услуг	1286.0	192.0	12.0	688.0	147.0	102.0	129.0	13.0	1.0	2.0
предоставление прочих коммунальных, социальных и персональных услуг	2129.0	161.0	38.0	839.0	461.0	278.0	317.0	33.0	1.0	1.0
предоставление услуг по ведению домашнего хозяйства	1.0	-	-	-	-	1.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	108.0	20.0	5.0	33.0	18.0	14.0	8.0	1.0	-	9.0
Вологодская область										
Все население, занятое в экономике	559827.0	100907.0	12124.0	223747.0	90943.0	86640.0	40262.0	4754.0	181.0	269.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	63901.0	4229.0	514.0	17382.0	17634.0	11677.0	10701.0	1681.0	83.0	-
рыболовство, рыбоводство	503.0	28.0	8.0	148.0	131.0	119.0	57.0	12.0	-	-
добыча полезных ископаемых	929.0	134.0	12.0	307.0	210.0	172.0	82.0	12.0	-	-
обрабатывающие производства	139391.0	19910.0	3079.0	57646.0	23174.0	25103.0	9521.0	899.0	33.0	26.0
производство и распределение электроэнергии, газа и воды	17653.0	2868.0	276.0	6992.0	3257.0	2837.0	1257.0	155.0	-	11.0
строительство	33536.0	4212.0	557.0	12824.0	6837.0	5626.0	3070.0	402.0	-	8.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	68541.0	9002.0	1809.0	32356.0	10221.0	10848.0	3909.0	376.0	-	20.0
гостиницы и рестораны	11708.0	571.0	210.0	5411.0	2721.0	1861.0	852.0	73.0	-	9.0
транспорт и связь	44663.0	4272.0	764.0	19896.0	8456.0	8065.0	2915.0	276.0	-	19.0
финансовая деятельность	5839.0	2492.0	201.0	2253.0	331.0	450.0	112.0	-	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	16132.0	4736.0	585.0	5358.0	2040.0	2398.0	904.0	96.0	6.0	9.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	34100.0	12057.0	1315.0	12641.0	3110.0	4223.0	672.0	61.0	10.0	11.0
образование	50169.0	23229.0	1436.0	15636.0	3766.0	4127.0	1760.0	181.0	15.0	19.0
здравоохранение и предоставление социальных услуг	39410.0	7219.0	495.0	21699.0	4135.0	3704.0	1937.0	174.0	17.0	30.0
предоставление прочих коммунальных, социальных и персональных услуг	23968.0	3894.0	555.0	9570.0	3697.0	4095.0	1858.0	273.0	17.0	9.0
предоставление услуг по ведению домашнего хозяйства	92.0	20.0	12.0	24.0	8.0	12.0	12.0	4.0	-	-
деятельность экстерриториальных организаций	36.0	8.0	-	16.0	-	12.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	9256.0	2026.0	296.0	3588.0	1215.0	1311.0	643.0	79.0	-	98.0
Калининградская область										
Все население, занятое в экономике	400793.0	101919.0	12695.0	156998.0	55065.0	53342.0	17773.0	2532.0	100.0	369.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	21984.0	1953.0	239.0	5520.0	6535.0	3432.0	3437.0	803.0	34.0	31.0
рыболовство, рыбоводство	6862.0	1470.0	117.0	3627.0	838.0	643.0	145.0	9.0	-	13.0
добыча полезных ископаемых	3919.0	864.0	101.0	1428.0	731.0	609.0	163.0	23.0	-	-
обрабатывающие производства	58888.0	10758.0	1471.0	23308.0	9872.0	9888.0	3211.0	320.0	13.0	47.0
производство и распределение электроэнергии, газа и воды	6106.0	1449.0	152.0	2631.0	829.0	808.0	213.0	18.0	-	6.0
строительство	29140.0	4854.0	798.0	10884.0	5799.0	4555.0	1977.0	265.0	-	8.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	63258.0	13073.0	2744.0	28164.0	7912.0	9189.0	1985.0	152.0	12.0	27.0
гостиницы и рестораны	12340.0	1455.0	469.0	5676.0	1938.0	2096.0	635.0	62.0	-	9.0
транспорт и связь	40741.0	7846.0	1166.0	16960.0	6421.0	6362.0	1697.0	240.0	-	49.0
финансовая деятельность	6402.0	3441.0	315.0	2007.0	236.0	370.0	28.0	-	-	5.0
операции с недвижимым имуществом, аренда и предоставление услуг	21279.0	6619.0	890.0	7452.0	2673.0	2616.0	879.0	140.0	5.0	5.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	50318.0	19829.0	1861.0	17875.0	4451.0	5223.0	928.0	111.0	-	40.0
образование	30608.0	15660.0	1044.0	9253.0	1730.0	2136.0	693.0	82.0	-	10.0
здравоохранение и предоставление социальных услуг	26600.0	7148.0	503.0	13530.0	2265.0	2153.0	841.0	136.0	-	24.0
предоставление прочих коммунальных, социальных и персональных услуг	16073.0	3811.0	635.0	6405.0	2132.0	2228.0	705.0	134.0	-	23.0
предоставление услуг по ведению домашнего хозяйства	151.0	27.0	-	70.0	28.0	17.0	9.0	-	-	-
деятельность экстерриториальных организаций	24.0	12.0	-	12.0	-	-	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	6100.0	1650.0	190.0	2196.0	675.0	1017.0	227.0	37.0	36.0	72.0
Ленинградская область										
Все население, занятое в экономике	726562.0	145246.0	22985.0	280807.0	131598.0	100824.0	38448.0	5413.0	171.0	1070.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	65970.0	6056.0	1082.0	21673.0	18235.0	10105.0	7457.0	1224.0	37.0	101.0
рыболовство, рыбоводство	1333.0	99.0	29.0	498.0	402.0	164.0	128.0	13.0	-	-
добыча полезных ископаемых	9874.0	1102.0	159.0	3501.0	2273.0	2025.0	730.0	60.0	-	24.0
обрабатывающие производства	142788.0	22523.0	4076.0	55516.0	29358.0	22319.0	7750.0	1023.0	12.0	211.0
производство и распределение электроэнергии, газа и воды	24321.0	5172.0	674.0	10087.0	4173.0	3152.0	909.0	130.0	-	24.0
строительство	55132.0	8075.0	1423.0	20799.0	12627.0	7866.0	3720.0	524.0	7.0	91.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	92294.0	13578.0	3693.0	39190.0	15611.0	14890.0	4695.0	514.0	41.0	82.0
гостиницы и рестораны	15728.0	1335.0	537.0	6795.0	3437.0	2591.0	930.0	89.0	3.0	11.0
транспорт и связь	76346.0	9582.0	2030.0	31999.0	16147.0	12387.0	3689.0	435.0	14.0	63.0
финансовая деятельность	7562.0	3718.0	517.0	2536.0	347.0	402.0	36.0	-	-	6.0
операции с недвижимым имуществом, аренда и предоставление услуг	27898.0	10011.0	1374.0	8901.0	3166.0	3408.0	822.0	169.0	-	47.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	50176.0	20155.0	2408.0	17420.0	4706.0	4500.0	773.0	127.0	15.0	72.0
образование	49857.0	22395.0	1997.0	15686.0	4372.0	3841.0	1270.0	233.0	4.0	59.0
здравоохранение и предоставление социальных услуг	44523.0	10351.0	927.0	22146.0	5523.0	3687.0	1613.0	216.0	3.0	57.0
предоставление прочих коммунальных, социальных и персональных услуг	43875.0	6918.0	1357.0	17019.0	8320.0	6748.0	2954.0	480.0	12.0	67.0
предоставление услуг по ведению домашнего хозяйства	1024.0	110.0	29.0	376.0	265.0	139.0	90.0	9.0	-	6.0
деятельность экстерриториальных организаций	73.0	12.0	4.0	28.0	16.0	13.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	17788.0	4054.0	669.0	6637.0	2620.0	2587.0	882.0	167.0	23.0	149.0
Мурманская область										
Все население, занятое в экономике	426181.0	93826.0	11263.0	156912.0	73683.0	72802.0	15638.0	1583.0	53.0	421.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	5718.0	538.0	52.0	1693.0	1558.0	1154.0	641.0	81.0	1.0	-
рыболовство, рыбоводство	14798.0	3217.0	248.0	7136.0	2323.0	1598.0	218.0	14.0	-	44.0
добыча полезных ископаемых	33264.0	4896.0	814.0	11627.0	8142.0	6565.0	1091.0	95.0	-	34.0
обрабатывающие производства	40268.0	6249.0	1033.0	13833.0	8909.0	8288.0	1779.0	161.0	3.0	13.0
производство и распределение электроэнергии, газа и воды	17235.0	3277.0	431.0	5873.0	3890.0	3221.0	494.0	44.0	-	5.0
строительство	19845.0	2230.0	391.0	6657.0	5563.0	3703.0	1153.0	147.0	-	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	49284.0	6442.0	1634.0	19476.0	9312.0	10349.0	1907.0	138.0	10.0	16.0
гостиницы и рестораны	10067.0	610.0	177.0	4025.0	2658.0	2064.0	477.0	45.0	-	11.0
транспорт и связь	39948.0	6070.0	1062.0	15005.0	8028.0	8042.0	1579.0	129.0	15.0	18.0
финансовая деятельность	4437.0	2067.0	184.0	1529.0	217.0	424.0	16.0	-	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	26612.0	5872.0	684.0	8368.0	4984.0	4851.0	1626.0	206.0	9.0	12.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	73625.0	25478.0	2088.0	25849.0	7852.0	10824.0	1360.0	128.0	3.0	43.0
образование	37848.0	16197.0	1177.0	11655.0	3436.0	4115.0	1091.0	157.0	3.0	17.0
здравоохранение и предоставление социальных услуг	33173.0	6428.0	580.0	17231.0	3650.0	3963.0	1189.0	109.0	6.0	17.0
предоставление прочих коммунальных, социальных и персональных услуг	15254.0	3114.0	555.0	5358.0	2535.0	2748.0	839.0	93.0	-	12.0
предоставление услуг по ведению домашнего хозяйства	59.0	17.0	-	20.0	4.0	13.0	5.0	-	-	-
деятельность экстерриториальных организаций	6.0	-	-	5.0	-	1.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	4740.0	1124.0	153.0	1572.0	622.0	879.0	173.0	36.0	3.0	178.0
Новгородская область										
Все население, занятое в экономике	283471.0	57176.0	6938.0	107664.0	46008.0	46213.0	17264.0	1969.0	142.0	97.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	22294.0	1809.0	263.0	6434.0	5830.0	4250.0	3250.0	438.0	14.0	6.0
рыболовство, рыбоводство	484.0	17.0	8.0	178.0	54.0	140.0	79.0	8.0	-	-
добыча полезных ископаемых	645.0	55.0	12.0	183.0	194.0	99.0	90.0	12.0	-	-
обрабатывающие производства	65221.0	10219.0	1420.0	24753.0	11738.0	12386.0	4274.0	389.0	-	42.0
производство и распределение электроэнергии, газа и воды	7794.0	1580.0	165.0	3123.0	1301.0	1266.0	333.0	26.0	-	-
строительство	19235.0	2414.0	407.0	7065.0	4154.0	3476.0	1549.0	149.0	21.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	36792.0	5418.0	1119.0	16116.0	5608.0	6447.0	1695.0	301.0	69.0	19.0
гостиницы и рестораны	6363.0	540.0	125.0	2757.0	1351.0	1152.0	407.0	31.0	-	-
транспорт и связь	24190.0	2703.0	449.0	9562.0	4981.0	4922.0	1470.0	99.0	-	4.0
финансовая деятельность	3516.0	1721.0	93.0	1173.0	193.0	267.0	65.0	4.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	7935.0	2509.0	321.0	2626.0	928.0	1168.0	346.0	37.0	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	20873.0	7943.0	703.0	7125.0	2031.0	2561.0	460.0	38.0	12.0	-
образование	25123.0	12153.0	825.0	7594.0	1782.0	2017.0	648.0	86.0	-	18.0
здравоохранение и предоставление социальных услуг	20657.0	4397.0	417.0	10767.0	2097.0	1979.0	890.0	107.0	-	3.0
предоставление прочих коммунальных, социальных и персональных услуг	19373.0	3111.0	500.0	7129.0	3348.0	3565.0	1504.0	198.0	18.0	-
предоставление услуг по ведению домашнего хозяйства	59.0	8.0	-	23.0	12.0	8.0	4.0	4.0	-	-
деятельность экстерриториальных организаций	12.0	8.0	-	-	-	4.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	2905.0	571.0	111.0	1056.0	406.0	506.0	200.0	42.0	8.0	5.0
Псковская область										
Все население, занятое в экономике	298914.0	58759.0	6433.0	114968.0	52840.0	48107.0	15592.0	2055.0	83.0	77.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	30202.0	1967.0	219.0	9091.0	8419.0	5232.0	4419.0	797.0	58.0	-
рыболовство, рыбоводство	720.0	49.0	8.0	206.0	264.0	101.0	83.0	9.0	-	-
добыча полезных ископаемых	586.0	56.0	4.0	166.0	196.0	86.0	69.0	9.0	-	-
обрабатывающие производства	55673.0	7803.0	1137.0	20276.0	11661.0	11628.0	2789.0	368.0	-	11.0
производство и распределение электроэнергии, газа и воды	9428.0	1798.0	199.0	3686.0	1766.0	1573.0	375.0	31.0	-	-
строительство	19248.0	2375.0	332.0	7074.0	4774.0	3267.0	1282.0	134.0	5.0	5.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	39319.0	5807.0	1099.0	17439.0	6518.0	6691.0	1581.0	165.0	5.0	14.0
гостиницы и рестораны	5628.0	396.0	124.0	2402.0	1232.0	1066.0	382.0	26.0	-	-
транспорт и связь	28181.0	3113.0	525.0	11696.0	5664.0	5753.0	1290.0	132.0	-	8.0
финансовая деятельность	3814.0	1576.0	93.0	1630.0	238.0	240.0	27.0	4.0	-	6.0
операции с недвижимым имуществом, аренда и предоставление услуг	10808.0	2660.0	253.0	4019.0	1701.0	1654.0	455.0	60.0	6.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	31758.0	11752.0	1005.0	11778.0	3118.0	3537.0	493.0	66.0	-	9.0
образование	25920.0	12341.0	781.0	7866.0	1988.0	2137.0	727.0	68.0	3.0	9.0
здравоохранение и предоставление социальных услуг	21706.0	4193.0	193.0	11476.0	2615.0	2373.0	775.0	75.0	-	6.0
предоставление прочих коммунальных, социальных и персональных услуг	12387.0	2194.0	356.0	4898.0	2129.0	2097.0	622.0	85.0	6.0	-
предоставление услуг по ведению домашнего хозяйства	89.0	16.0	8.0	37.0	4.0	12.0	12.0	-	-	-
деятельность экстерриториальных организаций	8.0	-	-	4.0	-	4.0	-	-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	3439.0	663.0	97.0	1224.0	553.0	656.0	211.0	26.0	-	9.0
г. Санкт–Петербург										
Все население, занятое в экономике	1978368.0	730671.0	107898.0	683319.0	178401.0	216729.0	44742.0	5709.0	1017.0	9882.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	12496.0	4093.0	592.0	3927.0	1632.0	1458.0	582.0	153.0	22.0	37.0
рыболовство, рыбоводство	889.0	230.0	32.0	406.0	113.0	95.0	13.0	-	-	-
добыча полезных ископаемых	3260.0	1473.0	180.0	943.0	241.0	350.0	60.0	5.0	-	8.0
обрабатывающие производства	380421.0	121706.0	16377.0	137065.0	44758.0	47190.0	10721.0	1268.0	164.0	1172.0
производство и распределение электроэнергии, газа и воды	24690.0	9051.0	1017.0	9189.0	2245.0	2706.0	366.0	80.0	-	36.0
строительство	169395.0	46105.0	8497.0	64493.0	22026.0	21478.0	5603.0	633.0	58.0	502.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	304160.0	90542.0	21178.0	114809.0	27998.0	39593.0	8013.0	896.0	130.0	1001.0
гостиницы и рестораны	57226.0	10261.0	3721.0	25185.0	6811.0	8875.0	2066.0	168.0	36.0	103.0
транспорт и связь	219407.0	58705.0	11556.0	89128.0	24577.0	28197.0	5645.0	762.0	104.0	733.0
финансовая деятельность	39020.0	24485.0	2649.0	8516.0	1231.0	1904.0	146.0	15.0	-	74.0
операции с недвижимым имуществом, аренда и предоставление услуг	133811.0	75029.0	8811.0	29690.0	7111.0	10953.0	1617.0	190.0	18.0	392.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	89319.0	45801.0	5364.0	25142.0	4757.0	7211.0	733.0	115.0	45.0	151.0
образование	164516.0	102370.0	7798.0	37583.0	6146.0	8631.0	1367.0	155.0	49.0	417.0
здравоохранение и предоставление социальных услуг	135365.0	57159.0	5255.0	55105.0	7548.0	7835.0	1676.0	244.0	63.0	480.0
предоставление прочих коммунальных, социальных и персональных услуг	127484.0	42552.0	8200.0	43877.0	12296.0	16222.0	3375.0	536.0	41.0	385.0
предоставление услуг по ведению домашнего хозяйства	4592.0	998.0	262.0	1823.0	642.0	702.0	117.0	20.0	13.0	15.0
деятельность экстерриториальных организаций	359.0	135.0	22.0	120.0	8.0	29.0	-	5.0	40.0	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	111958.0	39976.0	6387.0	36318.0	8261.0	13300.0	2642.0	464.0	234.0	4376.0
Южный федеральный округ										
Все население, занятое в экономике	7469671.0	1782691.0	217360.0	2575625.0	1030712.0	1358196.0	432317.0	67758.0	4353.0	659.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	907427.0	79311.0	10387.0	224307.0	198863.0	231568.0	133382.0	27916.0	1675.0	18.0
рыболовство, рыбоводство	24279.0	2390.0	363.0	6957.0	4779.0	6214.0	3042.0	526.0	8.0	-
добыча полезных ископаемых	110454.0	18948.0	2587.0	42478.0	20163.0	20416.0	5085.0	725.0	37.0	15.0
обрабатывающие производства	1107639.0	201144.0	28657.0	406880.0	178400.0	221037.0	62916.0	8099.0	402.0	104.0
производство и распределение электроэнергии, газа и воды	172406.0	38580.0	4219.0	66369.0	25537.0	29711.0	7075.0	899.0	12.0	4.0
строительство	546916.0	91980.0	13991.0	184822.0	100765.0	110368.0	39674.0	5048.0	247.0	21.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	1074569.0	212643.0	37871.0	407772.0	132469.0	221978.0	53462.0	6885.0	1394.0	95.0
гостиницы и рестораны	174124.0	21327.0	5305.0	68832.0	30001.0	37185.0	10265.0	1167.0	26.0	16.0
транспорт и связь	723196.0	110521.0	20246.0	272839.0	117766.0	157584.0	39012.0	5030.0	108.0	90.0
финансовая деятельность	91352.0	50283.0	4294.0	25551.0	3907.0	6598.0	654.0	63.0	1.0	1.0
операции с недвижимым имуществом, аренда и предоставление услуг	255065.0	87980.0	9936.0	78387.0	27055.0	39365.0	10510.0	1736.0	63.0	33.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	524788.0	229612.0	25110.0	157693.0	37144.0	65662.0	8362.0	1139.0	44.0	22.0
образование	757409.0	388576.0	28675.0	206704.0	45975.0	66891.0	17817.0	2633.0	88.0	50.0
здравоохранение и предоставление социальных услуг	642420.0	171311.0	13535.0	297822.0	60598.0	74426.0	21623.0	2932.0	122.0	51.0
предоставление прочих коммунальных, социальных и персональных услуг	305800.0	64627.0	10283.0	111008.0	41517.0	59179.0	16741.0	2359.0	70.0	16.0
предоставление услуг по ведению домашнего хозяйства	3535.0	476.0	119.0	1219.0	506.0	813.0	347.0	50.0	5.0	-
деятельность экстерриториальных организаций	577.0	209.0	40.0	163.0	55.0	84.0	25.0	1.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	47715.0	12773.0	1742.0	15822.0	5212.0	9117.0	2325.0	550.0	51.0	123.0
Республика Адыгея										
Все население, занятое в экономике	142257.0	34966.0	4084.0	49822.0	20962.0	24324.0	7012.0	1008.0	72.0	7.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	13579.0	1432.0	192.0	3714.0	3273.0	3169.0	1427.0	337.0	35.0	-
рыболовство, рыбоводство	189.0	25.0	3.0	67.0	29.0	56.0	7.0	2.0	-	-
добыча полезных ископаемых	1426.0	296.0	44.0	563.0	252.0	218.0	47.0	6.0	-	-
обрабатывающие производства	21959.0	3316.0	506.0	7727.0	4084.0	4646.0	1480.0	185.0	12.0	3.0
производство и распределение электроэнергии, газа и воды	3485.0	679.0	84.0	1435.0	568.0	566.0	139.0	14.0	-	-
строительство	10151.0	1344.0	195.0	3443.0	2187.0	2109.0	783.0	89.0	1.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	19913.0	3581.0	618.0	8168.0	2703.0	3781.0	936.0	110.0	16.0	-
гостиницы и рестораны	3507.0	300.0	73.0	1497.0	751.0	681.0	193.0	12.0	-	-
транспорт и связь	10171.0	1230.0	256.0	3909.0	1865.0	2324.0	524.0	62.0	1.0	-
финансовая деятельность	1821.0	981.0	98.0	507.0	98.0	124.0	12.0	1.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	3715.0	1309.0	123.0	1211.0	372.0	544.0	130.0	26.0	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	13561.0	6220.0	803.0	3964.0	888.0	1523.0	144.0	18.0	-	1.0
образование	15653.0	9207.0	527.0	3376.0	994.0	1240.0	280.0	28.0	-	1.0
здравоохранение и предоставление социальных услуг	13922.0	3024.0	260.0	7068.0	1530.0	1587.0	407.0	43.0	3.0	-
предоставление прочих коммунальных, социальных и персональных услуг	7788.0	1710.0	246.0	2698.0	1172.0	1482.0	422.0	56.0	2.0	-
предоставление услуг по ведению домашнего хозяйства	217.0	8.0	5.0	53.0	27.0	70.0	45.0	9.0	-	-
деятельность экстерриториальных организаций	208.0	62.0	20.0	68.0	21.0	34.0	2.0	1.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	992.0	242.0	31.0	354.0	148.0	170.0	34.0	9.0	2.0	2.0
Республика Дагестан										
Все население, занятое в экономике	547282.0	154861.0	18529.0	149128.0	43655.0	130111.0	39503.0	11023.0	469.0	3.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	66915.0	5274.0	719.0	10722.0	6921.0	24143.0	13767.0	5194.0	175.0	-
рыболовство, рыбоводство	2009.0	199.0	37.0	544.0	213.0	518.0	387.0	111.0	-	-
добыча полезных ископаемых	4681.0	941.0	146.0	1332.0	641.0	1269.0	282.0	62.0	8.0	-
обрабатывающие производства	39786.0	7090.0	1051.0	10909.0	3497.0	12482.0	3930.0	771.0	56.0	-
производство и распределение электроэнергии, газа и воды	8349.0	2197.0	284.0	2493.0	966.0	1832.0	476.0	95.0	6.0	-
