13. НАСЕЛЕНИЕ КОЛЛЕКТИВНЫХ ДОМОХОЗЯЙСТВ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ					
					
	Население, проживающее в коллективных домохозяйствах	в том числе проживающие в			
		стационарных учреждениях социального обслуживания	больницах для лиц, страдающих хроническими заболеваниями	детских домах, домах ребенка, школах-интернатах для детей-сирот и детей, оставшихся без попечения родителей	других учреждениях
					
55 – 64	8014.0	4166.0	1815.0	96.0	1937.0
65 и более	14630.0	10790.0	2390.0	341.0	1109.0
возраст не указан	191.0	37.0	22.0	4.0	128.0
Республика Карелия					
Все население	14523.0	2210.0	931.0	1894.0	9488.0
в том числе в возрасте, лет:					
  0 – 3	235.0	-	14.0	177.0	44.0
  4 – 5	143.0	15.0	1.0	87.0	40.0
  6 – 9	274.0	33.0	2.0	196.0	43.0
10 – 14 	977.0	49.0	2.0	857.0	69.0
15 – 17 	579.0	39.0	12.0	483.0	45.0
18 – 24	5440.0	103.0	52.0	68.0	5217.0
25 – 34 	2330.0	172.0	139.0	-	2019.0
35 – 44 	1622.0	227.0	166.0	-	1229.0
45 – 54	1222.0	371.0	237.0	6.0	608.0
55 – 64	564.0	331.0	124.0	3.0	106.0
65 и более	1129.0	867.0	181.0	16.0	65.0
возраст не указан	8.0	3.0	1.0	1.0	3.0
Республика Коми					
Все население	25500.0	2078.0	1014.0	2330.0	20078.0
в том числе в возрасте, лет:					
  0 – 3	251.0	1.0	28.0	210.0	12.0
  4 – 5	136.0	17.0	-	105.0	14.0
  6 – 9	357.0	60.0	3.0	277.0	17.0
10 – 14 	1339.0	189.0	1.0	1126.0	23.0
15 – 17 	830.0	149.0	4.0	593.0	84.0
18 – 24	6215.0	219.0	57.0	19.0	5920.0
25 – 34 	7303.0	123.0	128.0	-	7052.0
35 – 44 	4966.0	146.0	206.0	-	4614.0
45 – 54	2399.0	221.0	218.0	-	1960.0
55 – 64	682.0	251.0	152.0	-	279.0
65 и более	1014.0	702.0	212.0	-	100.0
возраст не указан	8.0	-	5.0	-	3.0
Архангельская область					
Все население	33324.0	2497.0	1731.0	3902.0	25194.0
в том числе в возрасте, лет:					
  0 – 3	465.0	4.0	2.0	439.0	20.0
  4 – 5	205.0	22.0	-	174.0	9.0
  6 – 9	586.0	76.0	1.0	492.0	17.0
10 – 14 	2174.0	182.0	-	1895.0	97.0
15 – 17 	1297.0	156.0	13.0	849.0	279.0
18 – 24	15084.0	230.0	146.0	43.0	14665.0
25 – 34 	5570.0	138.0	209.0	1.0	5222.0
35 – 44 	3602.0	179.0	284.0	1.0	3138.0
45 – 54	2150.0	275.0	391.0	5.0	1479.0
55 – 64	818.0	347.0	257.0	2.0	212.0
65 и более	1367.0	886.0	427.0	1.0	53.0
возраст не указан	6.0	2.0	1.0	-	3.0
Ненецкий автономный округ					
Все население	679.0	117.0	9.0	177.0	376.0
в том числе в возрасте, лет:					
  0 – 3	43.0	-	-	33.0	10.0
  4 – 5	21.0	-	-	17.0	4.0
  6 – 9	44.0	3.0	-	32.0	9.0
10 – 14 	100.0	11.0	-	69.0	20.0
15 – 17 	42.0	11.0	-	26.0	5.0
18 – 24	253.0	4.0	1.0	-	248.0
25 – 34 	48.0	2.0	2.0	-	44.0
35 – 44 	28.0	3.0	2.0	-	23.0
45 – 54	17.0	9.0	-	-	8.0
55 – 64	24.0	18.0	1.0	-	5.0
65 и более	59.0	56.0	3.0	-	-
возраст не указан	-	-	-	-	-
Вологодская область					
Все население	20852.0	4226.0	1136.0	2446.0	13044.0
в том числе в возрасте, лет:					
  0 – 3	316.0	1.0	1.0	305.0	9.0
  4 – 5	164.0	18.0	-	124.0	22.0
  6 – 9	382.0	78.0	-	270.0	34.0
10 – 14 	1528.0	241.0	1.0	1224.0	62.0
15 – 17 	1253.0	165.0	4.0	474.0	610.0
18 – 24	6311.0	257.0	73.0	48.0	5933.0
25 – 34 	3302.0	173.0	175.0	-	2954.0
35 – 44 	2374.0	289.0	170.0	-	1915.0
45 – 54	1930.0	548.0	272.0	-	1110.0
55 – 64	913.0	510.0	191.0	-	212.0
65 и более	2356.0	1936.0	247.0	-	173.0
возраст не указан	23.0	10.0	2.0	1.0	10.0
Калининградская область					
Все население	30131.0	1705.0	1233.0	2126.0	25067.0
в том числе в возрасте, лет:					
  0 – 3	420.0	65.0	25.0	190.0	140.0
  4 – 5	209.0	22.0	11.0	88.0	88.0
  6 – 9	538.0	33.0	31.0	301.0	173.0
10 – 14 	1508.0	103.0	50.0	1057.0	298.0
15 – 17 	1318.0	28.0	16.0	394.0	880.0
18 – 24	18603.0	128.0	140.0	72.0	18263.0
25 – 34 	3380.0	174.0	239.0	11.0	2956.0
35 – 44 	1735.0	143.0	232.0	6.0	1354.0
45 – 54	1130.0	210.0	261.0	6.0	653.0
55 – 64	495.0	205.0	115.0	1.0	174.0
65 и более	786.0	594.0	112.0	-	80.0
возраст не указан	9.0	-	1.0	-	8.0
Ленинградская область					
Все население	33780.0	2816.0	1938.0	2963.0	26063.0
в том числе в возрасте, лет:					
  0 – 3	240.0	19.0	4.0	208.0	9.0
  4 – 5	183.0	16.0	-	155.0	12.0
  6 – 9	539.0	32.0	4.0	351.0	152.0
10 – 14 	1600.0	39.0	26.0	1264.0	271.0
15 – 17 	701.0	18.0	47.0	499.0	137.0
18 – 24	21973.0	200.0	185.0	95.0	21493.0
25 – 34 	2783.0	267.0	288.0	30.0	2198.0
35 – 44 	1616.0	259.0	398.0	38.0	921.0
45 – 54	1492.0	459.0	444.0	65.0	524.0
55 – 64	900.0	408.0	251.0	70.0	171.0
65 и более	1712.0	1096.0	289.0	186.0	141.0
возраст не указан	41.0	3.0	2.0	2.0	34.0
Мурманская область					
Все население	35512.0	1746.0	228.0	1598.0	31940.0
в том числе в возрасте, лет:					
  0 – 3	226.0	96.0	-	129.0	1.0
  4 – 5	138.0	27.0	-	111.0	-
  6 – 9	247.0	42.0	-	202.0	3.0
10 – 14 	874.0	134.0	-	733.0	7.0
15 – 17 	459.0	79.0	-	364.0	16.0
18 – 24	26024.0	177.0	10.0	58.0	25779.0
25 – 34 	3544.0	169.0	30.0	-	3345.0
35 – 44 	1903.0	170.0	37.0	-	1696.0
45 – 54	1140.0	194.0	60.0	-	886.0
55 – 64	401.0	205.0	47.0	1.0	148.0
65 и более	519.0	453.0	42.0	-	24.0
возраст не указан	37.0	-	2.0	-	35.0
Новгородская область					
Все население	11411.0	2002.0	397.0	1353.0	7659.0
в том числе в возрасте, лет:					
  0 – 3	294.0	-	8.0	209.0	77.0
  4 – 5	147.0	11.0	-	86.0	50.0
  6 – 9	322.0	32.0	1.0	186.0	103.0
10 – 14 	827.0	77.0	-	591.0	159.0
15 – 17 	433.0	50.0	-	264.0	119.0
18 – 24	2967.0	106.0	42.0	17.0	2802.0
25 – 34 	2135.0	115.0	45.0	-	1975.0
35 – 44 	1480.0	153.0	62.0	-	1265.0
45 – 54	1125.0	270.0	80.0	-	775.0
55 – 64	611.0	333.0	86.0	-	192.0
65 и более	1063.0	853.0	71.0	-	139.0
возраст не указан	7.0	2.0	2.0	-	3.0
Псковская область					
Все население	18059.0	2582.0	762.0	1966.0	12749.0
в том числе в возрасте, лет:					
  0 – 3	201.0	17.0	14.0	160.0	10.0
  4 – 5	115.0	27.0	-	79.0	9.0
  6 – 9	392.0	90.0	4.0	276.0	22.0
10 – 14 	1424.0	355.0	26.0	936.0	107.0
15 – 17 	989.0	183.0	5.0	447.0	354.0
18 – 24	8255.0	162.0	51.0	44.0	7998.0
25 – 34 	2263.0	115.0	52.0	-	2096.0
35 – 44 	1468.0	175.0	63.0	2.0	1228.0
45 – 54	969.0	241.0	105.0	2.0	621.0
55 – 64	598.0	332.0	95.0	3.0	168.0
65 и более	1375.0	885.0	342.0	17.0	131.0
возраст не указан	10.0	-	5.0	-	5.0
г. Санкт–Петербург					
Все население	66573.0	9344.0	2947.0	4212.0	50070.0
в том числе в возрасте, лет:					
  0 – 3	1038.0	114.0	121.0	741.0	62.0
  4 – 5	356.0	31.0	20.0	277.0	28.0
  6 – 9	677.0	107.0	15.0	482.0	73.0
10 – 14 	3168.0	306.0	22.0	1417.0	1423.0
15 – 17 	7623.0	220.0	53.0	786.0	6564.0
18 – 24	36022.0	713.0	213.0	309.0	34787.0
25 – 34 	5830.0	1382.0	355.0	45.0	4048.0
35 – 44 	3591.0	1364.0	503.0	7.0	1717.0
45 – 54	2885.0	1328.0	680.0	11.0	866.0
55 – 64	2032.0	1244.0	497.0	16.0	275.0
65 и более	3309.0	2518.0	467.0	121.0	203.0
возраст не указан	42.0	17.0	1.0	-	24.0
Южный федеральный округ					
Все население	322851.0	26339.0	10165.0	22737.0	263610.0
в том числе в возрасте, лет:					
  0 – 3	2595.0	81.0	66.0	1968.0	480.0
  4 – 5	1301.0	159.0	21.0	860.0	261.0
  6 – 9	5004.0	600.0	24.0	3825.0	555.0
10 – 14 	14033.0	1544.0	48.0	11240.0	1201.0
15 – 17 	10211.0	950.0	79.0	4336.0	4846.0
18 – 24	179938.0	1423.0	793.0	410.0	177312.0
25 – 34 	46979.0	1914.0	1660.0	47.0	43358.0
35 – 44 	29326.0	2384.0	2164.0	17.0	24761.0
45 – 54	13373.0	2916.0	2317.0	15.0	8125.0
55 – 64	6653.0	3357.0	1493.0	3.0	1800.0
65 и более	13249.0	10993.0	1494.0	2.0	760.0
возраст не указан	189.0	18.0	6.0	14.0	151.0
Республика Адыгея					
Все население	6470.0	788.0	87.0	490.0	5105.0
в том числе в возрасте, лет:					
  0 – 3	58.0	49.0	-	9.0	-
  4 – 5	12.0	-	-	12.0	-
  6 – 9	124.0	17.0	1.0	105.0	1.0
10 – 14 	302.0	26.0	-	261.0	15.0
15 – 17 	157.0	26.0	-	80.0	51.0
18 – 24	3143.0	31.0	1.0	22.0	3089.0
25 – 34 	1091.0	53.0	8.0	-	1030.0
35 – 44 	653.0	24.0	19.0	-	610.0
45 – 54	322.0	61.0	32.0	-	229.0
55 – 64	170.0	90.0	19.0	-	61.0
65 и более	433.0	411.0	7.0	-	15.0
возраст не указан	5.0	-	-	1.0	4.0
Республика Дагестан					
Все население	16655.0	680.0	-	968.0	15007.0
в том числе в возрасте, лет:					
  0 – 3	192.0	1.0	-	118.0	73.0
  4 – 5	87.0	4.0	-	40.0	43.0
  6 – 9	341.0	31.0	-	240.0	70.0
10 – 14 	588.0	56.0	-	423.0	109.0
15 – 17 	417.0	37.0	-	139.0	241.0
18 – 24	11473.0	71.0	-	8.0	11394.0
25 – 34 	1862.0	110.0	-	-	1752.0
35 – 44 	978.0	97.0	-	-	881.0
45 – 54	342.0	84.0	-	-	258.0
55 – 64	135.0	40.0	-	-	95.0
65 и более	237.0	149.0	-	-	88.0
возраст не указан	3.0	-	-	-	3.0
Республика Ингушетия					
Все население	3738.0	25.0	59.0	100.0	3554.0
в том числе в возрасте, лет:					
  0 – 3	161.0	-	-	-	161.0
  4 – 5	98.0	-	-	-	98.0
  6 – 9	231.0	3.0	-	3.0	225.0
10 – 14 	334.0	2.0	1.0	15.0	316.0
15 – 17 	203.0	2.0	-	18.0	183.0
18 – 24	1599.0	3.0	9.0	54.0	1533.0
25 – 34 	405.0	5.0	23.0	10.0	367.0
35 – 44 	342.0	3.0	14.0	-	325.0
45 – 54	209.0	5.0	4.0	-	200.0
55 – 64	85.0	1.0	2.0	-	82.0
65 и более	71.0	1.0	6.0	-	64.0
возраст не указан	-	-	-	-	-
Кабардино–Балкарская Республика					
Все население	8476.0	383.0	393.0	861.0	6839.0
в том числе в возрасте, лет:					
  0 – 3	92.0	-	6.0	71.0	15.0
  4 – 5	28.0	2.0	1.0	21.0	4.0
  6 – 9	192.0	21.0	-	168.0	3.0
10 – 14 	496.0	42.0	-	439.0	15.0
15 – 17 	288.0	48.0	-	139.0	101.0
18 – 24	5145.0	52.0	51.0	23.0	5019.0
25 – 34 	1068.0	31.0	86.0	-	951.0
35 – 44 	633.0	17.0	90.0	-	526.0
