13. НАСЕЛЕНИЕ КОЛЛЕКТИВНЫХ ДОМОХОЗЯЙСТВ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ					
					
	Население, проживающее в коллективных домохозяйствах	в том числе проживающие в			
		стационарных учреждениях социального обслуживания	больницах для лиц, страдающих хроническими заболеваниями	детских домах, домах ребенка, школах-интернатах для детей-сирот и детей, оставшихся без попечения родителей	других учреждениях
					
в том числе в возрасте, лет:					
  0 – 3	309.0	7.0	24.0	249.0	29.0
  4 – 5	221.0	16.0	2.0	183.0	20.0
  6 – 9	738.0	85.0	7.0	608.0	38.0
10 – 14 	2512.0	340.0	15.0	1944.0	213.0
15 – 17 	1391.0	187.0	16.0	778.0	410.0
18 – 24	11949.0	290.0	83.0	84.0	11492.0
25 – 34 	7283.0	390.0	173.0	19.0	6701.0
35 – 44 	3642.0	446.0	215.0	2.0	2979.0
45 – 54	2406.0	660.0	274.0	3.0	1469.0
55 – 64	1146.0	718.0	163.0	1.0	264.0
65 и более	3583.0	2987.0	455.0	2.0	139.0
возраст не указан	9.0	1.0	1.0	-	7.0
Красноярский край					
Все население	54706.0	6471.0	1480.0	6720.0	40035.0
в том числе в возрасте, лет:					
  0 – 3	799.0	75.0	54.0	516.0	154.0
  4 – 5	480.0	102.0	12.0	244.0	122.0
  6 – 9	1607.0	330.0	18.0	936.0	323.0
10 – 14 	5026.0	772.0	28.0	3445.0	781.0
15 – 17 	2296.0	422.0	19.0	1171.0	684.0
18 – 24	18273.0	538.0	97.0	130.0	17508.0
25 – 34 	12064.0	480.0	199.0	74.0	11311.0
35 – 44 	6517.0	487.0	255.0	72.0	5703.0
45 – 54	3601.0	696.0	358.0	64.0	2483.0
55 – 64	1489.0	747.0	197.0	34.0	511.0
65 и более	2514.0	1816.0	240.0	30.0	428.0
возраст не указан	40.0	6.0	3.0	4.0	27.0
Таймырский (Долгано-Ненецкий) автономный округ					
Все население	448.0	-	5.0	123.0	320.0
в том числе в возрасте, лет:					
  0 – 3	15.0	-	-	6.0	9.0
  4 – 5	9.0	-	-	4.0	5.0
  6 – 9	31.0	-	-	21.0	10.0
10 – 14 	79.0	-	-	66.0	13.0
15 – 17 	41.0	-	-	26.0	15.0
18 – 24	154.0	-	-	-	154.0
25 – 34 	45.0	-	-	-	45.0
35 – 44 	42.0	-	-	-	42.0
45 – 54	27.0	-	1.0	-	26.0
55 – 64	3.0	-	3.0	-	-
65 и более	2.0	-	1.0	-	1.0
возраст не указан	-	-	-	-	-
Эвенкийский автономный округ					
Все население	161.0	98.0	14.0	49.0	-
в том числе в возрасте, лет:					
  0 – 3	11.0	11.0	-	-	-
  4 – 5	10.0	9.0	1.0	-	-
  6 – 9	12.0	6.0	-	6.0	-
10 – 14 	39.0	3.0	2.0	34.0	-
15 – 17 	8.0	-	-	8.0	-
18 – 24	4.0	3.0	1.0	-	-
25 – 34 	8.0	5.0	3.0	-	-
35 – 44 	4.0	2.0	2.0	-	-
45 – 54	4.0	2.0	2.0	-	-
55 – 64	28.0	25.0	3.0	-	-
65 и более	32.0	32.0	-	-	-
возраст не указан	1.0	-	-	1.0	-
Иркутская область					
Все население	47494.0	3385.0	1879.0	6677.0	35553.0
в том числе в возрасте, лет:					
  0 – 3	942.0	4.0	176.0	733.0	29.0
  4 – 5	524.0	10.0	32.0	429.0	53.0
  6 – 9	1226.0	35.0	23.0	984.0	184.0
10 – 14 	4186.0	116.0	48.0	3233.0	789.0
15 – 17 	2306.0	59.0	48.0	1137.0	1062.0
18 – 24	14725.0	255.0	171.0	98.0	14201.0
25 – 34 	11263.0	259.0	210.0	8.0	10786.0
35 – 44 	5912.0	282.0	263.0	-	5367.0
45 – 54	3099.0	341.0	391.0	2.0	2365.0
55 – 64	1089.0	474.0	224.0	8.0	383.0
65 и более	2142.0	1548.0	286.0	40.0	268.0
возраст не указан	80.0	2.0	7.0	5.0	66.0
Усть-Ордынский Бурятский автономный округ					
Все население	958.0	176.0	527.0	191.0	64.0
в том числе в возрасте, лет:					
  0 – 3	4.0	1.0	2.0	1.0	-
  4 – 5	10.0	2.0	1.0	6.0	1.0
  6 – 9	54.0	7.0	-	28.0	19.0
10 – 14 	161.0	17.0	-	118.0	26.0
15 – 17 	76.0	3.0	18.0	37.0	18.0
18 – 24	100.0	1.0	98.0	1.0	-
25 – 34 	83.0	3.0	80.0	-	-
35 – 44 	96.0	3.0	93.0	-	-
45 – 54	158.0	12.0	146.0	-	-
55 – 64	90.0	33.0	57.0	-	-
65 и более	126.0	94.0	32.0	-	-
возраст не указан	-	-	-	-	-
Кемеровская область					
Все население	48512.0	5095.0	1413.0	9503.0	32501.0
в том числе в возрасте, лет:					
  0 – 3	815.0	12.0	32.0	663.0	108.0
  4 – 5	562.0	48.0	5.0	460.0	49.0
  6 – 9	1645.0	134.0	19.0	1359.0	133.0
10 – 14 	4974.0	265.0	36.0	4325.0	348.0
15 – 17 	3089.0	170.0	15.0	2169.0	735.0
18 – 24	12411.0	494.0	169.0	219.0	11529.0
25 – 34 	11883.0	453.0	187.0	56.0	11187.0
35 – 44 	5861.0	463.0	216.0	48.0	5134.0
45 – 54	3480.0	580.0	308.0	49.0	2543.0
55 – 64	1360.0	597.0	180.0	36.0	547.0
65 и более	2428.0	1877.0	246.0	117.0	188.0
возраст не указан	4.0	2.0	-	2.0	-
Новосибирская область					
Все население	44921.0	4279.0	1070.0	3742.0	35830.0
в том числе в возрасте, лет:					
  0 – 3	612.0	4.0	54.0	474.0	80.0
  4 – 5	262.0	33.0	8.0	185.0	36.0
  6 – 9	746.0	82.0	14.0	572.0	78.0
10 – 14 	2228.0	253.0	8.0	1851.0	116.0
15 – 17 	1692.0	193.0	7.0	622.0	870.0
18 – 24	20120.0	361.0	56.0	26.0	19677.0
25 – 34 	8942.0	343.0	136.0	1.0	8462.0
35 – 44 	4482.0	324.0	212.0	1.0	3945.0
45 – 54	2716.0	496.0	270.0	1.0	1949.0
55 – 64	1109.0	573.0	154.0	4.0	378.0
65 и более	2012.0	1617.0	151.0	5.0	239.0
возраст не указан	-	-	-	-	-
Омская область					
Все население	29464.0	4374.0	999.0	2879.0	21212.0
в том числе в возрасте, лет:					
  0 – 3	413.0	-	44.0	365.0	4.0
  4 – 5	241.0	34.0	16.0	181.0	10.0
  6 – 9	841.0	150.0	99.0	559.0	33.0
10 – 14 	2020.0	286.0	153.0	1287.0	294.0
15 – 17 	1800.0	160.0	12.0	450.0	1178.0
18 – 24	10922.0	279.0	44.0	14.0	10585.0
25 – 34 	5979.0	349.0	112.0	-	5518.0
35 – 44 	2973.0	439.0	151.0	5.0	2378.0
45 – 54	1760.0	584.0	220.0	8.0	948.0
55 – 64	873.0	595.0	93.0	3.0	182.0
65 и более	1640.0	1497.0	55.0	7.0	81.0
возраст не указан	2.0	1.0	-	-	1.0
Томская область					
Все население	15869.0	1494.0	961.0	2658.0	10756.0
в том числе в возрасте, лет:					
  0 – 3	210.0	5.0	48.0	148.0	9.0
  4 – 5	125.0	-	-	111.0	14.0
  6 – 9	347.0	1.0	-	316.0	30.0
10 – 14 	1317.0	-	1.0	1254.0	62.0
15 – 17 	895.0	2.0	8.0	567.0	318.0
18 – 24	4950.0	100.0	59.0	68.0	4723.0
25 – 34 	3434.0	137.0	125.0	-	3172.0
35 – 44 	1785.0	123.0	173.0	11.0	1478.0
45 – 54	1189.0	216.0	240.0	15.0	718.0
55 – 64	541.0	207.0	125.0	56.0	153.0
65 и более	1076.0	703.0	182.0	112.0	79.0
возраст не указан	-	-	-	-	-
Читинская область					
Все население	37702.0	2376.0	684.0	3230.0	31412.0
в том числе в возрасте, лет:					
  0 – 3	267.0	6.0	53.0	173.0	35.0
  4 – 5	198.0	36.0	1.0	129.0	32.0
  6 – 9	730.0	108.0	1.0	543.0	78.0
10 – 14 	2061.0	256.0	5.0	1683.0	117.0
15 – 17 	1056.0	154.0	10.0	612.0	280.0
18 – 24	24012.0	187.0	36.0	78.0	23711.0
25 – 34 	4477.0	192.0	68.0	2.0	4215.0
35 – 44 	2134.0	173.0	122.0	1.0	1838.0
45 – 54	1210.0	247.0	143.0	3.0	817.0
55 – 64	540.0	266.0	99.0	3.0	172.0
65 и более	992.0	751.0	146.0	1.0	94.0
возраст не указан	25.0	-	-	2.0	23.0
Агинский Бурятский автономный округ					
Все население	442.0	75.0	3.0	45.0	319.0
в том числе в возрасте, лет:					
  0 – 3	1.0	-	-	1.0	-
  4 – 5	4.0	-	-	4.0	-
  6 – 9	14.0	-	-	14.0	-
10 – 14 	21.0	-	-	21.0	-
15 – 17 	5.0	-	-	5.0	-
18 – 24	311.0	1.0	-	-	310.0
25 – 34 	6.0	1.0	-	-	5.0
35 – 44 	2.0	2.0	-	-	-
45 – 54	12.0	7.0	2.0	-	3.0
55 – 64	12.0	10.0	1.0	-	1.0
65 и более	54.0	54.0	-	-	-
возраст не указан	-	-	-	-	-
Дальневосточный федеральный округ					
Все население	197886.0	13682.0	4226.0	16527.0	163451.0
в том числе в возрасте, лет:					
  0 – 3	2318.0	37.0	359.0	1448.0	474.0
  4 – 5	1216.0	119.0	25.0	834.0	238.0
  6 – 9	3554.0	406.0	26.0	2514.0	608.0
10 – 14 	10044.0	897.0	97.0	7878.0	1172.0
15 – 17 	6318.0	426.0	61.0	2901.0	2930.0
18 – 24	120714.0	1001.0	267.0	526.0	118920.0
25 – 34 	24318.0	1305.0	522.0	93.0	22398.0
35 – 44 	13013.0	1315.0	740.0	73.0	10885.0
45 – 54	7116.0	1762.0	947.0	117.0	4290.0
55 – 64	3577.0	1925.0	621.0	81.0	950.0
65 и более	5617.0	4489.0	554.0	61.0	513.0
возраст не указан	81.0	0.0	7.0	1.0	73.0
Республика Саха (Якутия)					
Все население	10817.0	2196.0	412.0	1811.0	6398.0
в том числе в возрасте, лет:					
  0 – 3	176.0	1.0	1.0	135.0	39.0
  4 – 5	93.0	-	-	79.0	14.0
  6 – 9	348.0	59.0	-	253.0	36.0
10 – 14 	969.0	135.0	1.0	790.0	43.0
15 – 17 	487.0	28.0	3.0	426.0	30.0
18 – 24	2167.0	106.0	27.0	112.0	1922.0
25 – 34 	2616.0	224.0	67.0	8.0	2317.0
35 – 44 	1730.0	320.0	105.0	2.0	1303.0
45 – 54	1013.0	334.0	123.0	6.0	550.0
55 – 64	532.0	370.0	48.0	-	114.0
65 и более	686.0	619.0	37.0	-	30.0
возраст не указан	-	-	-	-	-
Приморский край					
Все население	71217.0	3664.0	1324.0	4319.0	61910.0
в том числе в возрасте, лет:					
  0 – 3	736.0	12.0	156.0	292.0	276.0
  4 – 5	359.0	28.0	8.0	183.0	140.0
  6 – 9	1142.0	96.0	7.0	713.0	326.0
10 – 14 	3172.0	275.0	32.0	2196.0	669.0
15 – 17 	2615.0	153.0	19.0	745.0	1698.0
18 – 24	44101.0	286.0	64.0	91.0	43660.0
25 – 34 	9205.0	345.0	138.0	28.0	8694.0
35 – 44 	4833.0	304.0	260.0	20.0	4249.0
45 – 54	2347.0	435.0	288.0	26.0	1598.0
55 – 64	1052.0	468.0	199.0	14.0	371.0
65 и более	1593.0	1262.0	150.0	11.0	170.0
возраст не указан	62.0	-	3.0	-	59.0
Хабаровский край					
Все население	51660.0	2211.0	1066.0	4488.0	43895.0
в том числе в возрасте, лет:					
  0 – 3	690.0	-	129.0	480.0	81.0
  4 – 5	342.0	29.0	13.0	273.0	27.0
  6 – 9	837.0	72.0	17.0	678.0	70.0
10 – 14 	2169.0	139.0	49.0	1854.0	127.0
15 – 17 	1297.0	31.0	25.0	655.0	586.0
18 – 24	34892.0	77.0	91.0	244.0	34480.0
25 – 34 	4922.0	136.0	136.0	54.0	4596.0
35 – 44 	2763.0	140.0	147.0	50.0	2426.0
45 – 54	1525.0	211.0	207.0	85.0	1022.0
55 – 64	762.0	311.0	141.0	66.0	244.0
65 и более	1453.0	1065.0	111.0	49.0	228.0
возраст не указан	8.0	-	-	-	8.0
Амурская область					
Все население	25663.0	1866.0	527.0	2378.0	20892.0
в том числе в возрасте, лет:					
  0 – 3	284.0	12.0	43.0	163.0	66.0
  4 – 5	154.0	30.0	2.0	79.0	43.0
  6 – 9	523.0	68.0	2.0	339.0	114.0
10 – 14 	1534.0	38.0	2.0	1262.0	232.0
15 – 17 	775.0	6.0	-	497.0	272.0
18 – 24	15899.0	129.0	43.0	33.0	15694.0
25 – 34 	3044.0	167.0	76.0	1.0	2800.0
35 – 44 	1412.0	204.0	94.0	1.0	1113.0
45 – 54	835.0	274.0	117.0	-	444.0
55 – 64	424.0	289.0	64.0	1.0	70.0
65 и более	771.0	649.0	81.0	1.0	40.0
возраст не указан	8.0	-	3.0	1.0	4.0
Камчатская область					
Все население	13201.0	644.0	56.0	768.0	11733.0
в том числе в возрасте, лет:					
  0 – 3	104.0	-	4.0	90.0	10.0
  4 – 5	70.0	1.0	-	63.0	6.0
  6 – 9	176.0	30.0	-	110.0	36.0
10 – 14 	452.0	51.0	-	375.0	26.0
15 – 17 	212.0	34.0	-	127.0	51.0
18 – 24	9706.0	61.0	-	3.0	9642.0
25 – 34 	1264.0	52.0	4.0	-	1208.0
35 – 44 	580.0	50.0	12.0	-	518.0
45 – 54	280.0	102.0	21.0	-	157.0
55 – 64	187.0	116.0	9.0	-	62.0
65 и более	169.0	147.0	6.0	-	16.0
возраст не указан	1.0	-	-	-	1.0
Корякский автономный округ					
Все население	283.0	81.0	-	136.0	66.0
в том числе в возрасте, лет:					
  0 – 3	6.0	-	-	6.0	-
  4 – 5	12.0	-	-	12.0	-
  6 – 9	18.0	-	-	18.0	-
10 – 14 	74.0	-	-	74.0	-
15 – 17 	27.0	1.0	-	26.0	-
18 – 24	65.0	1.0	-	-	64.0
25 – 34 	17.0	15.0	-	-	2.0
35 – 44 	10.0	10.0	-	-	-
45 – 54	20.0	20.0	-	-	-
55 – 64	18.0	18.0	-	-	-
65 и более	16.0	16.0	-	-	-
возраст не указан	-	-	-	-	-
Магаданская область					
Все население	3277.0	571.0	247.0	465.0	1994.0
в том числе в возрасте, лет:					
  0 – 3	72.0	-	-	72.0	-
  4 – 5	29.0	-	-	25.0	4.0
  6 – 9	82.0	8.0	-	57.0	17.0
10 – 14 	299.0	33.0	13.0	214.0	39.0
15 – 17 	174.0	45.0	12.0	97.0	20.0
18 – 24	929.0	92.0	28.0	-	809.0
25 – 34 	714.0	66.0	42.0	-	606.0
35 – 44 	415.0	44.0	40.0	-	331.0
45 – 54	228.0	59.0	46.0	-	123.0
55 – 64	148.0	81.0	36.0	-	31.0
65 и более	185.0	143.0	29.0	-	13.0
возраст не указан	2.0	-	1.0	-	1.0
Сахалинская область					
Все население	13256.0	1835.0	373.0	1315.0	9733.0
в том числе в возрасте, лет:					
  0 – 3	150.0	6.0	22.0	120.0	2.0
  4 – 5	98.0	26.0	2.0	66.0	4.0
  6 – 9	260.0	57.0	-	195.0	8.0
10 – 14 	859.0	160.0	-	671.0	28.0
15 – 17 	442.0	102.0	1.0	252.0	87.0
18 – 24	7847.0	202.0	9.0	11.0	7625.0
25 – 34 	1488.0	215.0	33.0	-	1240.0
35 – 44 	722.0	161.0	57.0	-	504.0
45 – 54	523.0	229.0	102.0	-	192.0
55 – 64	322.0	203.0	84.0	-	35.0
65 и более	545.0	474.0	63.0	-	8.0
возраст не указан	-	-	-	-	-
Еврейская автономная область					
Все население	7808.0	520.0	221.0	935.0	6132.0
в том числе в возрасте, лет:					
  0 – 3	95.0	-	4.0	91.0	-
  4 – 5	61.0	-	-	61.0	-
  6 – 9	165.0	4.0	-	160.0	1.0
10 – 14 	509.0	5.0	-	496.0	8.0
15 – 17 	285.0	3.0	1.0	96.0	185.0
18 – 24	4417.0	45.0	5.0	29.0	4338.0
25 – 34 	1047.0	89.0	26.0	2.0	930.0
35 – 44 	541.0	80.0	25.0	-	436.0
45 – 54	352.0	106.0	43.0	-	203.0
55 – 64	134.0	71.0	40.0	-	23.0
65 и более	202.0	117.0	77.0	-	8.0
возраст не указан	-	-	-	-	-
Чукотский автономный округ					
Все население	987.0	175.0	-	48.0	764.0
в том числе в возрасте, лет:					
  0 – 3	11.0	6.0	-	5.0	-
  4 – 5	10.0	5.0	-	5.0	-
  6 – 9	21.0	12.0	-	9.0	-
10 – 14 	81.0	61.0	-	20.0	-
15 – 17 	31.0	24.0	-	6.0	1.0
18 – 24	756.0	3.0	-	3.0	750.0
25 – 34 	18.0	11.0	-	-	7.0
35 – 44 	17.0	12.0	-	-	5.0
45 – 54	13.0	12.0	-	-	1.0
55 – 64	16.0	16.0	-	-	-
65 и более	13.0	13.0	-	-	-
возраст не указан	-	-	-	-	-
