1. НАСЕЛЕНИЕ ПО ТИПАМ ЗАНИМАЕМЫХ ЖИЛЫХ ПОМЕЩЕНИЙ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Городские и сельские населенные пункты	Городские населенные пункты	Сельские населенные пункты	В процентах		
				городские и сельские населенные пункты	городские населенные пункты	сельские населенные пункты
Российская Федерация						
не указали тип жилого помещения	5833.0	4502.0	1331.0	0.480676127463	0.577192067007	0.307024423551
Московская область						
Все население	6618538.0	5248534.0	1370004.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	599411.0	285356.0	314055.0	9.05654692925	5.43687056233	22.9236556974
в отдельных квартирах	5548506.0	4584946.0	963560.0	83.8328041631	87.3566980799	70.3326413646
в коммунальных квартирах	155957.0	135909.0	20048.0	2.35636631534	2.58946593468	1.46335339167
в общежитиях	131948.0	110625.0	21323.0	1.99361248662	2.10773141605	1.55641881338
в институциональных учреждениях	119788.0	82665.0	37123.0	1.8098861108	1.57501123171	2.70970011766
в гостиницах	4294.0	3322.0	972.0	0.0648783764632	0.0632938645344	0.07094869796
в других жилых помещениях	9024.0	5017.0	4007.0	0.136344310481	0.0955885967396	0.292480897866
бездомные	1321.0	1017.0	304.0	0.0199590906632	0.0193768393231	0.0221897162344
не указали тип жилого помещения	48289.0	39677.0	8612.0	0.729602217287	0.7	0.628611303325
Орловская область						
Все население	860262.0	546478.0	313784.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	332483.0	102470.0	230013.0	38.7	18.7509835712	73.3029727456
в отдельных квартирах	476054.0	401631.0	74423.0	55.3382574146	73.4944499138	23.7179078602
в коммунальных квартирах	6071.0	5326.0	745.0	0.705715235591	0.974604650141	0.3
в общежитиях	28436.0	26194.0	2242.0	3.30550460209	4.79323961806	0.714504244958
в институциональных учреждениях	14028.0	8957.0	5071.0	1.6306660064	1.63904127888	1.61607985111
в гостиницах	303.0	275.0	28.0	0.0352218277687	0.0	0.00892333579787
в других жилых помещениях	441.0	92.0	349.0	0.0512634522971	0.0168350784478	0.111223006909
бездомные	202.0	158.0	44.0	0.0234812185125	0.0289124173343	0.0140223848252
не указали тип жилого помещения	2244.0	1375.0	869.0	0.26085076407	0.251611226801	0.276942100298
Рязанская область						
Все население	1227910.0	846180.0	381730.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	340703.0	114596.0	226107.0	27.8	13.5427450424	59.232179813
в отдельных квартирах	815497.0	669458.0	146039.0	66.4134179215	79.1153182538	38.2571451026
в коммунальных квартирах	10990.0	10246.0	744.0	0.895016735754	1.21085348271	0.194902155974
в общежитиях	35514.0	33430.0	2084.0	2.89223151534	3.95069606939	0.6
в институциональных учреждениях	21389.0	15345.0	6044.0	1.8	1.8134439481	1.58331805203
в гостиницах	377.0	362.0	15.0	0.0307025759217	0.1	0.00392947895109
в других жилых помещениях	352.0	177.0	175.0	0.028666596086	0.0209175352762	0.0458439210961
бездомные	138.0	106.0	32.0	0.0112386086928	0.0125268855326	0.00838288842899
не указали тип жилого помещения	2950.0	2460.0	490.0	0.240245620607	0.290718286889	0.128362979069
Смоленская область						
Все население	1049574.0	743599.0	305975.0	100.0	100.0	100.0
в том числе проживает:						
в индивидуальных домах	286153.0	113229.0	172924.0	27.2637279506	15.227158724	56.5157284092
в отдельных квартирах	669444.0	546553.0	122891.0	63.7824488793	73.5010402112	40.1637388676
в коммунальных квартирах	11311.0	10328.0	983.0	1.07767532351	1.38892064137	0.321268077457
в общежитиях	59788.0	58477.0	1311.0	5.69640635153	7.86405038199	0.428466377972
в институциональных учреждениях	18156.0	11126.0	7030.0	1.72984467984	1.49623654685	2.29757333115
в гостиницах	171.0	160.0	11.0	0.0162923243144	0.0215169735301	0.00359506495629
в других жилых помещениях	608.0	482.0	126.0	0.0579282642291	0.0648198827594	0.1
бездомные	239.0	212.0	27.0	0.0227711433401	0.0285099899274	0.00882425034725
