1. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ													
													
													
	Всего	в том числе в возрасте, лет										В трудоспо-собном возрасте	Средний возраст
		15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64		
предоставление услуг по ведению домашнего хозяйства	20374.0	772.0	1984.0	1892.0	1999.0	2462.0	3630.0	3479.0	2851.0	785.0	520.0	19054.0	40.0
деятельность экстерриториальных организаций	4662.0	195.0	526.0	550.0	457.0	526.0	655.0	789.0	598.0	210.0	156.0	4292.0	39.4
не распределенные по видам деятельности и неточно указавшие вид деятельности	581993.0	13292.0	57603.0	66917.0	66242.0	73469.0	95293.0	89720.0	76171.0	26388.0	16898.0	538356.0	39.8
Городское население в возрасте 15-64 лет, занятое в экономике	46988595.0	959557.0	4956697.0	6134590.0	5781941.0	5973120.0	7445852.0	6879935.0	5566067.0	2087795.0	1203041.0	44848207.0	39.2
в том числе по видам экономической деятельности:													
сельское хозяйство, охота и лесное хозяйство	799472.0	17248.0	72831.0	86960.0	81514.0	96383.0	140178.0	139456.0	110520.0	36628.0	17754.0	771290.0	40.3
рыболовство, рыбоводство	91447.0	790.0	7367.0	11729.0	12251.0	13392.0	15821.0	14097.0	10481.0	3604.0	1915.0	89002.0	39.6
добыча полезных ископаемых	1129919.0	9162.0	95274.0	137409.0	131261.0	146816.0	210561.0	196587.0	142928.0	42267.0	17654.0	1102805.0	40.0
обрабатывающие производства	10129731.0	200804.0	1027593.0	1187476.0	1050944.0	1169462.0	1606627.0	1643735.0	1424369.0	529572.0	289149.0	9654753.0	40.2
производство и распределение электроэнергии, газа и воды	1182501.0	8644.0	79434.0	123017.0	124157.0	140666.0	202278.0	210900.0	184260.0	71889.0	37256.0	1125885.0	41.8
строительство	3622832.0	75624.0	367967.0	442080.0	406676.0	459940.0	616507.0	573591.0	446245.0	159489.0	74713.0	3514478.0	39.5
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	6922291.0	244950.0	976508.0	1125285.0	1045271.0	978903.0	1030492.0	792042.0	519742.0	143949.0	65149.0	6775775.0	36.0
