11. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ  ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
								
	Всего	в том числе по положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
Центральный федеральный округ								
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	93437.0	93437.0						-
образование	146872.0	144647.0	2216.0	171.0	1564.0	352.0	129.0	9.0
здравоохранение и предоставление социальных услуг	123305.0	121083.0	2212.0	286.0	1418.0	342.0	166.0	10.0
предоставление прочих коммунальных, социальных и персональных услуг	62043.0	58769.0	3262.0	619.0	2186.0	259.0	198.0	12.0
предоставление услуг по ведению домашнего хозяйства	430.0	430.0						-
деятельность экстерриториальных организаций	16.0	12.0	4.0			4.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	23012.0	21458.0	1546.0	328.0	900.0	240.0	78.0	8.0
Приволжский федеральный округ								
Все население, занятое в экономике	13255158.0	12598277.0	656247.0	192547.0	382700.0	57889.0	23111.0	634.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	1419781.0	1358197.0	61503.0	9504.0	26417.0	23484.0	2098.0	81.0
рыболовство, рыбоводство	5142.0	4482.0	660.0	86.0	476.0	70.0	28.0	-
добыча полезных ископаемых	271922.0	269554.0	2357.0	468.0	1492.0	216.0	181.0	11.0
обрабатывающие производства	3108879.0	3044763.0	63988.0	20944.0	35415.0	4878.0	2751.0	128.0
производство и распределение электроэнергии, газа и воды	323034.0	319037.0	3969.0	676.0	2512.0	551.0	230.0	28.0
строительство	919885.0	872312.0	47532.0	16507.0	24811.0	3926.0	2288.0	41.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	1633936.0	1302382.0	331503.0	111720.0	199949.0	11033.0	8801.0	51.0
гостиницы и рестораны	277462.0	266946.0	10504.0	4683.0	4685.0	791.0	345.0	12.0
транспорт и связь	1088926.0	1036629.0	52231.0	9660.0	37259.0	3288.0	2024.0	66.0
финансовая деятельность	159752.0	156569.0	3183.0	942.0	1729.0	315.0	197.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	543329.0	519036.0	24263.0	7508.0	13853.0	1890.0	1012.0	30.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	735167.0	735165.0						2.0
образование	1229265.0	1216818.0	12401.0	1137.0	8325.0	1924.0	1015.0	46.0
здравоохранение и предоставление социальных услуг	954471.0	941022.0	13431.0	1969.0	8887.0	1886.0	689.0	18.0
предоставление прочих коммунальных, социальных и персональных услуг	493018.0	470792.0	22165.0	5444.0	13665.0	2136.0	920.0	61.0
предоставление услуг по ведению домашнего хозяйства	3664.0	3664.0						-
деятельность экстерриториальных организаций	562.0	557.0	5.0			5.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	86963.0	80352.0	6552.0	1299.0	3225.0	1496.0	532.0	59.0
Республика Башкортостан								
Все население, занятое в экономике	1672385.0	1589542.0	82838.0	26056.0	48657.0	4521.0	3604.0	5.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	220481.0	213739.0	6740.0	1162.0	4319.0	895.0	364.0	2.0
рыболовство, рыбоводство	292.0	215.0	77.0	8.0	59.0	10.0	-	-
добыча полезных ископаемых	67212.0	66526.0	686.0	136.0	449.0	50.0	51.0	-
обрабатывающие производства	334757.0	327128.0	7628.0	2502.0	4302.0	435.0	389.0	1.0
производство и распределение электроэнергии, газа и воды	46447.0	45784.0	663.0	105.0	458.0	72.0	28.0	-
строительство	135039.0	127322.0	7716.0	2746.0	3960.0	596.0	414.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	191256.0	150498.0	40758.0	15291.0	23038.0	1107.0	1322.0	-
гостиницы и рестораны	30231.0	29003.0	1228.0	554.0	559.0	69.0	46.0	-
транспорт и связь	122374.0	116111.0	6263.0	1141.0	4468.0	383.0	271.0	-
финансовая деятельность	16032.0	15682.0	350.0	69.0	223.0	22.0	36.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	48939.0	46127.0	2812.0	906.0	1613.0	138.0	155.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	75267.0	75267.0						-
образование	181701.0	179785.0	1915.0	168.0	1359.0	240.0	148.0	1.0
здравоохранение и предоставление социальных услуг	115852.0	113822.0	2030.0	314.0	1451.0	138.0	127.0	-
предоставление прочих коммунальных, социальных и персональных услуг	75373.0	72276.0	3097.0	773.0	1943.0	218.0	163.0	-
предоставление услуг по ведению домашнего хозяйства	210.0	210.0						-
деятельность экстерриториальных организаций	60.0	60.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	10862.0	9987.0	875.0	181.0	456.0	148.0	90.0	-
Республика Марий Эл								
Все население, занятое в экономике	299661.0	286397.0	13261.0	4116.0	8393.0	538.0	214.0	3.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	42296.0	41323.0	973.0	243.0	512.0	211.0	7.0	-
рыболовство, рыбоводство	163.0	141.0	22.0	4.0	18.0	-	-	-
добыча полезных ископаемых	1344.0	1311.0	33.0	12.0	14.0	7.0	-	-
обрабатывающие производства	60077.0	58425.0	1650.0	693.0	880.0	44.0	33.0	2.0
производство и распределение электроэнергии, газа и воды	8507.0	8440.0	67.0	11.0	50.0	-	6.0	-
строительство	23283.0	22376.0	906.0	270.0	555.0	54.0	27.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	33643.0	26380.0	7263.0	2316.0	4771.0	101.0	75.0	-
гостиницы и рестораны	6607.0	6459.0	148.0	67.0	69.0	7.0	5.0	-
транспорт и связь	20111.0	19245.0	866.0	197.0	641.0	7.0	21.0	-
финансовая деятельность	3427.0	3375.0	52.0	19.0	22.0	-	11.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	6242.0	5867.0	375.0	148.0	198.0	29.0	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	23806.0	23806.0						-
образование	32573.0	32389.0	184.0	15.0	150.0	8.0	11.0	-
здравоохранение и предоставление социальных услуг	23360.0	23175.0	185.0	26.0	125.0	22.0	12.0	-
предоставление прочих коммунальных, социальных и персональных услуг	13131.0	12658.0	473.0	83.0	343.0	41.0	6.0	-
предоставление услуг по ведению домашнего хозяйства	64.0	64.0						-
деятельность экстерриториальных организаций	24.0	24.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	1003.0	939.0	64.0	12.0	45.0	7.0	-	-
Республика Мордовия								
Все население, занятое в экономике	349073.0	329667.0	19404.0	3558.0	9648.0	6026.0	172.0	2.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	48423.0	42085.0	6338.0	136.0	681.0	5472.0	49.0	-
рыболовство, рыбоводство	95.0	95.0	-	-	-	-	-	-
добыча полезных ископаемых	365.0	347.0	18.0	8.0	10.0	-	-	-
обрабатывающие производства	84235.0	83344.0	889.0	239.0	565.0	74.0	11.0	2.0
производство и распределение электроэнергии, газа и воды	8520.0	8437.0	83.0	13.0	56.0	14.0	-	-
строительство	22824.0	22025.0	799.0	204.0	453.0	108.0	34.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	36654.0	27586.0	9068.0	2530.0	6276.0	211.0	51.0	-
гостиницы и рестораны	5650.0	5476.0	174.0	62.0	88.0	24.0	-	-
транспорт и связь	26259.0	25044.0	1215.0	199.0	973.0	33.0	10.0	-
финансовая деятельность	4676.0	4658.0	18.0	4.0	9.0	4.0	1.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	11294.0	10975.0	319.0	103.0	216.0	-	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	24361.0	24361.0						-
образование	34513.0	34435.0	78.0	20.0	37.0	10.0	11.0	-
здравоохранение и предоставление социальных услуг	29551.0	29417.0	134.0	16.0	80.0	35.0	3.0	-
предоставление прочих коммунальных, социальных и персональных услуг	11384.0	11124.0	260.0	24.0	194.0	41.0	1.0	-
предоставление услуг по ведению домашнего хозяйства	60.0	60.0						-
деятельность экстерриториальных организаций	20.0	20.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	189.0	178.0	11.0	-	10.0	-	1.0	-
Республика Татарстан								
Все население, занятое в экономике	1685719.0	1602474.0	83234.0	20897.0	43624.0	14486.0	4227.0	11.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	189378.0	177202.0	12176.0	404.0	1751.0	9582.0	439.0	-
рыболовство, рыбоводство	832.0	716.0	116.0	18.0	90.0	4.0	4.0	-
добыча полезных ископаемых	61191.0	60709.0	482.0	82.0	309.0	43.0	48.0	-
обрабатывающие производства	359171.0	352156.0	7010.0	2129.0	3775.0	622.0	484.0	5.0
производство и распределение электроэнергии, газа и воды	43266.0	42826.0	440.0	83.0	254.0	60.0	43.0	-
строительство	141898.0	134350.0	7548.0	2502.0	3781.0	718.0	547.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	194062.0	154881.0	39181.0	11869.0	24108.0	1711.0	1493.0	-
гостиницы и рестораны	34618.0	33591.0	1027.0	381.0	484.0	96.0	66.0	-
транспорт и связь	138991.0	132965.0	6023.0	1121.0	4074.0	491.0	337.0	3.0
финансовая деятельность	22485.0	22082.0	403.0	117.0	193.0	43.0	50.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	65442.0	62708.0	2734.0	914.0	1439.0	233.0	148.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	73878.0	73878.0						-
образование	170010.0	168801.0	1209.0	106.0	722.0	179.0	202.0	-
здравоохранение и предоставление социальных услуг	112385.0	111201.0	1184.0	215.0	653.0	170.0	146.0	-
предоставление прочих коммунальных, социальных и персональных услуг	66055.0	63173.0	2882.0	805.0	1622.0	307.0	148.0	-
предоставление услуг по ведению домашнего хозяйства	401.0	401.0						-
деятельность экстерриториальных организаций	68.0	68.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	11588.0	10766.0	819.0	151.0	369.0	227.0	72.0	3.0
Удмуртская Республика								
Все население, занятое в экономике	724578.0	693580.0	30993.0	9922.0	19402.0	736.0	933.0	5.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	85031.0	82574.0	2457.0	620.0	1654.0	116.0	67.0	-
рыболовство, рыбоводство	259.0	241.0	18.0	4.0	9.0	-	5.0	-
добыча полезных ископаемых	20410.0	20316.0	94.0	38.0	39.0	13.0	4.0	-
обрабатывающие производства	184129.0	180845.0	3281.0	1164.0	1915.0	67.0	135.0	3.0
производство и распределение электроэнергии, газа и воды	11891.0	11799.0	92.0	16.0	52.0	5.0	19.0	-
строительство	47175.0	44845.0	2329.0	839.0	1303.0	105.0	82.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	86908.0	70668.0	16239.0	5666.0	10018.0	176.0	379.0	1.0
гостиницы и рестораны	15111.0	14660.0	451.0	225.0	205.0	-	21.0	-
транспорт и связь	45144.0	42947.0	2197.0	355.0	1730.0	33.0	79.0	-
финансовая деятельность	8806.0	8678.0	128.0	50.0	78.0	-	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	22460.0	21205.0	1255.0	375.0	795.0	48.0	37.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	36816.0	36816.0						-
образование	70931.0	70546.0	385.0	50.0	285.0	16.0	34.0	-
здравоохранение и предоставление социальных услуг	53902.0	53348.0	554.0	112.0	375.0	50.0	17.0	-
предоставление прочих коммунальных, социальных и персональных услуг	30410.0	29181.0	1229.0	347.0	775.0	71.0	36.0	-
предоставление услуг по ведению домашнего хозяйства	424.0	424.0						-
деятельность экстерриториальных организаций	143.0	143.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	4628.0	4344.0	284.0	61.0	169.0	36.0	18.0	-
Чувашская Республика								
Все население, занятое в экономике	548915.0	521287.0	27627.0	7004.0	18376.0	1540.0	707.0	1.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	86622.0	84797.0	1825.0	207.0	1083.0	513.0	22.0	-
рыболовство, рыбоводство	259.0	219.0	40.0	8.0	26.0	6.0	-	-
добыча полезных ископаемых	2082.0	2065.0	17.0	4.0	13.0	-	-	-
обрабатывающие производства	128241.0	125813.0	2427.0	755.0	1451.0	117.0	104.0	1.0
производство и распределение электроэнергии, газа и воды	10907.0	10772.0	135.0	8.0	107.0	14.0	6.0	-
строительство	51370.0	48877.0	2493.0	626.0	1494.0	250.0	123.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	65605.0	49529.0	16076.0	4364.0	11026.0	364.0	322.0	-
гостиницы и рестораны	14266.0	13912.0	354.0	150.0	177.0	20.0	7.0	-
транспорт и связь	35321.0	33550.0	1771.0	297.0	1396.0	59.0	19.0	-
финансовая деятельность	5840.0	5731.0	109.0	45.0	57.0	7.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	14612.0	13674.0	938.0	275.0	590.0	40.0	33.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	26848.0	26848.0						-
образование	48857.0	48471.0	386.0	33.0	299.0	28.0	26.0	-
здравоохранение и предоставление социальных услуг	38287.0	37910.0	377.0	55.0	254.0	49.0	19.0	-
предоставление прочих коммунальных, социальных и персональных услуг	18359.0	17769.0	590.0	166.0	359.0	53.0	12.0	-
предоставление услуг по ведению домашнего хозяйства	128.0	128.0						-
деятельность экстерриториальных организаций	20.0	20.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	1291.0	1202.0	89.0	11.0	44.0	20.0	14.0	-
Кировская область								
Все население, занятое в экономике	667050.0	634517.0	32531.0	8760.0	20708.0	2565.0	498.0	2.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	102696.0	98816.0	3880.0	577.0	1435.0	1810.0	58.0	-
рыболовство, рыбоводство	106.0	90.0	16.0	4.0	12.0	-	-	-
добыча полезных ископаемых	3757.0	3740.0	17.0	4.0	13.0	-	-	-
обрабатывающие производства	150062.0	146696.0	3364.0	1343.0	1839.0	122.0	60.0	2.0
производство и распределение электроэнергии, газа и воды	14572.0	14527.0	45.0	-	39.0	-	6.0	-
строительство	33786.0	32400.0	1386.0	458.0	831.0	49.0	48.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	84370.0	67435.0	16935.0	4974.0	11454.0	301.0	206.0	-
гостиницы и рестораны	14731.0	14254.0	477.0	209.0	232.0	29.0	7.0	-
транспорт и связь	49949.0	47102.0	2847.0	461.0	2271.0	70.0	45.0	-
финансовая деятельность	6855.0	6776.0	79.0	11.0	56.0	5.0	7.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	23369.0	22314.0	1055.0	332.0	658.0	44.0	21.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	44612.0	44612.0						-
образование	61239.0	60874.0	365.0	35.0	286.0	33.0	11.0	-
здравоохранение и предоставление социальных услуг	51805.0	51349.0	456.0	78.0	339.0	33.0	6.0	-
предоставление прочих коммунальных, социальных и персональных услуг	20307.0	19045.0	1262.0	174.0	1017.0	59.0	12.0	-
предоставление услуг по ведению домашнего хозяйства	197.0	197.0						-
деятельность экстерриториальных организаций	36.0	36.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	4601.0	4254.0	347.0	100.0	226.0	10.0	11.0	-
Нижегородская область								
Все население, занятое в экономике	1570198.0	1504497.0	65691.0	22477.0	36237.0	4738.0	2239.0	10.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	106919.0	104487.0	2430.0	586.0	1405.0	280.0	159.0	2.0
рыболовство, рыбоводство	369.0	334.0	35.0	12.0	10.0	7.0	6.0	-
добыча полезных ископаемых	2021.0	2016.0	5.0	-	5.0	-	-	-
обрабатывающие производства	486189.0	478715.0	7471.0	2564.0	3903.0	672.0	332.0	3.0
производство и распределение электроэнергии, газа и воды	31733.0	31271.0	462.0	94.0	259.0	83.0	26.0	-
строительство	94892.0	90437.0	4455.0	1777.0	2014.0	470.0	194.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	210697.0	174573.0	36124.0	13675.0	19991.0	1628.0	830.0	-
гостиницы и рестораны	36512.0	35169.0	1343.0	722.0	478.0	97.0	46.0	-
транспорт и связь	128899.0	123361.0	5538.0	1254.0	3636.0	390.0	258.0	-
финансовая деятельность	20123.0	19775.0	348.0	119.0	183.0	46.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	97458.0	94589.0	2869.0	893.0	1615.0	250.0	111.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	92454.0	92454.0						-
образование	114809.0	113631.0	1178.0	85.0	765.0	219.0	109.0	-
здравоохранение и предоставление социальных услуг	100526.0	99248.0	1278.0	162.0	840.0	218.0	58.0	-
предоставление прочих коммунальных, социальных и персональных услуг	42165.0	40286.0	1879.0	498.0	1034.0	252.0	95.0	-
предоставление услуг по ведению домашнего хозяйства	474.0	474.0						-
деятельность экстерриториальных организаций	32.0	32.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	3926.0	3645.0	276.0	36.0	99.0	126.0	15.0	5.0
Оренбургская область								
Все население, занятое в экономике	877206.0	829483.0	47691.0	13626.0	30588.0	2107.0	1370.0	32.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	123178.0	117476.0	5689.0	1452.0	3729.0	323.0	185.0	13.0
рыболовство, рыбоводство	308.0	260.0	48.0	4.0	35.0	5.0	4.0	-
добыча полезных ископаемых	46494.0	46018.0	473.0	88.0	344.0	32.0	9.0	3.0
обрабатывающие производства	132380.0	129210.0	3169.0	1002.0	1832.0	215.0	120.0	1.0
производство и распределение электроэнергии, газа и воды	28530.0	28140.0	388.0	92.0	237.0	48.0	11.0	2.0
строительство	48484.0	45661.0	2821.0	952.0	1583.0	148.0	138.0	2.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	99942.0	74468.0	25473.0	8060.0	16235.0	623.0	555.0	1.0
гостиницы и рестораны	16721.0	15985.0	736.0	309.0	365.0	57.0	5.0	-
транспорт и связь	85740.0	81687.0	4049.0	694.0	3060.0	161.0	134.0	4.0
финансовая деятельность	9987.0	9754.0	233.0	62.0	152.0	13.0	6.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	37757.0	36328.0	1426.0	376.0	886.0	131.0	33.0	3.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	59983.0	59982.0						1.0
образование	87704.0	86793.0	910.0	81.0	667.0	121.0	41.0	1.0
здравоохранение и предоставление социальных услуг	73661.0	72773.0	887.0	92.0	640.0	113.0	42.0	1.0
предоставление прочих коммунальных, социальных и персональных услуг	24046.0	22870.0	1176.0	304.0	715.0	107.0	50.0	-
предоставление услуг по ведению домашнего хозяйства	213.0	213.0						-
не распределенные по видам деятельности и неточно указавшие вид деятельности	2078.0	1865.0	213.0	58.0	108.0	10.0	37.0	-
Пензенская область								
Все население, занятое в экономике	561906.0	529892.0	31966.0	9190.0	20742.0	1503.0	531.0	48.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	72446.0	70383.0	2060.0	471.0	1405.0	131.0	53.0	3.0
рыболовство, рыбоводство	95.0	82.0	13.0	8.0	5.0	-	-	-
добыча полезных ископаемых	1714.0	1699.0	15.0	4.0	5.0	6.0	-	-
обрабатывающие производства	128827.0	125313.0	3514.0	1218.0	2012.0	187.0	97.0	-
производство и распределение электроэнергии, газа и воды	11957.0	11806.0	151.0	23.0	107.0	21.0	-	-
строительство	34156.0	32620.0	1526.0	474.0	892.0	139.0	21.0	10.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	74762.0	57471.0	17287.0	5536.0	11227.0	324.0	200.0	4.0
гостиницы и рестораны	11297.0	10799.0	498.0	238.0	228.0	16.0	16.0	-
транспорт и связь	45848.0	42915.0	2912.0	496.0	2210.0	150.0	56.0	21.0
финансовая деятельность	7415.0	7281.0	134.0	35.0	93.0	-	6.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	16974.0	16062.0	912.0	251.0	596.0	44.0	21.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	33821.0	33821.0						-
образование	53354.0	52563.0	781.0	59.0	479.0	228.0	15.0	10.0
здравоохранение и предоставление социальных услуг	43661.0	42871.0	790.0	121.0	524.0	134.0	11.0	-
предоставление прочих коммунальных, социальных и персональных услуг	24191.0	22996.0	1195.0	233.0	833.0	110.0	19.0	-
предоставление услуг по ведению домашнего хозяйства	81.0	81.0						-
деятельность экстерриториальных организаций	20.0	20.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	1287.0	1109.0	178.0	23.0	126.0	13.0	16.0	-
Пермская область								
Все население, занятое в экономике	1213888.0	1155296.0	58439.0	19374.0	32858.0	3837.0	2370.0	153.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	94941.0	90886.0	4045.0	824.0	1763.0	1294.0	164.0	10.0
рыболовство, рыбоводство	288.0	254.0	34.0	8.0	21.0	5.0	-	-
добыча полезных ископаемых	24249.0	24130.0	119.0	33.0	73.0	9.0	4.0	-
обрабатывающие производства	294307.0	289109.0	5152.0	1924.0	2734.0	263.0	231.0	46.0
производство и распределение электроэнергии, газа и воды	30821.0	30503.0	300.0	59.0	194.0	37.0	10.0	18.0
строительство	81138.0	76443.0	4683.0	1820.0	2387.0	233.0	243.0	12.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	146607.0	117508.0	29094.0	11002.0	16150.0	929.0	1013.0	5.0
гостиницы и рестораны	28397.0	27160.0	1232.0	594.0	540.0	62.0	36.0	5.0
транспорт и связь	104135.0	99420.0	4714.0	970.0	3291.0	291.0	162.0	1.0
финансовая деятельность	14314.0	13976.0	338.0	103.0	198.0	10.0	27.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	45577.0	43021.0	2555.0	749.0	1533.0	134.0	139.0	1.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	68387.0	68386.0						1.0
образование	119014.0	117867.0	1133.0	133.0	791.0	137.0	72.0	14.0
здравоохранение и предоставление социальных услуг	90637.0	89368.0	1254.0	241.0	843.0	105.0	65.0	15.0
предоставление прочих коммунальных, социальных и персональных услуг	56714.0	53938.0	2756.0	653.0	1748.0	213.0	142.0	20.0
предоставление услуг по ведению домашнего хозяйства	333.0	333.0						-
деятельность экстерриториальных организаций	47.0	47.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	13982.0	12947.0	1030.0	261.0	592.0	115.0	62.0	5.0
Коми–Пермяцкий автономный округ								
Все население, занятое в экономике	45469.0	44211.0	1258.0	411.0	729.0	66.0	52.0	-
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	12106.0	11917.0	189.0	74.0	57.0	43.0	15.0	-
рыболовство, рыбоводство	15.0	15.0	-	-	-	-	-	-
добыча полезных ископаемых	18.0	18.0	-	-	-	-	-	-
обрабатывающие производства	2245.0	2196.0	49.0	12.0	29.0	5.0	3.0	-
производство и распределение электроэнергии, газа и воды	885.0	884.0	1.0	1.0	-	-	-	-
строительство	2081.0	2050.0	31.0	11.0	17.0	1.0	2.0	-
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	4835.0	4050.0	785.0	272.0	478.0	10.0	25.0	-
гостиницы и рестораны	573.0	568.0	5.0	1.0	4.0	-	-	-
транспорт и связь	2383.0	2236.0	147.0	28.0	111.0	5.0	3.0	-
финансовая деятельность	502.0	500.0	2.0	-	1.0	1.0	-	-
операции с недвижимым имуществом, аренда и предоставление услуг	493.0	485.0	8.0	1.0	7.0	-	-	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	4404.0	4404.0						-
образование	7798.0	7793.0	5.0	2.0	3.0	-	-	-
здравоохранение и предоставление социальных услуг	5071.0	5065.0	6.0	1.0	3.0	-	2.0	-
предоставление прочих коммунальных, социальных и персональных услуг	1960.0	1936.0	24.0	7.0	16.0	1.0	-	-
предоставление услуг по ведению домашнего хозяйства	6.0	6.0						-
не распределенные по видам деятельности и неточно указавшие вид деятельности	94.0	88.0	6.0	1.0	3.0	-	2.0	-
Самарская область								
Все население, занятое в экономике	1456616.0	1381173.0	75364.0	22148.0	43060.0	6815.0	3341.0	79.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	74843.0	71402.0	3438.0	667.0	2034.0	532.0	205.0	3.0
рыболовство, рыбоводство	714.0	662.0	52.0	-	38.0	10.0	4.0	-
добыча полезных ископаемых	25136.0	24902.0	234.0	32.0	133.0	44.0	25.0	-
обрабатывающие производства	404000.0	393874.0	10117.0	2599.0	6017.0	1064.0	437.0	9.0
производство и распределение электроэнергии, газа и воды	31116.0	30520.0	596.0	85.0	371.0	88.0	52.0	-
строительство	101378.0	95218.0	6149.0	2298.0	3111.0	491.0	249.0	11.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	193520.0	160123.0	33388.0	11685.0	18809.0	1727.0	1167.0	9.0
гостиницы и рестораны	32290.0	30603.0	1683.0	652.0	762.0	211.0	58.0	4.0
транспорт и связь	139053.0	132638.0	6408.0	1105.0	4399.0	528.0	376.0	7.0
финансовая деятельность	19425.0	18903.0	522.0	193.0	228.0	69.0	32.0	-
операции с недвижимым имуществом, аренда и предоставление услуг	76869.0	73068.0	3801.0	1245.0	1959.0	401.0	196.0	-
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	74442.0	74442.0						-
образование	108379.0	106150.0	2229.0	246.0	1421.0	388.0	174.0	-
здравоохранение и предоставление социальных услуг	95393.0	93237.0	2156.0	294.0	1416.0	355.0	91.0	-
предоставление прочих коммунальных, социальных и персональных услуг	54098.0	51235.0	2859.0	733.0	1647.0	346.0	133.0	4.0
предоставление услуг по ведению домашнего хозяйства	500.0	500.0						-
деятельность экстерриториальных организаций	48.0	43.0	5.0			5.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	25412.0	23653.0	1727.0	314.0	715.0	556.0	142.0	32.0
Саратовская область								
Все население, занятое в экономике	1050813.0	991653.0	58918.0	17258.0	34164.0	5409.0	2087.0	242.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	113532.0	105908.0	7580.0	1833.0	4038.0	1442.0	267.0	44.0
рыболовство, рыбоводство	800.0	666.0	134.0	4.0	118.0	12.0	-	-
добыча полезных ископаемых	11490.0	11352.0	130.0	27.0	70.0	12.0	21.0	8.0
обрабатывающие производства	199461.0	194311.0	5112.0	1637.0	2678.0	595.0	202.0	38.0
производство и распределение электроэнергии, газа и воды	31911.0	31509.0	394.0	72.0	231.0	80.0	11.0	8.0
строительство	69963.0	66624.0	3339.0	1112.0	1709.0	388.0	130.0	-
