11. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ  ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
								
	Всего	в том числе по положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
Центральный федеральный округ								
операции с недвижимым имуществом, аренда и предоставление услуг	22771.0	21511.0	1232.0	325.0	804.0	98.0	5.0	28.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	31541.0	31541.0						-
образование	37280.0	36785.0	439.0	40.0	304.0	58.0	37.0	56.0
здравоохранение и предоставление социальных услуг	32769.0	32232.0	508.0	71.0	354.0	78.0	5.0	29.0
предоставление прочих коммунальных, социальных и персональных услуг	15800.0	15073.0	708.0	165.0	462.0	66.0	15.0	19.0
предоставление услуг по ведению домашнего хозяйства	79.0	79.0						-
деятельность экстерриториальных организаций	16.0	16.0	-			-	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	13423.0	12234.0	1121.0	269.0	624.0	172.0	56.0	68.0
Калужская область								
Все население, занятое в экономике	461716.0	439136.0	22248.0	6836.0	13761.0	1238.0	413.0	332.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	31445.0	30678.0	755.0	178.0	501.0	60.0	16.0	12.0
рыболовство, рыбоводство	112.0	107.0	5.0	-	5.0	-	-	-
добыча полезных ископаемых	2087.0	2082.0	5.0	-	5.0	-	-	-
обрабатывающие производства	120342.0	118457.0	1797.0	728.0	932.0	124.0	13.0	88.0
производство и распределение электроэнергии, газа и воды	10481.0	10427.0	50.0	8.0	26.0	7.0	9.0	4.0
строительство	35131.0	33651.0	1459.0	444.0	883.0	106.0	26.0	21.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	62326.0	49687.0	12585.0	4296.0	7751.0	316.0	222.0	54.0
гостиницы и рестораны	7932.0	7579.0	337.0	202.0	100.0	20.0	15.0	16.0
транспорт и связь	36354.0	34161.0	2156.0	373.0	1615.0	129.0	39.0	37.0
финансовая деятельность	5590.0	5512.0	74.0	24.0	50.0	-	-	4.0
операции с недвижимым имуществом, аренда и предоставление услуг	30824.0	29901.0	886.0	226.0	493.0	134.0	33.0	37.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	33622.0	33622.0						-
