8. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И ПОЛОЖЕНИЮ В ЗАНЯТИИ								
								
								
	Всего	в том числе по положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	288158.0	285407.0	2673.0	220.0	1533.0	751.0	169.0	78.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	1433647.0	1327537.0	105609.0	10699.0	85304.0	5503.0	4103.0	501.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	897042.0	789950.0	106846.0	18645.0	74830.0	10307.0	3064.0	246.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	1564033.0	1518764.0	44730.0	3997.0	32719.0	5815.0	2199.0	539.0
операторы, аппаратчики, машинисты установок и машин	2425370.0	2352336.0	72292.0	5194.0	49210.0	14414.0	3474.0	742.0
неквалифицированные рабочие	1961649.0	1921111.0	39983.0	2603.0	22458.0	12633.0	2289.0	555.0
занятые на военной службе	116612.0	116609.0						3.0
лица, неточно указавшие или не указавшие занятия 	155149.0	146635.0	8041.0	1167.0	4649.0	1519.0	706.0	473.0
Мужчины, занятые в экономике 	6808291.0	6448577.0	357457.0	78001.0	224570.0	41277.0	13609.0	2257.0
в том числе по группам занятий:								
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	531601.0	441837.0	89613.0	44917.0	38905.0	3452.0	2339.0	151.0
специалисты высшего уровня квалификации	401785.0	393858.0	7812.0	984.0	4699.0	1621.0	508.0	115.0
специалисты среднего уровня квалификации	402902.0	394638.0	8147.0	1649.0	4752.0	1276.0	470.0	117.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	29507.0	28875.0	629.0	80.0	390.0	144.0	15.0	3.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	387873.0	351666.0	36056.0	3407.0	29795.0	1692.0	1162.0	151.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	394716.0	317030.0	77582.0	15979.0	54450.0	5037.0	2116.0	104.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	1272739.0	1236188.0	36145.0	3326.0	25954.0	5011.0	1854.0	406.0
операторы, аппаратчики, машинисты установок и машин	2246542.0	2175337.0	70530.0	5021.0	48099.0	14096.0	3314.0	675.0
неквалифицированные рабочие	958913.0	932965.0	25682.0	1859.0	14515.0	7893.0	1415.0	266.0
занятые на военной службе	92603.0	92601.0						2.0
лица, неточно указавшие или не указавшие занятия 	89110.0	83582.0	5261.0	779.0	3011.0	1055.0	416.0	267.0
Женщины, занятые в экономике 	5855551.0	5652099.0	201391.0	39105.0	131481.0	21868.0	8937.0	2061.0
в том числе по группам занятий:								
