7. ГРУППИРОВКА РАЙОНОВ (КРОМЕ ГОРОДСКИХ) ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ                                                                                                       ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
	Всего    районов	из них с числом жителей				
		20000 и менее	20001-30000	30001-40000	40001-50000	более 50000
численность населения	1523894.0	-	106706.0	143221.0	132801.0	1141166.0
мужчины	723988.0	-	51077.0	67713.0	62695.0	542503.0
женщины	799906.0	-	55629.0	75508.0	70106.0	598663.0
Астраханская область						
Число районов	11.0	-	2.0	4.0	5.0	-
численность населения	423043.0	-	48918.0	143487.0	230638.0	-
мужчины	203017.0	-	23677.0	68649.0	110691.0	-
женщины	220026.0	-	25241.0	74838.0	119947.0	-
Волгоградская область						
Число районов	33.0	9.0	7.0	10.0	4.0	3.0
численность населения	1055140.0	167998.0	178678.0	352035.0	181552.0	174877.0
мужчины	499193.0	79067.0	84751.0	166243.0	85411.0	83721.0
женщины	555947.0	88931.0	93927.0	185792.0	96141.0	91156.0
Ростовская область						
Число районов	43.0	6.0	8.0	16.0	6.0	7.0
численность населения	1646136.0	94319.0	204177.0	565261.0	266860.0	515519.0
мужчины	779963.0	44748.0	96854.0	265853.0	126015.0	246493.0
женщины	866173.0	49571.0	107323.0	299408.0	140845.0	269026.0
Приволжский федеральный округ						
Число районов	448.0	162.0	147.0	80.0	36.0	23.0
численность населения	11758047.0	2480245.0	3635450.0	2685394.0	1590953.0	1366005.0
мужчины	5566863.0	1171357.0	1715020.0	1272679.0	749856.0	657951.0
женщины	6191184.0	1308888.0	1920430.0	1412715.0	841097.0	708054.0
Республика Башкортостан						
Число районов	54.0	9.0	23.0	15.0	4.0	3.0
численность населения	1610628.0	164865.0	593894.0	507004.0	181266.0	163599.0
мужчины	774181.0	79311.0	285432.0	244129.0	87137.0	78172.0
женщины	836447.0	85554.0	308462.0	262875.0	94129.0	85427.0
Республика Марий Эл						
Число районов	14.0	6.0	4.0	2.0	1.0	1.0
численность населения	365076.0	94049.0	104066.0	66846.0	46267.0	53848.0
мужчины	173654.0	44551.0	49648.0	32205.0	21893.0	25357.0
женщины	191422.0	49498.0	54418.0	34641.0	24374.0	28491.0
Республика Мордовия						
Число районов	22.0	11.0	7.0	3.0	-	1.0
численность населения	484813.0	153412.0	166358.0	99308.0	-	65735.0
мужчины	227456.0	71039.0	75660.0	45692.0	-	35065.0
женщины	257357.0	82373.0	90698.0	53616.0	-	30670.0
Республика Татарстан						
Число районов	43.0	9.0	17.0	11.0	3.0	3.0
численность населения	1241770.0	138717.0	429344.0	371402.0	135022.0	167285.0
мужчины	589555.0	65609.0	203819.0	176614.0	63883.0	79630.0
женщины	652215.0	73108.0	225525.0	194788.0	71139.0	87655.0
Удмуртская Республика						
Число районов	25.0	11.0	8.0	3.0	2.0	1.0
численность населения	587581.0	159133.0	185356.0	100359.0	83588.0	59145.0
мужчины	282196.0	75470.0	88321.0	48640.0	40070.0	29695.0
женщины	305385.0	83663.0	97035.0	51719.0	43518.0	29450.0
Чувашская Республика						
Число районов	21.0	5.0	9.0	3.0	3.0	1.0
численность населения	605330.0	83717.0	226711.0	110327.0	125809.0	58766.0
мужчины	286773.0	39634.0	106772.0	51800.0	60557.0	28010.0
женщины	318557.0	44083.0	119939.0	58527.0	65252.0	30756.0
Кировская область						
Число районов	39.0	22.0	8.0	8.0	-	1.0
численность населения	795122.0	285993.0	186066.0	271657.0	-	51406.0
мужчины	375748.0	134676.0	86813.0	128937.0	-	25322.0
женщины	419374.0	151317.0	99253.0	142720.0	-	26084.0
Нижегородская область						
Число районов	48.0	18.0	15.0	6.0	5.0	4.0
численность населения	1315381.0	280598.0	370481.0	198650.0	224459.0	241193.0
мужчины	609091.0	131528.0	170930.0	90692.0	101625.0	114316.0
женщины	706290.0	149070.0	199551.0	107958.0	122834.0	126877.0
Оренбургская область						
Число районов	35.0	11.0	15.0	6.0	2.0	1.0
численность населения	893723.0	176487.0	372415.0	196052.0	83639.0	65130.0
мужчины	430867.0	83848.0	178632.0	93524.0	43538.0	31325.0
женщины	462856.0	92639.0	193783.0	102528.0	40101.0	33805.0
Пензенская область						
Число районов	28.0	13.0	6.0	4.0	4.0	1.0
численность населения	700192.0	198246.0	142859.0	134745.0	171217.0	53125.0
мужчины	323205.0	91917.0	65915.0	61524.0	79281.0	24568.0
женщины	376987.0	106329.0	76944.0	73221.0	91936.0	28557.0
Пермская область						
Число районов	33.0	15.0	8.0	5.0	3.0	2.0
численность населения	877701.0	225096.0	202232.0	166882.0	138069.0	145422.0
мужчины	420992.0	108817.0	95678.0	83155.0	64617.0	68725.0
женщины	456709.0	116279.0	106554.0	83727.0	73452.0	76697.0
Коми-Пермяцкий автономный округ						
Число районов	6.0	4.0	2.0	-	-	-
численность населения	104162.0	50910.0	53252.0	-	-	-
мужчины	50705.0	25146.0	25559.0	-	-	-
женщины	53457.0	25764.0	27693.0	-	-	-
Самарская область						
Число районов	27.0	11.0	7.0	3.0	4.0	2.0
численность населения	749338.0	172658.0	164486.0	92910.0	186636.0	132648.0
мужчины	356528.0	81677.0	77286.0	43754.0	87329.0	66482.0
женщины	392810.0	90981.0	87200.0	49156.0	99307.0	66166.0
Саратовская область						
Число районов	38.0	16.0	11.0	8.0	2.0	1.0
численность населения	955852.0	268930.0	268975.0	276849.0	90761.0	50337.0
мужчины	450066.0	126759.0	127834.0	129506.0	42509.0	23458.0
женщины	505786.0	142171.0	141141.0	147343.0	48252.0	26879.0
Ульяновская область						
Число районов	21.0	5.0	9.0	3.0	3.0	1.0
численность населения	575540.0	78344.0	222207.0	92403.0	124220.0	58366.0
мужчины	266551.0	36521.0	102280.0	42507.0	57417.0	27826.0
женщины	308989.0	41823.0	119927.0	49896.0	66803.0	30540.0
Уральский федеральный округ						
Число районов	116.0	36.0	42.0	22.0	9.0	7.0
численность населения	3184399.0	489477.0	1044972.0	748072.0	392676.0	509202.0
мужчины	1527511.0	237658.0	499099.0	352864.0	190240.0	247650.0
женщины	1656888.0	251819.0	545873.0	395208.0	202436.0	261552.0
Курганская область						
Число районов	24.0	7.0	11.0	5.0	-	1.0
численность населения	593152.0	100984.0	261092.0	174588.0	-	56488.0
мужчины	279032.0	47854.0	121860.0	80619.0	-	28699.0
женщины	314120.0	53130.0	139232.0	93969.0	-	27789.0
Свердловская область						
Число районов	30.0	11.0	9.0	5.0	2.0	3.0
численность населения	829949.0	143148.0	238088.0	170431.0	84010.0	194272.0
мужчины	396725.0	71051.0	115896.0	80104.0	39528.0	90146.0
женщины	433224.0	72097.0	122192.0	90327.0	44482.0	104126.0
Тюменская область						
Число районов	38.0	16.0	14.0	3.0	3.0	2.0
численность населения	997288.0	212651.0	343805.0	103219.0	137741.0	199872.0
мужчины	492154.0	103605.0	166307.0	51160.0	69935.0	101147.0
женщины	505134.0	109046.0	177498.0	52059.0	67806.0	98725.0
Ханты-Мансийский автономный округ – Югра						
Число районов	9.0	2.0	2.0	2.0	2.0	1.0
численность населения	348185.0	26508.0	56453.0	68526.0	90074.0	106624.0
мужчины	177314.0	13342.0	27653.0	34584.0	44983.0	56752.0
женщины	170871.0	13166.0	28800.0	33942.0	45091.0	49872.0
Ямало-Ненецкий автономный округ						
Число районов	7.0	5.0	1.0	-	1.0	-
численность населения	125278.0	54141.0	23470.0	-	47667.0	-
мужчины	63843.0	26827.0	12064.0	-	24952.0	-
женщины	61435.0	27314.0	11406.0	-	22715.0	-
Челябинская область						
Число районов	24.0	2.0	8.0	9.0	4.0	1.0
численность населения	764010.0	32694.0	201987.0	299834.0	170925.0	58570.0
мужчины	359600.0	15148.0	95036.0	140981.0	80777.0	27658.0
женщины	404410.0	17546.0	106951.0	158853.0	90148.0	30912.0
Сибирский федеральный округ						
Число районов	325.0	161.0	94.0	37.0	14.0	19.0
численность населения	7616633.0	2181613.0	2311532.0	1294394.0	628256.0	1200838.0
мужчины	3658952.0	1051798.0	1108600.0	620834.0	300999.0	576721.0
женщины	3957681.0	1129815.0	1202932.0	673560.0	327257.0	624117.0
Республика Алтай						
Число районов	10.0	9.0	1.0	-	-	-
численность населения	149409.0	123103.0	26306.0	-	-	-
мужчины	72576.0	59441.0	13135.0	-	-	-
женщины	76833.0	63662.0	13171.0	-	-	-
Республика Бурятия						
Число районов	21.0	9.0	7.0	1.0	1.0	3.0
численность населения	568924.0	137428.0	191222.0	32449.0	40673.0	167152.0
мужчины	276654.0	66902.0	92303.0	16076.0	20454.0	80919.0
женщины	292270.0	70526.0	98919.0	16373.0	20219.0	86233.0
Республика Тыва						
Число районов	17.0	15.0	2.0	-	-	-
численность населения	188440.0	144401.0	44039.0	-	-	-
мужчины	90796.0	69745.0	21051.0	-	-	-
женщины	97644.0	74656.0	22988.0	-	-	-
Республика Хакасия						
Число районов	8.0	2.0	2.0	2.0	1.0	1.0
численность населения	239760.0	32065.0	44994.0	66406.0	43601.0	52694.0
мужчины	113168.0	15114.0	21335.0	31480.0	20739.0	24500.0
женщины	126592.0	16951.0	23659.0	34926.0	22862.0	28194.0
Алтайский край						
Число районов	60.0	33.0	19.0	5.0	3.0	-
численность населения	1250892.0	487264.0	454940.0	171439.0	137249.0	-
мужчины	592804.0	232203.0	214975.0	81260.0	64366.0	-
женщины	658088.0	255061.0	239965.0	90179.0	72883.0	-
Красноярский край						
Число районов	48.0	28.0	12.0	5.0	1.0	2.0
численность населения	983905.0	356086.0	298200.0	181587.0	45656.0	102376.0
мужчины	476066.0	171830.0	143756.0	86169.0	23702.0	50609.0
женщины	507839.0	184256.0	154444.0	95418.0	21954.0	51767.0
Таймырский (Долгано-Ненецкий) автономный округ						
Число районов	3.0	3.0	-	-	-	-
численность населения	12344.0	12344.0	-	-	-	-
мужчины	6295.0	6295.0	-	-	-	-
женщины	6049.0	6049.0	-	-	-	-
Эвенкийский автономный округ						
Число районов	3.0	3.0	-	-	-	-
численность населения	17697.0	17697.0	-	-	-	-
мужчины	8878.0	8878.0	-	-	-	-
женщины	8819.0	8819.0	-	-	-	-
Иркутская область						
Число районов	33.0	13.0	9.0	5.0	2.0	4.0
численность населения	865435.0	149003.0	220495.0	170691.0	85868.0	239378.0
мужчины	420341.0	72405.0	106553.0	84924.0	40115.0	116344.0
женщины	445094.0	76598.0	113942.0	85767.0	45753.0	123034.0
Усть-Ордынский Бурятский автономный округ						
Число районов	6.0	2.0	4.0	-	-	-
численность населения	135327.0	30939.0	104388.0	-	-	-
мужчины	65007.0	14956.0	50051.0	-	-	-
женщины	70320.0	15983.0	54337.0	-	-	-
Кемеровская область						
Число районов	19.0	6.0	5.0	6.0	-	2.0
численность населения	526654.0	86421.0	131715.0	207581.0	-	100937.0
мужчины	253011.0	41857.0	63443.0	99491.0	-	48220.0
женщины	273643.0	44564.0	68272.0	108090.0	-	52717.0
Новосибирская область						
Число районов	30.0	10.0	8.0	5.0	3.0	4.0
численность населения	983575.0	171569.0	197097.0	182761.0	136207.0	295941.0
мужчины	468268.0	83030.0	94381.0	86120.0	64040.0	140697.0
женщины	515307.0	88539.0	102716.0	96641.0	72167.0	155244.0
Омская область						
Число районов	32.0	11.0	15.0	4.0	1.0	1.0
численность населения	819575.0	178606.0	363309.0	141286.0	42123.0	94251.0
мужчины	389255.0	85511.0	172792.0	66688.0	19991.0	44273.0
женщины	430320.0	93095.0	190517.0	74598.0	22132.0	49978.0
Томская область						
Число районов	16.0	11.0	4.0	-	-	1.0
численность населения	337339.0	160302.0	91149.0	-	-	85888.0
мужчины	162157.0	77485.0	44027.0	-	-	40645.0
женщины	175182.0	82817.0	47122.0	-	-	45243.0
Читинская область						
Число районов	31.0	14.0	10.0	4.0	2.0	1.0
численность населения	702725.0	155365.0	248066.0	140194.0	96879.0	62221.0
мужчины	343856.0	76275.0	120849.0	68626.0	47592.0	30514.0
женщины	358869.0	79090.0	127217.0	71568.0	49287.0	31707.0
Агинский Бурятский автономный округ						
Число районов	3.0	1.0	2.0	-	-	-
численность населения	72213.0	15316.0	56897.0	-	-	-
мужчины	35127.0	7416.0	27711.0	-	-	-
женщины	37086.0	7900.0	29186.0	-	-	-
Дальневосточный федеральный округ						
Число районов	143.0	91.0	32.0	14.0	4.0	2.0
численность населения	2557132.0	935476.0	809277.0	491822.0	177810.0	142747.0
мужчины	1284470.0	471404.0	403781.0	245964.0	89158.0	74163.0
женщины	1272662.0	464072.0	405496.0	245858.0	88652.0	68584.0
Республика Саха (Якутия)						
Число районов	33.0	22.0	7.0	2.0	2.0	-
численность населения	552823.0	217426.0	169062.0	70957.0	95378.0	-
мужчины	275655.0	108806.0	83781.0	34840.0	48228.0	-
женщины	277168.0	108620.0	85281.0	36117.0	47150.0	-
Приморский край						
Число районов	24.0	7.0	9.0	7.0	1.0	-
численность населения	632666.0	102522.0	240685.0	249262.0	40197.0	-
мужчины	315555.0	51430.0	121057.0	123765.0	19303.0	-
женщины	317111.0	51092.0	119628.0	125497.0	20894.0	-
Хабаровский край						
Число районов	17.0	8.0	3.0	3.0	1.0	2.0
численность населения	446058.0	83175.0	77082.0	100819.0	42235.0	142747.0
мужчины	226350.0	41624.0	38206.0	50730.0	21627.0	74163.0
женщины	219708.0	41551.0	38876.0	50089.0	20608.0	68584.0
Амурская область						
Число районов	20.0	9.0	10.0	1.0	-	-
численность населения	410397.0	128803.0	247325.0	34269.0	-	-
мужчины	203752.0	63281.0	122995.0	17476.0	-	-
женщины	206645.0	65522.0	124330.0	16793.0	-	-
Камчатская область						
Число районов	11.0	10.0	1.0	-	-	-
численность населения	93443.0	69357.0	24086.0	-	-	-
мужчины	47835.0	35711.0	12124.0	-	-	-
женщины	45608.0	33646.0	11962.0	-	-	-
Корякский автономный округ						
Число районов	4.0	4.0	-	-	-	-
численность населения	25157.0	25157.0	-	-	-	-
мужчины	12822.0	12822.0	-	-	-	-
женщины	12335.0	12335.0	-	-	-	-
Магаданская область						
Число районов	8.0	8.0	-	-	-	-
численность населения	76301.0	76301.0	-	-	-	-
мужчины	39231.0	39231.0	-	-	-	-
женщины	37070.0	37070.0	-	-	-	-
Сахалинская область						
Число районов	17.0	17.0	-	-	-	-
численность населения	188993.0	188993.0	-	-	-	-
мужчины	95532.0	95532.0	-	-	-	-
женщины	93461.0	93461.0	-	-	-	-
Еврейская автономная область						
Число районов	5.0	2.0	2.0	1.0	-	-
численность населения	113665.0	26113.0	51037.0	36515.0	-	-
мужчины	57646.0	12875.0	25618.0	19153.0	-	-
женщины	56019.0	13238.0	25419.0	17362.0	-	-
Чукотский автономный округ						
Число районов	8.0	8.0	-	-	-	-
численность населения	42786.0	42786.0	-	-	-	-
мужчины	22914.0	22914.0	-	-	-	-
женщины	19872.0	19872.0	-	-	-	-
