8. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ								
								
								
	Всего	в том числе по положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
операции с недвижимым имуществом, аренда и предоставление услуг	328543.0	321397.0	6992.0	1234.0	4725.0	584.0	449.0	154.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	792033.0	792026.0						7.0
образование	1463670.0	1454555.0	8661.0	328.0	5817.0	1342.0	1174.0	454.0
здравоохранение и предоставление социальных услуг	928224.0	920588.0	7359.0	648.0	4938.0	1028.0	745.0	277.0
предоставление прочих коммунальных, социальных и персональных услуг	467983.0	456835.0	10960.0	1324.0	7675.0	1284.0	677.0	188.0
предоставление услуг по ведению домашнего хозяйства	3545.0	3545.0						-
деятельность экстерриториальных организаций	933.0	914.0	19.0			19.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	119030.0	111561.0	6940.0	1170.0	3850.0	1280.0	640.0	529.0
Мужчины, занятые в экономике	6808291.0	6448577.0	357457.0	78001.0	224570.0	41277.0	13609.0	2257.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	2830701.0	2671431.0	158507.0	28884.0	95553.0	28631.0	5439.0	763.0
рыболовство, рыбоводство	35522.0	32959.0	2561.0	376.0	1819.0	267.0	99.0	2.0
добыча полезных ископаемых	140011.0	138896.0	1092.0	265.0	608.0	91.0	128.0	23.0
обрабатывающие производства	652130.0	632116.0	19814.0	6415.0	11113.0	1456.0	830.0	200.0
производство и распределение электроэнергии, газа и воды	188085.0	186620.0	1437.0	193.0	950.0	175.0	119.0	28.0
строительство	518166.0	493901.0	24064.0	4541.0	15529.0	2693.0	1301.0	201.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	343151.0	251650.0	91346.0	28801.0	56981.0	3020.0	2544.0	155.0
гостиницы и рестораны	30853.0	28031.0	2793.0	1593.0	1018.0	78.0	104.0	29.0
транспорт и связь	650571.0	612988.0	37338.0	4012.0	29265.0	2387.0	1674.0	245.0
финансовая деятельность	17492.0	17222.0	266.0	87.0	130.0	28.0	21.0	4.0
операции с недвижимым имуществом, аренда и предоставление услуг	216277.0	211127.0	5057.0	899.0	3437.0	413.0	308.0	93.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	477394.0	477390.0						4.0
образование	289076.0	286986.0	2038.0	127.0	1423.0	263.0	225.0	52.0
здравоохранение и предоставление социальных услуг	156229.0	154148.0	2031.0	349.0	1318.0	220.0	144.0	50.0
предоставление прочих коммунальных, социальных и персональных услуг	191242.0	186666.0	4487.0	630.0	2856.0	698.0	303.0	89.0
предоставление услуг по ведению домашнего хозяйства	1744.0	1744.0						-
деятельность экстерриториальных организаций	444.0	431.0	13.0			13.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	69203.0	64271.0	4613.0	829.0	2570.0	844.0	370.0	319.0
Женщины, занятые в экономике	5855551.0	5652099.0	201391.0	39105.0	131481.0	21868.0	8937.0	2061.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	1315155.0	1261827.0	52975.0	5077.0	32847.0	13084.0	1967.0	353.0
рыболовство, рыбоводство	7570.0	7279.0	289.0	50.0	125.0	97.0	17.0	2.0
добыча полезных ископаемых	27655.0	27477.0	161.0	11.0	101.0	27.0	22.0	17.0
обрабатывающие производства	442133.0	431084.0	10854.0	1810.0	7821.0	829.0	394.0	195.0
производство и распределение электроэнергии, газа и воды	53809.0	53521.0	282.0	18.0	206.0	46.0	12.0	6.0
строительство	71122.0	69430.0	1665.0	366.0	1022.0	177.0	100.0	27.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	692755.0	587431.0	105033.0	28066.0	69949.0	3548.0	3470.0	291.0
гостиницы и рестораны	199769.0	195098.0	4627.0	1474.0	2302.0	543.0	308.0	44.0
транспорт и связь	272850.0	270498.0	2245.0	310.0	1374.0	316.0	245.0	107.0
финансовая деятельность	70381.0	69796.0	568.0	53.0	333.0	115.0	67.0	17.0
операции с недвижимым имуществом, аренда и предоставление услуг	112266.0	110270.0	1935.0	335.0	1288.0	171.0	141.0	61.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	314639.0	314636.0						3.0
образование	1174594.0	1167569.0	6623.0	201.0	4394.0	1079.0	949.0	402.0
здравоохранение и предоставление социальных услуг	771995.0	766440.0	5328.0	299.0	3620.0	808.0	601.0	227.0
предоставление прочих коммунальных, социальных и персональных услуг	276741.0	270169.0	6473.0	694.0	4819.0	586.0	374.0	99.0
предоставление услуг по ведению домашнего хозяйства	1801.0	1801.0						-
деятельность экстерриториальных организаций	489.0	483.0	6.0			6.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	49827.0	47290.0	2327.0	341.0	1280.0	436.0	270.0	210.0
