3.6. СТРУКТУРА ЧАСТНЫХ ДОМОХОЗЯЙСТВ, ДОМОХОЗЯЙСТВ БЕЗДОМНЫХ И КОЛЛЕКТИВНЫХ ДОМОХОЗЯЙСТВ												
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ												
												
	На 1000 частных домохозяйств приходится домохозяйств, состоящих из						На 1000 домохозяйств бездомных приходится домохозяйств, состоящих из			Удельный вес (%) населения, проживающего		
	1 человека	2 человек	3 человек	4 человек	5 человек	6 и более человек	1 человека	2 человек	3 и более человек	в частных домо-
хозяйствах	в домо-
хозяйствах бездомных	в коллектив-ных домо-
хозяйствах
Городские населенные пункты	249.0	299.0	250.0	145.0	41.0	16.0	788.0	109.0	103.0	98.7	0.0	1.3
Сельские населенные пункты	336.0	310.0	170.0	119.0	42.0	23.0	705.0	131.0	164.0	97.9	0.0	2.1
Тульская область	257.0	297.0	234.0	141.0	49.0	22.0	779.0	69.0	152.0	98.7	0.0	1.3
Городские населенные пункты	246.0	299.0	247.0	142.0	47.0	19.0	781.0	68.0	151.0	98.6	0.0	1.4
Сельские населенные пункты	306.0	289.0	176.0	139.0	56.0	34.0	760.0	80.0	160.0	99.0	0.0	1.0
Ярославская область	267.0	296.0	239.0	142.0	40.0	16.0	940.0	30.0	30.0	98.2	0.0	1.8
Городские населенные пункты	254.0	294.0	252.0	145.0	40.0	15.0	954.0	23.0	23.0	98.1	0.0	1.9
Сельские населенные пункты	316.0	306.0	187.0	130.0	40.0	21.0	875.0	62.0	63.0	98.5	0.0	1.5
г. Москва - городские населенные пункты	270.0	263.0	215.0	156.0	52.0	44.0	539.0	62.0	399.0	99.2	0.2	0.6
Северо-Западный федеральный округ	244.0	287.0	244.0	156.0	47.0	22.0	812.0	45.0	143.0	97.7	0.2	2.1
Городские населенные пункты	237.0	284.0	253.0	158.0	47.0	21.0	818.0	40.0	142.0	97.7	0.3	2.0
Сельские населенные пункты	275.0	296.0	203.0	147.0	51.0	28.0	684.0	158.0	158.0	97.4	0.0	2.6
Республика Карелия	244.0	297.0	252.0	150.0	41.0	16.0	806.0	116.0	78.0	97.9	0.1	2.0
Городские населенные пункты	235.0	291.0	263.0	154.0	41.0	16.0	806.0	113.0	81.0	97.9	0.1	2.0
Сельские населенные пункты	268.0	312.0	221.0	140.0	42.0	17.0	800.0	143.0	57.0	98.0	0.0	2.0
Республика Коми	228.0	274.0	263.0	169.0	47.0	19.0	879.0	46.0	75.0	97.4	0.1	2.5
Городские населенные пункты	226.0	275.0	272.0	167.0	43.0	17.0	882.0	47.0	71.0	97.7	0.1	2.2
Сельские населенные пункты	234.0	272.0	233.0	173.0	61.0	27.0	863.0	39.0	98.0	96.5	0.0	3.5
Архангельская область	236.0	288.0	251.0	160.0	46.0	19.0	814.0	68.0	118.0	97.5	0.0	2.5
Городские населенные пункты	226.0	284.0	265.0	164.0	44.0	17.0	807.0	69.0	124.0	97.6	0.1	2.3
Сельские населенные пункты	264.0	300.0	208.0	150.0	52.0	26.0	841.0	64.0	95.0	97.0	0.0	3.0
Ненецкий автономный округ	192.0	242.0	244.0	184.0	81.0	57.0	-	-	-	98.4	-	1.6
Городские населенные пункты	189.0	254.0	268.0	186.0	67.0	36.0	-	-	-	98.2	-	1.8
Сельские населенные пункты	197.0	219.0	198.0	181.0	108.0	97.0	-	-	-	98.7	-	1.3
Вологодская область	251.0	292.0	240.0	158.0	42.0	17.0	925.0	30.0	45.0	98.2	0.1	1.7
Городские населенные пункты	234.0	284.0	262.0	164.0	41.0	15.0	947.0	20.0	33.0	98.0	0.2	1.8
Сельские населенные пункты	287.0	308.0	192.0	146.0	46.0	21.0	629.0	169.0	202.0	98.8	0.0	1.2
Калининградская область	202.0	274.0	256.0	172.0	60.0	36.0	647.0	46.0	307.0	96.7	0.1	3.2
Городские населенные пункты	210.0	282.0	266.0	165.0	51.0	26.0	654.0	31.0	315.0	96.5	0.2	3.3
Сельские населенные пункты	171.0	240.0	220.0	199.0	93.0	77.0	556.0	259.0	185.0	97.5	0.0	2.5
Ленинградская область	248.0	292.0	235.0	155.0	47.0	23.0	745.0	125.0	130.0	97.9	0.1	2.0
Городские населенные пункты	236.0	295.0	248.0	157.0	44.0	20.0	785.0	105.0	110.0	97.9	0.1	2.0
Сельские населенные пункты	271.0	288.0	207.0	153.0	52.0	29.0	551.0	220.0	229.0	98.0	0.0	2.0
Мурманская область	253.0	283.0	277.0	147.0	31.0	9.0	864.0	38.0	98.0	95.9	0.1	4.0
Городские населенные пункты	253.0	284.0	276.0	146.0	31.0	10.0	865.0	39.0	96.0	96.7	0.1	3.2
Сельские населенные пункты	259.0	265.0	282.0	154.0	30.0	10.0	800.0	-	200.0	86.5	0.0	13.5
Новгородская область	268.0	308.0	228.0	139.0	39.0	18.0	633.0	115.0	252.0	98.3	0.1	1.6
Городские населенные пункты	241.0	305.0	253.0	147.0	39.0	15.0	600.0	120.0	280.0	98.4	0.1	1.5
Сельские населенные пункты	328.0	314.0	172.0	121.0	40.0	25.0	818.0	91.0	91.0	98.0	0.0	2.0
Псковская область	276.0	311.0	228.0	131.0	37.0	17.0	747.0	130.0	123.0	97.6	0.0	2.4
Городские населенные пункты	238.0	302.0	262.0	144.0	39.0	15.0	807.0	75.0	118.0	97.8	0.0	2.2
Сельские населенные пункты	343.0	326.0	168.0	107.0	36.0	20.0	642.0	226.0	132.0	97.2	0.0	2.8
г. Санкт-Петербург - городские населенные пункты	243.0	279.0	238.0	158.0	54.0	28.0	807.0	34.0	159.0	98.0	0.6	1.4
Южный федеральный округ	179.0	244.0	211.0	188.0	86.0	92.0	869.0	41.0	90.0	98.5	0.1	1.4
Городские населенные пункты	191.0	256.0	227.0	186.0	72.0	68.0	875.0	38.0	87.0	98.1	0.2	1.7
Сельские населенные пункты	159.0	226.0	187.0	191.0	107.0	130.0	825.0	67.0	108.0	98.9	0.0	1.1
Республика Адыгея	198.0	259.0	220.0	183.0	81.0	59.0	906.0	29.0	65.0	98.5	0.0	1.5
Городские населенные пункты	209.0	265.0	237.0	182.0	68.0	39.0	921.0	16.0	63.0	98.0	0.1	1.9
Сельские населенные пункты	185.0	251.0	201.0	184.0	96.0	83.0	750.0	167.0	83.0	99.0	0.0	1.0
Республика Дагестан	75.0	120.0	128.0	221.0	173.0	283.0	866.0	67.0	67.0	99.3	0.0	0.7
Городские населенные пункты	52.0	120.0	135.0	250.0	159.0	284.0	866.0	67.0	67.0	98.8	0.0	1.2
Сельские населенные пункты	90.0	120.0	123.0	201.0	184.0	282.0	1000.0	-	-	99.8	0.0	0.2
Республика Ингушетия	14.0	36.0	58.0	88.0	122.0	682.0	778.0	-	222.0	99.2	0.0	0.8
Городские населенные пункты	15.0	39.0	64.0	97.0	139.0	646.0	-	-	1000.0	99.3	0.0	0.7
Сельские населенные пункты	13.0	33.0	53.0	81.0	109.0	711.0	1000.0	-	-	99.1	0.0	0.9
Кабардино-Балкарская Республика	103.0	169.0	159.0	235.0	136.0	198.0	43.0	29.0	928.0	98.9	0.1	1.0
Городские населенные пункты	122.0	203.0	186.0	254.0	116.0	119.0	30.0	29.0	941.0	98.8	0.2	1.0
