name	vs	F5000	F5000_9999	F10000_19999	F20000
численность населения	228931	78914	101534	48483	0
мужчины	111267	38827	49519	22921	0
женщины	117664	40087	52015	25562	0
Усть-Ордынский Бурятский автономный округ	 	 	 	 	 
Число поселков городского типа	-	-	-	-	-
Кемеровская область	 	 	 	 	 
Число поселков городского типа	25	14	6	5	0
численность населения	153947	42246	40453	71248	0
мужчины	73688	20019	18991	34678	0
женщины	80259	22227	21462	36570	0
Новосибирская область	 	 	 	 	 
Число поселков городского типа	18	4	5	8	1
численность населения	183099	15592	40391	105300	21816
мужчины	86150	7291	19434	49323	10102
женщины	96949	8301	20957	55977	11714
Омская область	 	 	 	 	 
Число поселков городского типа	21	2	13	6	0
численность населения	168928	6533	92382	70013	0
мужчины	77948	2993	42545	32410	0
женщины	90980	3540	49837	37603	0
Томская область	 	 	 	 	 
Число поселков городского типа	1	0	1	0	0
численность населения	8221	0	8221	0	0
мужчины	3951	0	3951	0	0
женщины	4270	0	4270	0	0
Читинская область	 	 	 	 	 
Число поселков городского типа	42	27	9	6	0
численность населения	223470	70889	77462	75119	0
мужчины	107319	33961	37908	35450	0
женщины	116151	36928	39554	39669	0
Агинский Бурятский автономный округ	 	 	 	 	 
Число поселков городского типа	4	2	1	1	0
численность населения	25510	5207	8586	11717	0
мужчины	12018	2526	3977	5515	0
женщины	13492	2681	4609	6202	0
Дальневосточный федеральный округ	 	 	 	 	 
Число поселков городского типа	201	149	36	15	1
численность населения	759320	286045	250168	200742	22365
мужчины	377837	144760	124276	98119	10682
женщины	381483	141285	125892	102623	11683
Республика Саха (Якутия)	 	 	 	 	 
Число поселков городского типа	44	37	6	1	0
численность населения	124384	66729	41873	15782	0
мужчины	63621	33631	21713	8277	0
женщины	60763	33098	20160	7505	0
Приморский край	 	 	 	 	 
Число поселков городского типа	32	15	12	4	1
численность населения	205242	38798	89201	54878	22365
мужчины	100438	19973	43135	26648	10682
женщины	104804	18825	46066	28230	11683
Хабаровский край	 	 	 	 	 
Число поселков городского типа	24	13	5	6	0
численность населения	151087	32187	34788	84112	0
мужчины	73851	15795	17178	40878	0
женщины	77236	16392	17610	43234	0
Амурская область	 	 	 	 	 
Число поселков городского типа	17	10	4	3	0
численность населения	81728	19827	26660	35241	0
мужчины	39709	9719	12894	17096	0
женщины	42019	10108	13766	18145	0
Камчатская область	 	 	 	 	 
Число поселков городского типа	6	5	1	0	0
численность населения	18380	13149	5231	0	0
мужчины	9234	6564	2670	0	0
женщины	9146	6585	2561	0	0
Корякский автономный округ	 	 	 	 	 
Число поселков городского типа	2	2	0	0	0
численность населения	6517	6517	0	0	0
мужчины	3105	3105	0	0	0
женщины	3412	3412	0	0	0
Магаданская область	 	 	 	 	 
Число поселков городского типа	26	24	2	0	0
численность населения	54467	42575	11892	0	0
мужчины	27638	21827	5811	0	0
женщины	26829	20748	6081	0	0
Сахалинская область	 	 	 	 	 
Число поселков городского типа	29	25	3	1	0
численность населения	70548	37975	21844	10729	0
мужчины	35719	18518	11981	5220	0
женщины	34829	19457	9863	5509	0
Еврейская автономная область	 	 	 	 	 
Число поселков городского типа	12	9	3	0	0
численность населения	40040	21361	18679	0	0
мужчины	19765	10871	8894	0	0
женщины	20275	10490	9785	0	0
Чукотский автономный округ	 	 	 	 	 
Число поселков городского типа	11	11	0	0	0
численность населения	13444	13444	0	0	0
мужчины	7862	7862	0	0	0
женщины	5582	5582	0	0	0
