5. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ 										
										
										
	Всего	Имеющие образование							Не имеющие начального общего образова-ния	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузов-ское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
строительство	3622832.0	670294.0	104907.0	1326486.0	667586.0	610338.0	210509.0	26409.0	1099.0	5204.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	6922291.0	1452800.0	294036.0	2750923.0	888689.0	1201006.0	286901.0	32211.0	5470.0	10255.0
гостиницы и рестораны	1085161.0	127567.0	38939.0	462823.0	198212.0	195640.0	54626.0	5621.0	423.0	1310.0
транспорт и связь	4787159.0	816049.0	148369.0	1923986.0	770052.0	876657.0	219687.0	25041.0	1357.0	5961.0
финансовая деятельность	754290.0	423949.0	41909.0	200459.0	31128.0	50096.0	5158.0	478.0	66.0	1047.0
операции с недвижимым имуществом, аренда и предоставление услуг	2555709.0	945552.0	112487.0	770571.0	271117.0	345101.0	93570.0	13353.0	761.0	3197.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	3145578.0	1361351.0	144188.0	1002545.0	234628.0	350246.0	45271.0	4743.0	361.0	2245.0
образование	3872248.0	2032814.0	148270.0	1068016.0	240459.0	291074.0	78011.0	9558.0	584.0	3462.0
здравоохранение и предоставление социальных услуг	3450122.0	1004450.0	83946.0	1640084.0	309218.0	302718.0	93660.0	12103.0	743.0	3200.0
предоставление прочих коммунальных, социальных и персональных услуг	2256768.0	542679.0	93228.0	806562.0	302160.0	376971.0	114059.0	16925.0	996.0	3188.0
предоставление услуг по ведению домашнего хозяйства	28181.0	6325.0	1386.0	10494.0	3364.0	4973.0	1327.0	230.0	19.0	63.0
деятельность экстерриториальных организаций	9004.0	3948.0	508.0	2505.0	524.0	1207.0	222.0	21.0	47.0	22.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	1166182.0	380609.0	56121.0	379508.0	103986.0	174493.0	41062.0	6573.0	2224.0	21606.0
Мужчины, занятые в экономике 	23394993.0	5731939.0	799085.0	7958666.0	3652203.0	3873639.0	1180361.0	150573.0	9803.0	38724.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	529160.0	78861.0	10414.0	156462.0	122053.0	99584.0	52599.0	8345.0	566.0	276.0
рыболовство, рыбоводство	78804.0	13375.0	1690.0	37108.0	12683.0	10784.0	2750.0	287.0	18.0	109.0
добыча полезных ископаемых	848413.0	139959.0	21766.0	333583.0	167567.0	146808.0	34147.0	3955.0	84.0	544.0
обрабатывающие производства	5640812.0	1116226.0	156342.0	2006587.0	1017515.0	984630.0	315762.0	38077.0	1329.0	4344.0
производство и распределение электроэнергии, газа и воды	790218.0	168926.0	20761.0	305883.0	134027.0	121293.0	34220.0	4593.0	108.0	407.0
строительство	2838874.0	469073.0	80785.0	1024748.0	547134.0	506834.0	182585.0	22821.0	860.0	4034.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	2673590.0	646316.0	128400.0	878479.0	348838.0	492811.0	151854.0	18624.0	2889.0	5379.0
гостиницы и рестораны	242637.0	41611.0	13262.0	92040.0	37127.0	42887.0	13739.0	1393.0	100.0	478.0
транспорт и связь	3370280.0	511489.0	98372.0	1326726.0	597192.0	638959.0	171870.0	20268.0	964.0	4440.0
финансовая деятельность	223574.0	136917.0	11489.0	42854.0	11455.0	17962.0	2243.0	212.0	12.0	430.0
операции с недвижимым имуществом, аренда и предоставление услуг	1410887.0	481114.0	62114.0	407541.0	178880.0	207494.0	62475.0	8971.0	472.0	1826.0
государственное управление и обеспечение   военной безопасности; обязательное социальное обеспечение	1868131.0	799811.0	76183.0	565559.0	166730.0	223948.0	30919.0	3248.0	239.0	1494.0
образование	686080.0	418176.0	26559.0	125110.0	43390.0	52499.0	16702.0	2730.0	111.0	803.0
здравоохранение и предоставление социальных услуг	579533.0	288755.0	18309.0	137530.0	53110.0	57620.0	20375.0	2901.0	158.0	775.0
предоставление прочих коммунальных, социальных и персональных услуг	965545.0	217475.0	41883.0	316977.0	149433.0	166692.0	61233.0	9705.0	648.0	1499.0
предоставление услуг по ведению домашнего хозяйства	9608.0	2166.0	537.0	3422.0	1273.0	1622.0	451.0	99.0	6.0	32.0
деятельность экстерриториальных организаций	4831.0	2043.0	292.0	1279.0	339.0	695.0	133.0	12.0	27.0	11.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	634016.0	199646.0	29927.0	196778.0	63457.0	100517.0	26304.0	4332.0	1212.0	11843.0
Женщины, занятые в экономике 	23593602.0	6636316.0	814845.0	9426803.0	2632607.0	3246667.0	716950.0	79965.0	7527.0	31922.0
в том числе по видам экономической деятельности:										
сельское хозяйство, охота и лесное хозяйство	270312.0	52791.0	6751.0	105031.0	39711.0	45603.0	17604.0	2468.0	192.0	161.0
рыболовство, рыбоводство	12643.0	3020.0	386.0	5013.0	1621.0	2050.0	469.0	68.0	-	16.0
добыча полезных ископаемых	281506.0	68379.0	8571.0	116932.0	36663.0	42400.0	7287.0	1026.0	25.0	223.0
обрабатывающие производства	4488919.0	860932.0	109014.0	1805525.0	686281.0	827698.0	177843.0	17236.0	818.0	3572.0
