7.2. НАСЕЛЕНИЕ ПО ТИПАМ ЗАНИМАЕМЫХ ЖИЛЫХ ПОМЕЩЕНИЙ 								
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Все население	в том числе население, проживающее						
		в индивидуальных домах	в отдельных квартирах	в коммунальных квартирах	в общежитиях	в институциональных учреждениях	в гостиницах	в других жилых помещениях
Сельские населенные пункты	730509.0	591754.0	76218.0	7736.0	434.0	26472.0	15.0	22349.0
Краснодарский край	5125221.0	2825276.0	2021454.0	26113.0	127061.0	68969.0	2631.0	20865.0
Городские населенные пункты	2740544.0	1004066.0	1519731.0	21792.0	112584.0	43733.0	2271.0	11756.0
Сельские населенные пункты	2384677.0	1821210.0	501723.0	4321.0	14477.0	25236.0	360.0	9109.0
Ставропольский край	2735139.0	1422381.0	1113725.0	14550.0	119016.0	44295.0	685.0	10752.0
Городские населенные пункты	1530591.0	527443.0	836707.0	11812.0	112668.0	31727.0	463.0	3069.0
Сельские населенные пункты	1204548.0	894938.0	277018.0	2738.0	6348.0	12568.0	222.0	7683.0
Астраханская область	1005276.0	387165.0	552244.0	4087.0	36732.0	16757.0	476.0	1705.0
Городские населенные пункты	680441.0	161367.0	462816.0	3554.0	31832.0	14912.0	467.0	580.0
Сельские населенные пункты	324835.0	225798.0	89428.0	533.0	4900.0	1845.0	9.0	1125.0
Волгоградская область	2699223.0	953147.0	1568914.0	30332.0	85464.0	43577.0	262.0	3327.0
Городские населенные пункты	2029785.0	455729.0	1409369.0	29396.0	83232.0	37862.0	211.0	2323.0
Сельские населенные пункты	669438.0	497418.0	159545.0	936.0	2232.0	5715.0	51.0	1004.0
Ростовская область	4404013.0	1893041.0	2270022.0	56963.0	101052.0	56274.0	392.0	3157.0
Городские населенные пункты	2977525.0	886833.0	1880761.0	54694.0	93348.0	41017.0	291.0	1838.0
Сельские населенные пункты	1426488.0	1006208.0	389261.0	2269.0	7704.0	15257.0	101.0	1319.0
Приволжский федеральный округ	31154744.0	8740221.0	20383514.0	412910.0	1050262.0	439601.0	4158.0	11974.0
Городские населенные пункты	22047106.0	2919963.0	17327475.0	390284.0	989476.0	321257.0	3317.0	6008.0
Сельские населенные пункты	9107638.0	5820258.0	3056039.0	22626.0	60786.0	118344.0	841.0	5966.0
Республика Башкортостан	4104336.0	1497036.0	2319350.0	48204.0	183672.0	35871.0	441.0	3366.0
Городские населенные пункты	2626613.0	369721.0	2005035.0	44191.0	162848.0	32007.0	286.0	1134.0
Сельские населенные пункты	1477723.0	1127315.0	314315.0	4013.0	20824.0	3864.0	155.0	2232.0
Республика Марий Эл	727979.0	218277.0	463844.0	5821.0	28571.0	9957.0	209.0	46.0
Городские населенные пункты	459687.0	46145.0	376939.0	4904.0	26013.0	4632.0	169.0	27.0
Сельские населенные пункты	268292.0	172132.0	86905.0	917.0	2558.0	5325.0	40.0	19.0
Республика Мордовия	888766.0	344442.0	485838.0	5465.0	29944.0	21790.0	118.0	112.0
Городские населенные пункты	531478.0	83602.0	408125.0	4390.0	29057.0	5485.0	118.0	51.0
Сельские населенные пункты	357288.0	260840.0	77713.0	1075.0	887.0	16305.0	-	61.0
Республика Татарстан	3779265.0	1101920.0	2431632.0	56761.0	141316.0	30688.0	297.0	2279.0
Городские населенные пункты	2790661.0	324956.0	2233647.0	54733.0	137602.0	26591.0	173.0	1590.0
Сельские населенные пункты	988604.0	776964.0	197985.0	2028.0	3714.0	4097.0	124.0	689.0
Удмуртская Республика	1570316.0	411647.0	1057565.0	19076.0	55157.0	21070.0	145.0	674.0
Городские населенные пункты	1094338.0	146791.0	863206.0	18022.0	52163.0	9634.0	142.0	376.0
Сельские населенные пункты	475978.0	264856.0	194359.0	1054.0	2994.0	11436.0	3.0	298.0
Чувашская Республика	1313754.0	528412.0	691371.0	10877.0	62603.0	16845.0	83.0	184.0
Городские населенные пункты	796196.0	80534.0	628172.0	10120.0	60687.0	14462.0	80.0	70.0
Сельские населенные пункты	517558.0	447878.0	63199.0	757.0	1916.0	2383.0	3.0	114.0
Кировская область	1503529.0	302044.0	1094509.0	27919.0	49796.0	26993.0	78.0	77.0
Городские населенные пункты	1079024.0	119721.0	861538.0	27027.0	48338.0	20779.0	59.0	27.0
Сельские населенные пункты	424505.0	182323.0	232971.0	892.0	1458.0	6214.0	19.0	50.0
Нижегородская область	3524028.0	761524.0	2565466.0	39353.0	83015.0	57438.0	229.0	573.0
Городские населенные пункты	2754997.0	334757.0	2254285.0	36980.0	80006.0	34315.0	143.0	394.0
Сельские населенные пункты	769031.0	426767.0	311181.0	2373.0	3009.0	23123.0	86.0	179.0
Оренбургская область	2179551.0	787192.0	1276431.0	14146.0	59282.0	33623.0	281.0	1200.0
Городские населенные пункты	1260128.0	265984.0	902638.0	11443.0	52275.0	21411.0	164.0	410.0
Сельские населенные пункты	919423.0	521208.0	373793.0	2703.0	7007.0	12212.0	117.0	790.0
Пензенская область	1452941.0	544260.0	836351.0	15566.0	36682.0	15670.0	277.0	124.0
Городские населенные пункты	945214.0	187510.0	691526.0	14856.0	35617.0	12512.0	277.0	59.0
Сельские населенные пункты	507727.0	356750.0	144825.0	710.0	1065.0	3158.0	-	65.0
Пермская область	2819421.0	538404.0	2050284.0	51951.0	106651.0	59823.0	609.0	1208.0
Городские населенные пункты	2121647.0	208430.0	1709263.0	49450.0	100640.0	43649.0	553.0	817.0
Сельские населенные пункты	697774.0	329974.0	341021.0	2501.0	6011.0	16174.0	56.0	391.0
Коми-Пермяцкий автономный округ	136076.0	66511.0	64483.0	411.0	3276.0	1205.0	-	10.0
Городские населенные пункты	35740.0	9503.0	22264.0	234.0	2979.0	699.0	-	5.0
Сельские населенные пункты	100336.0	57008.0	42219.0	177.0	297.0	506.0	-	5.0
Самарская область	3239737.0	554863.0	2453641.0	65671.0	99136.0	47309.0	609.0	1377.0
Городские населенные пункты	2611680.0	218998.0	2177684.0	63652.0	94633.0	40120.0	408.0	767.0
Сельские населенные пункты	628057.0	335865.0	275957.0	2019.0	4503.0	7189.0	201.0	610.0
Саратовская область	2668310.0	770853.0	1738627.0	32407.0	73302.0	42317.0	440.0	574.0
Городские населенные пункты	1963858.0	379803.0	1436402.0	31288.0	69769.0	38163.0	422.0	214.0
Сельские населенные пункты	704452.0	391050.0	302225.0	1119.0	3533.0	4154.0	18.0	360.0
Ульяновская область	1382811.0	379347.0	918605.0	19693.0	41135.0	20207.0	342.0	180.0
Городские населенные пункты	1011585.0	153011.0	779015.0	19228.0	39828.0	17497.0	323.0	72.0
Сельские населенные пункты	371226.0	226336.0	139590.0	465.0	1307.0	2710.0	19.0	108.0
Уральский федеральный округ	12373926.0	2202476.0	9156805.0	142403.0	543002.0	194172.0	2428.0	75139.0
Городские населенные пункты	9991785.0	1111909.0	7968968.0	136255.0	505881.0	163440.0	2073.0	51990.0
Сельские населенные пункты	2382141.0	1090567.0	1187837.0	6148.0	37121.0	30732.0	355.0	23149.0
Курганская область	1019532.0	366303.0	598601.0	6206.0	30954.0	13402.0	80.0	335.0
Городские населенные пункты	574381.0	116347.0	415595.0	5500.0	26823.0	7032.0	45.0	220.0
Сельские населенные пункты	445151.0	249956.0	183006.0	706.0	4131.0	6370.0	35.0	115.0
Свердловская область	4486214.0	659521.0	3481040.0	61197.0	170198.0	87228.0	536.0	2350.0
Городские населенные пункты	3943529.0	433386.0	3185809.0	59455.0	166504.0	73156.0	503.0	2008.0
Сельские населенные пункты	542685.0	226135.0	295231.0	1742.0	3694.0	14072.0	33.0	342.0
Тюменская область	3264841.0	461605.0	2427844.0	26136.0	226293.0	34324.0	1483.0	71774.0
Городские населенные пункты	2526133.0	163703.0	2045776.0	23821.0	201813.0	27376.0	1275.0	49393.0
Сельские населенные пункты	738708.0	297902.0	382068.0	2315.0	24480.0	6948.0	208.0	22381.0
Ханты-Мансийский автономный округ - Югра	1432817.0	72295.0	1168891.0	17006.0	106721.0	9800.0	661.0	49653.0
Городские населенные пункты	1301924.0	49365.0	1081755.0	16620.0	94565.0	7653.0	594.0	44021.0
Сельские населенные пункты	130893.0	22930.0	87136.0	386.0	12156.0	2147.0	67.0	5632.0
Ямало-Ненецкий автономный округ	507006.0	13156.0	419084.0	3437.0	44441.0	4209.0	295.0	20143.0
Городские населенные пункты	422826.0	5989.0	365238.0	3084.0	38032.0	3870.0	251.0	4388.0
Сельские населенные пункты	84180.0	7167.0	53846.0	353.0	6409.0	339.0	44.0	15755.0
Челябинская область	3603339.0	715047.0	2649320.0	48864.0	115557.0	59218.0	329.0	680.0
Городские населенные пункты	2947742.0	398473.0	2321788.0	47479.0	110741.0	55876.0	250.0	369.0
Сельские населенные пункты	655597.0	316574.0	327532.0	1385.0	4816.0	3342.0	79.0	311.0
Сибирский федеральный округ	20062938.0	4996244.0	13776395.0	125897.0	692713.0	353265.0	3466.0	28916.0
Городские населенные пункты	14272877.0	2282904.0	10837842.0	115881.0	664251.0	283780.0	2890.0	13640.0
Сельские населенные пункты	5790061.0	2713340.0	2938553.0	10016.0	28462.0	69485.0	576.0	15276.0
Республика Алтай	202947.0	106567.0	85866.0	1308.0	5529.0	2748.0	32.0	451.0
Городские населенные пункты	53538.0	20393.0	26427.0	710.0	4724.0	922.0	12.0	183.0
Сельские населенные пункты	149409.0	86174.0	59439.0	598.0	805.0	1826.0	20.0	268.0
Республика Бурятия	981238.0	331577.0	588375.0	5598.0	26945.0	21600.0	404.0	3288.0
Городские населенные пункты	584970.0	96258.0	436552.0	5021.0	24761.0	17056.0	383.0	2409.0
Сельские населенные пункты	396268.0	235319.0	151823.0	577.0	2184.0	4544.0	21.0	879.0
Республика Тыва	305510.0	95335.0	181040.0	792.0	13382.0	5881.0	50.0	7988.0
Городские населенные пункты	157299.0	38922.0	98975.0	643.0	12918.0	4647.0	23.0	676.0
Сельские населенные пункты	148211.0	56413.0	82065.0	149.0	464.0	1234.0	27.0	7312.0
Республика Хакасия	546072.0	133503.0	380513.0	4090.0	16528.0	9179.0	217.0	644.0
Городские населенные пункты	386865.0	73079.0	284017.0	3880.0	15595.0	8673.0	209.0	359.0
Сельские населенные пункты	159207.0	60424.0	96496.0	210.0	933.0	506.0	8.0	285.0
Алтайский край	2607426.0	907339.0	1553361.0	12377.0	88777.0	35189.0	266.0	3013.0
