12. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
																			
	Численность населения соответст-вующей националь-ности	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения данной национальности указали			
			доход от трудовой деятельнос-ти (кроме работы в личном подсобном хозяйстве)	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государ-ственного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию		один источник средств к существо-ванию	два источника	три источника	четыре источника и более
Все население																			
возраст не указан	207.0	221.0	99.0	25.0	4.0	32.0	3.0	11.0	1.0	2.0	-	-	41.0	3.0	25.0	145.0	35.0	2.0	-
Чуваши	1637094.0	2454928.0	751202.0	511106.0	33022.0	362697.0	52973.0	249848.0	10867.0	18131.0	3802.0	1524.0	442863.0	16893.0	562.0	871151.0	713917.0	49968.0	1496.0
в том числе в возрасте, лет:																			
до 15	252195.0	458302.0	3.0	12491.0	104.0	5170.0	2764.0	191081.0	-	2672.0	29.0	216.0	243493.0	279.0	50.0	62124.0	174297.0	15315.0	409.0
15-19	129677.0	211499.0	16735.0	19872.0	26362.0	3966.0	1905.0	35170.0	587.0	2176.0	71.0	74.0	104025.0	556.0	40.0	61582.0	54942.0	12445.0	668.0
20-29	216983.0	289354.0	150930.0	57521.0	6478.0	776.0	4290.0	12823.0	2579.0	4620.0	526.0	130.0	45189.0	3492.0	96.0	148644.0	64129.0	4007.0	107.0
30-49	572534.0	783613.0	467835.0	208381.0	69.0	9429.0	20906.0	9411.0	6255.0	5809.0	1933.0	582.0	42770.0	10233.0	245.0	367736.0	197930.0	6490.0	133.0
50-54	108752.0	157967.0	78368.0	42529.0	-	18928.0	8447.0	414.0	1285.0	699.0	309.0	130.0	5285.0	1573.0	41.0	62810.0	42589.0	3272.0	40.0
55-59	52030.0	81384.0	22783.0	21466.0	-	31198.0	3756.0	127.0	161.0	264.0	140.0	74.0	1003.0	412.0	15.0	25408.0	23884.0	2685.0	38.0
60-64	89562.0	141767.0	9962.0	42060.0	-	85273.0	3107.0	217.0	-	383.0	236.0	110.0	261.0	158.0	18.0	40572.0	45784.0	3127.0	61.0
65 и более	215226.0	330892.0	4529.0	106767.0	-	207932.0	7794.0	598.0	-	1505.0	558.0	208.0	812.0	189.0	40.0	102188.0	110332.0	2626.0	40.0
возраст не указан	135.0	150.0	57.0	19.0	9.0	25.0	4.0	7.0	-	3.0	-	-	25.0	1.0	17.0	87.0	30.0	1.0	-
Чеченцы	1360253.0	1656804.0	164090.0	118267.0	22819.0	119122.0	32279.0	450368.0	132914.0	16850.0	2936.0	1571.0	537683.0	57905.0	20827.0	1030230.0	301310.0	7654.0	232.0
в том числе в возрасте, лет:																			
до 15	460904.0	637667.0	19.0	488.0	30.0	6651.0	2909.0	378040.0	-	3095.0	32.0	303.0	245252.0	848.0	4008.0	278885.0	175273.0	2716.0	22.0
15-19	147582.0	182644.0	3255.0	4987.0	11253.0	2188.0	1571.0	52085.0	14487.0	1631.0	57.0	67.0	88408.0	2655.0	2370.0	109000.0	35048.0	1121.0	43.0
20-29	223718.0	246281.0	36006.0	25056.0	11160.0	993.0	3002.0	7175.0	45888.0	4015.0	501.0	219.0	98315.0	13951.0	5191.0	191697.0	25952.0	839.0	39.0
30-49	368116.0	407931.0	104711.0	67429.0	375.0	6938.0	14475.0	11280.0	66594.0	6858.0	1885.0	786.0	91759.0	34841.0	7727.0	314920.0	43511.0	1872.0	86.0
50-54	48917.0	55173.0	13365.0	9064.0	-	9588.0	4179.0	806.0	5249.0	725.0	277.0	100.0	7738.0	4082.0	864.0	41316.0	6377.0	345.0	15.0
55-59	18060.0	20617.0	3504.0	2603.0	-	8985.0	1607.0	231.0	634.0	198.0	76.0	41.0	1834.0	904.0	194.0	15255.0	2473.0	136.0	2.0
60-64	27246.0	31805.0	2047.0	2769.0	-	23304.0	1557.0	215.0	-	130.0	42.0	23.0	1382.0	336.0	109.0	22718.0	4181.0	229.0	9.0
65 и более	65062.0	74156.0	1115.0	5812.0	-	60418.0	2968.0	485.0	-	182.0	65.0	31.0	2818.0	262.0	196.0	56007.0	8449.0	394.0	16.0
возраст не указан	648.0	530.0	68.0	59.0	1.0	57.0	11.0	51.0	62.0	16.0	1.0	1.0	177.0	26.0	168.0	432.0	46.0	2.0	-
Армяне	1130491.0	1359699.0	423165.0	88611.0	15890.0	140601.0	26174.0	125890.0	3496.0	9685.0	6957.0	2616.0	487270.0	29344.0	2120.0	903738.0	218108.0	6368.0	157.0
в том числе в возрасте, лет:																			
до 15	235340.0	335525.0	24.0	773.0	57.0	1053.0	1379.0	101407.0	-	1049.0	25.0	178.0	229228.0	352.0	474.0	135761.0	97576.0	1504.0	25.0
15-19	100739.0	128230.0	9688.0	3185.0	10082.0	781.0	939.0	15300.0	165.0	1271.0	95.0	54.0	85822.0	848.0	118.0	74211.0	25243.0	1136.0	31.0
20-29	176447.0	197743.0	88717.0	14119.0	5625.0	253.0	1731.0	4881.0	879.0	2714.0	1113.0	319.0	70519.0	6873.0	343.0	155299.0	19997.0	784.0	24.0
30-49	395210.0	436382.0	257410.0	47599.0	121.0	3634.0	9235.0	3869.0	2090.0	3892.0	4441.0	1362.0	85320.0	17409.0	825.0	353740.0	39337.0	1268.0	40.0
50-54	59146.0	66178.0	37378.0	7542.0	-	4160.0	3658.0	153.0	296.0	242.0	678.0	291.0	9557.0	2223.0	130.0	52145.0	6589.0	275.0	7.0
55-59	29243.0	34888.0	14525.0	3205.0	-	11352.0	2049.0	64.0	66.0	95.0	271.0	103.0	2327.0	831.0	51.0	23766.0	5164.0	255.0	7.0
60-64	42550.0	53638.0	9173.0	4595.0	-	35646.0	1967.0	58.0	-	88.0	137.0	104.0	1436.0	434.0	35.0	31994.0	9936.0	570.0	15.0
65 и более	91537.0	106865.0	6119.0	7583.0	-	83704.0	5215.0	155.0	-	334.0	197.0	203.0	3012.0	343.0	90.0	76620.0	14244.0	576.0	7.0
возраст не указан	279.0	250.0	131.0	10.0	5.0	18.0	1.0	3.0	-	-	-	2.0	49.0	31.0	54.0	202.0	22.0	-	1.0
Мордва	843350.0	1232430.0	381462.0	269320.0	15191.0	249541.0	36596.0	85510.0	6292.0	7346.0	1765.0	849.0	171587.0	6971.0	397.0	476993.0	343028.0	22362.0	570.0
в том числе в возрасте, лет:																			
до 15	78676.0	148669.0	5.0	3973.0	77.0	1737.0	1142.0	63947.0	-	744.0	3.0	45.0	76933.0	63.0	27.0	14287.0	58844.0	5378.0	140.0
15-19	46398.0	80186.0	4826.0	7802.0	12058.0	1567.0	871.0	12723.0	144.0	781.0	13.0	16.0	39247.0	138.0	19.0	18493.0	22234.0	5385.0	267.0
20-29	86057.0	117991.0	58173.0	25253.0	3031.0	371.0	1774.0	4367.0	972.0	1561.0	142.0	43.0	21239.0	1065.0	53.0	56156.0	27776.0	2007.0	65.0
30-49	308025.0	423782.0	244247.0	116616.0	23.0	5697.0	14102.0	3505.0	4030.0	2466.0	761.0	297.0	27689.0	4349.0	182.0	195461.0	108867.0	3477.0	38.0
50-54	73983.0	104653.0	51214.0	26492.0	-	12385.0	7041.0	239.0	1004.0	364.0	181.0	83.0	4714.0	936.0	40.0	45190.0	26813.0	1923.0	17.0
55-59	32508.0	49327.0	13780.0	11823.0	-	19340.0	2840.0	80.0	142.0	148.0	69.0	49.0	814.0	242.0	15.0	17123.0	13929.0	1421.0	20.0
60-64	62377.0	94116.0	6360.0	25218.0	-	58987.0	2637.0	164.0	-	244.0	171.0	92.0	169.0	74.0	10.0	32184.0	28632.0	1537.0	14.0
65 и более	155258.0	213629.0	2827.0	52132.0	-	149439.0	6185.0	484.0	-	1038.0	423.0	224.0	777.0	100.0	44.0	98052.0	55921.0	1232.0	9.0
возраст не указан	68.0	77.0	30.0	11.0	2.0	18.0	4.0	1.0	-	-	2.0	-	5.0	4.0	7.0	47.0	12.0	2.0	-
Аварцы	814473.0	1222836.0	172912.0	169560.0	28977.0	83232.0	30642.0	272210.0	33252.0	4138.0	2316.0	1771.0	413242.0	10584.0	143.0	418046.0	384218.0	11911.0	155.0
в том числе в возрасте, лет:																			
до 15	243140.0	471647.0	1.0	1375.0	63.0	1362.0	2874.0	232315.0	-	487.0	14.0	559.0	232473.0	124.0	33.0	19040.0	219654.0	4353.0	60.0
15-19	93285.0	150144.0	4639.0	7695.0	17124.0	523.0	1731.0	35437.0	2693.0	433.0	28.0	112.0	79213.0	516.0	15.0	38871.0	51960.0	2403.0	36.0
20-29	140418.0	174741.0	41933.0	36414.0	11686.0	200.0	3729.0	2152.0	12662.0	1447.0	408.0	230.0	60790.0	3090.0	30.0	106883.0	32668.0	826.0	11.0
30-49	223759.0	272552.0	102988.0	86860.0	100.0	1836.0	14436.0	2153.0	16884.0	1567.0	1509.0	706.0	37450.0	6063.0	56.0	176593.0	45394.0	1694.0	22.0
50-54	25785.0	32772.0	12191.0	9388.0	-	4216.0	3007.0	61.0	871.0	79.0	148.0	80.0	2209.0	522.0	7.0	19303.0	5961.0	509.0	5.0
