12. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
																			
	Численность населения соответст-вующей националь-ности	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения данной национальности указали			
			доход от трудовой деятельнос-ти (кроме работы в личном подсобном хозяйстве)	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государ-ственного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию		один источник средств к существо-ванию	два источника	три источника	четыре источника и более
Все население																			
20-29	1505.0	1913.0	816.0	40.0	217.0	16.0	42.0	93.0	30.0	156.0	6.0	1.0	454.0	42.0	3.0	1154.0	290.0	53.0	5.0
30-49	2260.0	2593.0	1619.0	120.0	3.0	67.0	120.0	118.0	53.0	148.0	14.0	3.0	248.0	80.0	4.0	1944.0	287.0	25.0	-
50-54	262.0	356.0	142.0	12.0	-	138.0	21.0	6.0	2.0	13.0	2.0	-	12.0	8.0	-	175.0	80.0	7.0	-
55-59	139.0	194.0	42.0	9.0	-	119.0	10.0	3.0	-	6.0	1.0	-	3.0	1.0	-	88.0	47.0	4.0	-
60-64	130.0	173.0	35.0	6.0	-	124.0	5.0	-	-	1.0	-	-	1.0	1.0	-	90.0	37.0	3.0	-
65 и более	184.0	237.0	24.0	11.0	-	171.0	7.0	-	-	16.0	1.0	2.0	5.0	-	-	135.0	45.0	4.0	-
возраст не указан	6.0	6.0	1.0	-	1.0	1.0	-	-	-	-	-	-	1.0	2.0	1.0	4.0	1.0	-	-
Эвенки	8576.0	11771.0	3248.0	352.0	785.0	1052.0	280.0	1477.0	113.0	525.0	37.0	10.0	3748.0	144.0	4.0	5590.0	2772.0	203.0	7.0
в том числе в возрасте, лет:																			
до 15	1933.0	3179.0	-	3.0	1.0	87.0	28.0	1089.0	-	147.0	-	1.0	1818.0	5.0	-	745.0	1131.0	56.0	1.0
15-19	1335.0	2090.0	145.0	15.0	523.0	83.0	18.0	181.0	6.0	78.0	2.0	-	1019.0	20.0	-	652.0	613.0	68.0	2.0
20-29	1793.0	2247.0	962.0	50.0	255.0	24.0	59.0	105.0	34.0	142.0	9.0	1.0	571.0	35.0	2.0	1375.0	379.0	34.0	3.0
30-49	2466.0	2860.0	1782.0	187.0	6.0	61.0	115.0	99.0	70.0	128.0	21.0	5.0	311.0	75.0	-	2094.0	351.0	20.0	1.0
50-54	339.0	460.0	205.0	34.0	-	163.0	19.0	-	3.0	10.0	2.0	1.0	16.0	7.0	-	224.0	109.0	6.0	-
55-59	206.0	292.0	80.0	17.0	-	169.0	11.0	-	-	8.0	1.0	1.0	3.0	2.0	-	125.0	76.0	5.0	-
60-64	201.0	274.0	52.0	17.0	-	183.0	13.0	1.0	-	3.0	1.0	-	4.0	-	2.0	133.0	57.0	9.0	-
65 и более	302.0	367.0	22.0	29.0	-	282.0	17.0	2.0	-	8.0	1.0	1.0	5.0	-	-	242.0	55.0	5.0	-
возраст не указан	1.0	2.0	-	-	-	-	-	-	-	1.0	-	-	1.0	-	-	-	1.0	-	-
Ханты	9924.0	12572.0	3804.0	418.0	710.0	1088.0	254.0	982.0	115.0	540.0	34.0	325.0	4154.0	148.0	15.0	7553.0	2066.0	273.0	17.0
в том числе в возрасте, лет:																			
до 15	2553.0	3401.0	-	21.0	-	67.0	30.0	658.0	-	132.0	1.0	107.0	2375.0	10.0	10.0	1757.0	717.0	66.0	3.0
15-19	1432.0	2041.0	167.0	28.0	524.0	43.0	12.0	100.0	11.0	122.0	2.0	31.0	980.0	21.0	-	919.0	420.0	90.0	3.0
20-29	1918.0	2286.0	1136.0	78.0	182.0	21.0	35.0	92.0	35.0	118.0	11.0	55.0	481.0	42.0	3.0	1592.0	279.0	40.0	4.0
30-49	2888.0	3350.0	2128.0	206.0	4.0	87.0	123.0	120.0	65.0	143.0	15.0	104.0	287.0	68.0	2.0	2470.0	372.0	40.0	4.0
50-54	398.0	528.0	238.0	26.0	-	190.0	16.0	5.0	4.0	9.0	2.0	10.0	23.0	5.0	-	285.0	98.0	13.0	2.0
55-59	181.0	260.0	64.0	15.0	-	160.0	6.0	2.0	-	3.0	1.0	8.0	1.0	-	-	113.0	58.0	9.0	1.0
60-64	233.0	308.0	53.0	18.0	-	217.0	9.0	-	-	4.0	1.0	4.0	2.0	-	-	165.0	61.0	7.0	-
65 и более	320.0	397.0	18.0	26.0	-	303.0	23.0	5.0	-	9.0	-	6.0	5.0	2.0	-	251.0	61.0	8.0	-
возраст не указан	1.0	1.0	-	-	-	-	-	-	-	-	1.0	-	-	-	-	1.0	-	-	-
Чукчи	3402.0	4707.0	1339.0	45.0	301.0	411.0	180.0	708.0	33.0	289.0	37.0	5.0	1243.0	116.0	44.0	2113.0	1147.0	93.0	5.0
в том числе в возрасте, лет:																			
до 15	751.0	1272.0	-	-	1.0	63.0	13.0	484.0	-	110.0	1.0	-	597.0	3.0	17.0	214.0	502.0	18.0	-
15-19	602.0	946.0	121.0	-	212.0	70.0	17.0	122.0	-	55.0	2.0	-	342.0	5.0	13.0	285.0	254.0	47.0	3.0
20-29	712.0	864.0	409.0	5.0	84.0	17.0	27.0	47.0	7.0	48.0	9.0	-	175.0	36.0	7.0	558.0	135.0	12.0	-
30-49	1012.0	1179.0	678.0	26.0	4.0	30.0	94.0	52.0	25.0	64.0	18.0	4.0	117.0	67.0	7.0	845.0	148.0	11.0	1.0
50-54	105.0	143.0	64.0	3.0	-	49.0	10.0	2.0	1.0	5.0	2.0	-	5.0	2.0	-	68.0	36.0	1.0	-
55-59	69.0	97.0	30.0	3.0	-	50.0	7.0	-	-	1.0	-	-	5.0	1.0	-	42.0	26.0	1.0	-
60-64	69.0	98.0	22.0	2.0	-	61.0	5.0	-	-	3.0	2.0	1.0	1.0	1.0	-	43.0	24.0	1.0	1.0
65 и более	80.0	105.0	14.0	6.0	-	71.0	6.0	1.0	-	2.0	3.0	-	1.0	1.0	-	57.0	21.0	2.0	-
возраст не указан	2.0	3.0	1.0	-	-	-	1.0	-	-	1.0	-	-	-	-	-	1.0	1.0	-	-
Манси	5919.0	7768.0	2182.0	474.0	334.0	719.0	150.0	911.0	97.0	182.0	10.0	10.0	2626.0	73.0	8.0	4145.0	1676.0	89.0	1.0
в том числе в возрасте, лет:																			
до 15	1666.0	2386.0	-	6.0	2.0	32.0	16.0	709.0	-	56.0	-	-	1558.0	7.0	2.0	967.0	672.0	25.0	-
15-19	836.0	1168.0	86.0	15.0	243.0	37.0	10.0	114.0	1.0	26.0	-	-	632.0	4.0	-	528.0	284.0	24.0	-
20-29	1012.0	1206.0	623.0	76.0	88.0	8.0	16.0	39.0	26.0	48.0	1.0	1.0	259.0	21.0	1.0	824.0	180.0	6.0	1.0
30-49	1678.0	2022.0	1269.0	254.0	1.0	59.0	74.0	43.0	67.0	42.0	7.0	8.0	161.0	37.0	4.0	1343.0	314.0	17.0	-
50-54	215.0	292.0	122.0	34.0	-	99.0	15.0	2.0	3.0	3.0	-	1.0	10.0	3.0	-	145.0	63.0	7.0	-
55-59	94.0	141.0	34.0	18.0	-	82.0	6.0	-	-	-	-	-	1.0	-	-	50.0	41.0	3.0	-
60-64	147.0	202.0	27.0	24.0	-	142.0	4.0	1.0	-	2.0	2.0	-	-	-	-	97.0	45.0	5.0	-
65 и более	270.0	349.0	21.0	47.0	-	260.0	9.0	2.0	-	5.0	-	-	4.0	1.0	1.0	191.0	76.0	2.0	-
возраст не указан	1.0	2.0	-	-	-	-	-	1.0	-	-	-	-	1.0	-	-	-	1.0	-	-
Коряки	2765.0	3748.0	919.0	78.0	173.0	323.0	73.0	581.0	172.0	245.0	10.0	7.0	1066.0	101.0	21.0	1882.0	753.0	80.0	29.0
в том числе в возрасте, лет:																			
до 15	721.0	1141.0	-	1.0	1.0	51.0	9.0	430.0	-	62.0	5.0	-	579.0	3.0	3.0	311.0	391.0	16.0	-
15-19	456.0	752.0	41.0	8.0	142.0	47.0	15.0	89.0	17.0	93.0	2.0	1.0	285.0	12.0	6.0	249.0	131.0	43.0	27.0
20-29	523.0	613.0	261.0	14.0	30.0	2.0	17.0	35.0	41.0	49.0	2.0	1.0	124.0	37.0	1.0	441.0	72.0	8.0	1.0
30-49	791.0	895.0	510.0	48.0	-	28.0	24.0	25.0	109.0	35.0	-	5.0	67.0	44.0	8.0	682.0	91.0	9.0	1.0
50-54	116.0	149.0	67.0	2.0	-	58.0	4.0	1.0	5.0	2.0	-	-	6.0	4.0	-	85.0	29.0	2.0	-
55-59	62.0	86.0	32.0	2.0	-	48.0	-	1.0	-	-	-	-	2.0	1.0	1.0	37.0	23.0	1.0	-
60-64	34.0	41.0	5.0	-	-	32.0	-	-	-	2.0	1.0	-	1.0	-	-	28.0	5.0	1.0	-
65 и более	62.0	71.0	3.0	3.0	-	57.0	4.0	-	-	2.0	-	-	2.0	-	2.0	49.0	11.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Долганы	1334.0	1791.0	464.0	16.0	183.0	140.0	39.0	175.0	30.0	86.0	4.0	2.0	643.0	9.0	3.0	894.0	417.0	17.0	3.0
в том числе в возрасте, лет:																			
до 15	300.0	428.0	-	-	-	19.0	7.0	98.0	-	31.0	-	1.0	272.0	-	1.0	176.0	117.0	6.0	-
15-19	254.0	408.0	9.0	1.0	121.0	16.0	3.0	31.0	3.0	17.0	-	-	207.0	-	-	110.0	136.0	6.0	2.0
20-29	325.0	420.0	169.0	4.0	61.0	5.0	7.0	24.0	11.0	14.0	2.0	-	120.0	3.0	1.0	234.0	85.0	4.0	1.0
30-49	336.0	382.0	250.0	8.0	1.0	5.0	16.0	14.0	16.0	22.0	2.0	1.0	42.0	5.0	-	291.0	44.0	1.0	-
50-54	30.0	43.0	18.0	2.0	-	16.0	2.0	2.0	-	1.0	-	-	1.0	1.0	-	17.0	13.0	-	-
55-59	25.0	28.0	7.0	-	-	19.0	-	1.0	-	-	-	-	1.0	-	-	22.0	3.0	-	-
60-64	27.0	38.0	9.0	-	-	26.0	1.0	2.0	-	-	-	-	-	-	-	16.0	11.0	-	-
65 и более	37.0	44.0	2.0	1.0	-	34.0	3.0	3.0	-	1.0	-	-	-	-	1.0	28.0	8.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Мужчины																			
Русские	40589298.0	49357363.0	20756750.0	2268726.0	1122919.0	6379222.0	1430258.0	3408506.0	190986.0	906220.0	118796.0	35533.0	12017704.0	721743.0	108202.0	32020443.0	8056999.0	392465.0	11189.0
в том числе в возрасте, лет:																			
до 15	6922000.0	9920327.0	1071.0	27449.0	5199.0	109123.0	74382.0	2896147.0	-	121524.0	1230.0	3994.0	6659234.0	20974.0	19596.0	3972957.0	2842468.0	85518.0	1461.0
15-19	4112035.0	5431147.0	674242.0	79272.0	798165.0	85175.0	57873.0	410704.0	8290.0	154832.0	2598.0	1959.0	3126642.0	31395.0	9056.0	2872996.0	1135973.0	90008.0	4002.0
20-29	7102107.0	7869557.0	5390594.0	262497.0	315906.0	14759.0	120995.0	29538.0	42392.0	315524.0	21549.0	5286.0	1202879.0	147638.0	18361.0	6329953.0	723261.0	29230.0	1302.0
30-49	12630729.0	13967756.0	10566545.0	925186.0	3456.0	350264.0	459734.0	43343.0	105977.0	235412.0	62454.0	15126.0	815723.0	384536.0	35129.0	11265558.0	1289294.0	39561.0	1187.0
50-54	2911271.0	3436245.0	2230329.0	283727.0	-	414111.0	211355.0	9263.0	23911.0	25947.0	12670.0	3293.0	141217.0	80422.0	7692.0	2402047.0	471138.0	29704.0	690.0
55-59	1524946.0	1894696.0	1004044.0	142507.0	-	494101.0	135256.0	4369.0	10382.0	11331.0	5747.0	1661.0	51797.0	33501.0	4380.0	1174346.0	318818.0	26909.0	493.0
60-64	1926412.0	2634537.0	568169.0	202322.0	-	1718606.0	102512.0	4752.0	-	13694.0	4166.0	1489.0	6164.0	12663.0	3479.0	1266602.0	602157.0	53128.0	1046.0
65 и более	3448036.0	4195201.0	317434.0	345606.0	-	3192309.0	267951.0	10237.0	-	27747.0	8358.0	2707.0	12786.0	10066.0	5898.0	2729509.0	673261.0	38375.0	993.0
возраст не указан	11762.0	7897.0	4322.0	160.0	193.0	774.0	200.0	153.0	34.0	209.0	24.0	18.0	1262.0	548.0	4611.0	6475.0	629.0	32.0	15.0
Татары	1759613.0	2069287.0	913948.0	111147.0	46282.0	244465.0	56554.0	84610.0	6871.0	36041.0	5363.0	1259.0	532724.0	30023.0	1586.0	1461581.0	282053.0	14004.0	389.0
в том числе в возрасте, лет:																			
до 15	302553.0	377284.0	17.0	1313.0	144.0	4413.0	3087.0	70934.0	-	3422.0	52.0	207.0	292975.0	720.0	221.0	229900.0	69966.0	2413.0	53.0
15-19	184114.0	231003.0	26561.0	3674.0	34701.0	3562.0	2322.0	10838.0	235.0	4745.0	107.0	74.0	142918.0	1266.0	126.0	140374.0	40355.0	3128.0	131.0
20-29	278684.0	307066.0	209457.0	10565.0	11307.0	603.0	4289.0	875.0	1252.0	12506.0	817.0	167.0	49293.0	5935.0	275.0	250809.0	26593.0	959.0	48.0
30-49	617319.0	686447.0	523844.0	51407.0	119.0	11276.0	21140.0	1301.0	4239.0	12228.0	3223.0	547.0	39451.0	17672.0	609.0	548851.0	66031.0	1787.0	41.0
50-54	113089.0	133962.0	89045.0	12332.0	-	13620.0	8008.0	209.0	776.0	1113.0	504.0	98.0	5482.0	2775.0	119.0	93191.0	18590.0	1169.0	20.0
55-59	52534.0	65978.0	35268.0	5917.0	-	16088.0	4766.0	98.0	369.0	436.0	195.0	45.0	1792.0	1004.0	47.0	40032.0	11427.0	1021.0	7.0
60-64	74153.0	100762.0	19937.0	9107.0	-	66618.0	3612.0	117.0	-	566.0	165.0	50.0	253.0	337.0	42.0	49640.0	22333.0	2096.0	42.0
65 и более	136864.0	166524.0	9678.0	16824.0	-	128260.0	9324.0	235.0	-	1017.0	300.0	71.0	511.0	304.0	80.0	108572.0	26735.0	1430.0	47.0
возраст не указан	303.0	261.0	141.0	8.0	11.0	25.0	6.0	3.0	-	8.0	-	-	49.0	10.0	67.0	212.0	23.0	1.0	-
Украинцы	1088279.0	1293229.0	667066.0	64922.0	10802.0	307840.0	37277.0	24393.0	4551.0	17440.0	4871.0	1009.0	129006.0	24052.0	2325.0	890294.0	184352.0	11028.0	280.0
в том числе в возрасте, лет:																			
до 15	61688.0	81088.0	18.0	151.0	33.0	723.0	595.0	18790.0	-	804.0	3.0	30.0	59797.0	144.0	178.0	42433.0	18582.0	489.0	6.0
15-19	39967.0	50714.0	6127.0	490.0	6834.0	601.0	491.0	3002.0	95.0	2000.0	41.0	17.0	30520.0	496.0	78.0	29811.0	9376.0	663.0	39.0
20-29	126267.0	136356.0	100404.0	3018.0	3818.0	175.0	1401.0	385.0	678.0	5419.0	683.0	112.0	15193.0	5070.0	372.0	115854.0	9642.0	378.0	21.0
30-49	441981.0	487329.0	382562.0	23295.0	113.0	26663.0	9920.0	1134.0	2753.0	6671.0	2647.0	470.0	17270.0	13831.0	1057.0	396122.0	43249.0	1514.0	39.0
50-54	106723.0	129989.0	83273.0	8760.0	-	24303.0	5411.0	254.0	686.0	685.0	532.0	108.0	3591.0	2386.0	212.0	84364.0	20846.0	1273.0	28.0
55-59	67667.0	89355.0	43852.0	5877.0	-	31358.0	4361.0	165.0	339.0	362.0	289.0	60.0	1569.0	1123.0	109.0	47390.0	18569.0	1569.0	30.0
60-64	91241.0	129322.0	32388.0	9206.0	-	82101.0	3775.0	229.0	-	447.0	260.0	68.0	305.0	543.0	112.0	56084.0	31964.0	3016.0	65.0
65 и более	152507.0	188833.0	18296.0	14118.0	-	141885.0	11319.0	430.0	-	1046.0	416.0	143.0	742.0	438.0	189.0	118036.0	32105.0	2126.0	51.0
возраст не указан	238.0	243.0	146.0	7.0	4.0	31.0	4.0	4.0	-	6.0	-	1.0	19.0	21.0	18.0	200.0	19.0	-	1.0
Башкиры	371028.0	460968.0	186622.0	32880.0	14123.0	42609.0	10079.0	26831.0	2118.0	9707.0	1104.0	248.0	128822.0	5825.0	169.0	286425.0	78964.0	5274.0	196.0
в том числе в возрасте, лет:																			
до 15	72052.0	96779.0	-	793.0	56.0	1575.0	899.0	22484.0	-	1387.0	5.0	26.0	69340.0	214.0	14.0	48674.0	22061.0	1233.0	70.0
15-19	46915.0	64284.0	7290.0	1548.0	11380.0	1358.0	563.0	3583.0	110.0	1085.0	20.0	21.0	37032.0	294.0	9.0	31376.0	13765.0	1686.0	79.0
20-29	63190.0	71522.0	47668.0	3543.0	2648.0	172.0	937.0	271.0	425.0	2747.0	202.0	38.0	11741.0	1130.0	35.0	55155.0	7644.0	345.0	11.0
30-49	126300.0	146177.0	105754.0	15770.0	38.0	1987.0	3960.0	338.0	1312.0	3633.0	670.0	118.0	9185.0	3412.0	74.0	106812.0	18891.0	509.0	14.0
50-54	20059.0	25162.0	15517.0	3334.0	-	2788.0	1311.0	49.0	194.0	318.0	88.0	14.0	1058.0	491.0	12.0	15281.0	4423.0	337.0	6.0
55-59	8987.0	12052.0	5731.0	1499.0	-	3404.0	639.0	32.0	77.0	138.0	34.0	8.0	319.0	171.0	5.0	6212.0	2472.0	296.0	2.0
60-64	12430.0	17804.0	3190.0	2386.0	-	11355.0	525.0	24.0	-	170.0	34.0	13.0	46.0	61.0	4.0	7612.0	4260.0	545.0	9.0
65 и более	21033.0	27136.0	1433.0	4006.0	-	19967.0	1245.0	49.0	-	229.0	51.0	10.0	96.0	50.0	6.0	15251.0	5448.0	323.0	5.0
возраст не указан	62.0	52.0	39.0	1.0	1.0	3.0	-	1.0	-	-	-	-	5.0	2.0	10.0	52.0	-	-	-
Чуваши	384208.0	492062.0	210726.0	34856.0	10428.0	53964.0	12836.0	42305.0	2229.0	9883.0	1247.0	261.0	107721.0	5606.0	253.0	281178.0	97607.0	5024.0	146.0
в том числе в возрасте, лет:																			
до 15	56892.0	93491.0	2.0	319.0	35.0	931.0	655.0	35558.0	-	917.0	4.0	36.0	54942.0	92.0	24.0	21258.0	34608.0	991.0	11.0
15-19	37425.0	53305.0	5997.0	1052.0	8367.0	820.0	453.0	5913.0	125.0	1250.0	29.0	17.0	29105.0	177.0	22.0	22841.0	13289.0	1209.0	64.0
20-29	60381.0	68282.0	45510.0	3180.0	1998.0	131.0	947.0	240.0	478.0	3349.0	211.0	37.0	11042.0	1159.0	41.0	52713.0	7324.0	292.0	11.0
30-49	145798.0	167681.0	122789.0	16373.0	25.0	3278.0	4893.0	421.0	1278.0	3556.0	769.0	104.0	10704.0	3491.0	114.0	124346.0	20706.0	612.0	20.0
50-54	27144.0	33994.0	21512.0	4368.0	-	3574.0	1983.0	56.0	254.0	315.0	99.0	28.0	1353.0	452.0	17.0	20739.0	5919.0	461.0	8.0
55-59	12057.0	16003.0	8123.0	2023.0	-	3903.0	1088.0	29.0	94.0	109.0	38.0	15.0	438.0	143.0	8.0	8434.0	3279.0	333.0	3.0
60-64	16978.0	24335.0	4730.0	2936.0	-	15530.0	810.0	32.0	-	136.0	40.0	10.0	61.0	50.0	6.0	10356.0	5890.0	705.0	21.0
65 и более	27491.0	34932.0	2042.0	4603.0	-	25791.0	2005.0	56.0	-	249.0	57.0	14.0	73.0	42.0	13.0	20462.0	6587.0	421.0	8.0
возраст не указан	42.0	39.0	21.0	2.0	3.0	6.0	2.0	-	-	2.0	-	-	3.0	-	8.0	29.0	5.0	-	-
Чеченцы	239881.0	293770.0	51263.0	7874.0	7609.0	13418.0	6396.0	71903.0	14782.0	5188.0	1100.0	460.0	101637.0	12140.0	3052.0	181007.0	54749.0	1032.0	41.0
в том числе в возрасте, лет:																			
до 15	82582.0	116963.0	8.0	15.0	8.0	882.0	511.0	62203.0	-	756.0	5.0	68.0	52280.0	227.0	564.0	47515.0	34066.0	432.0	5.0
15-19	26484.0	33970.0	933.0	315.0	3768.0	265.0	314.0	8364.0	1577.0	542.0	23.0	16.0	17350.0	503.0	356.0	18477.0	7465.0	181.0	5.0
20-29	37430.0	41311.0	10440.0	1677.0	3730.0	84.0	551.0	426.0	4689.0	1435.0	186.0	82.0	15078.0	2933.0	747.0	32182.0	4385.0	105.0	11.0
30-49	67847.0	72954.0	33370.0	4491.0	103.0	529.0	2638.0	715.0	7417.0	2113.0	692.0	247.0	13481.0	7158.0	1121.0	60731.0	5777.0	206.0	12.0
50-54	9684.0	10573.0	4339.0	737.0	-	629.0	946.0	85.0	875.0	213.0	109.0	25.0	1704.0	911.0	167.0	8505.0	969.0	42.0	1.0
55-59	3498.0	3837.0	1235.0	219.0	-	786.0	433.0	27.0	220.0	54.0	40.0	10.0	572.0	241.0	34.0	3108.0	341.0	13.0	2.0
60-64	4442.0	5151.0	636.0	164.0	-	3369.0	398.0	31.0	-	33.0	22.0	5.0	395.0	98.0	14.0	3732.0	671.0	23.0	2.0
65 и более	7825.0	8945.0	289.0	255.0	-	6871.0	604.0	48.0	-	35.0	22.0	6.0	751.0	64.0	23.0	6697.0	1072.0	30.0	3.0
возраст не указан	89.0	66.0	13.0	1.0	-	3.0	1.0	4.0	4.0	7.0	1.0	1.0	26.0	5.0	26.0	60.0	3.0	-	-
Армяне	446424.0	510351.0	231697.0	11338.0	6642.0	43847.0	10542.0	33632.0	1038.0	5997.0	3650.0	1100.0	145503.0	15365.0	1242.0	381628.0	61988.0	1523.0	43.0
в том числе в возрасте, лет:																			
до 15	86257.0	115247.0	16.0	101.0	27.0	315.0	517.0	29244.0	-	432.0	11.0	59.0	84372.0	153.0	230.0	57176.0	28491.0	351.0	9.0
15-19	37113.0	45098.0	4734.0	338.0	3953.0	228.0	354.0	3755.0	25.0	965.0	40.0	25.0	30287.0	394.0	68.0	29264.0	7513.0	264.0	4.0
20-29	70187.0	75344.0	47411.0	1533.0	2586.0	69.0	670.0	166.0	227.0	1849.0	544.0	151.0	16446.0	3692.0	204.0	64764.0	5081.0	134.0	4.0
30-49	169675.0	179109.0	141270.0	6083.0	74.0	1810.0	3466.0	342.0	625.0	2387.0	2344.0	586.0	11081.0	9041.0	525.0	159452.0	9450.0	238.0	10.0
50-54	25527.0	27409.0	19995.0	1099.0	-	1428.0	1366.0	30.0	113.0	136.0	352.0	127.0	1599.0	1164.0	78.0	23576.0	1789.0	82.0	2.0
55-59	12382.0	13712.0	8777.0	524.0	-	1787.0	987.0	26.0	48.0	56.0	181.0	54.0	801.0	471.0	38.0	11038.0	1248.0	54.0	4.0
60-64	16028.0	20279.0	5598.0	668.0	-	12380.0	842.0	22.0	-	46.0	83.0	48.0	336.0	256.0	22.0	11958.0	3831.0	210.0	7.0
65 и более	29097.0	34023.0	3811.0	989.0	-	25826.0	2339.0	47.0	-	126.0	95.0	50.0	569.0	171.0	41.0	24286.0	4577.0	190.0	3.0
возраст не указан	158.0	130.0	85.0	3.0	2.0	4.0	1.0	-	-	-	-	-	12.0	23.0	36.0	114.0	8.0	-	-
Мордва	198645.0	255104.0	115352.0	26720.0	4989.0	38456.0	9233.0	13837.0	1155.0	3309.0	495.0	191.0	38836.0	2531.0	170.0	145088.0	50225.0	3087.0	75.0
в том числе в возрасте, лет:																			
до 15	16877.0	29160.0	2.0	380.0	35.0	308.0	281.0	11455.0	-	268.0	-	15.0	16395.0	21.0	9.0	5232.0	10991.0	634.0	11.0
15-19	13399.0	20445.0	1978.0	879.0	3872.0	344.0	213.0	1960.0	23.0	471.0	4.0	6.0	10646.0	49.0	7.0	7152.0	5466.0	735.0	39.0
20-29	25335.0	29787.0	19386.0	2600.0	1074.0	93.0	403.0	94.0	153.0	920.0	64.0	16.0	4559.0	425.0	26.0	21029.0	4090.0	183.0	7.0
30-49	81319.0	96119.0	68674.0	12550.0	7.0	1877.0	3196.0	187.0	719.0	1212.0	269.0	89.0	5785.0	1554.0	87.0	66729.0	14121.0	380.0	2.0
50-54	20098.0	24999.0	15616.0	3393.0	-	2451.0	1742.0	45.0	190.0	144.0	63.0	18.0	1026.0	311.0	19.0	15434.0	4372.0	271.0	2.0
55-59	8085.0	10741.0	5275.0	1413.0	-	2589.0	867.0	20.0	70.0	56.0	21.0	5.0	318.0	107.0	11.0	5610.0	2270.0	188.0	6.0
60-64	12294.0	17312.0	3090.0	2141.0	-	11104.0	775.0	23.0	-	75.0	19.0	16.0	35.0	34.0	1.0	7717.0	4139.0	432.0	5.0
65 и более	21222.0	26522.0	1322.0	3364.0	-	19686.0	1754.0	53.0	-	163.0	54.0	26.0	71.0	29.0	8.0	16174.0	4775.0	262.0	3.0
возраст не указан	16.0	19.0	9.0	-	1.0	4.0	2.0	-	-	-	1.0	-	1.0	1.0	2.0	11.0	1.0	2.0	-
Аварцы	153220.0	212574.0	54936.0	3246.0	13801.0	8459.0	4341.0	42691.0	2087.0	2540.0	929.0	597.0	75906.0	3041.0	44.0	94638.0	57696.0	824.0	18.0
в том числе в возрасте, лет:																			
до 15	40506.0	76461.0	1.0	2.0	42.0	197.0	349.0	36779.0	-	211.0	3.0	105.0	38739.0	33.0	9.0	4961.0	35118.0	408.0	10.0
15-19	22428.0	35362.0	2167.0	94.0	8103.0	79.0	213.0	5747.0	114.0	305.0	7.0	29.0	18407.0	97.0	2.0	9737.0	12448.0	235.0	6.0
20-29	30075.0	36222.0	13606.0	679.0	5605.0	15.0	433.0	76.0	751.0	1038.0	166.0	98.0	12929.0	826.0	8.0	23970.0	6039.0	58.0	-
30-49	43704.0	46250.0	32038.0	2023.0	48.0	259.0	1815.0	74.0	1125.0	905.0	666.0	286.0	5165.0	1846.0	21.0	41184.0	2433.0	64.0	2.0
50-54	5328.0	5648.0	3827.0	231.0	-	311.0	507.0	5.0	75.0	27.0	55.0	40.0	407.0	163.0	4.0	5015.0	294.0	15.0	-
55-59	2451.0	2663.0	1602.0	90.0	-	409.0	307.0	-	22.0	11.0	19.0	14.0	143.0	46.0	-	2251.0	188.0	12.0	-
60-64	3274.0	3912.0	1076.0	71.0	-	2393.0	270.0	3.0	-	18.0	6.0	7.0	50.0	18.0	-	2659.0	592.0	23.0	-
65 и более	5441.0	6040.0	611.0	56.0	-	4795.0	447.0	7.0	-	25.0	7.0	18.0	64.0	10.0	-	4851.0	581.0	9.0	-
возраст не указан	13.0	16.0	8.0	-	3.0	1.0	-	-	-	-	-	-	2.0	2.0	-	10.0	3.0	-	-
Белорусы	291781.0	348939.0	172961.0	18103.0	3050.0	92335.0	10871.0	6217.0	1294.0	5161.0	1228.0	244.0	31692.0	5783.0	552.0	236936.0	51008.0	3175.0	110.0
в том числе в возрасте, лет:																			
до 15	14168.0	18922.0	5.0	41.0	9.0	195.0	136.0	4593.0	-	221.0	4.0	9.0	13680.0	29.0	37.0	9496.0	4483.0	148.0	4.0
15-19	10113.0	13107.0	1312.0	116.0	1939.0	169.0	111.0	870.0	15.0	739.0	10.0	3.0	7719.0	104.0	14.0	7284.0	2636.0	166.0	13.0
20-29	29718.0	32281.0	23519.0	680.0	1064.0	52.0	331.0	103.0	146.0	1473.0	143.0	28.0	3654.0	1088.0	71.0	27144.0	2389.0	102.0	12.0
30-49	117078.0	129187.0	100526.0	6041.0	37.0	7471.0	2859.0	307.0	841.0	1896.0	670.0	120.0	5027.0	3392.0	239.0	104900.0	11550.0	372.0	17.0
50-54	27104.0	33011.0	20962.0	2171.0	-	6159.0	1535.0	78.0	189.0	214.0	129.0	20.0	929.0	625.0	51.0	21458.0	5254.0	325.0	16.0
