7. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ И УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
										
										
	Всего	Имеющие образование							Не имеющие
начального
общего
образова-ния
	Не указавшие уровень образова-ния
		профессиональное				общее				
		послевузовское и высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
										
Центральный федеральный округ										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	95364.0	50976.0	2849.0	28679.0	4814.0	7197.0	689.0	62.0	-	98.0
специалисты высшего уровня квалификации	135768.0	102540.0	4124.0	22113.0	2585.0	4052.0	217.0	-	-	137.0
специалисты среднего уровня квалификации	106337.0	19671.0	3861.0	61448.0	8722.0	11387.0	1023.0	90.0	9.0	126.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	24330.0	4481.0	1235.0	10447.0	2535.0	5195.0	375.0	30.0	-	32.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	115971.0	14046.0	3303.0	43912.0	19660.0	30343.0	4127.0	418.0	64.0	98.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	23618.0	857.0	111.0	5101.0	5065.0	7679.0	4234.0	515.0	49.0	7.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	134877.0	7596.0	2276.0	45465.0	32319.0	39477.0	6567.0	909.0	93.0	175.0
операторы, аппаратчики, машинисты установок и машин	133007.0	5878.0	1664.0	39233.0	33262.0	42752.0	9072.0	1011.0	38.0	97.0
неквалифицированные рабочие	101682.0	5036.0	1388.0	28473.0	20877.0	33227.0	10707.0	1786.0	87.0	101.0
занятые на военной службе	7531.0	3733.0	155.0	2401.0	448.0	742.0	48.0	4.0	-	-
лица, неточно указавшие или не указавшие занятия 	16523.0	3871.0	463.0	5233.0	2228.0	3581.0	823.0	169.0	40.0	115.0
Ивановская область										
Все население, занятое в экономике	477036.0	98858.0	10329.0	167680.0	88695.0	79507.0	28499.0	2930.0	145.0	393.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	51048.0	25611.0	1575.0	17065.0	3035.0	3159.0	507.0	44.0	-	52.0
специалисты высшего уровня квалификации	59716.0	43658.0	1871.0	10987.0	1372.0	1553.0	223.0	4.0	-	48.0
специалисты среднего уровня квалификации	54984.0	8878.0	1837.0	33262.0	5140.0	4881.0	854.0	103.0	-	29.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	10762.0	1834.0	448.0	4973.0	1266.0	1949.0	265.0	11.0	-	16.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	57853.0	5301.0	1487.0	24024.0	11710.0	11903.0	3023.0	294.0	57.0	54.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6843.0	220.0	58.0	1607.0	1931.0	1513.0	1344.0	154.0	16.0	-
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	99450.0	4027.0	1323.0	33154.0	28207.0	23397.0	8513.0	745.0	18.0	66.0
операторы, аппаратчики, машинисты установок и машин	75981.0	2867.0	829.0	24145.0	22860.0	18334.0	6259.0	592.0	27.0	68.0
неквалифицированные рабочие	44976.0	1845.0	567.0	13331.0	11023.0	10563.0	6696.0	892.0	23.0	36.0
занятые на военной службе	5950.0	2648.0	126.0	2102.0	460.0	525.0	89.0	-	-	-
лица, неточно указавшие или не указавшие занятия 	9473.0	1969.0	208.0	3030.0	1691.0	1730.0	726.0	91.0	4.0	24.0
Калужская область										
Все население, занятое в экономике	461716.0	103824.0	11258.0	184120.0	69697.0	67736.0	21816.0	2686.0	175.0	404.0
в том числе по группам занятий:										
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	53962.0	27023.0	1674.0	19236.0	2585.0	2860.0	460.0	89.0	-	35.0
специалисты высшего уровня квалификации	66423.0	48491.0	2036.0	12629.0	1400.0	1604.0	218.0	-	-	45.0
специалисты среднего уровня квалификации	55209.0	7248.0	2551.0	35289.0	4481.0	4882.0	708.0	25.0	-	25.0
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	11375.0	1745.0	481.0	5919.0	1105.0	1937.0	167.0	17.0	-	4.0
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	55728.0	5586.0	1489.0	26053.0	9090.0	10568.0	2643.0	202.0	72.0	25.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	6855.0	187.0	41.0	1800.0	1643.0	1613.0	1370.0	183.0	11.0	7.0
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	85362.0	3596.0	1190.0	36137.0	20513.0	17766.0	5488.0	604.0	16.0	52.0
операторы, аппаратчики, машинисты установок и машин	63120.0	2503.0	774.0	24902.0	16722.0	13396.0	4306.0	479.0	9.0	29.0
неквалифицированные рабочие	46813.0	1880.0	639.0	15819.0	10389.0	11047.0	5939.0	1001.0	67.0	32.0
