5.6. ЗАНЯТОЕ НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ 																		
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																		
																		
	Все занятое в экономике население	в том числе по видам экономической деятельности																
		сельское хозяйство, охота и лесное хозяйство	рыболовство, рыбоводство	добыча полезных ископаемых	обрабатываю-щие производства	производство и распределение электро-энергии, газа и воды	строительство	оптовая и розничная торговля; ремонт авто-транспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	гостиницы и рестораны	транспорт и связь	финансовая деятельность	операции с недвижимым имуществом, аренда и предо-ставление услуг	государствен-ное управление и обеспечение военной безопасности; обязательное социальное обеспечение	образование	здраво-охранение и предо-ставление социальных услуг	предо-ставление прочих коммуна-льных, социальных и персональных услуг	предо-ставление услуг по ведению домашнего хозяйства	деятельность экстерритори-альных организаций
Кабардино–Балкарская Республика	282515.0	28720.0	176.0	1926.0	40719.0	6744.0	18951.0	36384.0	7236.0	25749.0	3239.0	9117.0	23840.0	40977.0	27767.0	10402.0	132.0	5.0
Республика Калмыкия	97282.0	18520.0	676.0	1147.0	4149.0	3263.0	5562.0	9642.0	2272.0	6947.0	1067.0	3307.0	11479.0	14582.0	10088.0	4475.0	11.0	1.0
Карачаево-Черкесская Республика	108924.0	12853.0	31.0	1181.0	17995.0	3999.0	6034.0	12116.0	2040.0	7725.0	1417.0	3762.0	10696.0	15272.0	9292.0	3939.0	29.0	2.0
Республика Северная Осетия – Алания	191905.0	11524.0	64.0	796.0	31073.0	4512.0	13204.0	23888.0	4785.0	16835.0	2364.0	4567.0	26979.0	24116.0	17815.0	8855.0	170.0	26.0
Краснодарский край	1952115.0	288363.0	5500.0	20282.0	263059.0	36131.0	158617.0	290654.0	58318.0	209354.0	22552.0	60459.0	115125.0	160684.0	172618.0	81571.0	1157.0	112.0
Ставропольский край	996620.0	150700.0	1105.0	10859.0	129479.0	29327.0	74311.0	160499.0	22290.0	86507.0	12498.0	20754.0	64353.0	93103.0	88242.0	49706.0	762.0	82.0
Астраханская область	393885.0	27388.0	9091.0	14869.0	40609.0	7602.0	26206.0	52389.0	7567.0	42000.0	4691.0	19108.0	44760.0	39873.0	37462.0	17747.0	166.0	20.0
Волгоградская область	1056979.0	105668.0	1703.0	10490.0	225034.0	26563.0	69925.0	150952.0	21668.0	97896.0	12988.0	50774.0	64967.0	93531.0	77897.0	40562.0	339.0	49.0
Ростовская область	1659942.0	181314.0	3733.0	41782.0	292035.0	42086.0	120969.0	254546.0	34216.0	160907.0	20987.0	58252.0	93437.0	146872.0	123305.0	62043.0	430.0	16.0
Приволжский федеральный округ	13255158.0	1419781.0	5142.0	271922.0	3108879.0	323034.0	919885.0	1633936.0	277462.0	1088926.0	159752.0	543329.0	735167.0	1229265.0	954471.0	493018.0	3664.0	562.0
Республика Башкортостан	1672385.0	220481.0	292.0	67212.0	334757.0	46447.0	135039.0	191256.0	30231.0	122374.0	16032.0	48939.0	75267.0	181701.0	115852.0	75373.0	210.0	60.0
Республика Марий Эл	299661.0	42296.0	163.0	1344.0	60077.0	8507.0	23283.0	33643.0	6607.0	20111.0	3427.0	6242.0	23806.0	32573.0	23360.0	13131.0	64.0	24.0
Республика Мордовия	349073.0	48423.0	95.0	365.0	84235.0	8520.0	22824.0	36654.0	5650.0	26259.0	4676.0	11294.0	24361.0	34513.0	29551.0	11384.0	60.0	20.0
Республика Татарстан	1685719.0	189378.0	832.0	61191.0	359171.0	43266.0	141898.0	194062.0	34618.0	138991.0	22485.0	65442.0	73878.0	170010.0	112385.0	66055.0	401.0	68.0
Удмуртская Республика	724578.0	85031.0	259.0	20410.0	184129.0	11891.0	47175.0	86908.0	15111.0	45144.0	8806.0	22460.0	36816.0	70931.0	53902.0	30410.0	424.0	143.0
Чувашская Республика	548915.0	86622.0	259.0	2082.0	128241.0	10907.0	51370.0	65605.0	14266.0	35321.0	5840.0	14612.0	26848.0	48857.0	38287.0	18359.0	128.0	20.0
Кировская область	667050.0	102696.0	106.0	3757.0	150062.0	14572.0	33786.0	84370.0	14731.0	49949.0	6855.0	23369.0	44612.0	61239.0	51805.0	20307.0	197.0	36.0
Нижегородская область	1570198.0	106919.0	369.0	2021.0	486189.0	31733.0	94892.0	210697.0	36512.0	128899.0	20123.0	97458.0	92454.0	114809.0	100526.0	42165.0	474.0	32.0
Оренбургская область	877206.0	123178.0	308.0	46494.0	132380.0	28530.0	48484.0	99942.0	16721.0	85740.0	9987.0	37757.0	59983.0	87704.0	73661.0	24046.0	213.0	-
Пензенская область	561906.0	72446.0	95.0	1714.0	128827.0	11957.0	34156.0	74762.0	11297.0	45848.0	7415.0	16974.0	33821.0	53354.0	43661.0	24191.0	81.0	20.0
Пермская область	1213888.0	94941.0	288.0	24249.0	294307.0	30821.0	81138.0	146607.0	28397.0	104135.0	14314.0	45577.0	68387.0	119014.0	90637.0	56714.0	333.0	47.0
Коми–Пермяцкий автономный округ	45469.0	12106.0	15.0	18.0	2245.0	885.0	2081.0	4835.0	573.0	2383.0	502.0	493.0	4404.0	7798.0	5071.0	1960.0	6.0	-
Самарская область	1456616.0	74843.0	714.0	25136.0	404000.0	31116.0	101378.0	193520.0	32290.0	139053.0	19425.0	76869.0	74442.0	108379.0	95393.0	54098.0	500.0	48.0
Саратовская область	1050813.0	113532.0	800.0	11490.0	199461.0	31911.0	69963.0	141877.0	19316.0	103419.0	13670.0	48700.0	68361.0	97038.0	84676.0	40609.0	448.0	44.0
Ульяновская область	577150.0	58995.0	562.0	4457.0	163043.0	12856.0	34499.0	74033.0	11715.0	43683.0	6697.0	27636.0	32131.0	49143.0	40775.0	16176.0	131.0	-
Уральский федеральный округ	5532230.0	317218.0	5559.0	300860.0	1172134.0	137128.0	410866.0	679155.0	114494.0	552253.0	67771.0	222239.0	316672.0	483912.0	371373.0	290302.0	1507.0	399.0
Курганская область	384443.0	60524.0	202.0	2107.0	68514.0	9900.0	21480.0	44982.0	7013.0	34972.0	4139.0	13206.0	29349.0	41446.0	31859.0	11704.0	132.0	-
Свердловская область	2020024.0	98434.0	477.0	59608.0	564626.0	46349.0	125900.0	262994.0	41195.0	171449.0	26317.0	72705.0	111837.0	162416.0	131324.0	109830.0	619.0	284.0
Тюменская область	1561396.0	70361.0	4237.0	208624.0	87401.0	44694.0	157203.0	168399.0	33454.0	209853.0	20419.0	65227.0	93658.0	149463.0	107171.0	99496.0	352.0	19.0
Ханты-Мансийский автономный округ - Югра	750403.0	11654.0	1106.0	143427.0	24899.0	26535.0	74448.0	70637.0	16888.0	115213.0	9295.0	25078.0	39978.0	65830.0	47041.0	54102.0	158.0	5.0
Ямало-Ненецкий автономный округ	272206.0	4666.0	2519.0	57121.0	4597.0	6072.0	32128.0	21140.0	4523.0	38176.0	2843.0	14266.0	18319.0	28200.0	16385.0	16033.0	29.0	2.0
Челябинская область	1566367.0	87899.0	643.0	30521.0	451593.0	36185.0	106283.0	202780.0	32832.0	135979.0	16896.0	71101.0	81828.0	130587.0	101019.0	69272.0	404.0	96.0
Сибирский федеральный округ	8096818.0	812582.0	4971.0	288188.0	1253239.0	248311.0	506266.0	1071645.0	175593.0	797518.0	90858.0	408583.0	591471.0	824279.0	635296.0	308056.0	2820.0	264.0
Республика Алтай	67280.0	10372.0	7.0	853.0	3748.0	1416.0	4775.0	8070.0	1158.0	3588.0	973.0	2023.0	8755.0	12046.0	6505.0	2794.0	86.0	1.0
Республика Бурятия	345237.0	32011.0	1054.0	8802.0	40337.0	13755.0	20162.0	41224.0	8998.0	32108.0	3837.0	17030.0	38036.0	44261.0	28612.0	13306.0	129.0	12.0
Республика Тыва	82503.0	5376.0	40.0	1268.0	2807.0	2304.0	3383.0	9247.0	1461.0	5423.0	1046.0	2078.0	12510.0	19979.0	10895.0	4595.0	15.0	2.0
Республика Хакасия	213696.0	18053.0	185.0	12927.0	29088.0	6194.0	14357.0	30999.0	4430.0	20315.0	2582.0	8695.0	15171.0	23152.0	15767.0	9182.0	77.0	16.0
Алтайский край	1035034.0	184540.0	498.0	2322.0	181481.0	35670.0	53131.0	142939.0	21215.0	80627.0	10716.0	28927.0	79484.0	99965.0	80795.0	30375.0	386.0	10.0
Красноярский край	1284174.0	116905.0	1217.0	38920.0	212512.0	41929.0	82683.0	163037.0	25392.0	127812.0	13442.0	85180.0	94980.0	125247.0	95512.0	43874.0	376.0	48.0
Таймырский (Долгано-Ненецкий) автономный округ	19414.0	933.0	799.0	571.0	359.0	403.0	1072.0	1549.0	299.0	3958.0	162.0	2027.0	2043.0	2546.0	1724.0	833.0	-	-
Эвенкийский автономный округ	8453.0	588.0	20.0	589.0	65.0	526.0	339.0	560.0	86.0	943.0	137.0	1010.0	1314.0	1093.0	823.0	281.0	6.0	-
