2.2. НАСЕЛЕНИЕ ПО УРОВНЮ ОБРАЗОВАНИЯ, ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ										
										
	Всего	Имеющие образование								Не имеющие начального общего образования
		профессиональное					общее			
		после-
вузов-
ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное	
50 – 54	3477142.0	21059.0	801789.0	61930.0	1038701.0	561706.0	606830.0	276559.0	47324.0	4902.0
55 – 59	1817801.0	14813.0	460204.0	34231.0	506572.0	274870.0	262979.0	176310.0	50943.0	3064.0
60 – 64	2313523.0	17980.0	525904.0	33798.0	556724.0	305143.0	273612.0	357378.0	202140.0	6360.0
65 – 69	1666739.0	12918.0	345861.0	19591.0	368836.0	195383.0	144742.0	269509.0	277803.0	9357.0
70 и более	2460976.0	15371.0	384005.0	23303.0	433378.0	219079.0	162330.0	441831.0	715481.0	33564.0
Возраст не указан	56500.0	98.0	1828.0	636.0	3376.0	1651.0	2227.0	1048.0	487.0	270.0
Женщины в возрасте 15 лет и более	49308811.0	156231.0	9344558.0	1785095.0	15131886.0	4689914.0	8200688.0	5766973.0	3149593.0	393052.0
в том числе в возрасте, лет:										
15 – 19	4793999.0	-	1098.0	208211.0	299061.0	177401.0	1928750.0	1931663.0	176683.0	13345.0
20 – 24	4424995.0	9218.0	686081.0	742374.0	1298930.0	456557.0	946174.0	199737.0	18735.0	8770.0
25 – 29	4092495.0	21096.0	1124939.0	207683.0	1451433.0	456785.0	575005.0	171992.0	15212.0	7813.0
30 – 34	3741347.0	18137.0	1024930.0	135783.0	1532249.0	421153.0	437398.0	89260.0	12710.0	6675.0
35 – 39	3868050.0	16119.0	1071906.0	102505.0	1624138.0	440441.0	463585.0	70162.0	11748.0	6379.0
40 – 44	4866575.0	18544.0	1256366.0	97457.0	2022332.0	580667.0	695255.0	99939.0	16149.0	6913.0
45 – 49	4681369.0	16613.0	1115432.0	72380.0	1897375.0	579919.0	737187.0	165154.0	23889.0	6488.0
50 – 54	4232696.0	14322.0	936247.0	59148.0	1658634.0	472380.0	719044.0	265086.0	39046.0	6154.0
55 – 59	2334459.0	9788.0	566473.0	36383.0	793927.0	230392.0	375962.0	222893.0	57121.0	4317.0
60 – 64	3429524.0	11530.0	598050.0	36216.0	981203.0	301520.0	522110.0	641906.0	279903.0	12901.0
65 – 69	2749960.0	8294.0	409705.0	24217.0	662410.0	211746.0	296262.0	591481.0	483134.0	29338.0
70 и более	6093342.0	12570.0	553331.0	62738.0	910194.0	360953.0	503956.0	1317700.0	2015263.0	283959.0
Возраст не указан	55394.0	70.0	1955.0	555.0	3019.0	996.0	2140.0	991.0	660.0	290.0
Сельское население в возрасте 15 лет и более	31180619.0	25778.0	2289053.0	422762.0	6655623.0	5030696.0	5584968.0	5932421.0	4515602.0	685492.0
в том числе в возрасте, лет:										
15 – 19	3142297.0	-	43.0	34958.0	154029.0	175038.0	748900.0	1700439.0	293826.0	26750.0
20 – 24	2610264.0	1472.0	156394.0	132802.0	611603.0	468380.0	673771.0	460515.0	81497.0	20672.0
25 – 29	2463132.0	2928.0	231820.0	53112.0	628575.0	501932.0	589415.0	383356.0	51874.0	17068.0
30 – 34	2402589.0	2621.0	233313.0	38667.0	767081.0	525563.0	549685.0	234318.0	33630.0	14772.0
