15. НАСЕЛЕНИЕ ПО ГРАЖДАНСТВУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
 	Всего	в том числе в возрасте, лет								Возраст не указан	Из общей численности - население в возрасте		
		0-9	10-19	20-29	30-39	40-49	50-59	60-69	70 и более		моложе трудо-способного	трудоспособном	старше трудо-способного
Центральный федеральный округ													
Белгородская область													
Узбекистана	800.0	92.0	142.0	164.0	123.0	102.0	62.0	79.0	36.0	-	169.0	499.0	132.0
Украины	2967.0	209.0	393.0	512.0	512.0	498.0	265.0	300.0	278.0	-	436.0	1896.0	635.0
других стран мира	889.0	23.0	180.0	478.0	124.0	51.0	24.0	5.0	4.0	-	36.0	840.0	13.0
Афганистана	12.0	-	5.0	2.0	2.0	2.0	1.0	-	-	-	3.0	9.0	-
Болгарии	14.0	2.0	1.0	1.0	4.0	2.0	4.0	-	-	-	3.0	11.0	-
Вьетнама	116.0	6.0	15.0	49.0	33.0	13.0	-	-	-	-	7.0	109.0	-
Германии	13.0	2.0	2.0	5.0	1.0	1.0	2.0	-	-	-	2.0	11.0	-
Греции	8.0	2.0	-	2.0	2.0	-	-	-	2.0	-	2.0	4.0	2.0
Израиля	5.0	-	-	3.0	2.0	-	-	-	-	-	-	5.0	-
Индии	6.0	-	-	4.0	2.0	-	-	-	-	-	-	6.0	-
Китая	165.0	-	60.0	101.0	4.0	-	-	-	-	-	-	165.0	-
Латвии	23.0	1.0	5.0	1.0	6.0	4.0	4.0	2.0	-	-	4.0	15.0	4.0
Литвы	46.0	3.0	8.0	7.0	10.0	12.0	5.0	-	1.0	-	5.0	38.0	3.0
Сирии	47.0	-	5.0	37.0	2.0	2.0	1.0	-	-	-	-	47.0	-
США	2.0	-	-	1.0	-	1.0	-	-	-	-	-	2.0	-
Турции	7.0	-	-	3.0	2.0	2.0	-	-	-	-	-	7.0	-
Эстонии	7.0	1.0	2.0	2.0	2.0	-	-	-	-	-	1.0	6.0	-
без гражданства	11670.0	1248.0	2549.0	1864.0	1965.0	1614.0	873.0	844.0	707.0	6.0	2885.0	7102.0	1677.0
гражданство не указано	10896.0	885.0	1345.0	1316.0	1347.0	1614.0	1042.0	999.0	778.0	1570.0	1672.0	5670.0	1984.0
Ивановская область													
Все население	1148329.0	87638.0	167357.0	163292.0	151788.0	186807.0	127434.0	136527.0	127199.0	287.0	180058.0	679670.0	288314.0
в том числе:													
