15. НАСЕЛЕНИЕ ПО ГРАЖДАНСТВУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
 	Всего	в том числе в возрасте, лет								Возраст не указан	Из общей численности - население в возрасте		
		0-9	10-19	20-29	30-39	40-49	50-59	60-69	70 и более		моложе трудо-способного	трудоспособном	старше трудо-способного
Центральный федеральный округ													
Белгородская область													
стран СНГ	1037.0	134.0	171.0	231.0	232.0	141.0	55.0	36.0	37.0	-	251.0	701.0	85.0
Азербайджана	296.0	50.0	51.0	63.0	78.0	40.0	11.0	2.0	1.0	-	90.0	200.0	6.0
Армении	172.0	25.0	31.0	39.0	39.0	24.0	8.0	4.0	2.0	-	50.0	116.0	6.0
Белоруссии	22.0	2.0	2.0	5.0	6.0	3.0	-	2.0	2.0	-	3.0	15.0	4.0
Грузии	56.0	6.0	6.0	14.0	17.0	6.0	3.0	1.0	3.0	-	10.0	42.0	4.0
Казахстана	58.0	5.0	9.0	14.0	5.0	8.0	6.0	5.0	6.0	-	10.0	36.0	12.0
Киргизии	16.0	-	2.0	6.0	2.0	3.0	3.0	-	-	-	1.0	15.0	-
Молдавии	63.0	9.0	15.0	12.0	10.0	13.0	3.0	1.0	-	-	17.0	44.0	2.0
Таджикистана	23.0	1.0	1.0	13.0	8.0	-	-	-	-	-	2.0	21.0	-
Туркмении	3.0	-	1.0	2.0	-	-	-	-	-	-	-	3.0	-
Узбекистана	125.0	21.0	21.0	27.0	23.0	17.0	7.0	6.0	3.0	-	32.0	82.0	11.0
Украины	203.0	15.0	32.0	36.0	44.0	27.0	14.0	15.0	20.0	-	36.0	127.0	40.0
других стран мира	44.0	-	9.0	4.0	7.0	15.0	7.0	2.0	-	-	6.0	36.0	2.0
Болгарии	1.0	-	1.0	-	-	-	-	-	-	-	-	1.0	-
Вьетнама	3.0	-	-	-	1.0	2.0	-	-	-	-	-	3.0	-
Латвии	5.0	-	3.0	1.0	1.0	-	-	-	-	-	2.0	3.0	-
Литвы	5.0	-	2.0	-	-	1.0	2.0	-	-	-	1.0	4.0	-
США	1.0	-	-	-	-	-	-	1.0	-	-	-	-	1.0
Турции	6.0	-	-	1.0	1.0	4.0	-	-	-	-	-	6.0	-
Эстонии	1.0	-	-	-	-	1.0	-	-	-	-	-	1.0	-
без гражданства	376.0	54.0	98.0	60.0	59.0	54.0	23.0	16.0	12.0	-	118.0	226.0	32.0
гражданство не указано	1735.0	119.0	268.0	268.0	267.0	326.0	190.0	125.0	104.0	68.0	255.0	1148.0	264.0
Республика Мордовия													
Все население	888766.0	75950.0	136802.0	123654.0	126708.0	152840.0	92233.0	93434.0	87081.0	64.0	155898.0	535455.0	197349.0
в том числе:													
граждане России	882524.0	75516.0	135973.0	122430.0	125295.0	151790.0	91684.0	93007.0	86811.0	18.0	154970.0	530976.0	196560.0
из них имеющие два гражданства	114.0	10.0	12.0	27.0	25.0	18.0	8.0	10.0	4.0	-	14.0	84.0	16.0
иностранные граждане	2046.0	131.0	175.0	552.0	659.0	288.0	121.0	78.0	42.0	-	239.0	1671.0	136.0
из них имеющие гражданство:													
стран СНГ	1536.0	125.0	172.0	360.0	421.0	232.0	108.0	77.0	41.0	-	232.0	1170.0	134.0
Азербайджана	181.0	25.0	7.0	38.0	70.0	31.0	6.0	1.0	3.0	-	31.0	146.0	4.0
Армении	243.0	28.0	44.0	51.0	49.0	37.0	27.0	4.0	3.0	-	56.0	178.0	9.0
Белоруссии	37.0	1.0	2.0	10.0	9.0	9.0	3.0	2.0	1.0	-	3.0	30.0	4.0
Грузии	84.0	-	4.0	19.0	38.0	15.0	4.0	3.0	1.0	-	3.0	76.0	5.0
Казахстана	130.0	12.0	19.0	29.0	18.0	18.0	12.0	17.0	5.0	-	22.0	86.0	22.0
Киргизии	85.0	10.0	20.0	8.0	28.0	9.0	5.0	1.0	4.0	-	23.0	57.0	5.0
Молдавии	58.0	4.0	4.0	21.0	19.0	3.0	2.0	2.0	3.0	-	5.0	48.0	5.0
Таджикистана	149.0	13.0	13.0	48.0	44.0	22.0	6.0	3.0	-	-	22.0	123.0	4.0
Туркмении	25.0	4.0	-	6.0	4.0	3.0	5.0	3.0	-	-	4.0	17.0	4.0
Узбекистана	253.0	21.0	32.0	53.0	67.0	36.0	18.0	19.0	7.0	-	43.0	176.0	34.0
Украины	291.0	7.0	27.0	77.0	75.0	49.0	20.0	22.0	14.0	-	20.0	233.0	38.0
других стран мира	510.0	6.0	3.0	192.0	238.0	56.0	13.0	1.0	1.0	-	7.0	501.0	2.0
Афганистана	57.0	-	1.0	25.0	22.0	6.0	3.0	-	-	-	-	57.0	-
Болгарии	4.0	-	-	-	1.0	2.0	-	1.0	-	-	-	3.0	1.0
Вьетнама	41.0	-	-	15.0	25.0	1.0	-	-	-	-	-	41.0	-
Германии	2.0	-	1.0	1.0	-	-	-	-	-	-	1.0	1.0	-
Греции	2.0	2.0	-	-	-	-	-	-	-	-	2.0	-	-
Израиля	4.0	-	-	1.0	1.0	1.0	1.0	-	-	-	-	4.0	-
Индии	6.0	-	-	5.0	1.0	-	-	-	-	-	-	6.0	-
Китая	12.0	-	-	2.0	7.0	3.0	-	-	-	-	-	12.0	-
Латвии	7.0	-	-	1.0	4.0	1.0	1.0	-	-	-	-	7.0	-
Литвы	8.0	-	-	3.0	2.0	3.0	-	-	-	-	-	8.0	-
Сирии	7.0	-	-	4.0	3.0	-	-	-	-	-	-	7.0	-
США	4.0	-	-	-	1.0	2.0	1.0	-	-	-	-	4.0	-
Турции	13.0	1.0	-	1.0	8.0	3.0	-	-	-	-	1.0	12.0	-
Финляндии	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Эстонии	1.0	-	-	-	-	-	-	-	1.0	-	-	-	1.0
без гражданства	801.0	80.0	176.0	135.0	117.0	148.0	67.0	47.0	31.0	-	197.0	517.0	87.0
гражданство не указано	3395.0	223.0	478.0	537.0	637.0	614.0	361.0	302.0	197.0	46.0	492.0	2291.0	566.0
Республика Татарстан													
Все население	3779265.0	381862.0	634876.0	545960.0	529218.0	634638.0	366483.0	362752.0	322542.0	934.0	753959.0	2271310.0	753062.0
в том числе:													
граждане России	3753061.0	378530.0	630141.0	540280.0	523682.0	631066.0	365079.0	361734.0	321856.0	693.0	747611.0	2253629.0	751128.0
из них имеющие два гражданства	954.0	103.0	113.0	210.0	227.0	134.0	72.0	63.0	32.0	-	161.0	691.0	102.0
иностранные граждане	12974.0	1715.0	2036.0	3177.0	3081.0	1716.0	618.0	380.0	248.0	3.0	2985.0	9260.0	726.0
из них имеющие гражданство:													
стран СНГ	11848.0	1595.0	1948.0	2785.0	2725.0	1590.0	593.0	365.0	245.0	2.0	2820.0	8323.0	703.0
Азербайджана	2673.0	461.0	405.0	580.0	774.0	344.0	70.0	24.0	14.0	1.0	772.0	1858.0	42.0
Армении	1381.0	185.0	254.0	288.0	312.0	213.0	79.0	32.0	18.0	-	356.0	967.0	58.0
Белоруссии	119.0	11.0	20.0	22.0	24.0	16.0	11.0	4.0	11.0	-	21.0	80.0	18.0
Грузии	572.0	71.0	104.0	132.0	134.0	90.0	19.0	19.0	3.0	-	139.0	410.0	23.0
Казахстана	828.0	79.0	159.0	192.0	136.0	110.0	56.0	60.0	36.0	-	164.0	556.0	108.0
Киргизии	504.0	75.0	66.0	141.0	122.0	51.0	19.0	21.0	9.0	-	116.0	356.0	32.0
Молдавии	224.0	35.0	43.0	68.0	44.0	18.0	12.0	2.0	2.0	-	62.0	156.0	6.0
Таджикистана	1183.0	153.0	179.0	378.0	297.0	119.0	34.0	8.0	14.0	1.0	243.0	914.0	25.0
Туркмении	159.0	18.0	22.0	48.0	19.0	28.0	9.0	8.0	7.0	-	30.0	113.0	16.0
Узбекистана	3290.0	441.0	562.0	758.0	685.0	439.0	205.0	125.0	75.0	-	764.0	2286.0	240.0
Украины	915.0	66.0	134.0	178.0	178.0	162.0	79.0	62.0	56.0	-	153.0	627.0	135.0
других стран мира	1126.0	120.0	88.0	392.0	356.0	126.0	25.0	15.0	3.0	1.0	165.0	937.0	23.0
Афганистана	52.0	11.0	7.0	13.0	15.0	3.0	2.0	1.0	-	-	16.0	34.0	2.0
Болгарии	13.0	-	5.0	1.0	3.0	1.0	1.0	1.0	1.0	-	4.0	7.0	2.0
Вьетнама	163.0	14.0	6.0	27.0	86.0	29.0	1.0	-	-	-	15.0	148.0	-
Германии	18.0	1.0	7.0	7.0	1.0	1.0	-	1.0	-	-	7.0	10.0	1.0
Греции	5.0	-	-	1.0	1.0	2.0	-	1.0	-	-	-	4.0	1.0
Израиля	14.0	1.0	2.0	2.0	2.0	3.0	4.0	-	-	-	2.0	10.0	2.0
Индии	2.0	-	-	-	2.0	-	-	-	-	-	-	2.0	-
Китая	54.0	-	7.0	24.0	9.0	13.0	1.0	-	-	-	1.0	53.0	-
Латвии	10.0	5.0	1.0	1.0	2.0	1.0	-	-	-	-	6.0	4.0	-
Литвы	34.0	3.0	9.0	4.0	10.0	3.0	2.0	3.0	-	-	9.0	22.0	3.0
Сирии	34.0	-	4.0	29.0	1.0	-	-	-	-	-	-	34.0	-
США	23.0	10.0	2.0	2.0	6.0	2.0	-	-	-	1.0	12.0	10.0	-
Турции	325.0	39.0	6.0	122.0	119.0	37.0	2.0	-	-	-	44.0	281.0	-
Эстонии	2.0	-	1.0	-	-	-	-	1.0	-	-	-	1.0	1.0
без гражданства	12386.0	1551.0	2593.0	2407.0	2343.0	1744.0	733.0	605.0	403.0	7.0	3237.0	8015.0	1127.0
гражданство не указано	844.0	66.0	106.0	96.0	112.0	112.0	53.0	33.0	35.0	231.0	126.0	406.0	81.0
Удмуртская Республика													
Все население	1570316.0	156982.0	267330.0	242883.0	215020.0	275825.0	159243.0	137107.0	115715.0	211.0	312256.0	976352.0	281497.0
в том числе:													
граждане России	1563871.0	156205.0	266259.0	241653.0	213622.0	274865.0	158803.0	136840.0	115483.0	141.0	310806.0	972005.0	280919.0
из них имеющие два гражданства	247.0	27.0	32.0	44.0	67.0	47.0	15.0	11.0	4.0	-	49.0	183.0	15.0
иностранные граждане	3101.0	449.0	538.0	660.0	729.0	432.0	151.0	73.0	68.0	1.0	797.0	2136.0	167.0
из них имеющие гражданство:													
стран СНГ	3001.0	435.0	527.0	641.0	693.0	417.0	147.0	73.0	67.0	1.0	777.0	2057.0	166.0
Азербайджана	939.0	186.0	173.0	161.0	279.0	116.0	14.0	6.0	3.0	1.0	311.0	617.0	10.0
Армении	459.0	54.0	99.0	88.0	89.0	85.0	31.0	6.0	7.0	-	124.0	317.0	18.0
Белоруссии	45.0	5.0	5.0	9.0	8.0	7.0	5.0	3.0	3.0	-	7.0	32.0	6.0
Грузии	267.0	33.0	40.0	69.0	59.0	38.0	10.0	13.0	5.0	-	55.0	192.0	20.0
Казахстана	215.0	22.0	41.0	45.0	31.0	26.0	23.0	20.0	7.0	-	44.0	139.0	32.0
Киргизии	82.0	13.0	16.0	22.0	20.0	5.0	3.0	-	3.0	-	19.0	58.0	5.0
Молдавии	80.0	9.0	14.0	22.0	19.0	11.0	3.0	2.0	-	-	16.0	62.0	2.0
Таджикистана	154.0	20.0	22.0	51.0	35.0	15.0	9.0	1.0	1.0	-	34.0	117.0	3.0
Туркмении	19.0	1.0	3.0	8.0	2.0	1.0	4.0	-	-	-	4.0	15.0	-
Узбекистана	339.0	54.0	49.0	85.0	76.0	42.0	18.0	9.0	6.0	-	81.0	238.0	20.0
Украины	402.0	38.0	65.0	81.0	75.0	71.0	27.0	13.0	32.0	-	82.0	270.0	50.0
других стран мира	100.0	14.0	11.0	19.0	36.0	15.0	4.0	-	1.0	-	20.0	79.0	1.0
Болгарии	1.0	1.0	-	-	-	-	-	-	-	-	1.0	-	-
Вьетнама	9.0	3.0	-	1.0	3.0	2.0	-	-	-	-	3.0	6.0	-
Германии	3.0	-	-	1.0	1.0	-	1.0	-	-	-	-	3.0	-
Китая	2.0	-	-	1.0	1.0	-	-	-	-	-	-	2.0	-
Латвии	14.0	4.0	2.0	1.0	5.0	1.0	1.0	-	-	-	6.0	8.0	-
Литвы	12.0	1.0	-	3.0	4.0	1.0	2.0	-	1.0	-	1.0	10.0	1.0
Сирии	1.0	-	-	-	-	1.0	-	-	-	-	-	1.0	-
США	11.0	1.0	1.0	3.0	3.0	3.0	-	-	-	-	1.0	10.0	-
Турции	7.0	2.0	1.0	-	3.0	1.0	-	-	-	-	3.0	4.0	-
Эстонии	3.0	-	-	1.0	2.0	-	-	-	-	-	-	3.0	-
без гражданства	1753.0	238.0	375.0	283.0	390.0	237.0	100.0	75.0	55.0	-	489.0	1114.0	150.0
гражданство не указано	1591.0	90.0	158.0	287.0	279.0	291.0	189.0	119.0	109.0	69.0	164.0	1097.0	261.0
Чувашская Республика 													
Все население	1313754.0	128123.0	225035.0	192277.0	193758.0	212990.0	124127.0	127996.0	109108.0	340.0	260981.0	792456.0	259977.0
в том числе:													
граждане России	1309737.0	127784.0	224460.0	191417.0	192906.0	212402.0	123807.0	127790.0	108968.0	203.0	260302.0	789661.0	259571.0
из них имеющие два гражданства	196.0	27.0	23.0	29.0	55.0	33.0	12.0	11.0	6.0	-	41.0	137.0	18.0
иностранные граждане	1832.0	162.0	275.0	475.0	465.0	261.0	94.0	56.0	43.0	1.0	330.0	1387.0	114.0
из них имеющие гражданство:													
стран СНГ	1680.0	153.0	265.0	391.0	437.0	245.0	90.0	55.0	43.0	1.0	316.0	1250.0	113.0
Азербайджана	263.0	40.0	47.0	57.0	80.0	32.0	4.0	2.0	-	1.0	76.0	184.0	2.0
Армении	303.0	37.0	69.0	52.0	68.0	41.0	24.0	6.0	6.0	-	82.0	208.0	13.0
Белоруссии	70.0	7.0	6.0	13.0	17.0	17.0	4.0	4.0	2.0	-	9.0	54.0	7.0
Грузии	132.0	10.0	19.0	34.0	37.0	15.0	9.0	4.0	4.0	-	22.0	100.0	10.0
Казахстана	129.0	16.0	21.0	31.0	21.0	17.0	7.0	11.0	5.0	-	27.0	86.0	16.0
Киргизии	25.0	-	3.0	3.0	6.0	8.0	3.0	2.0	-	-	1.0	21.0	3.0
Молдавии	53.0	2.0	9.0	21.0	10.0	8.0	3.0	-	-	-	7.0	45.0	1.0
Таджикистана	146.0	6.0	7.0	48.0	61.0	23.0	1.0	-	-	-	10.0	136.0	-
Туркмении	15.0	2.0	3.0	5.0	3.0	-	2.0	-	-	-	4.0	11.0	-
Узбекистана	183.0	17.0	22.0	51.0	45.0	30.0	11.0	5.0	2.0	-	28.0	146.0	9.0
Украины	361.0	16.0	59.0	76.0	89.0	54.0	22.0	21.0	24.0	-	50.0	259.0	52.0
других стран мира	152.0	9.0	10.0	84.0	28.0	16.0	4.0	1.0	-	-	14.0	137.0	1.0
Афганистана	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Болгарии	12.0	2.0	-	-	4.0	3.0	2.0	1.0	-	-	2.0	9.0	1.0
Вьетнама	5.0	-	-	2.0	2.0	1.0	-	-	-	-	-	5.0	-
Германии	2.0	-	1.0	1.0	-	-	-	-	-	-	1.0	1.0	-
Греции	1.0	-	-	-	-	1.0	-	-	-	-	-	1.0	-
Индии	4.0	-	-	3.0	1.0	-	-	-	-	-	-	4.0	-
Китая	1.0	-	-	-	-	1.0	-	-	-	-	-	1.0	-
Латвии	8.0	1.0	3.0	1.0	2.0	1.0	-	-	-	-	4.0	4.0	-
Литвы	5.0	-	1.0	2.0	-	1.0	1.0	-	-	-	1.0	4.0	-
Сирии	5.0	-	1.0	4.0	-	-	-	-	-	-	-	5.0	-
США	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Турции	10.0	3.0	-	4.0	2.0	1.0	-	-	-	-	3.0	7.0	-
Эстонии	3.0	1.0	-	1.0	1.0	-	-	-	-	-	1.0	2.0	-
без гражданства	607.0	77.0	142.0	83.0	104.0	80.0	61.0	36.0	24.0	-	168.0	372.0	67.0
гражданство не указано	1578.0	100.0	158.0	302.0	283.0	247.0	165.0	114.0	73.0	136.0	181.0	1036.0	225.0
Кировская область													
Все население	1503529.0	125861.0	236886.0	214724.0	190001.0	268420.0	161408.0	155090.0	150275.0	864.0	259570.0	911117.0	331978.0
в том числе:													
граждане России	1495001.0	125130.0	235744.0	213173.0	188371.0	267121.0	160792.0	154568.0	149926.0	176.0	258132.0	905678.0	331015.0
из них имеющие два гражданства	233.0	20.0	33.0	43.0	44.0	46.0	28.0	11.0	8.0	-	44.0	168.0	21.0
иностранные граждане	3628.0	372.0	483.0	801.0	935.0	553.0	200.0	166.0	118.0	-	680.0	2639.0	309.0
из них имеющие гражданство:													
стран СНГ	3336.0	338.0	465.0	763.0	791.0	513.0	193.0	159.0	114.0	-	632.0	2406.0	298.0
Азербайджана	691.0	127.0	93.0	166.0	209.0	82.0	11.0	1.0	2.0	-	200.0	488.0	3.0
Армении	423.0	49.0	84.0	92.0	93.0	70.0	19.0	9.0	7.0	-	110.0	296.0	17.0
Белоруссии	123.0	2.0	18.0	22.0	30.0	25.0	10.0	10.0	6.0	-	12.0	91.0	20.0
Грузии	130.0	12.0	8.0	29.0	37.0	26.0	8.0	5.0	5.0	-	16.0	103.0	11.0
Казахстана	374.0	37.0	63.0	95.0	55.0	53.0	32.0	20.0	19.0	-	72.0	257.0	45.0
Киргизии	108.0	17.0	10.0	29.0	27.0	12.0	6.0	3.0	4.0	-	22.0	79.0	7.0
Молдавии	136.0	8.0	13.0	36.0	37.0	26.0	5.0	7.0	4.0	-	13.0	112.0	11.0
Таджикистана	87.0	4.0	5.0	40.0	29.0	8.0	1.0	-	-	-	6.0	80.0	1.0
Туркмении	29.0	3.0	5.0	2.0	7.0	2.0	2.0	4.0	4.0	-	7.0	14.0	8.0
Узбекистана	218.0	16.0	26.0	55.0	57.0	36.0	12.0	12.0	4.0	-	33.0	168.0	17.0
Украины	1017.0	63.0	140.0	197.0	210.0	173.0	87.0	88.0	59.0	-	141.0	718.0	158.0
других стран мира	292.0	34.0	18.0	38.0	144.0	40.0	7.0	7.0	4.0	-	48.0	233.0	11.0
Болгарии	6.0	-	2.0	1.0	-	2.0	-	1.0	-	-	2.0	3.0	1.0
Вьетнама	188.0	30.0	3.0	16.0	117.0	19.0	3.0	-	-	-	32.0	156.0	-
Германии	4.0	-	-	2.0	-	1.0	1.0	-	-	-	-	4.0	-
Греции	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Израиля	1.0	-	-	-	-	1.0	-	-	-	-	-	1.0	-
Индии	1.0	-	-	-	-	1.0	-	-	-	-	-	1.0	-
Китая	7.0	-	-	2.0	3.0	1.0	1.0	-	-	-	-	7.0	-
Латвии	20.0	2.0	4.0	3.0	7.0	3.0	-	1.0	-	-	5.0	14.0	1.0
Литвы	23.0	2.0	5.0	-	5.0	6.0	1.0	3.0	1.0	-	7.0	12.0	4.0
Сирии	3.0	-	-	2.0	1.0	-	-	-	-	-	-	3.0	-
США	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Турции	2.0	-	-	2.0	-	-	-	-	-	-	-	2.0	-
Эстонии	9.0	-	2.0	-	2.0	3.0	1.0	1.0	-	-	1.0	7.0	1.0
без гражданства	1800.0	190.0	361.0	328.0	323.0	273.0	137.0	109.0	76.0	3.0	429.0	1157.0	211.0
гражданство не указано	3100.0	169.0	298.0	422.0	372.0	473.0	279.0	247.0	155.0	685.0	329.0	1643.0	443.0
Нижегородская область													
Все население	3524028.0	284896.0	520513.0	501303.0	463390.0	593436.0	392444.0	397522.0	370230.0	294.0	574319.0	2103498.0	845917.0
в том числе:													
граждане России	3505855.0	282407.0	517307.0	497509.0	459582.0	590971.0	391410.0	396757.0	369701.0	211.0	569769.0	2091405.0	844470.0
из них имеющие два гражданства	568.0	46.0	60.0	129.0	127.0	93.0	39.0	35.0	39.0	-	83.0	406.0	79.0
иностранные граждане	12592.0	1651.0	2056.0	2883.0	2868.0	1711.0	658.0	462.0	303.0	-	2947.0	8788.0	857.0
из них имеющие гражданство:													
стран СНГ	11929.0	1607.0	1984.0	2579.0	2721.0	1657.0	636.0	448.0	297.0	-	2881.0	8214.0	834.0
Азербайджана	3211.0	635.0	477.0	640.0	941.0	407.0	77.0	24.0	10.0	-	993.0	2178.0	40.0
Армении	3432.0	490.0	693.0	697.0	717.0	541.0	164.0	90.0	40.0	-	963.0	2326.0	143.0
Белоруссии	316.0	16.0	44.0	53.0	52.0	54.0	30.0	33.0	34.0	-	36.0	206.0	74.0
Грузии	737.0	82.0	130.0	159.0	171.0	132.0	34.0	19.0	10.0	-	158.0	545.0	34.0
Казахстана	633.0	54.0	130.0	151.0	105.0	71.0	35.0	49.0	38.0	-	120.0	418.0	95.0
Киргизии	192.0	25.0	31.0	58.0	32.0	22.0	12.0	9.0	3.0	-	42.0	137.0	13.0
Молдавии	342.0	39.0	46.0	93.0	68.0	46.0	21.0	24.0	5.0	-	63.0	244.0	35.0
Таджикистана	384.0	36.0	55.0	138.0	98.0	39.0	12.0	3.0	3.0	-	55.0	322.0	7.0
Туркмении	114.0	10.0	30.0	23.0	23.0	12.0	7.0	7.0	2.0	-	31.0	70.0	13.0
Узбекистана	846.0	97.0	130.0	224.0	185.0	90.0	72.0	30.0	18.0	-	178.0	609.0	59.0
Украины	1722.0	123.0	218.0	343.0	329.0	243.0	172.0	160.0	134.0	-	242.0	1159.0	321.0
других стран мира	663.0	44.0	72.0	304.0	147.0	54.0	22.0	14.0	6.0	-	66.0	574.0	23.0
Афганистана	1.0	-	-	-	1.0	-	-	-	-	-	-	1.0	-
Болгарии	14.0	-	3.0	2.0	-	6.0	1.0	2.0	-	-	3.0	9.0	2.0
Вьетнама	73.0	7.0	1.0	10.0	49.0	5.0	1.0	-	-	-	7.0	66.0	-
Германии	6.0	-	-	-	2.0	2.0	2.0	-	-	-	-	5.0	1.0
Греции	1.0	-	-	1.0	-	-	-	-	-	-	-	1.0	-
Израиля	7.0	1.0	-	3.0	-	1.0	1.0	1.0	-	-	1.0	5.0	1.0
Индии	10.0	-	-	6.0	3.0	1.0	-	-	-	-	-	10.0	-
Китая	40.0	-	3.0	28.0	3.0	2.0	4.0	-	-	-	-	40.0	-
Латвии	30.0	6.0	4.0	3.0	7.0	6.0	1.0	1.0	2.0	-	9.0	18.0	3.0
Литвы	57.0	5.0	11.0	8.0	10.0	12.0	4.0	5.0	2.0	-	11.0	37.0	9.0
Сирии	16.0	-	2.0	9.0	2.0	2.0	1.0	-	-	-	-	16.0	-
США	8.0	3.0	-	2.0	2.0	1.0	-	-	-	-	3.0	5.0	-
Турции	9.0	-	-	6.0	2.0	1.0	-	-	-	-	-	9.0	-
Эстонии	10.0	-	3.0	1.0	4.0	1.0	-	1.0	-	-	2.0	7.0	1.0
без гражданства	5139.0	820.0	1108.0	863.0	890.0	682.0	332.0	250.0	192.0	2.0	1560.0	3082.0	495.0
гражданство не указано	442.0	18.0	42.0	48.0	50.0	72.0	44.0	53.0	34.0	81.0	43.0	223.0	95.0
Оренбургская область													
Все население	2179551.0	218506.0	371456.0	329260.0	303525.0	361762.0	209464.0	210494.0	172820.0	2264.0	433964.0	1320392.0	422931.0
в том числе:													
граждане России	2150451.0	215299.0	365796.0	323823.0	298180.0	357758.0	207746.0	209103.0	171905.0	841.0	427252.0	1302018.0	420340.0
из них имеющие два гражданства	620.0	53.0	73.0	126.0	129.0	120.0	47.0	47.0	25.0	-	93.0	450.0	77.0
иностранные граждане	12923.0	1508.0	2460.0	2820.0	2759.0	1815.0	715.0	508.0	334.0	4.0	2927.0	9039.0	953.0
из них имеющие гражданство:													
стран СНГ	12657.0	1480.0	2436.0	2759.0	2675.0	1776.0	695.0	505.0	330.0	1.0	2885.0	8825.0	946.0
Азербайджана	1864.0	351.0	351.0	299.0	556.0	249.0	35.0	21.0	2.0	-	625.0	1213.0	26.0
Армении	2243.0	305.0	450.0	409.0	497.0	359.0	123.0	75.0	25.0	-	614.0	1514.0	115.0
Белоруссии	88.0	3.0	13.0	19.0	16.0	10.0	3.0	10.0	14.0	-	9.0	54.0	25.0
Грузии	324.0	38.0	49.0	80.0	68.0	47.0	21.0	15.0	6.0	-	72.0	231.0	21.0
Казахстана	3512.0	332.0	865.0	817.0	577.0	428.0	197.0	165.0	130.0	1.0	700.0	2479.0	332.0
Киргизии	471.0	40.0	73.0	131.0	86.0	83.0	23.0	20.0	15.0	-	73.0	361.0	37.0
Молдавии	99.0	4.0	19.0	27.0	22.0	15.0	6.0	2.0	4.0	-	13.0	80.0	6.0
Таджикистана	958.0	113.0	140.0	288.0	221.0	122.0	44.0	19.0	11.0	-	199.0	726.0	33.0
Туркмении	61.0	4.0	6.0	15.0	10.0	5.0	9.0	10.0	2.0	-	9.0	37.0	15.0
Узбекистана	2386.0	246.0	376.0	564.0	485.0	364.0	169.0	122.0	60.0	-	469.0	1700.0	217.0
Украины	651.0	44.0	94.0	110.0	137.0	94.0	65.0	46.0	61.0	-	102.0	430.0	119.0
других стран мира	266.0	28.0	24.0	61.0	84.0	39.0	20.0	3.0	4.0	3.0	42.0	214.0	7.0
Афганистана	2.0	-	-	2.0	-	-	-	-	-	-	-	2.0	-
Болгарии	48.0	6.0	6.0	2.0	7.0	18.0	7.0	2.0	-	-	10.0	36.0	2.0
Вьетнама	46.0	4.0	1.0	8.0	24.0	6.0	-	-	-	3.0	4.0	39.0	-
Германии	27.0	10.0	1.0	9.0	6.0	-	-	-	1.0	-	10.0	16.0	1.0
Греции	1.0	-	-	-	-	-	1.0	-	-	-	-	1.0	-
Израиля	4.0	2.0	-	2.0	-	-	-	-	-	-	2.0	2.0	-
Индии	2.0	-	-	2.0	-	-	-	-	-	-	-	2.0	-
Китая	15.0	-	1.0	3.0	7.0	3.0	1.0	-	-	-	1.0	14.0	-
Латвии	15.0	2.0	5.0	4.0	2.0	1.0	1.0	-	-	-	4.0	11.0	-
Литвы	26.0	2.0	5.0	1.0	12.0	3.0	2.0	-	1.0	-	7.0	18.0	1.0
Сирии	2.0	-	-	2.0	-	-	-	-	-	-	-	2.0	-
Турции	10.0	1.0	-	2.0	4.0	2.0	1.0	-	-	-	1.0	9.0	-
Эстонии	2.0	-	-	-	1.0	-	1.0	-	-	-	-	2.0	-
без гражданства	13806.0	1631.0	3038.0	2422.0	2417.0	2028.0	919.0	809.0	540.0	2.0	3631.0	8666.0	1507.0
гражданство не указано	2371.0	68.0	162.0	195.0	169.0	161.0	84.0	74.0	41.0	1417.0	154.0	669.0	131.0
Пензенская область													
Все население	1452941.0	117660.0	216507.0	196571.0	196359.0	243960.0	169763.0	164078.0	147785.0	258.0	243778.0	864901.0	344004.0
в том числе:													
граждане России	1443190.0	116706.0	214787.0	194672.0	194732.0	242632.0	168932.0	163353.0	147238.0	138.0	241830.0	858640.0	342582.0
из них имеющие два гражданства	265.0	27.0	34.0	48.0	55.0	33.0	26.0	23.0	19.0	-	41.0	175.0	49.0
иностранные граждане	3796.0	392.0	630.0	944.0	716.0	482.0	248.0	236.0	148.0	-	707.0	2659.0	430.0
из них имеющие гражданство:													
стран СНГ	3512.0	379.0	594.0	774.0	677.0	468.0	243.0	230.0	147.0	-	692.0	2398.0	422.0
Азербайджана	434.0	74.0	58.0	99.0	111.0	61.0	15.0	9.0	7.0	-	113.0	300.0	21.0
Армении	492.0	72.0	92.0	107.0	92.0	80.0	27.0	15.0	7.0	-	123.0	344.0	25.0
Белоруссии	87.0	7.0	19.0	9.0	19.0	8.0	9.0	11.0	5.0	-	9.0	61.0	17.0
Грузии	104.0	6.0	15.0	21.0	26.0	22.0	3.0	6.0	5.0	-	15.0	77.0	12.0
Казахстана	404.0	40.0	84.0	101.0	67.0	41.0	26.0	28.0	17.0	-	79.0	271.0	54.0
