8. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ И ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
																			
	Численность населения соответству-ющей националь-ности	Всего указали источников средств к существова-нию
	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения данной национальности указали
			
			доход от трудовой деятель-ности (кроме работы в личном подсобном хозяйстве)
	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государст-венного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию					
																один источник средств к существова-нию	два источника
	три источника
	четыре источника и более
Городское и сельское население																			
до 15	3.0	4.0	-	-	-	-	-	1.0	-	-	-	-	3.0	-	-	2.0	1.0	-	-
15 – 19	1.0	1.0	-	-	-	-	-	-	-	-	-	-	1.0	-	-	1.0	-	-	-
20 – 29	7.0	7.0	6.0	-	-	-	-	-	-	-	-	-	1.0	-	-	7.0	-	-	-
30 – 49	22.0	29.0	18.0	4.0	-	-	4.0	-	-	-	-	-	2.0	1.0	-	17.0	3.0	2.0	-
50 – 54	8.0	12.0	7.0	3.0	-	1.0	1.0	-	-	-	-	-	-	-	-	5.0	2.0	1.0	-
55 – 59	6.0	7.0	3.0	-	-	4.0	-	-	-	-	-	-	-	-	1.0	3.0	2.0	-	-
60 – 64	18.0	26.0	3.0	4.0	-	17.0	1.0	-	-	1.0	-	-	-	-	-	11.0	6.0	1.0	-
65 и более	112.0	139.0	6.0	21.0	-	110.0	1.0	-	-	-	-	1.0	-	-	-	86.0	25.0	1.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ительмены	2939.0	4152.0	1008.0	307.0	51.0	517.0	71.0	647.0	256.0	63.0	8.0	-	1143.0	81.0	2.0	1835.0	992.0	107.0	3.0
в том числе в возрасте, лет:																			
до 15	704.0	1236.0	-	5.0	-	41.0	10.0	491.0	-	13.0	-	-	675.0	1.0	-	211.0	454.0	39.0	-
15 – 19	322.0	489.0	33.0	17.0	36.0	13.0	4.0	103.0	17.0	21.0	-	-	237.0	8.0	-	178.0	124.0	17.0	3.0
20 – 29	537.0	652.0	269.0	71.0	15.0	3.0	11.0	27.0	71.0	18.0	3.0	-	141.0	23.0	-	434.0	91.0	12.0	-
30 – 49	848.0	1023.0	521.0	128.0	-	25.0	33.0	23.0	162.0	7.0	4.0	-	79.0	41.0	2.0	678.0	159.0	9.0	-
50 – 54	182.0	265.0	104.0	30.0	-	103.0	9.0	-	6.0	1.0	-	-	8.0	4.0	-	110.0	61.0	11.0	-
55 – 59	121.0	195.0	44.0	25.0	-	116.0	-	2.0	-	2.0	-	-	2.0	4.0	-	60.0	48.0	13.0	-
60 – 64	102.0	143.0	24.0	18.0	-	97.0	2.0	1.0	-	-	1.0	-	-	-	-	66.0	31.0	5.0	-
65 и более	122.0	148.0	12.0	13.0	-	119.0	2.0	-	-	1.0	-	-	1.0	-	-	97.0	24.0	1.0	-
возраст не указан	1.0	1.0	1.0	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	-	-
Камчадалы	1881.0	2642.0	632.0	265.0	27.0	374.0	47.0	339.0	132.0	31.0	15.0	-	690.0	90.0	2.0	1170.0	656.0	52.0	1.0
в том числе в возрасте, лет:																			
до 15	434.0	706.0	-	-	1.0	13.0	7.0	252.0	-	12.0	-	-	421.0	-	1.0	175.0	243.0	15.0	-
15 – 19	189.0	272.0	9.0	4.0	20.0	5.0	5.0	51.0	8.0	5.0	1.0	-	156.0	8.0	-	113.0	69.0	7.0	-
20 – 29	246.0	295.0	113.0	24.0	6.0	2.0	3.0	19.0	31.0	1.0	3.0	-	70.0	23.0	-	199.0	45.0	2.0	-
30 – 49	595.0	753.0	387.0	134.0	-	14.0	20.0	17.0	81.0	6.0	7.0	-	35.0	52.0	1.0	441.0	147.0	6.0	-
50 – 54	145.0	228.0	79.0	38.0	-	77.0	7.0	-	11.0	3.0	3.0	-	6.0	4.0	-	72.0	63.0	10.0	-
55 – 59	81.0	128.0	29.0	18.0	-	76.0	2.0	-	1.0	1.0	-	-	-	1.0	-	43.0	29.0	9.0	-
60 – 64	75.0	111.0	10.0	22.0	-	72.0	2.0	-	-	2.0	1.0	-	1.0	1.0	-	44.0	27.0	3.0	1.0
65 и более	116.0	149.0	5.0	25.0	-	115.0	1.0	-	-	1.0	-	-	1.0	1.0	-	83.0	33.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Кеты	1189.0	1733.0	322.0	83.0	56.0	158.0	41.0	345.0	40.0	41.0	26.0	1.0	566.0	54.0	-	703.0	429.0	56.0	1.0
в том числе в возрасте, лет:																			
до 15	347.0	671.0	-	10.0	-	33.0	3.0	284.0	-	18.0	-	-	323.0	-	-	60.0	251.0	35.0	1.0
15 – 19	148.0	245.0	17.0	10.0	41.0	9.0	5.0	36.0	3.0	5.0	4.0	-	111.0	4.0	-	69.0	61.0	18.0	-
20 – 29	173.0	202.0	80.0	8.0	14.0	-	3.0	14.0	10.0	6.0	10.0	1.0	48.0	8.0	-	145.0	27.0	1.0	-
30 – 49	380.0	443.0	197.0	42.0	1.0	7.0	20.0	11.0	27.0	10.0	11.0	-	77.0	40.0	-	318.0	61.0	1.0	-
50 – 54	49.0	64.0	21.0	5.0	-	20.0	8.0	-	-	-	1.0	-	7.0	2.0	-	35.0	13.0	1.0	-
55 – 59	16.0	22.0	5.0	1.0	-	15.0	-	-	-	1.0	-	-	-	-	-	10.0	6.0	-	-
60 – 64	32.0	35.0	-	3.0	-	30.0	2.0	-	-	-	-	-	-	-	-	29.0	3.0	-	-
65 и более	44.0	51.0	2.0	4.0	-	44.0	-	-	-	1.0	-	-	-	-	-	37.0	7.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Коряки	8271.0	11314.0	2400.0	590.0	166.0	986.0	228.0	2188.0	906.0	346.0	18.0	3.0	3107.0	376.0	10.0	5434.0	2633.0	166.0	28.0
в том числе в возрасте, лет:																			
до 15	2428.0	4098.0	2.0	2.0	2.0	139.0	20.0	1772.0	-	137.0	5.0	-	2010.0	9.0	-	838.0	1511.0	78.0	1.0
15 – 19	1063.0	1613.0	120.0	38.0	143.0	80.0	32.0	320.0	76.0	110.0	3.0	1.0	653.0	37.0	1.0	626.0	351.0	59.0	26.0
20 – 29	1310.0	1510.0	636.0	139.0	21.0	5.0	41.0	38.0	225.0	44.0	3.0	1.0	236.0	121.0	1.0	1112.0	193.0	4.0	-
30 – 49	2608.0	2992.0	1430.0	324.0	-	46.0	109.0	55.0	580.0	41.0	6.0	1.0	198.0	202.0	8.0	2220.0	369.0	10.0	1.0
50 – 54	289.0	389.0	128.0	36.0	-	167.0	16.0	2.0	25.0	2.0	-	-	6.0	7.0	-	198.0	82.0	9.0	-
55 – 59	172.0	237.0	49.0	21.0	-	160.0	3.0	-	-	1.0	-	-	3.0	-	-	111.0	57.0	4.0	-
60 – 64	137.0	170.0	20.0	12.0	-	132.0	2.0	-	-	3.0	1.0	-	-	-	-	106.0	29.0	2.0	-
65 и более	262.0	302.0	14.0	18.0	-	257.0	5.0	-	-	8.0	-	-	-	-	-	222.0	40.0	-	-
возраст не указан	2.0	3.0	1.0	-	-	-	-	1.0	-	-	-	-	1.0	-	-	1.0	1.0	-	-
Кумандинцы	2888.0	4684.0	942.0	1314.0	76.0	658.0	172.0	435.0	32.0	75.0	4.0	6.0	889.0	81.0	-	1281.0	1424.0	177.0	6.0
в том числе в возрасте, лет:																			
до 15	416.0	863.0	-	79.0	-	21.0	11.0	340.0	-	8.0	-	-	403.0	1.0	-	60.0	267.0	87.0	2.0
15 – 19	241.0	468.0	24.0	92.0	63.0	19.0	10.0	61.0	1.0	7.0	-	-	189.0	2.0	-	65.0	127.0	47.0	2.0
20 – 29	399.0	589.0	192.0	183.0	13.0	4.0	15.0	22.0	6.0	21.0	1.0	-	124.0	8.0	-	226.0	157.0	15.0	1.0
30 – 49	1022.0	1502.0	610.0	536.0	-	27.0	59.0	12.0	24.0	25.0	3.0	2.0	143.0	61.0	-	557.0	450.0	15.0	-
50 – 54	213.0	316.0	90.0	102.0	-	52.0	35.0	-	1.0	8.0	-	-	23.0	5.0	-	115.0	93.0	5.0	-
55 – 59	83.0	130.0	17.0	44.0	-	52.0	10.0	-	-	2.0	-	-	4.0	1.0	-	38.0	43.0	2.0	-
60 – 64	126.0	211.0	7.0	75.0	-	120.0	4.0	-	-	1.0	-	2.0	-	2.0	-	48.0	72.0	5.0	1.0
65 и более	388.0	605.0	2.0	203.0	-	363.0	28.0	-	-	3.0	-	2.0	3.0	1.0	-	172.0	215.0	1.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Манси	10820.0	15188.0	3515.0	1460.0	356.0	1315.0	323.0	2326.0	453.0	327.0	17.0	11.0	4862.0	223.0	20.0	6639.0	3939.0	217.0	5.0
в том числе в возрасте, лет:																			
до 15	3370.0	5380.0	2.0	21.0	2.0	120.0	34.0	1910.0	-	157.0	-	-	3124.0	10.0	8.0	1435.0	1838.0	87.0	2.0
15 – 19	1346.0	1946.0	97.0	66.0	260.0	66.0	28.0	291.0	30.0	57.0	-	-	1040.0	11.0	1.0	786.0	519.0	38.0	2.0
20 – 29	1661.0	2057.0	958.0	256.0	93.0	12.0	47.0	56.0	137.0	53.0	2.0	3.0	382.0	58.0	1.0	1283.0	358.0	18.0	1.0
30 – 49	3150.0	3964.0	2164.0	759.0	1.0	72.0	153.0	58.0	271.0	46.0	12.0	6.0	293.0	129.0	9.0	2344.0	771.0	26.0	-
50 – 54	371.0	550.0	187.0	109.0	-	175.0	29.0	3.0	14.0	2.0	1.0	2.0	16.0	12.0	-	215.0	133.0	23.0	-
55 – 59	167.0	257.0	51.0	50.0	-	145.0	6.0	1.0	1.0	1.0	-	-	1.0	1.0	-	86.0	72.0	9.0	-
60 – 64	267.0	381.0	31.0	77.0	-	255.0	9.0	2.0	-	4.0	2.0	-	1.0	-	-	162.0	96.0	9.0	-
65 и более	487.0	651.0	25.0	122.0	-	470.0	17.0	4.0	-	7.0	-	-	4.0	2.0	1.0	328.0	151.0	7.0	-
возраст не указан	1.0	2.0	-	-	-	-	-	1.0	-	-	-	-	1.0	-	-	-	1.0	-	-
Нагайбаки	9087.0	15345.0	3661.0	4305.0	121.0	2536.0	304.0	1519.0	36.0	28.0	8.0	7.0	2813.0	7.0	-	3292.0	5338.0	451.0	6.0
в том числе в возрасте, лет:																			
до 15	1371.0	2658.0	-	36.0	-	71.0	21.0	1166.0	-	4.0	-	-	1360.0	-	-	192.0	1072.0	106.0	1.0
15 – 19	727.0	1278.0	60.0	150.0	98.0	31.0	18.0	266.0	-	5.0	-	1.0	649.0	-	-	264.0	379.0	80.0	4.0
20 – 29	916.0	1418.0	599.0	429.0	23.0	3.0	19.0	59.0	4.0	4.0	1.0	1.0	275.0	1.0	-	455.0	420.0	41.0	-
30 – 49	2938.0	4994.0	2259.0	2097.0	-	71.0	112.0	23.0	23.0	8.0	2.0	2.0	392.0	5.0	-	955.0	1910.0	73.0	-
50 – 54	641.0	1085.0	459.0	423.0	-	68.0	45.0	1.0	7.0	2.0	2.0	-	77.0	1.0	-	233.0	372.0	36.0	-
55 – 59	324.0	579.0	137.0	209.0	-	198.0	21.0	-	2.0	-	-	1.0	11.0	-	-	95.0	203.0	26.0	-
60 – 64	603.0	1025.0	64.0	357.0	-	577.0	18.0	-	-	1.0	1.0	1.0	6.0	-	-	224.0	337.0	41.0	1.0
65 и более	1567.0	2308.0	83.0	604.0	-	1517.0	50.0	4.0	-	4.0	2.0	1.0	43.0	-	-	874.0	645.0	48.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Нанайцы	11569.0	18415.0	3452.0	3379.0	432.0	1691.0	542.0	2947.0	277.0	355.0	14.0	8.0	4849.0	469.0	9.0	5280.0	5715.0	555.0	10.0
в том числе в возрасте, лет:																			
до 15	2830.0	5338.0	-	82.0	1.0	193.0	54.0	2284.0	-	146.0	1.0	4.0	2566.0	7.0	4.0	524.0	2095.0	204.0	3.0
15 – 19	1387.0	2382.0	84.0	221.0	313.0	138.0	45.0	437.0	9.0	67.0	1.0	-	1047.0	20.0	1.0	529.0	724.0	127.0	6.0
20 – 29	2065.0	2930.0	893.0	715.0	113.0	38.0	118.0	147.0	79.0	61.0	3.0	-	647.0	116.0	-	1261.0	743.0	61.0	-
30 – 49	3572.0	5072.0	1998.0	1632.0	5.0	114.0	200.0	75.0	164.0	59.0	6.0	3.0	536.0	280.0	2.0	2132.0	1374.0	64.0	-
50 – 54	593.0	933.0	288.0	262.0	-	215.0	60.0	3.0	21.0	6.0	1.0	1.0	41.0	35.0	-	286.0	274.0	33.0	-
55 – 59	261.0	437.0	103.0	107.0	-	191.0	11.0	1.0	4.0	2.0	1.0	-	8.0	9.0	1.0	108.0	127.0	25.0	-
60 – 64	324.0	531.0	65.0	138.0	-	299.0	22.0	-	-	5.0	-	-	1.0	1.0	-	152.0	138.0	33.0	1.0
65 и более	536.0	792.0	21.0	222.0	-	503.0	32.0	-	-	9.0	1.0	-	3.0	1.0	-	288.0	240.0	8.0	-
возраст не указан	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-	-	-	-
Нганасаны	811.0	1148.0	217.0	26.0	13.0	105.0	30.0	255.0	67.0	88.0	1.0	-	338.0	8.0	-	494.0	297.0	20.0	-
в том числе в возрасте, лет:																			
до 15	273.0	490.0	-	-	-	17.0	3.0	180.0	-	60.0	-	-	230.0	-	-	67.0	195.0	11.0	-
15 – 19	96.0	145.0	4.0	-	10.0	9.0	2.0	23.0	11.0	15.0	1.0	-	69.0	1.0	-	50.0	43.0	3.0	-
20 – 29	131.0	149.0	61.0	5.0	3.0	-	6.0	23.0	17.0	7.0	-	-	24.0	3.0	-	115.0	14.0	2.0	-
30 – 49	219.0	259.0	136.0	15.0	-	8.0	14.0	24.0	39.0	6.0	-	-	13.0	4.0	-	183.0	32.0	4.0	-
50 – 54	26.0	31.0	13.0	3.0	-	11.0	2.0	2.0	-	-	-	-	-	-	-	21.0	5.0	-	-
55 – 59	30.0	33.0	2.0	1.0	-	27.0	1.0	-	-	-	-	-	2.0	-	-	27.0	3.0	-	-
60 – 64	19.0	22.0	1.0	2.0	-	17.0	1.0	1.0	-	-	-	-	-	-	-	16.0	3.0	-	-
65 и более	17.0	19.0	-	-	-	16.0	1.0	2.0	-	-	-	-	-	-	-	15.0	2.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Негидальцы	505.0	687.0	132.0	24.0	7.0	88.0	15.0	134.0	12.0	9.0	-	-	207.0	59.0	2.0	330.0	163.0	9.0	1.0
в том числе в возрасте, лет:																			
до 15	138.0	263.0	-	1.0	-	5.0	4.0	114.0	-	2.0	-	-	137.0	-	-	19.0	114.0	4.0	1.0
15 – 19	49.0	65.0	5.0	-	5.0	4.0	1.0	12.0	-	2.0	-	-	31.0	5.0	-	35.0	12.0	2.0	-
20 – 29	79.0	88.0	40.0	4.0	2.0	-	3.0	6.0	2.0	1.0	-	-	17.0	13.0	2.0	67.0	9.0	1.0	-
30 – 49	153.0	166.0	73.0	10.0	-	6.0	5.0	2.0	10.0	2.0	-	-	17.0	41.0	-	142.0	9.0	2.0	-
50 – 54	29.0	41.0	12.0	5.0	-	17.0	2.0	-	-	-	-	-	5.0	-	-	17.0	12.0	-	-
55 – 59	13.0	15.0	1.0	1.0	-	13.0	-	-	-	-	-	-	-	-	-	11.0	2.0	-	-
60 – 64	11.0	12.0	1.0	-	-	11.0	-	-	-	-	-	-	-	-	-	10.0	1.0	-	-
65 и более	33.0	37.0	-	3.0	-	32.0	-	-	-	2.0	-	-	-	-	-	29.0	4.0	-	-
