4. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИИ, СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ В СОСТАВЕ ФЕДЕРАЛЬНЫХ ОКРУГОВ, РАЙОНОВ, ГОРОДСКИХ ПОСЕЛЕНИЙ, СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ – РАЙОННЫХ ЦЕНТРОВ И СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ С НАСЕЛЕНИЕМ 3 ТЫСЯЧИ И БОЛЕЕ ЧЕЛОВЕК					
	Мужчины и женщины	Мужчины	Женщины	В общей численности населения, процентов	
				мужчины	женщины
      с. Орел-Изумруд	4555.0	2079.0	2476.0	45.6	54.4
      прочие сельские населенные пункты	44444.0	21701.0	22743.0	48.8	51.2
  г. Тихорецк с подчиненными его администрации населенными пунктами 	66516.0	30199.0	36317.0	45.4	54.6
    Городское население - г. Тихорецк	65005.0	29510.0	35495.0	45.4	54.6
    Сельское население	1511.0	689.0	822.0	45.6	54.4
  г. Туапсе	64238.0	28918.0	35320.0	45.0	55.0
  Абинский район	89794.0	41532.0	48262.0	46.3	53.7
    Городское население	52953.0	24210.0	28743.0	45.7	54.3
      г. Абинск (рц)	33734.0	15456.0	18278.0	45.8	54.2
      пгт Ахтырский	19219.0	8754.0	10465.0	45.5	54.5
    Сельское население	36841.0	17322.0	19519.0	47.0	53.0
      ст-ца Мингрельская	5452.0	2532.0	2920.0	46.4	53.6
      ст-ца Холмская	17271.0	8031.0	9240.0	46.5	53.5
      прочие сельские населенные пункты	14118.0	6759.0	7359.0	47.9	52.1
  Анапский район - сельское население	69134.0	32777.0	36357.0	47.4	52.6
      ст-ца Анапская	13787.0	6503.0	7284.0	47.2	52.8
      п. Виноградный	3209.0	1509.0	1700.0	47.0	53.0
      ст-ца Гостагаевская	8962.0	4154.0	4808.0	46.4	53.6
      с. Джигинка	4027.0	1874.0	2153.0	46.5	53.5
      с. Супсех	6335.0	3055.0	3280.0	48.2	51.8
      с. Цибанобалка	4490.0	2240.0	2250.0	49.9	50.1
      с. Юровка	3465.0	1620.0	1845.0	46.8	53.2
      прочие сельские населенные пункты	24859.0	11822.0	13037.0	47.6	52.4
  Апшеронский район 	95048.0	47053.0	47995.0	49.5	50.5
    Городское население	65618.0	33307.0	32311.0	50.8	49.2
      г. Апшеронск (рц)	39608.0	19704.0	19904.0	49.7	50.3
      г. Хадыженск	21286.0	11428.0	9858.0	53.7	46.3
      пгт Нефтегорск	4724.0	2175.0	2549.0	46.0	54.0
    Сельское население	29430.0	13746.0	15684.0	46.7	53.3
  Белоглинский район - сельское население	33477.0	15488.0	17989.0	46.3	53.7
      с. Белая Глина (рц)	17767.0	8183.0	9584.0	46.1	53.9
      ст-ца Успенская	4622.0	2114.0	2508.0	45.7	54.3
      прочие сельские населенные пункты	11088.0	5191.0	5897.0	46.8	53.2
  Белореченский район - сельское население	43542.0	20965.0	22577.0	48.1	51.9
      с. Великовечное	5688.0	2715.0	2973.0	47.7	52.3
      ст-ца Пшехская	4915.0	2349.0	2566.0	47.8	52.2
      ст-ца Рязанская	5091.0	2372.0	2719.0	46.6	53.4
      прочие сельские населенные пункты	27848.0	13529.0	14319.0	48.6	51.4
  Брюховецкий район - сельское население	54594.0	25700.0	28894.0	47.1	52.9
      ст-ца Брюховецкая (рц)	22024.0	10290.0	11734.0	46.7	53.3
      ст-ца Батуринская	3631.0	1709.0	1922.0	47.1	52.9
      ст-ца Новоджерелиевская	5297.0	2443.0	2854.0	46.1	53.9
      ст-ца Переясловская	8433.0	4017.0	4416.0	47.6	52.4
      прочие сельские населенные пункты	15209.0	7241.0	7968.0	47.6	52.4
  Выселковский район - сельское население	60239.0	28022.0	32217.0	46.5	53.5
      ст-ца Выселки (рц)	18507.0	8540.0	9967.0	46.1	53.9
      ст-ца Березанская	6484.0	3015.0	3469.0	46.5	53.5
      ст-ца Ирклиевская	3029.0	1401.0	1628.0	46.3	53.7
      ст-ца Новобейсугская	3555.0	1697.0	1858.0	47.7	52.3
      ст-ца Новомалороссийская	5792.0	2610.0	3182.0	45.1	54.9
      прочие сельские населенные пункты	22872.0	10759.0	12113.0	47.0	53.0
  Гулькевичский район 	102632.0	47592.0	55040.0	46.4	53.6
    Городское население	49229.0	22500.0	26729.0	45.7	54.3
      г. Гулькевичи (рц)	35141.0	15985.0	19156.0	45.5	54.5
      пгт Гирей	6626.0	3023.0	3603.0	45.6	54.4
      пгт Красносельский	7462.0	3492.0	3970.0	46.8	53.2
    Сельское население	53403.0	25092.0	28311.0	47.0	53.0
      п. Венцы	4139.0	1930.0	2209.0	46.6	53.4
      с. Майкопское	4118.0	1997.0	2121.0	48.5	51.5
      с. Новоукраинское	5852.0	2764.0	3088.0	47.2	52.8
      с. Отрадо-Кубанское	3650.0	1682.0	1968.0	46.1	53.9
      с. Отрадо-Ольгинское	3322.0	1587.0	1735.0	47.8	52.2
      с. Соколовское	3098.0	1478.0	1620.0	47.7	52.3
      прочие сельские населенные пункты	29224.0	13654.0	15570.0	46.7	53.3
  Динской район - сельское население	119833.0	55707.0	64126.0	46.5	53.5
      ст-ца Динская (рц)	34132.0	15719.0	18413.0	46.1	53.9
      п. Агроном	3771.0	1736.0	2035.0	46.0	54.0
      ст-ца Васюринская	12666.0	5884.0	6782.0	46.5	53.5
      ст-ца Нововеличковская	8662.0	4069.0	4593.0	47.0	53.0
      ст-ца Новотитаровская	22341.0	10451.0	11890.0	46.8	53.2
      ст-ца Пластуновская	9481.0	4415.0	5066.0	46.6	53.4
      ст-ца Старомышастовская	10489.0	4854.0	5635.0	46.3	53.7
      п. Южный	4447.0	2101.0	2346.0	47.2	52.8
      прочие сельские населенные пункты	13844.0	6478.0	7366.0	46.8	53.2
  Ейский район - сельское население	43962.0	20620.0	23342.0	46.9	53.1
      ст-ца Должанская	7102.0	3286.0	3816.0	46.3	53.7
      ст-ца Камышеватская	5135.0	2413.0	2722.0	47.0	53.0
      ст-ца Копанская	3957.0	1888.0	2069.0	47.7	52.3
      ст-ца Ясенская	4793.0	2288.0	2505.0	47.7	52.3
      прочие сельские населенные пункты	22975.0	10745.0	12230.0	46.8	53.2
  Кавказский район - сельское население	45343.0	21281.0	24062.0	46.9	53.1
      ст-ца Кавказская (рц)	11531.0	5493.0	6038.0	47.6	52.4
      ст-ца Дмитриевская	3368.0	1545.0	1823.0	45.9	54.1
      ст-ца Казанская	10656.0	5022.0	5634.0	47.1	52.9
      п. Мирской	3055.0	1399.0	1656.0	45.8	54.2
      ст-ца Темижбекская	6033.0	2775.0	3258.0	46.0	54.0
      прочие сельские населенные пункты	10700.0	5047.0	5653.0	47.2	52.8
  Калининский район - сельское население	50161.0	23499.0	26662.0	46.8	53.2
      ст-ца Калининская (рц)	13192.0	6077.0	7115.0	46.1	53.9
      ст-ца Гривенская	5142.0	2370.0	2772.0	46.1	53.9
      ст-ца Новониколаевская	3705.0	1749.0	1956.0	47.2	52.8
      ст-ца Старовеличковская	12944.0	6048.0	6896.0	46.7	53.3
      прочие сельские населенные пункты	15178.0	7255.0	7923.0	47.8	52.2
  Каневский район - сельское население	102245.0	47539.0	54706.0	46.5	53.5
      ст-ца Каневская (рц)	44755.0	20624.0	24131.0	46.1	53.9
      ст-ца Новодеревянковская	6626.0	3120.0	3506.0	47.1	52.9
      ст-ца Новоминская	11895.0	5550.0	6345.0	46.7	53.3
      ст-ца Привольная	6482.0	3002.0	3480.0	46.3	53.7
      ст-ца Стародеревянковская	12753.0	5870.0	6883.0	46.0	54.0
      ст-ца Челбасская	6990.0	3260.0	3730.0	46.6	53.4
      прочие сельские населенные пункты	12744.0	6113.0	6631.0	48.0	52.0
  Кореновский район 	85259.0	39565.0	45694.0	46.4	53.6
    Городское население - г. Кореновск (рц)	40844.0	18792.0	22052.0	46.0	54.0
    Сельское население	44415.0	20773.0	23642.0	46.8	53.2
      ст-ца Дядьковская	4456.0	2079.0	2377.0	46.7	53.3
      ст-ца Платнировская	11561.0	5371.0	6190.0	46.5	53.5
      ст-ца Раздольная	3149.0	1481.0	1668.0	47.0	53.0
      прочие сельские населенные пункты	25249.0	11842.0	13407.0	46.9	53.1
  Красноармейский район - сельское население	103874.0	48626.0	55248.0	46.8	53.2
      ст-ца Полтавская (рц)	28639.0	13296.0	15343.0	46.4	53.6
      ст-ца Ивановская	9295.0	4389.0	4906.0	47.2	52.8
      ст-ца Марьянская	10221.0	4782.0	5439.0	46.8	53.2
      ст-ца Новомышастовская	9789.0	4599.0	5190.0	47.0	53.0
      ст-ца Староджерелиевская	3066.0	1462.0	1604.0	47.7	52.3
      ст-ца Старонижестеблиевская	10344.0	4820.0	5524.0	46.6	53.4
      х. Трудобеликовский	8898.0	4156.0	4742.0	46.7	53.3
      прочие сельские населенные пункты	23622.0	11122.0	12500.0	47.1	52.9
  Крыловский район - сельское население	37657.0	17706.0	19951.0	47.0	53.0
      ст-ца Крыловская (рц)	14419.0	6752.0	7667.0	46.8	53.2
      ст-ца Октябрьская	11460.0	5300.0	6160.0	46.2	53.8
      прочие сельские населенные пункты	11778.0	5654.0	6124.0	48.0	52.0
  Крымский район - сельское население	70576.0	33302.0	37274.0	47.2	52.8
      ст-ца Варениковская	14225.0	6600.0	7625.0	46.4	53.6
      с. Киевское	4667.0	2227.0	2440.0	47.7	52.3
      ст-ца Нижнебаканская	8538.0	4079.0	4459.0	47.8	52.2
      х. Новоукраинский	3526.0	1690.0	1836.0	47.9	52.1
      ст-ца Троицкая	6396.0	3044.0	3352.0	47.6	52.4
      прочие сельские населенные пункты	33224.0	15662.0	17562.0	47.1	52.9
  Курганинский район 	103999.0	48401.0	55598.0	46.5	53.5
    Городское население - г. Курганинск (рц)	46618.0	21747.0	24871.0	46.6	53.4
    Сельское население	57381.0	26654.0	30727.0	46.5	53.5
      ст-ца Константиновская	4096.0	1768.0	2328.0	43.2	56.8
      ст-ца Михайловская	7947.0	3728.0	4219.0	46.9	53.1
      ст-ца Новоалексеевская	3532.0	1651.0	1881.0	46.7	53.3
      ст-ца Петропавловская	6547.0	3076.0	3471.0	47.0	53.0
      ст-ца Родниковская	8811.0	4044.0	4767.0	45.9	54.1
      ст-ца Темиргоевская	8478.0	3890.0	4588.0	45.9	54.1
      прочие сельские населенные пункты	17970.0	8497.0	9473.0	47.3	52.7
  Кущевский район - сельское население	70513.0	32788.0	37725.0	46.5	53.5
      ст-ца Кущевская (рц)	29533.0	13642.0	15891.0	46.2	53.8
      ст-ца Кисляковская	5431.0	2516.0	2915.0	46.3	53.7
      с. Красное	3459.0	1563.0	1896.0	45.2	54.8
      ст-ца Шкуринская	4941.0	2311.0	2630.0	46.8	53.2
      прочие сельские населенные пункты	27149.0	12756.0	14393.0	47.0	53.0
  Лабинский район - сельское население	39235.0	18270.0	20965.0	46.6	53.4
      ст-ца Владимирская	7185.0	3358.0	3827.0	46.7	53.3
      ст-ца Вознесенская	6920.0	3231.0	3689.0	46.7	53.3
      ст-ца Упорная	3307.0	1540.0	1767.0	46.6	53.4
      ст-ца Чамлыкская	3674.0	1626.0	2048.0	44.3	55.7
      прочие сельские населенные пункты	18149.0	8515.0	9634.0	46.9	53.1
  Ленинградский район - сельское население	66679.0	30659.0	36020.0	46.0	54.0
      ст-ца Ленинградская (рц)	38218.0	17342.0	20876.0	45.4	54.6
      ст-ца Крыловская	6744.0	3203.0	3541.0	47.5	52.5
      ст-ца Новоплатнировская	3937.0	1846.0	2091.0	46.9	53.1
      прочие сельские населенные пункты	17780.0	8268.0	9512.0	46.5	53.5
  Мостовский район 	72660.0	34001.0	38659.0	46.8	53.2
    Городское население	35897.0	16747.0	19150.0	46.7	53.3
      пгт Мостовской (рц)	24866.0	11640.0	13226.0	46.8	53.2
      пгт Псебай	11031.0	5107.0	5924.0	46.3	53.7
    Сельское население	36763.0	17254.0	19509.0	46.9	53.1
      ст-ца Губская	3137.0	1493.0	1644.0	47.6	52.4
      ст-ца Переправная	3145.0	1504.0	1641.0	47.8	52.2
      с. Шедок	3102.0	1449.0	1653.0	46.7	53.3
      ст-ца Ярославская	5388.0	2483.0	2905.0	46.1	53.9
      прочие сельские населенные пункты	21991.0	10325.0	11666.0	47.0	53.0
  Новокубанский район 	87478.0	40302.0	47176.0	46.1	53.9
    Городское население - г. Новокубанск (рц)	35400.0	16186.0	19214.0	45.7	54.3
    Сельское население	52078.0	24116.0	27962.0	46.3	53.7
      ст-ца Бесскорбная	5762.0	2664.0	3098.0	46.2	53.8
      п. Глубокий	3468.0	1593.0	1875.0	45.9	54.1
      с. Ковалевское	3099.0	1465.0	1634.0	47.3	52.7
      п. Прикубанский	3128.0	1466.0	1662.0	46.9	53.1
      ст-ца Прочноокопская	4853.0	2261.0	2592.0	46.6	53.4
      ст-ца Советская	10036.0	4577.0	5459.0	45.6	54.4
      прочие сельские населенные пункты	21732.0	10090.0	11642.0	46.4	53.6
  Новопокровский район - сельское население	47893.0	22376.0	25517.0	46.7	53.3
      ст-ца Новопокровская (рц)	19095.0	8809.0	10286.0	46.1	53.9
      ст-ца Ильинская	4848.0	2325.0	2523.0	48.0	52.0
      ст-ца Калниболотская	6494.0	3032.0	3462.0	46.7	53.3
      п. Кубанский	3159.0	1427.0	1732.0	45.2	54.8
      прочие сельские населенные пункты	14297.0	6783.0	7514.0	47.4	52.6
  Отрадненский район - сельское население	66734.0	31466.0	35268.0	47.2	52.8
      ст-ца Отрадная (рц)	22692.0	10561.0	12131.0	46.5	53.5
      ст-ца Передовая	4150.0	1944.0	2206.0	46.8	53.2
      ст-ца Попутная	6199.0	2893.0	3306.0	46.7	53.3
      ст-ца Спокойная	5223.0	2466.0	2757.0	47.2	52.8
      ст-ца Удобная	5449.0	2454.0	2995.0	45.0	55.0
      прочие сельские населенные пункты	23021.0	11148.0	11873.0	48.4	51.6
  Павловский район - сельское население	68470.0	31700.0	36770.0	46.3	53.7
      ст-ца Павловская (рц)	30736.0	14070.0	16666.0	45.8	54.2
      ст-ца Атаманская	3880.0	1914.0	1966.0	49.3	50.7
      ст-ца Незамаевская	3082.0	1427.0	1655.0	46.3	53.7
      ст-ца Новолеушковская	6766.0	3150.0	3616.0	46.6	53.4
      ст-ца Старолеушковская	5660.0	2589.0	3071.0	45.7	54.3
      прочие сельские населенные пункты	18346.0	8550.0	9796.0	46.6	53.4
  Приморско-Ахтарский район 	60913.0	29240.0	31673.0	48.0	52.0
    Городское население - г. Приморско-Ахтарск (рц)	32677.0	14531.0	18146.0	44.5	55.5
    Сельское население	28236.0	14709.0	13527.0	52.1	47.9
      п. Ахтарский	4307.0	3422.0	885.0	79.5	20.5
      ст-ца Бриньковская	4759.0	2233.0	2526.0	46.9	53.1
      ст-ца Ольгинская	4384.0	2036.0	2348.0	46.4	53.6
      прочие сельские населенные пункты	14786.0	7018.0	7768.0	47.5	52.5
  Северский район 	107661.0	49767.0	57894.0	46.2	53.8
    Городское население	48646.0	22250.0	26396.0	45.7	54.3
      пгт Афипский	17977.0	8295.0	9682.0	46.1	53.9
      пгт Ильский	22323.0	10203.0	12120.0	45.7	54.3
      пгт Черноморский	8346.0	3752.0	4594.0	45.0	55.0
    Сельское население	59015.0	27517.0	31498.0	46.6	53.4
      ст-ца Северская (рц)	22557.0	10272.0	12285.0	45.5	54.5
      ст-ца Азовская	3909.0	2084.0	1825.0	53.3	46.7
      с. Львовское	4710.0	2201.0	2509.0	46.7	53.3
      ст-ца Новодмитриевская	5163.0	2390.0	2773.0	46.3	53.7
      ст-ца Смоленская	8026.0	3710.0	4316.0	46.2	53.8
      прочие сельские населенные пункты	14650.0	6860.0	7790.0	46.8	53.2
  Славянский район 	66129.0	31264.0	34865.0	47.3	52.7
    Городское население - пгт Ачуево	479.0	204.0	275.0	42.6	57.4
    Сельское население	65650.0	31060.0	34590.0	47.3	52.7
      ст-ца Анастасиевская	11061.0	5252.0	5809.0	47.5	52.5
      х. Коржевский	3877.0	1845.0	2032.0	47.6	52.4
      ст-ца Петровская	13170.0	6189.0	6981.0	47.0	53.0
      п. Совхозный	3866.0	1844.0	2022.0	47.7	52.3
      ст-ца Черноерковская	3807.0	1804.0	2003.0	47.4	52.6
      прочие сельские населенные пункты	29869.0	14126.0	15743.0	47.3	52.7
  Староминский район - сельское население	41097.0	19281.0	21816.0	46.9	53.1
      ст-ца Староминская (рц)	30072.0	14111.0	15961.0	46.9	53.1
      ст-ца Канеловская	4277.0	1971.0	2306.0	46.1	53.9
      прочие сельские населенные пункты	6748.0	3199.0	3549.0	47.4	52.6
  Тбилисский район - сельское население	48752.0	22651.0	26101.0	46.5	53.5
      ст-ца Тбилисская (рц)	24134.0	11119.0	13015.0	46.1	53.9
      прочие сельские населенные пункты	24618.0	11532.0	13086.0	46.8	53.2
  Темрюкский район 	115462.0	53645.0	61817.0	46.5	53.5
    Городское население - г. Темрюк (рц)	36118.0	16669.0	19449.0	46.2	53.8
    Сельское население	79344.0	36976.0	42368.0	46.6	53.4
      ст-ца Ахтанизовская	3299.0	1491.0	1808.0	45.2	54.8
      ст-ца Вышестеблиевская	4257.0	1996.0	2261.0	46.9	53.1
      ст-ца Голубицкая	4085.0	1894.0	2191.0	46.4	53.6
      ст-ца Курчанская	6277.0	2960.0	3317.0	47.2	52.8
      п. Сенной	4131.0	1875.0	2256.0	45.4	54.6
      ст-ца Старотитаровская	12193.0	5716.0	6477.0	46.9	53.1
      п. Стрелка	5364.0	2480.0	2884.0	46.2	53.8
      ст-ца Тамань	9297.0	4309.0	4988.0	46.3	53.7
      прочие сельские населенные пункты	30441.0	14255.0	16186.0	46.8	53.2
  Тимашевский район 	107189.0	50350.0	56839.0	47.0	53.0
    Городское население - г. Тимашевск (рц)	54116.0	25426.0	28690.0	47.0	53.0
    Сельское население	53073.0	24924.0	28149.0	47.0	53.0
      ст-ца Днепровская	3195.0	1516.0	1679.0	47.4	52.6
      ст-ца Медведовская	16725.0	7934.0	8791.0	47.4	52.6
      ст-ца Новокорсунская	5067.0	2357.0	2710.0	46.5	53.5
      ст-ца Роговская	8327.0	3893.0	4434.0	46.8	53.2
      прочие сельские населенные пункты	19759.0	9224.0	10535.0	46.7	53.3
  Тихорецкий район - сельское население	61232.0	28681.0	32551.0	46.8	53.2
      ст-ца Алексеевская	3261.0	1513.0	1748.0	46.4	53.6
      ст-ца Архангельская	9027.0	4089.0	4938.0	45.3	54.7
      ст-ца Новорождественская	6693.0	3142.0	3551.0	46.9	53.1
      п. Парковый	4466.0	2040.0	2426.0	45.7	54.3
      ст-ца Терновская	6558.0	3230.0	3328.0	49.3	50.7
      ст-ца Фастовецкая	8694.0	4058.0	4636.0	46.7	53.3
      прочие сельские населенные пункты	22533.0	10609.0	11924.0	47.1	52.9
  Туапсинский район 	61257.0	28846.0	32411.0	47.1	52.9
    Городское население	15484.0	7256.0	8228.0	46.9	53.1
      пгт Джубга 	5246.0	2513.0	2733.0	47.9	52.1
      пгт Новомихайловский 	10238.0	4743.0	5495.0	46.3	53.7
    Сельское население	45773.0	21590.0	24183.0	47.2	52.8
      с. Небуг	3651.0	1680.0	1971.0	46.0	54.0
      с. Шепси	3111.0	1456.0	1655.0	46.8	53.2
      прочие сельские населенные пункты	39011.0	18454.0	20557.0	47.3	52.7
  Успенский район - сельское население	40873.0	18972.0	21901.0	46.4	53.6
      с. Успенское (рц)	11692.0	5358.0	6334.0	45.8	54.2
      с. Вольное	3450.0	1632.0	1818.0	47.3	52.7
      с. Коноково	7411.0	3389.0	4022.0	45.7	54.3
      прочие сельские населенные пункты	18320.0	8593.0	9727.0	46.9	53.1
  Усть-Лабинский район 	115442.0	55693.0	59749.0	48.2	51.8
    Городское население - г. Усть-Лабинск (рц)	43824.0	20007.0	23817.0	45.7	54.3
    Сельское население	71618.0	35686.0	35932.0	49.8	50.2
      ст-ца Воронежская	7924.0	3677.0	4247.0	46.4	53.6
      п. Двубратский	10141.0	7086.0	3055.0	69.9	30.1
      ст-ца Кирпильская	5654.0	2662.0	2992.0	47.1	52.9
      ст-ца Ладожская	14714.0	6829.0	7885.0	46.4	53.6
      ст-ца Некрасовская	4753.0	2188.0	2565.0	46.0	54.0
      ст-ца Новолабинская	3685.0	1660.0	2025.0	45.0	55.0
      прочие сельские населенные пункты	24747.0	11584.0	13163.0	46.8	53.2
  Щербиновский район - сельское население	38816.0	18067.0	20749.0	46.5	53.5
      ст-ца Старощербиновская (рц)	18545.0	8594.0	9951.0	46.3	53.7
      ст-ца Новощербиновская	6333.0	2996.0	3337.0	47.3	52.7
      прочие сельские населенные пункты	13938.0	6477.0	7461.0	46.5	53.5
Ставропольский край	2735139.0	1279937.0	1455202.0	46.8	53.2
    Городское население	1530591.0	705569.0	825022.0	46.1	53.9
    Сельское население	1204548.0	574368.0	630180.0	47.7	52.3
  г. Ставрополь с подчиненными его администрации населенными пунктами	355066.0	162747.0	192319.0	45.8	54.2
    Городское население - г. Ставрополь	354867.0	162643.0	192224.0	45.8	54.2
          городские районы					
        Ленинский	108064.0	49771.0	58293.0	46.1	53.9
        Октябрьский	68775.0	31455.0	37320.0	45.7	54.3
        Промышленный	178028.0	81417.0	96611.0	45.7	54.3
    Сельское население	199.0	104.0	95.0	52.3	47.7
  г. Будённовск	65687.0	31968.0	33719.0	48.7	51.3
  г. Георгиевск	70575.0	32250.0	38325.0	45.7	54.3
  г. Ессентуки	81758.0	36844.0	44914.0	45.1	54.9
  г. Железноводск с подчиненными его администрации населенными пунктами - городское население	52245.0	23997.0	28248.0	45.9	54.1
      г. Железноводск	25135.0	11669.0	13466.0	46.4	53.6
      пгт Иноземцево	27110.0	12328.0	14782.0	45.5	54.5
  г. Кисловодск с подчиненными его администрации населенными пунктами	135288.0	61311.0	73977.0	45.3	54.7
    Городское население - г. Кисловодск	129788.0	58754.0	71034.0	45.3	54.7
    Сельское население	5500.0	2557.0	2943.0	46.5	53.5
  г. Лермонтов с подчиненными его администрации населенными пунктами	25063.0	11447.0	13616.0	45.7	54.3
    Городское население - г. Лермонтов	22964.0	10477.0	12487.0	45.6	54.4
    Сельское население	2099.0	970.0	1129.0	46.2	53.8
  г. Минеральные Воды с подчиненными его администрации населенными пунктами	89051.0	40231.0	48820.0	45.2	54.8
    Городское население	82280.0	37075.0	45205.0	45.1	54.9
      г. Минеральные Воды	75644.0	34074.0	41570.0	45.0	55.0
      пгт Анджиевский	6636.0	3001.0	3635.0	45.2	54.8
    Сельское население	6771.0	3156.0	3615.0	46.6	53.4
      с. Левокумка	5551.0	2587.0	2964.0	46.6	53.4
      прочие сельские населенные пункты	1220.0	569.0	651.0	46.6	53.4
  г. Невинномысск	132141.0	62181.0	69960.0	47.1	52.9
  г. Пятигорск с подчиненными его администрации населенными пунктами	204371.0	92973.0	111398.0	45.5	54.5
    Городское население	192364.0	86966.0	105398.0	45.2	54.8
      г. Пятигорск	140559.0	63190.0	77369.0	45.0	55.0
      пгт Горячеводский	34456.0	15964.0	18492.0	46.3	53.7
      пгт Свободы	17349.0	7812.0	9537.0	45.0	55.0
    Сельское население	12007.0	6007.0	6000.0	50.0	50.0
      ст-ца Константиновская	7011.0	3589.0	3422.0	51.2	48.8
      прочие сельские населенные пункты	4996.0	2418.0	2578.0	48.4	51.6
  Александровский район - сельское население	50978.0	23555.0	27423.0	46.2	53.8
      с. Александровское (рц)	27512.0	12652.0	14860.0	46.0	54.0
      с. Калиновское	3881.0	1781.0	2100.0	45.9	54.1
      с. Круглолесское	3192.0	1351.0	1841.0	42.3	57.7
      с. Северное	3543.0	1653.0	1890.0	46.7	53.3
      прочие сельские населенные пункты	12850.0	6118.0	6732.0	47.6	52.4
  Андроповский район - сельское население	35670.0	16883.0	18787.0	47.3	52.7
      с. Курсавка (рц)	10848.0	5025.0	5823.0	46.3	53.7
      с. Солуно-Дмитриевское	3212.0	1511.0	1701.0	47.0	53.0
      прочие сельские населенные пункты	21610.0	10347.0	11263.0	47.9	52.1
  Апанасенковский район - сельское население	36038.0	17217.0	18821.0	47.8	52.2
      с. Дивное (рц)	15423.0	7141.0	8282.0	46.3	53.7
      прочие сельские населенные пункты	20615.0	10076.0	10539.0	48.9	51.1
  Арзгирский район - сельское население	28733.0	13782.0	14951.0	48.0	52.0
      с. Арзгир (рц)	15559.0	7412.0	8147.0	47.6	52.4
      прочие сельские населенные пункты	13174.0	6370.0	6804.0	48.4	51.6
  Благодарненский район	66172.0	31100.0	35072.0	47.0	53.0
    Городское население - г. Благодарный (рц)	34500.0	16230.0	18270.0	47.0	53.0
    Сельское население	31672.0	14870.0	16802.0	46.9	53.1
      с. Александрия	4148.0	1910.0	2238.0	46.0	54.0
      с. Бурлацкое	3573.0	1657.0	1916.0	46.4	53.6
      с. Елизаветинское	3257.0	1522.0	1735.0	46.7	53.3
      с. Сотниковское	5026.0	2374.0	2652.0	47.2	52.8
      прочие сельские населенные пункты	15668.0	7407.0	8261.0	47.3	52.7
  Будённовский район - сельское население	54085.0	25429.0	28656.0	47.0	53.0
      с. Архангельское	5125.0	2349.0	2776.0	45.8	54.2
      с. Орловка	3179.0	1504.0	1675.0	47.3	52.7
      с. Покойное	9013.0	4282.0	4731.0	47.5	52.5
      с. Прасковея	11218.0	5201.0	6017.0	46.4	53.6
      с. Стародубское	4032.0	1882.0	2150.0	46.7	53.3
      прочие сельские населенные пункты	21518.0	10211.0	11307.0	47.5	52.5
  Георгиевский район - сельское население	91371.0	44664.0	46707.0	48.9	51.1
      ст-ца Александрийская	10098.0	5589.0	4509.0	55.3	44.7
      ст-ца Георгиевская	5511.0	2610.0	2901.0	47.4	52.6
      с. Краснокумское	13389.0	7172.0	6217.0	53.6	46.4
      ст-ца Лысогорская	10039.0	4733.0	5306.0	47.1	52.9
      ст-ца Незлобная	18087.0	8475.0	9612.0	46.9	53.1
      с. Новозаведенное	5242.0	2440.0	2802.0	46.5	53.5
      с. Обильное	6620.0	3077.0	3543.0	46.5	53.5
      ст-ца Подгорная	5242.0	2476.0	2766.0	47.2	52.8
      прочие сельские населенные пункты	17143.0	8092.0	9051.0	47.2	52.8
  Грачёвский район - сельское население	36110.0	16861.0	19249.0	46.7	53.3
      с. Грачёвка (рц)	6238.0	2830.0	3408.0	45.4	54.6
      с. Бешпагир	4109.0	1952.0	2157.0	47.5	52.5
      с. Кугульта	5466.0	2500.0	2966.0	45.7	54.3
      с. Спицевка	3314.0	1542.0	1772.0	46.5	53.5
      с. Старомарьевка	5765.0	2728.0	3037.0	47.3	52.7
      прочие сельские населенные пункты	11218.0	5309.0	5909.0	47.3	52.7
  Изобильненский район	101980.0	48121.0	53859.0	47.2	52.8
    Городское население	59323.0	27676.0	31647.0	46.7	53.3
      г. Изобильный (рц)	38926.0	18107.0	20819.0	46.5	53.5
      пгт Рыздвяный	7468.0	3513.0	3955.0	47.0	53.0
      пгт Солнечнодольск	12929.0	6056.0	6873.0	46.8	53.2
    Сельское население	42657.0	20445.0	22212.0	47.9	52.1
      с. Московское	5385.0	2632.0	2753.0	48.9	51.1
      ст-ца Новотроицкая	7770.0	3759.0	4011.0	48.4	51.6
      с. Птичье	4597.0	2165.0	2432.0	47.1	52.9
      с. Тищенское	3376.0	1592.0	1784.0	47.2	52.8
      прочие сельские населенные пункты	21529.0	10297.0	11232.0	47.8	52.2
  Ипатовский район	69268.0	32568.0	36700.0	47.0	53.0
    Городское население - г. Ипатово (рц)	28594.0	13372.0	15222.0	46.8	53.2
    Сельское население	40674.0	19196.0	21478.0	47.2	52.8
      с. Большая Джалга	3809.0	1776.0	2033.0	46.6	53.4
      с. Кевсала	3470.0	1651.0	1819.0	47.6	52.4
      с. Октябрьское	3471.0	1611.0	1860.0	46.4	53.6
      прочие сельские населенные пункты	29924.0	14158.0	15766.0	47.3	52.7
  Кировский район	67317.0	31386.0	35931.0	46.6	53.4
