4. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИИ, СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ В СОСТАВЕ ФЕДЕРАЛЬНЫХ ОКРУГОВ, РАЙОНОВ, ГОРОДСКИХ ПОСЕЛЕНИЙ, СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ – РАЙОННЫХ ЦЕНТРОВ И СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ С НАСЕЛЕНИЕМ 3 ТЫСЯЧИ И БОЛЕЕ ЧЕЛОВЕК					
	Мужчины и женщины	Мужчины	Женщины	В общей численности населения, процентов	
				мужчины	женщины
  Красногорский район 	16863.0	7967.0	8896.0	47.2	52.8
    Городское население - пгт Красная Гора (рц)	6599.0	3142.0	3457.0	47.6	52.4
    Сельское население	10264.0	4825.0	5439.0	47.0	53.0
  Мглинский район 	22551.0	10516.0	12035.0	46.6	53.4
    Городское население - г. Мглин (рц)	8261.0	3863.0	4398.0	46.8	53.2
    Сельское население	14290.0	6653.0	7637.0	46.6	53.4
  Навлинский район 	29783.0	13756.0	16027.0	46.2	53.8
    Городское население	15961.0	7262.0	8699.0	45.5	54.5
      пгт Навля (рц)	14014.0	6385.0	7629.0	45.6	54.4
      пгт Алтухово	1947.0	877.0	1070.0	45.0	55.0
    Сельское население	13822.0	6494.0	7328.0	47.0	53.0
  Новозыбковский район - сельское население	14170.0	6347.0	7823.0	44.8	55.2
  Погарский район 	35588.0	16121.0	19467.0	45.3	54.7
    Городское население - пгт Погар (рц)	11471.0	5265.0	6206.0	45.9	54.1
    Сельское население	24117.0	10856.0	13261.0	45.0	55.0
  Почепский район 	46972.0	21339.0	25633.0	45.4	54.6
    Городское население	17628.0	8109.0	9519.0	46.0	54.0
      г. Почеп (рц)	17064.0	7854.0	9210.0	46.0	54.0
      пгт Рамасуха	564.0	255.0	309.0	45.2	54.8
    Сельское население	29344.0	13230.0	16114.0	45.1	54.9
  Рогнединский район 	8952.0	4100.0	4852.0	45.8	54.2
    Городское население - пгт Рогнедино (рц)	3354.0	1529.0	1825.0	45.6	54.4
    Сельское население	5598.0	2571.0	3027.0	45.9	54.1
  Севский район 	18759.0	8621.0	10138.0	46.0	54.0
    Городское население - г. Севск (рц)	7660.0	3472.0	4188.0	45.3	54.7
    Сельское население	11099.0	5149.0	5950.0	46.4	53.6
  Стародубский район 	44573.0	20730.0	23843.0	46.5	53.5
    Городское население - г. Стародуб (рц)	18643.0	9027.0	9616.0	48.4	51.6
    Сельское население	25930.0	11703.0	14227.0	45.1	54.9
  Суземский район 	19513.0	8877.0	10636.0	45.5	54.5
    Городское население	12164.0	5477.0	6687.0	45.0	55.0
      пгт Суземка (рц)	9712.0	4362.0	5350.0	44.9	55.1
      пгт Кокоревка	2452.0	1115.0	1337.0	45.5	54.5
    Сельское население	7349.0	3400.0	3949.0	46.3	53.7
  Суражский район 	27223.0	12469.0	14754.0	45.8	54.2
    Городское население - г. Сураж (рц)	12046.0	5500.0	6546.0	45.7	54.3
    Сельское население	15177.0	6969.0	8208.0	45.9	54.1
  Трубчевский район 	41690.0	19054.0	22636.0	45.7	54.3
    Городское население	23496.0	10859.0	12637.0	46.2	53.8
      г. Трубчевск (рц)	16342.0	7558.0	8784.0	46.2	53.8
      пгт Белая Березка	7154.0	3301.0	3853.0	46.1	53.9
    Сельское население	18194.0	8195.0	9999.0	45.0	55.0
  Унечский район 	46871.0	21471.0	25400.0	45.8	54.2
    Городское население - г. Унеча (рц)	29039.0	13282.0	15757.0	45.7	54.3
    Сельское население	17832.0	8189.0	9643.0	45.9	54.1
Владимирская область	1523990.0	690012.0	833978.0	45.3	54.7
    Городское население	1213865.0	548505.0	665360.0	45.2	54.8
    Сельское население	310125.0	141507.0	168618.0	45.6	54.4
  г. Владимир с подчиненными его администрации населенными пунктами	336881.0	152897.0	183984.0	45.4	54.6
    Городское население	333601.0	151399.0	182202.0	45.4	54.6
      г. Владимир	315954.0	143288.0	172666.0	45.4	54.6
          городские районы					
        Ленинский 	119356.0	54206.0	65150.0	45.4	54.6
