9. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ							
(на 1000 человек в возрасте 15-64 лет, занятых соответствующим видом экономической деятельности)							
							
							
	Положение в занятии						Не указавшие положение в занятии
	работающие по найму	работающие не по найму	из них				
			с привле-чением на-емных ра-ботников	без привле-чения наем-ных работ-ников	иное	не указавшие привлечение наемных работников	
деятельность экстерриториальных организаций	971.0	29.0	 	 	29.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	929.0	67.0	12.0	37.0	12.0	6.0	4.0
Женщины, занятые в экономике 	965.0	35.0	7.0	22.0	4.0	2.0	0.0
в том числе по видам экономической деятельности:							
сельское хозяйство, охота и лесное хозяйство	960.0	40.0	4.0	25.0	10.0	1.0	0.0
рыболовство, рыбоводство	962.0	38.0	7.0	16.0	13.0	2.0	0.0
добыча полезных ископаемых	993.0	6.0	0.0	4.0	1.0	1.0	1.0
обрабатывающие производства	975.0	25.0	4.0	18.0	2.0	1.0	0.0
производство и распределение электроэнергии, газа и воды	995.0	5.0	0.0	4.0	1.0	0.0	0.0
строительство	976.0	24.0	5.0	14.0	3.0	2.0	0.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	848.0	152.0	41.0	101.0	5.0	5.0	0.0
гостиницы и рестораны	977.0	23.0	7.0	11.0	3.0	2.0	0.0
транспорт и связь	991.0	8.0	1.0	5.0	1.0	1.0	1.0
финансовая деятельность	992.0	8.0	1.0	5.0	1.0	1.0	0.0
операции с недвижимым имуществом, аренда и предоставление услуг	982.0	17.0	3.0	11.0	2.0	1.0	1.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	1000.0	 	 	 	 	 	0.0
образование	994.0	6.0	0.0	4.0	1.0	1.0	0.0
здравоохранение и предоставление социальных услуг	993.0	7.0	0.0	5.0	1.0	1.0	0.0
предоставление прочих коммунальных, социальных и персональных услуг	976.0	24.0	3.0	18.0	2.0	1.0	0.0
предоставление услуг по ведению домашнего хозяйства	1000.0	 	 	 	 	 	-
деятельность экстерриториальных организаций	988.0	12.0	 	 	12.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	949.0	47.0	7.0	26.0	9.0	5.0	4.0
