4. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И СОСТОЯНИЮ В БРАКЕ																
																
	Мужчины	в том числе							Женщины	в том числе						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке
			в зарегистри-рованном браке	в незарегистри-рованном браке							в зарегистри-рованном браке	в незарегистри-рованном браке				
Городское и сельское население КМН в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке																
Эвенки	10722.0	4917.0	3846.0	1071.0	4813.0	458.0	515.0	19.0	12351.0	6205.0	4603.0	1602.0	3778.0	1602.0	756.0	10.0
в том числе в возрасте, лет:																
до 16	1.0	1.0	-	1.0		-	-		1.0	1.0	-	1.0		-	-	
16 – 17	878.0	-	-	-	867.0	-	1.0	10.0	819.0	12.0	-	12.0	799.0	1.0	1.0	6.0
18 – 19	691.0	22.0	11.0	11.0	667.0	-	-	2.0	685.0	82.0	35.0	47.0	599.0	1.0	2.0	1.0
20 – 29	2790.0	898.0	582.0	316.0	1811.0	8.0	73.0	-	2895.0	1436.0	916.0	520.0	1298.0	56.0	105.0	-
30 – 39	2478.0	1531.0	1173.0	358.0	732.0	27.0	187.0	1.0	2740.0	1822.0	1362.0	460.0	509.0	159.0	250.0	-
40 – 49	2071.0	1336.0	1122.0	214.0	498.0	85.0	152.0	-	2567.0	1720.0	1366.0	354.0	320.0	301.0	225.0	1.0
50 – 59	904.0	612.0	518.0	94.0	146.0	80.0	65.0	1.0	1228.0	687.0	553.0	134.0	147.0	290.0	104.0	-
60 – 69	620.0	374.0	320.0	54.0	77.0	138.0	30.0	1.0	903.0	357.0	301.0	56.0	73.0	417.0	56.0	-
70 и более	285.0	143.0	120.0	23.0	15.0	120.0	6.0	1.0	511.0	88.0	70.0	18.0	33.0	376.0	12.0	2.0
возраст не указан	4.0	-	-	-	-	-	1.0	3.0	2.0	-	-	-	-	1.0	1.0	-
Эвены	4880.0	2119.0	1672.0	447.0	2279.0	197.0	278.0	7.0	7646.0	3949.0	3049.0	900.0	2136.0	1012.0	536.0	13.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	399.0	-	-	-	394.0	-	1.0	4.0	475.0	15.0	5.0	10.0	455.0	-	-	5.0
18 – 19	353.0	10.0	2.0	8.0	342.0	-	-	1.0	374.0	57.0	25.0	32.0	316.0	-	1.0	-
20 – 29	1355.0	409.0	285.0	124.0	912.0	-	33.0	1.0	1857.0	933.0	635.0	298.0	800.0	36.0	86.0	2.0
30 – 39	1056.0	611.0	472.0	139.0	330.0	13.0	102.0	-	1707.0	1160.0	905.0	255.0	274.0	86.0	186.0	1.0
40 – 49	855.0	543.0	436.0	107.0	199.0	29.0	84.0	-	1498.0	998.0	822.0	176.0	180.0	169.0	149.0	2.0
50 – 59	463.0	308.0	265.0	43.0	70.0	45.0	39.0	1.0	839.0	489.0	414.0	75.0	63.0	217.0	70.0	-
60 – 69	260.0	171.0	149.0	22.0	20.0	54.0	15.0	-	578.0	240.0	200.0	40.0	33.0	271.0	32.0	2.0
70 и более	137.0	67.0	63.0	4.0	10.0	56.0	4.0	-	317.0	57.0	43.0	14.0	15.0	233.0	12.0	-
возраст не указан	2.0	-	-	-	2.0	-	-	-	1.0	-	-	-	-	-	-	1.0
Энцы	62.0	28.0	25.0	3.0	28.0	5.0	1.0	-	70.0	30.0	19.0	11.0	26.0	10.0	4.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	5.0	-	-	-	5.0	-	-	-	9.0	-	-	-	9.0	-	-	-
18 – 19	7.0	2.0	2.0	-	5.0	-	-	-	5.0	-	-	-	5.0	-	-	-
20 – 29	13.0	1.0	1.0	-	12.0	-	-	-	17.0	8.0	1.0	7.0	8.0	-	1.0	-
30 – 39	12.0	8.0	7.0	1.0	3.0	1.0	-	-	12.0	11.0	8.0	3.0	1.0	-	-	-
40 – 49	17.0	12.0	10.0	2.0	2.0	2.0	1.0	-	14.0	8.0	7.0	1.0	1.0	4.0	1.0	-
50 – 59	5.0	4.0	4.0	-	1.0	-	-	-	9.0	2.0	2.0	-	2.0	4.0	1.0	-
60 – 69	2.0	-	-	-	-	2.0	-	-	3.0	-	-	-	-	2.0	1.0	-
70 и более	1.0	1.0	1.0	-	-	-	-	-	1.0	1.0	1.0	-	-	-	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Эскимосы	475.0	194.0	154.0	40.0	209.0	19.0	39.0	14.0	566.0	251.0	201.0	50.0	193.0	60.0	56.0	6.0
в том числе в возрасте, лет:																
до 16	1.0	1.0	-	1.0		-	-		-	-	-	-		-	-	
16 – 17	39.0	-	-	-	29.0	-	-	10.0	41.0	-	-	-	36.0	-	-	5.0
18 – 19	38.0	1.0	1.0	-	34.0	-	-	3.0	32.0	3.0	1.0	2.0	29.0	-	-	-
20 – 29	114.0	32.0	23.0	9.0	79.0	-	3.0	-	140.0	63.0	45.0	18.0	64.0	3.0	9.0	1.0
30 – 39	114.0	66.0	50.0	16.0	37.0	1.0	10.0	-	121.0	73.0	57.0	16.0	33.0	3.0	12.0	-
40 – 49	122.0	76.0	64.0	12.0	27.0	3.0	15.0	1.0	122.0	69.0	62.0	7.0	20.0	11.0	22.0	-
50 – 59	33.0	17.0	15.0	2.0	1.0	7.0	8.0	-	60.0	33.0	28.0	5.0	7.0	12.0	8.0	-
60 – 69	10.0	1.0	1.0	-	2.0	5.0	2.0	-	36.0	10.0	8.0	2.0	4.0	20.0	2.0	-
70 и более	4.0	-	-	-	-	3.0	1.0	-	14.0	-	-	-	-	11.0	3.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Юкагиры	358.0	188.0	159.0	29.0	133.0	10.0	25.0	2.0	408.0	207.0	170.0	37.0	128.0	48.0	24.0	1.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	21.0	-	-	-	20.0	-	-	1.0	27.0	-	-	-	27.0	-	-	-
18 – 19	27.0	-	-	-	27.0	-	-	-	19.0	2.0	-	2.0	16.0	-	-	1.0
20 – 29	95.0	40.0	30.0	10.0	51.0	-	3.0	1.0	103.0	50.0	40.0	10.0	42.0	3.0	8.0	-
30 – 39	83.0	60.0	53.0	7.0	14.0	1.0	8.0	-	83.0	52.0	40.0	12.0	21.0	4.0	6.0	-
40 – 49	78.0	54.0	47.0	7.0	13.0	1.0	10.0	-	73.0	54.0	47.0	7.0	11.0	3.0	5.0	-
50 – 59	26.0	18.0	15.0	3.0	3.0	1.0	4.0	-	55.0	29.0	24.0	5.0	6.0	16.0	4.0	-
60 – 69	16.0	11.0	9.0	2.0	2.0	3.0	-	-	28.0	12.0	11.0	1.0	3.0	12.0	1.0	-
70 и более	12.0	5.0	5.0	-	3.0	4.0	-	-	20.0	8.0	8.0	-	2.0	10.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Городское население КМН в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке																
Абазины	4060.0	2528.0	2389.0	139.0	1304.0	72.0	148.0	8.0	5004.0	2493.0	2360.0	133.0	1303.0	578.0	626.0	4.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	267.0	-	-	-	267.0	-	-	-	274.0	3.0	1.0	2.0	271.0	-	-	-
18 – 19	233.0	2.0	2.0	-	231.0	-	-	-	284.0	18.0	14.0	4.0	263.0	-	2.0	1.0
20 – 29	908.0	254.0	234.0	20.0	635.0	-	16.0	3.0	1097.0	467.0	436.0	31.0	555.0	5.0	70.0	-
30 – 39	820.0	633.0	581.0	52.0	130.0	6.0	50.0	1.0	1002.0	653.0	623.0	30.0	111.0	48.0	188.0	2.0
40 – 49	965.0	875.0	839.0	36.0	33.0	6.0	50.0	1.0	1256.0	865.0	822.0	43.0	66.0	108.0	217.0	-
50 – 59	437.0	409.0	388.0	21.0	6.0	5.0	17.0	-	488.0	301.0	283.0	18.0	13.0	94.0	79.0	1.0
60 – 69	293.0	257.0	250.0	7.0	2.0	23.0	11.0	-	377.0	140.0	135.0	5.0	16.0	170.0	51.0	-
70 и более	133.0	97.0	94.0	3.0	-	32.0	4.0	-	224.0	44.0	44.0	-	8.0	153.0	19.0	-
возраст не указан	4.0	1.0	1.0	-	-	-	-	3.0	2.0	2.0	2.0	-	-	-	-	-
Алеуты	33.0	11.0	7.0	4.0	17.0	3.0	2.0	-	46.0	29.0	24.0	5.0	10.0	3.0	4.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	-	-	-	-	-	-	-	-	5.0	-	-	-	5.0	-	-	-
18 – 19	2.0	-	-	-	2.0	-	-	-	1.0	-	-	-	1.0	-	-	-
20 – 29	15.0	3.0	-	3.0	11.0	-	1.0	-	12.0	7.0	6.0	1.0	3.0	1.0	1.0	-
30 – 39	6.0	2.0	1.0	1.0	3.0	-	1.0	-	9.0	8.0	7.0	1.0	1.0	-	-	-
40 – 49	2.0	-	-	-	1.0	1.0	-	-	14.0	11.0	8.0	3.0	-	1.0	2.0	-
50 – 59	4.0	3.0	3.0	-	-	1.0	-	-	4.0	2.0	2.0	-	-	1.0	1.0	-
60 – 69	3.0	2.0	2.0	-	-	1.0	-	-	1.0	1.0	1.0	-	-	-	-	-
70 и более	1.0	1.0	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Бесермяне	289.0	188.0	171.0	17.0	68.0	17.0	16.0	-	320.0	176.0	152.0	24.0	75.0	52.0	17.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	12.0	-	-	-	12.0	-	-	-	16.0	-	-	-	16.0	-	-	-
18 – 19	11.0	-	-	-	11.0	-	-	-	8.0	1.0	-	1.0	7.0	-	-	-
20 – 29	46.0	20.0	15.0	5.0	26.0	-	-	-	42.0	21.0	18.0	3.0	19.0	-	2.0	-
30 – 39	48.0	35.0	32.0	3.0	9.0	-	4.0	-	52.0	31.0	24.0	7.0	10.0	5.0	6.0	-
40 – 49	73.0	59.0	52.0	7.0	7.0	2.0	5.0	-	88.0	67.0	60.0	7.0	8.0	6.0	7.0	-
50 – 59	44.0	39.0	37.0	2.0	2.0	1.0	2.0	-	51.0	36.0	34.0	2.0	5.0	9.0	1.0	-
60 – 69	37.0	26.0	26.0	-	1.0	7.0	3.0	-	38.0	17.0	14.0	3.0	4.0	16.0	1.0	-
70 и более	18.0	9.0	9.0	-	-	7.0	2.0	-	25.0	3.0	2.0	1.0	6.0	16.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Вепсы	1270.0	902.0	803.0	99.0	217.0	68.0	82.0	1.0	2174.0	985.0	894.0	91.0	364.0	610.0	215.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	35.0	-	-	-	34.0	-	-	1.0	50.0	1.0	1.0	-	49.0	-	-	-
18 – 19	29.0	-	-	-	29.0	-	-	-	62.0	1.0	1.0	-	61.0	-	-	-
20 – 29	230.0	112.0	88.0	24.0	113.0	-	5.0	-	297.0	143.0	108.0	35.0	142.0	2.0	10.0	-
30 – 39	171.0	132.0	111.0	21.0	18.0	1.0	20.0	-	187.0	126.0	105.0	21.0	20.0	6.0	35.0	-
40 – 49	272.0	224.0	199.0	25.0	14.0	6.0	28.0	-	354.0	241.0	225.0	16.0	29.0	29.0	55.0	-
50 – 59	233.0	205.0	190.0	15.0	8.0	5.0	15.0	-	305.0	190.0	181.0	9.0	24.0	52.0	39.0	-
60 – 69	169.0	134.0	124.0	10.0	-	24.0	11.0	-	392.0	173.0	164.0	9.0	13.0	171.0	35.0	-
70 и более	131.0	95.0	91.0	4.0	1.0	32.0	3.0	-	526.0	110.0	109.0	1.0	26.0	350.0	40.0	-
возраст не указан	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	1.0	-
Долганы	279.0	110.0	84.0	26.0	144.0	8.0	17.0	-	586.0	217.0	155.0	62.0	254.0	60.0	55.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	32.0	-	-	-	32.0	-	-	-	48.0	2.0	-	2.0	46.0	-	-	-
18 – 19	40.0	1.0	1.0	-	39.0	-	-	-	67.0	7.0	5.0	2.0	59.0	1.0	-	-
20 – 29	93.0	34.0	25.0	9.0	58.0	-	1.0	-	187.0	73.0	45.0	28.0	104.0	2.0	8.0	-
30 – 39	56.0	37.0	26.0	11.0	11.0	1.0	7.0	-	113.0	63.0	46.0	17.0	28.0	3.0	19.0	-
40 – 49	35.0	24.0	20.0	4.0	2.0	2.0	7.0	-	94.0	53.0	42.0	11.0	11.0	11.0	19.0	-
50 – 59	14.0	8.0	6.0	2.0	2.0	3.0	1.0	-	34.0	11.0	9.0	2.0	2.0	13.0	8.0	-
60 – 69	7.0	5.0	5.0	-	-	1.0	1.0	-	34.0	8.0	8.0	-	1.0	24.0	1.0	-
70 и более	2.0	1.0	1.0	-	-	1.0	-	-	9.0	-	-	-	3.0	6.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ижорцы	17.0	12.0	10.0	2.0	1.0	2.0	2.0	-	29.0	8.0	8.0	-	4.0	13.0	3.0	1.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
18 – 19	-	-	-	-	-	-	-	-	1.0	-	-	-	1.0	-	-	-
20 – 29	1.0	-	-	-	1.0	-	-	-	2.0	2.0	2.0	-	-	-	-	-
30 – 39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
40 – 49	3.0	2.0	2.0	-	-	-	1.0	-	6.0	2.0	2.0	-	2.0	-	2.0	-
50 – 59	2.0	2.0	-	2.0	-	-	-	-	2.0	-	-	-	1.0	-	-	1.0
60 – 69	6.0	5.0	5.0	-	-	-	1.0	-	3.0	2.0	2.0	-	-	-	1.0	-
70 и более	5.0	3.0	3.0	-	-	2.0	-	-	15.0	2.0	2.0	-	-	13.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ительмены	317.0	161.0	118.0	43.0	129.0	3.0	23.0	1.0	460.0	231.0	171.0	60.0	128.0	44.0	57.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	24.0	-	-	-	24.0	-	-	-	26.0	1.0	1.0	-	25.0	-	-	-
18 – 19	25.0	-	-	-	25.0	-	-	-	24.0	6.0	3.0	3.0	18.0	-	-	-
20 – 29	100.0	39.0	21.0	18.0	56.0	-	5.0	-	123.0	58.0	27.0	31.0	58.0	2.0	5.0	-
30 – 39	61.0	39.0	25.0	14.0	13.0	-	9.0	-	81.0	54.0	40.0	14.0	13.0	3.0	11.0	-
40 – 49	52.0	37.0	29.0	8.0	9.0	1.0	4.0	1.0	77.0	51.0	46.0	5.0	10.0	4.0	12.0	-
50 – 59	40.0	33.0	31.0	2.0	1.0	2.0	4.0	-	77.0	43.0	36.0	7.0	3.0	15.0	16.0	-
60 – 69	10.0	9.0	8.0	1.0	-	-	1.0	-	38.0	17.0	17.0	-	1.0	9.0	11.0	-
70 и более	4.0	4.0	4.0	-	-	-	-	-	14.0	1.0	1.0	-	-	11.0	2.0	-
возраст не указан	1.0	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-
Камчадалы	357.0	191.0	152.0	39.0	116.0	10.0	40.0	-	414.0	233.0	182.0	51.0	76.0	60.0	44.0	1.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	29.0	-	-	-	29.0	-	-	-	24.0	2.0	-	2.0	22.0	-	-	-
18 – 19	12.0	-	-	-	12.0	-	-	-	17.0	5.0	2.0	3.0	12.0	-	-	-
20 – 29	75.0	26.0	15.0	11.0	47.0	-	2.0	-	71.0	40.0	25.0	15.0	25.0	1.0	4.0	1.0
30 – 39	78.0	45.0	34.0	11.0	17.0	-	16.0	-	85.0	63.0	47.0	16.0	8.0	2.0	12.0	-
40 – 49	62.0	41.0	34.0	7.0	6.0	3.0	12.0	-	90.0	67.0	61.0	6.0	3.0	10.0	10.0	-
50 – 59	64.0	50.0	45.0	5.0	4.0	2.0	8.0	-	65.0	38.0	31.0	7.0	5.0	15.0	7.0	-
60 – 69	27.0	22.0	18.0	4.0	1.0	2.0	2.0	-	40.0	13.0	11.0	2.0	-	17.0	10.0	-
70 и более	10.0	7.0	6.0	1.0	-	3.0	-	-	22.0	5.0	5.0	-	1.0	15.0	1.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Кеты	44.0	13.0	8.0	5.0	27.0	2.0	2.0	-	111.0	64.0	50.0	14.0	25.0	12.0	10.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	5.0	-	-	-	5.0	-	-	-	4.0	1.0	-	1.0	3.0	-	-	-
18 – 19	8.0	-	-	-	8.0	-	-	-	10.0	-	-	-	9.0	-	1.0	-
20 – 29	10.0	5.0	1.0	4.0	5.0	-	-	-	27.0	18.0	13.0	5.0	6.0	1.0	2.0	-
30 – 39	9.0	1.0	-	1.0	7.0	-	1.0	-	27.0	18.0	14.0	4.0	4.0	1.0	4.0	-
40 – 49	6.0	4.0	4.0	-	1.0	1.0	-	-	22.0	15.0	12.0	3.0	2.0	3.0	2.0	-
50 – 59	2.0	1.0	1.0	-	-	-	1.0	-	9.0	6.0	5.0	1.0	1.0	1.0	1.0	-
60 – 69	3.0	2.0	2.0	-	-	1.0	-	-	8.0	5.0	5.0	-	-	3.0	-	-
70 и более	1.0	-	-	-	1.0	-	-	-	4.0	1.0	1.0	-	-	3.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Коряки	660.0	227.0	161.0	66.0	365.0	16.0	48.0	4.0	928.0	411.0	280.0	131.0	337.0	96.0	79.0	5.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	79.0	-	-	-	76.0	-	-	3.0	90.0	4.0	1.0	3.0	85.0	-	-	1.0
18 – 19	77.0	3.0	3.0	-	74.0	-	-	-	77.0	15.0	6.0	9.0	61.0	-	-	1.0
20 – 29	208.0	55.0	32.0	23.0	147.0	-	6.0	-	222.0	103.0	57.0	46.0	103.0	3.0	12.0	1.0
30 – 39	132.0	71.0	47.0	24.0	41.0	-	20.0	-	208.0	119.0	80.0	39.0	39.0	13.0	36.0	1.0
40 – 49	103.0	65.0	51.0	14.0	19.0	6.0	12.0	1.0	205.0	114.0	86.0	28.0	33.0	36.0	21.0	1.0
50 – 59	44.0	26.0	21.0	5.0	6.0	4.0	8.0	-	80.0	40.0	37.0	3.0	13.0	21.0	6.0	-
60 – 69	16.0	7.0	7.0	-	2.0	5.0	2.0	-	30.0	13.0	11.0	2.0	2.0	13.0	2.0	-
70 и более	1.0	-	-	-	-	1.0	-	-	16.0	3.0	2.0	1.0	1.0	10.0	2.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Кумандинцы	565.0	308.0	255.0	53.0	186.0	28.0	43.0	-	752.0	325.0	246.0	79.0	203.0	136.0	88.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	30.0	-	-	-	30.0	-	-	-	33.0	-	-	-	33.0	-	-	-
18 – 19	31.0	-	-	-	31.0	-	-	-	37.0	1.0	1.0	-	36.0	-	-	-
20 – 29	120.0	40.0	32.0	8.0	78.0	-	2.0	-	125.0	47.0	24.0	23.0	72.0	-	6.0	-
30 – 39	99.0	62.0	47.0	15.0	24.0	-	13.0	-	117.0	67.0	46.0	21.0	22.0	6.0	22.0	-
40 – 49	130.0	96.0	80.0	16.0	16.0	4.0	14.0	-	184.0	118.0	97.0	21.0	22.0	15.0	29.0	-
50 – 59	72.0	49.0	40.0	9.0	6.0	7.0	10.0	-	87.0	43.0	35.0	8.0	7.0	18.0	19.0	-
60 – 69	39.0	31.0	27.0	4.0	-	5.0	3.0	-	72.0	27.0	23.0	4.0	2.0	37.0	6.0	-
70 и более	44.0	30.0	29.0	1.0	1.0	12.0	1.0	-	97.0	22.0	20.0	2.0	9.0	60.0	6.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Манси	1469.0	754.0	624.0	130.0	587.0	34.0	92.0	2.0	2246.0	1190.0	967.0	223.0	602.0	231.0	219.0	4.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	172.0	1.0	-	1.0	171.0	-	-	-	166.0	9.0	4.0	5.0	157.0	-	-	-
18 – 19	106.0	5.0	1.0	4.0	101.0	-	-	-	176.0	30.0	12.0	18.0	144.0	-	1.0	1.0
20 – 29	414.0	183.0	137.0	46.0	211.0	-	19.0	1.0	503.0	290.0	210.0	80.0	174.0	6.0	33.0	-
30 – 39	311.0	215.0	182.0	33.0	62.0	1.0	33.0	-	458.0	312.0	263.0	49.0	60.0	17.0	67.0	2.0
40 – 49	268.0	205.0	179.0	26.0	31.0	2.0	29.0	1.0	513.0	358.0	306.0	52.0	37.0	51.0	67.0	-
50 – 59	91.0	71.0	62.0	9.0	8.0	5.0	7.0	-	177.0	110.0	100.0	10.0	15.0	32.0	20.0	-
60 – 69	78.0	56.0	50.0	6.0	2.0	16.0	4.0	-	150.0	64.0	56.0	8.0	5.0	58.0	23.0	-
70 и более	29.0	18.0	13.0	5.0	1.0	10.0	-	-	102.0	17.0	16.0	1.0	10.0	67.0	8.0	-
возраст не указан	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	1.0
Нагайбаки	567.0	404.0	367.0	37.0	125.0	15.0	23.0	-	782.0	404.0	383.0	21.0	166.0	153.0	59.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	21.0	-	-	-	21.0	-	-	-	25.0	-	-	-	25.0	-	-	-
18 – 19	29.0	1.0	1.0	-	28.0	-	-	-	61.0	3.0	3.0	-	58.0	-	-	-
20 – 29	100.0	43.0	35.0	8.0	53.0	-	4.0	-	112.0	59.0	54.0	5.0	47.0	1.0	5.0	-
30 – 39	79.0	64.0	60.0	4.0	9.0	-	6.0	-	64.0	50.0	48.0	2.0	5.0	2.0	7.0	-
40 – 49	124.0	108.0	98.0	10.0	9.0	1.0	6.0	-	158.0	121.0	115.0	6.0	11.0	7.0	19.0	-
50 – 59	90.0	83.0	78.0	5.0	3.0	2.0	2.0	-	116.0	79.0	75.0	4.0	8.0	21.0	8.0	-
60 – 69	70.0	59.0	54.0	5.0	2.0	5.0	4.0	-	107.0	57.0	57.0	-	4.0	36.0	10.0	-
70 и более	54.0	46.0	41.0	5.0	-	7.0	1.0	-	139.0	35.0	31.0	4.0	8.0	86.0	10.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Нанайцы	1079.0	488.0	397.0	91.0	476.0	34.0	78.0	3.0	1522.0	667.0	513.0	154.0	532.0	150.0	170.0	3.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	90.0	-	-	-	89.0	-	-	1.0	120.0	-	-	-	120.0	-	-	-
18 – 19	72.0	3.0	1.0	2.0	68.0	-	-	1.0	113.0	10.0	3.0	7.0	103.0	-	-	-
20 – 29	285.0	72.0	43.0	29.0	205.0	1.0	7.0	-	344.0	126.0	74.0	52.0	205.0	2.0	9.0	2.0
30 – 39	205.0	131.0	106.0	25.0	51.0	2.0	21.0	-	283.0	175.0	133.0	42.0	45.0	10.0	53.0	-
40 – 49	206.0	129.0	110.0	19.0	36.0	5.0	35.0	1.0	334.0	197.0	166.0	31.0	37.0	27.0	73.0	-
50 – 59	115.0	83.0	72.0	11.0	17.0	4.0	11.0	-	174.0	96.0	80.0	16.0	16.0	39.0	23.0	-
60 – 69	80.0	52.0	48.0	4.0	9.0	15.0	4.0	-	92.0	46.0	40.0	6.0	3.0	33.0	10.0	-
70 и более	26.0	18.0	17.0	1.0	1.0	7.0	-	-	61.0	17.0	17.0	-	3.0	39.0	2.0	-
возраст не указан	-	-	-	-	-	-	-	-	1.0	-	-	-	-	-	-	1.0
Нганасаны	41.0	11.0	7.0	4.0	29.0	1.0	-	-	62.0	19.0	14.0	5.0	27.0	9.0	7.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	5.0	-	-	-	5.0	-	-	-	3.0	-	-	-	3.0	-	-	-
18 – 19	9.0	-	-	-	9.0	-	-	-	7.0	1.0	-	1.0	6.0	-	-	-
20 – 29	14.0	3.0	1.0	2.0	11.0	-	-	-	25.0	9.0	7.0	2.0	13.0	-	3.0	-
30 – 39	8.0	5.0	3.0	2.0	3.0	-	-	-	7.0	1.0	1.0	-	3.0	2.0	1.0	-
40 – 49	4.0	2.0	2.0	-	1.0	1.0	-	-	9.0	4.0	3.0	1.0	1.0	2.0	2.0	-
50 – 59	-	-	-	-	-	-	-	-	8.0	4.0	3.0	1.0	1.0	2.0	1.0	-
60 – 69	1.0	1.0	1.0	-	-	-	-	-	3.0	-	-	-	-	3.0	-	-
70 и более	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Негидальцы	31.0	16.0	7.0	9.0	11.0	3.0	1.0	-	60.0	23.0	19.0	4.0	20.0	11.0	6.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	3.0	-	-	-	3.0	-	-	-	5.0	-	-	-	5.0	-	-	-
18 – 19	2.0	-	-	-	2.0	-	-	-	5.0	2.0	-	2.0	3.0	-	-	-
20 – 29	4.0	1.0	-	1.0	3.0	-	-	-	9.0	5.0	4.0	1.0	4.0	-	-	-
30 – 39	8.0	6.0	1.0	5.0	1.0	-	1.0	-	14.0	7.0	6.0	1.0	4.0	-	3.0	-
40 – 49	5.0	3.0	2.0	1.0	1.0	1.0	-	-	10.0	5.0	5.0	-	2.0	3.0	-	-
50 – 59	6.0	4.0	3.0	1.0	1.0	1.0	-	-	8.0	3.0	3.0	-	2.0	1.0	2.0	-
60 – 69	2.0	2.0	1.0	1.0	-	-	-	-	3.0	1.0	1.0	-	-	1.0	1.0	-
70 и более	1.0	-	-	-	-	1.0	-	-	6.0	-	-	-	-	6.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Ненцы	1584.0	689.0	542.0	147.0	752.0	51.0	85.0	7.0	2954.0	1318.0	960.0	358.0	1093.0	312.0	224.0	7.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	182.0	-	-	-	179.0	-	-	3.0	247.0	9.0	1.0	8.0	236.0	-	-	2.0
18 – 19	137.0	7.0	4.0	3.0	130.0	-	-	-	279.0	30.0	17.0	13.0	247.0	1.0	-	1.0
20 – 29	447.0	148.0	87.0	61.0	285.0	1.0	11.0	2.0	727.0	336.0	207.0	129.0	342.0	13.0	34.0	2.0
