4. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ВОЗРАСТНЫМ ГРУППАМ, ПОЛУ И СОСТОЯНИЮ В БРАКЕ																
																
	Мужчины	в том числе							Женщины	в том числе						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке
			в зарегистри-рованном браке	в незарегистри-рованном браке							в зарегистри-рованном браке	в незарегистри-рованном браке				
Городское и сельское население КМН в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке																
20 – 29	87.0	27.0	7.0	20.0	59.0	-	1.0	-	86.0	58.0	33.0	25.0	24.0	1.0	3.0	-
30 – 39	93.0	35.0	26.0	9.0	52.0	1.0	5.0	-	108.0	77.0	48.0	29.0	17.0	6.0	8.0	-
40 – 49	72.0	27.0	19.0	8.0	31.0	6.0	8.0	-	107.0	72.0	56.0	16.0	13.0	14.0	8.0	-
50 – 59	28.0	16.0	8.0	8.0	6.0	1.0	5.0	-	37.0	20.0	16.0	4.0	4.0	9.0	4.0	-
60 – 69	23.0	8.0	4.0	4.0	4.0	6.0	5.0	-	29.0	10.0	8.0	2.0	5.0	13.0	1.0	-
70 и более	4.0	1.0	-	1.0	1.0	2.0	-	-	20.0	2.0	1.0	1.0	2.0	16.0	-	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Коряки	2634.0	972.0	652.0	320.0	1372.0	134.0	151.0	5.0	2936.0	1496.0	972.0	524.0	888.0	344.0	201.0	7.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	225.0	1.0	-	1.0	220.0	-	-	4.0	203.0	11.0	3.0	8.0	190.0	-	-	2.0
18 – 19	188.0	7.0	4.0	3.0	181.0	-	-	-	174.0	38.0	13.0	25.0	135.0	-	-	1.0
20 – 29	655.0	156.0	77.0	79.0	485.0	1.0	13.0	-	655.0	334.0	164.0	170.0	278.0	14.0	28.0	1.0
30 – 39	648.0	304.0	199.0	105.0	279.0	9.0	56.0	-	732.0	464.0	309.0	155.0	144.0	43.0	80.0	1.0
40 – 49	576.0	327.0	236.0	91.0	158.0	32.0	58.0	1.0	652.0	421.0	315.0	106.0	92.0	75.0	63.0	1.0
50 – 59	200.0	109.0	82.0	27.0	35.0	37.0	19.0	-	261.0	142.0	111.0	31.0	30.0	67.0	22.0	-
60 – 69	95.0	55.0	45.0	10.0	11.0	24.0	5.0	-	167.0	74.0	50.0	24.0	10.0	78.0	5.0	-
70 и более	47.0	13.0	9.0	4.0	3.0	31.0	-	-	90.0	11.0	7.0	4.0	9.0	67.0	3.0	-
возраст не указан	-	-	-	-	-	-	-	-	2.0	1.0	-	1.0	-	-	-	1.0
Кумандинцы	1077.0	623.0	467.0	156.0	317.0	50.0	85.0	2.0	1350.0	665.0	472.0	193.0	306.0	249.0	130.0	-
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	44.0	-	-	-	44.0	-	-	-	49.0	1.0	-	1.0	48.0	-	-	-
18 – 19	46.0	1.0	-	1.0	45.0	-	-	-	57.0	8.0	4.0	4.0	49.0	-	-	-
20 – 29	199.0	69.0	55.0	14.0	127.0	-	3.0	-	200.0	86.0	44.0	42.0	101.0	-	13.0	-
30 – 39	202.0	126.0	91.0	35.0	54.0	1.0	21.0	-	216.0	137.0	91.0	46.0	40.0	9.0	30.0	-
40 – 49	277.0	199.0	144.0	55.0	35.0	6.0	35.0	2.0	327.0	236.0	173.0	63.0	28.0	25.0	38.0	-
50 – 59	136.0	100.0	71.0	29.0	8.0	10.0	18.0	-	160.0	90.0	68.0	22.0	12.0	30.0	28.0	-
60 – 69	85.0	68.0	56.0	12.0	3.0	9.0	5.0	-	145.0	64.0	54.0	10.0	7.0	62.0	12.0	-
70 и более	88.0	60.0	50.0	10.0	1.0	24.0	3.0	-	196.0	43.0	38.0	5.0	21.0	123.0	9.0	-
возраст не указан	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Манси	3020.0	1475.0	1157.0	318.0	1257.0	109.0	161.0	18.0	4118.0	2234.0	1778.0	456.0	1039.0	504.0	329.0	12.0
в том числе в возрасте, лет:																
до 16	-	-	-	-		-	-		-	-	-	-		-	-	
16 – 17	302.0	4.0	-	4.0	290.0	-	-	8.0	291.0	11.0	5.0	6.0	273.0	-	-	7.0
18 – 19	173.0	7.0	1.0	6.0	164.0	-	-	2.0	268.0	45.0	19.0	26.0	220.0	-	2.0	1.0
20 – 29	769.0	302.0	209.0	93.0	438.0	1.0	24.0	4.0	892.0	512.0	352.0	160.0	323.0	10.0	47.0	-
30 – 39	709.0	436.0	343.0	93.0	210.0	7.0	56.0	-	890.0	637.0	529.0	108.0	104.0	47.0	100.0	2.0
40 – 49	620.0	434.0	363.0	71.0	114.0	13.0	55.0	4.0	931.0	661.0	555.0	106.0	63.0	99.0	108.0	-
